date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-27,2.0,"I've been here twice before. Once approximately two years ago, and other time just this past week. I really enjoy the atmosphere/ambience. The decor reminds me somewhat of 1910s/1920s America, and I think it's a very cute place to study or even have a coffee date.  However, the most recent time that I was here, the service was disastrously slow, likely due to a problem with understaffing. One single worker was running the cash register, making the drinks, and bringing the food to the tables. There were about 10-12 people in front of me in line when I arrived, and 15 minutes later, only three of them had been helped. I wouldn't say that I'm an impatient person, but it felt absurd to have to wait that long to put in an order (and with 7 more people to be helped before me, was likely going to take quite a while longer). Needless to say, I ended up leaving because it was just too slow. Last time I was here, it didn't seem to be this way. I remember the line moving quickly, and getting my coffee without any issue. They really should hire some more people.",0.2366,0.958,0.023,0.018,0.5387896825396825
2017-08-20,1.0,"40 minutes for a sandwich? Absurd wait time and very poor service. No communication on the wait time or where you were in the queue. If you're going to have a wait this long for a sandwich, you need to have order numbers so people understand what the wait will be before they order.",-0.7056,0.893,0.0,0.107,0.7266666666666667
2017-08-20,3.0,I love the food and coffee here but the service is extremely slow. They are way understaffed and need changes to keep people coming.,0.3818,0.894,0.106,0.0,0.5
2017-08-13,4.0,"I love this place and have been going here regularly for a bit over a year. Super chill atmosphere - great for reading, writing, emails, etc. The food is DELISH and the patio is super nice. 4 stars because I'm never sure when they'll close. I always thought it was 9, but sometimes they'll start closing at like 6? Kind of a bummer. Don't get the tea in the cast iron pots because they just make the tea taste like iron.",0.9112,0.736,0.209,0.055,0.6936431623931625
2017-08-10,2.0,"I used to love this place, but it's taken a plunge since two years ago. And just when I thought it couldn't get worse, I went there two days ago. The place is like a post-apocalyptic scene, barely anyone there, and a confused-looking barista behind the counter. I asked for a drop coffee, they said they could make me an americano.  No, I would like a drip. Sorry but we're closing soon. It was 5:30 PM on a Monday. This is a cafe that usually stays open till 10, even in the summer, but they keep changing and shortening their hours every other week.  It's just so sad. The last four times I've been here, the drip has always been cold, the barista confused and forgetful, and the place a mess.",-0.8319,0.761,0.088,0.151,0.5333333333333333
2017-08-01,2.0,"This cafe did not meet my expectations. The wait time was 45 minutes for a simple veggie sandwich. The sandwich also had un-pitted olives in it, which was extremely hard to eat so I ended up taking them out. The bread was delicious but not worth the wait or hastily assembled sandwich. Wouldn't recommend.",-0.394,0.852,0.042,0.107,0.49970238095238095
2017-08-01,1.0,"I'm not even going to taste my food to write this review. Nearly an hour to wait for a sandwich and salad on a not very busy Tuesday. Cashier is really nice but they have one cook. Skip it. Oh, and cash only since square was down. Awards are years ago. Update: Wife's salad was wrong. My sandwich was ok, but certainly not for the price.",0.778,0.786,0.159,0.055,0.6113858363858363
2017-07-30,4.0,"Great sandwich if you're willing to wait 45 minutes. We were one of the only tables in the joint on a Sunday and waited 45-60 minutes for two Great Gatsby's. While the sandwhich was amazing, the wait was lengthy. Be prepared for a long wait. Very slow service. Nice outdoor seating. Chip selection is slacking.",0.9514,0.739,0.261,0.0,0.75875
2017-07-28,5.0,"My review is only for the food...so far. Bourgeois was an option for Fooda at my work today and their Veggie panini was amazing. Warm bread, gooey cheese, and a tasty combo of veggies with a pesto spread. A welcome break from the pizza and mexican food that usually show up for Fooda. Thank you Bourgeois. I hope enough people discovered your goodness hidden down in the basement popup. I'll be trekking over to the cafe next!",0.9468,0.794,0.206,0.0,0.5247474747474747
2017-07-23,2.0,"I showed up before 10am on a Sunday, and there was only 1 employee working who barely spoke to customers. His coworker eventually returned from CVS, utterly dismayed by the long line of customers. Then she made two hot lattes that should've been iced. Then she told me they were completely out of decaf and straws, and there were no slips with the Wi-Fi password left at the counter. Then they stopped accepting any card payments. My friend ordered a vegetarian breakfast bowl and was given a ham sandwich. The location itself is nice, but the employees were both surly and had no remorse about their poor service.",-0.8379,0.821,0.051,0.129,0.5944444444444444
2017-07-21,4.0,Visited during a weekend lunch hour. Nice outdoor seating and the service is friendly. The food is really good. I noticed a lot of people ordering the iced coffees. I love the atmosphere here. The sandwiches we ordered were hot and fresh and really yummy! They have a lot of cool different flavors.,0.9682,0.651,0.349,0.0,0.6111111111111112
