date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-29,5.0,Recently discovered this restaurant even though I've lived in the neighborhood for a while.  Have Done take out here a few times and everything I've tried so far has been very good including the eggplant Parmesan the heirloom tomato salad and the truffle fries.  They have a nice patio on the sidewalk as well and would be great for dining in on a nice evening.,0.9324,0.789,0.211,0.0,0.6971428571428573
2017-08-12,5.0,Went here recently on a date and sat outside. The patio was busy but our waitress was attentive and very polite. The ambiance was great and the food was served quickly and cooked to perfection. I would definitely recommend for a date or for a family meal. Very solid Italian spot.,0.9676,0.679,0.321,0.0,0.368
2017-07-28,5.0,"Wow. Happened upon this place when walking down the street en route to another destination - decided to stop in for a quick drink. Ended up getting a few drinks and having dinner.  All I have to say is that they have been in biz for 22 years for a reason. Cannot go wrong eating here!  You can always tell a good Italian restaurant by its bread...  and that bread - with the side of oil and roasted garlic - was excellent. And it only continued from there.  Quaint, warm ambiance, great food - what more can you ask for on a Friday night?! The answer is 'nothing'.",0.9133,0.803,0.15,0.047,0.6032407407407407
2017-06-19,4.0,"Went back on 6/18/17 for my 70th Birthday meal with my wife. Mentioned the special event when making reservations on Open Table. Ordered my usual Cowboy Steak with Oysters as appetizers and the wife had the Lemon Chicken. Both dishes and appetizer were delicious, and service was fine. Since we had an early reservation (5:00 PM) we were the only customers until about 5:30. A little disappointed there was no mention of the birthday celebration especially since we were the only people there for most of the meal. Still a favorite spot.",0.7346,0.838,0.112,0.05,0.6547619047619048
2017-05-18,5.0,"Wow, I was so impressed with delivery from Tarantino's! It was amazing how well the food traveled, and I'm sure this place will become a regular on my dinner rotation.  First main was the pork chop (9/10), which had beautiful char marks from the grill and came bone-in. Juicy, tender and perfect if you're craving a big hunk of meat. It was served on a bed of mashed potatoes, jus and cabbage, with a grape chutney that lent a refreshing acidity to the dish. Next up was the fusilli pasta (9/10), which had a surprising amount of flavor despite only using a few ingredients. Creamy yet sweet and spicy, the sauce was seamlessly integrated with the pasta and sausage.  This place is a big win if you're too lazy to make or go out for dinner but still looking for something out of the ordinary.",0.9381,0.845,0.144,0.012,0.5705942205942206
2017-05-13,5.0,"Finally made it back here again about a month ago, this is really a neighborhood gem. I had the Veal Osso Bucco, and it was amazing.",0.5859,0.853,0.147,0.0,0.525
2017-05-09,5.0,"Location/Atmosphere: This restaurant is located by several other stores, restaurants, and other types of businesses in the Lincoln Park area.  Both metered street parking and valet ($10) parking is available if you are driving here.  CTA train and bus lines are super close by as well.  The interior of the restaurant has several tables and a full bar for seating purposes, but a reservation is highly recommended since it gets pretty crowded.  The exposed brick and relaxed lighting provides an ideal atmosphere for a date night.   Drinks: This place has a nice wine list (mostly by the bottle), but there are cocktails and beer on the menu as well.  The negroni I ordered was well done, and the sazerac was amazing.  I would rate the sazerac to be a 10/10 due to how well balanced it was.   Food: We shared the fried calamari, and I ordered the black linguine as my main dish.  The fried calamari was put on top of a fresh marinara sauce and topped with chopped olives.  This is an appetizer I would likely get again during another visit.  The black linguine is a great option for seafood lovers and has a fantastic flavor to it.  Service:  Our waitress was pleasant, and we received our dishes within a reasonable amount of time with no problem.",0.9957,0.718,0.252,0.03,0.5874305555555556
2017-04-14,1.0,Service is snotty and unfriendly. Took forever to get the food and the order was incorrect. Too many other great Italian places in Chicago.,0.3818,0.769,0.143,0.087,0.40625
2017-04-01,5.0,"IMHO, Tarantino's is a lovely restaurant that one can happily return to time after time.  The owner, John, and his staff are always gracious and welcoming. The Chef does a great job turning out consistently excellent dishes served in surprisingly generous portions.  We have enjoyed Tarantino's for both cozy meals for a couple as well as larger groups. Highly recommended!",0.9872,0.568,0.432,0.0,0.7211111111111111
2017-03-04,5.0,Amazing place! Delicious pasta - get the lamb ragu. Friendly service and nice atmosphere.,0.9299,0.395,0.605,0.0,0.85
2017-02-08,4.0,Tarantino's is a consistency top notch neighborhood favorite of ours. the food is consistently very good with great mix of usual Italian favorites and some unique offerings. the service is always great and the atmosphere is terrific for a nice evening of conversation and warmth.,0.9807,0.545,0.455,0.0,0.7030000000000001
2017-01-25,3.0,Came here one is our first nights living in LP. Service was nice and we sat outside. Food itself was okay. Pastas seemed a bit generic but it satisfied our hunger and were open later.,0.5499,0.759,0.178,0.063,0.42291666666666666
2016-11-14,5.0,"My friend and I had a tremendous meal here! We order calamari for an appetizer. It was perfectly prepared. We shared a delicious mixed heirloom salad and loved the vinaigrette drizzle over it. I had the salmon and my friend had the chicken parmesan. Both were delicious. We chose to bag our left overs and split a dessert- a creme brûlée. Generally, that would be too small for two people, but Tarantino's provides an ample sized creme brûlée. The service was wonderful!",0.9625,0.747,0.253,0.0,0.7181818181818183
2016-10-06,5.0,Tarantino's is one of the best Italian restaurants in Chicago. Their food is so good.,0.8377,0.621,0.379,0.0,0.30000000000000004
2016-09-04,5.0,"What a great neighborhood restaurant!  The pastas at Tarantino's are always excellent, and we have tried them all.  They're also unbelievably accommodating with minor changes, like switching out the spicy marinara for something mild or adding sausage to a pasta dish. We were pleasantly surprised at the generous portions of the appetizers too - each one is so easy to share at the table. My favorite starters were the grilled polenta with sausage and the hearts of palm salad.  And we never leave without a tiramisu for dessert, also easy to share.",0.9866,0.682,0.318,0.0,0.7796296296296297
2016-06-06,2.0,"This place looked good and had a nice ambiance, but the food was extremely disappointing.  Especially do not get any of the pizzas!",-0.4908,0.681,0.138,0.18,0.825
2016-05-15,3.0,"Went with friends last night.  Ordered Pizza and Calamari for appetizers.  Calamari was really chewy.  Pizza sauce was watery.  Not a great start. Our table had pork chops (amazing!), lemon chicken (very good) and mushroom risotto with duck -  Duck was fine but the risotto itself was both undercooked and underseasoned.  Very disappointing.  Service was professional, the space itself is great..  But not sure we would go back.  The food, particularly at this price point, was wildly inconsistent ranging from great to bad.",-0.3766,0.756,0.119,0.125,0.5590972222222222
2016-03-22,5.0,"We had four of us for dinner last Saturday night, and we had such a great night out. The service, the food and the atmosphere was outstanding! Many of us ordered steaks since we are on a Lenten diet during the week. These rivaled any of the downtown steaks easily. The dessert was also amazing! Great neighborhood spot!",0.9651,0.726,0.274,0.0,0.646875
2016-02-21,5.0,"This Lincoln Park gem has it all- great food, warm, friendly vibe and excellent service! The specials are interesting and always worth trying while the regular menu offers a few items I find tough to resist- the two sausage pizza (thin crust) is one of my favorites and the salmon is a winner as well! The menu items are reasonably priced- food and drinks. You're missing out if you don't give this one a try---",0.9722,0.663,0.296,0.041,0.4584812623274162
2015-12-15,5.0,"We love this place as they always make us feel at home.  The food, staff and atmosphere is outstanding.  You can't go wrong.  I always get the Fusilli as it is my favorite.  We ALWAYS request Sarah as she is attentive, funny and a fellow pet lover :-) If you haven't been, you need to try!!",0.973,0.668,0.332,0.0,0.8964285714285715
2015-12-05,5.0,"The girlfriend and I visited last night and had a wonderful experience. We were seated promptly upon our arrival, right on time with our reservation. We asked for bread and oil and it was great --- served with eggplant which was fantastic. We ordered a bottle of Malbec which did not disappoint and our server provided excellent service. She made great suggestions and made sure we wanted for nothing! We ordered the fried oysters for an appetizer, spicy and delicious. She ordered the pork chop and I got the lobster ravioli, both were great. Finished with a Tiramisu and went home happy. Thanks for taking care of us, we'll be back!",0.9917,0.691,0.309,0.0,0.68009768009768
2015-11-27,1.0,"Waited over 45 minutes for a table and I had reservations! No 'sorry' or offer of a beverage while we waited. Walked next door to Dee's Chinese and got a table right away. Dee's was so nice, no need to ever eat at Tarantino's again.",-0.091,0.816,0.078,0.107,0.5071428571428571
2015-10-11,4.0,"I had dinner here the other night with a large group, and Tarantino's didn't disappoint! The salad was fresh, the pasta quite good (although there was so much garlic on the one I wish I had known that before indulging) and what can ever be wrong with Tiramasu? I like that this is a neighborhood place, cute, cozy with the servers and bartenders really knowing their regulars.  And on this Tuesday night, the place was packed so clearly it is supported by the local neighborhood. Sit at the bar, sip your wine and chat with the bartender.  This is old school Italian the way it is supposed to be!",0.9533,0.787,0.187,0.026,0.42591575091575096
2015-10-04,2.0,"This place looked so cute and my family wAs so excited to try it. We had an outdoor reservation. When we arrived, they sat us inside. We figure it's kind of hot out anyway so we don't say anything. We sat for about 10 minutes before any waitress or anyone came over to us. This gave us time to already decide on our appetizers. We ordered 2 appetizers as we ordered wine. I had to ask for water 3 times before I got one. We finally got bread and she brought over our wine. We placed our orders. Anytime you waned water, you had to try and flag someone down and it seemed impossible. After a while, we almost finished our first bottle of wine and ordered another. She brought it over and was about to start pouring it into my dads glass and he had to mention to her that he needed to taste it first and didn't want her to pour it into his current glass of wine (just in case the new bottle was corked. This is just common knowledge). All of us at our table were discussing how hungry we were and how long it was taking to get our appetizers. At one point we had to ask the hostess if she could get our waitress for us because we hadn't seen her in so long. She finally came over with our meals. My dad proceeded to say thanks, but I don't want my meal yet because we wanted out appetizers first. She completely forgot. She said they had been sitting in the back and she just never went and brought them to us. She asked if she should bring them out and take back our meals. Um, no thank you, I'd rather eat my meal while it's hot than let it go sit back in the kitchen while we eat our appetizers that have been sitting for 45 minutes. I ordered the fussili, which (thank god) was amazing. The food itself was phenomenal, but I would never ever go back to this place because of how poor the service was.",0.7577,0.933,0.041,0.026,0.5151320901320902
2015-09-03,1.0,"We've eaten at the bar periodically, and although the waitresses/bartendresses always seem to have an attitude, we've enjoyed sparing with them and had a good experience. Tonight they were far more interested in impressing each other than providing service. We had to wave and speak loudly to get attention. Their excuse was one was ther for her first night and was in training. With both clustered around the computer it was a really bad experience and I hope they learned that that level of service means no tip! The restaurant was almost empty and with this level of service will likely stay that way!",0.8818,0.785,0.151,0.064,0.5854166666666666
2015-08-26,5.0,"Excellent neighborhood Italian joint. The food is great -- my roommates rave about the filet, how it's the best in the city, yada yada yada. Tried it last night and I just may have to agree -- it was super tender and the creamy mushroom sauce was amazing.  The orecchiette with sausage was excellent as well. Ended with the tiramisu which was DOPE. The portions are healthy but not overwhelming. The place has a rustic Italian feel to it, it's never super loud or super busy, but the ambiance is great. If you're in Lincoln Park and craving Italian, look no further.",0.9854,0.69,0.287,0.022,0.5481481481481482
2015-08-21,4.0,The black seafood linguini was outstanding. Very nice pizza as well. Service could be better.,0.902,0.476,0.524,0.0,0.7020833333333334
2015-08-19,5.0,"Great food, great atmosphere, and great service. I mentioned that it was my birthday when the waitress was at the table, and she put a candle in the dessert we ordered without even being asked to. I will definitely be going back!",0.9459,0.696,0.304,0.0,0.55
2015-08-09,4.0,Solid four stars.  Impressive cocktails.  I had the key lime infused gin drink which was excellent and that's saying a lot for someone who doesn't particularly care for gin. Shrimp app was great. Salad spot on. Pasta cooked just right.  One note - this place is a firm believer in garlic.,0.8707,0.73,0.221,0.049,0.6398809523809524
2015-08-02,5.0,This is the most amaizing restaurant that I have ever been to. My favorite thing to get is the regatoni. They have so many different options. I also love the salmon it is soooooo good.,0.8779,0.748,0.252,0.0,0.6333333333333334
2015-07-03,5.0,"Order pizzas, mussels or rigatoni. Great place to bring kids before 7 (rigatoni).  After 7 swank enough for a good date. Best restaurant in DePaul hood, believe me. I eat at them all.",0.9042,0.699,0.301,0.0,0.5375
2015-06-27,5.0,"Rack of lamb was amazing, beef carpaccio appetizer excellent as well. Great outside service and experience.",0.9287,0.467,0.533,0.0,0.6749999999999999
2015-06-13,4.0,"Had a quiet dinner here for our anniversary on a Wed night- it was pretty quiet since the hockey playoffs were on and this place has no TV at the bar, but that suited us fine! The wine list is decent, we had a $40 bottle of pinot grigio which was pretty good.  We started w the eggplant parm, which was really good and a large appetizer. We shared the hearts of palm salad which is HUGE and the heirloom tomato salad- this was really good- they make their own balsamic glaze in house. My husband had the salmon special served w green beans and carrots, I had the rigatoni with mushrooms and peas, and parmasean.The pasta portions are huge and fed me for three meals.  We had the rosemary potatoes and asparagus for the side, and the molten lava  cake for dessert.  This is a great place for a small group /casual family dining. Not sure if I would bring kids in the evening-unless it was really early- They open at 5 pm. Parking is street and they have a $10 valet as well. Overall would recommend this place and plan to visit again soon!",0.9933,0.774,0.219,0.007,0.5986772486772488
2015-05-27,5.0,"Found this place by accident while lost. Needed to eat before going to a play in the area. Been here many times an it never disappoints. Granted, the service can be bad when they get busy but the food is all en pointe.  Big fan of the ribeye, pasta and mussels. Really looking forward to lounging in the outdoor seating area now that the weather is nice again.",0.5606,0.774,0.13,0.096,0.4611111111111111
2015-05-17,3.0,"The food was good. The portions were a little too big and the lamb lacked flavour. However, the worst part of it all was the service! I am sitting at the restaurant as I type this and they took 10 min to remove our plates and still haven't offered coffee, tea or dessert. The servers keep walking past us without noticing and we're clearly not the only ones who look unhappy about the service. Wouldn't come back.",-0.3802,0.845,0.068,0.087,0.5259259259259259
2015-02-25,2.0,I have to say I have had better Italian food in the city. The decor was nice and the wine was good but the meal was just ok. The service was good. The tables are so smashed together you can practically eat of the table next to you! Good location and food is good so if you live in the area I would go but if you are in a car I would pick another place if you like better Italian food.,0.9789,0.712,0.288,0.0,0.45
2015-01-26,4.0,"The place was good. I'm not a huge fan of Italian food, but some of my more common food-friends always seem to drag me to one. I wasn't too disappointed with this restaurant. We arrived late on a Sunday, table for 5, all of us showing up at different times. We were accommodated rapidly, not ushered to the bar and told that the entire party had to be there.  This is a big thing for me, because I find it annoying when restaurants make you wait for the entire party, luckily I guess this place was not busy. The hostess gave her recommendations, as did our server. Our party had someone who wanted the Rigatoni without the tomatoes, not only did they leave the tomatoes off, but they switched the creamy tomato sauce out for him. Someone else in our party really wanted spaghetti  and meatballs, which are not on the menu. The server went to the kitchen and returned informing us they would be able to make it for him. So kudus for the restaurant being super friendly, very accommodating, and very fast. The food was pretty good too. Although the butternut squash ravioli, a beloved dish by my wife, was not very good, I'd pass on that. I ordered the fusili which was spicy enough, filled with sausage. We also got the arugula salad, which to me was more meh. Overall, great place to dine. Great service. Good food. Kind of pricey. I'm not counting the days to return, but if we need to go to another Italian place, this would be a consideration.",0.9961,0.752,0.21,0.039,0.5696391941391941
2015-01-16,5.0,"Consistently great food and friendly atmosphere.  Service is good, portions are generous - sometimes we'll split an entree.",0.926,0.491,0.509,0.0,0.6166666666666667
