date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Stopped in for a charcuterie platter and drinks, stayed for the best lamb of our life! So many good cheese and meat options, we didn't know what to chose. Alexandra, recommended her favorites and they all paired so well and did not have a disappointment out of the bunch. Having filled up on meats and cheeses, we decided to split just one entree. Again, we could not make a decision with all the great sounding options. Since Alexandra hit a home run on the apps, we asked her her opinion and she recommended the lamb. Hands down best lamb I've ever hand. Flavortown, USA, dynamite, out of bounds, (insert any guy fieri saying here). It was truly wonderful. In addition to the great food and drinks the manager, Jill, checked in on us frequently to make sure we were happy. It was super busy and we saw she gave the same service to all dining around us. It was great. Food: 10/10 service: 10/10 atmosphere: 10/10. Would go back any day if the week and twice on sundays!",0.9951,0.722,0.269,0.009,0.5455246913580247
2017-08-07,5.0,"Absolutely amazing! I went with my uncle and we both couldn't wait to share about our experiences. We ordered the following: meatball appetizer for the table. There's 6 beef meatballs baked with marinara at the bottom with a cheese lightly melted on top. $13 I ordered a glass of Shiraz which was really smooth.$12 I had the the lamb rack with lamb sausage, served with a spicy raisined cous cous with carrots on top. I had it cooked medium. I could've had it cooked medium well but it was so juicy and cooked well. $36 My uncle had the salmon which we served artichoke hearts (so so good). $29 This was definitely a favorite spot while visiting Chicago. The service was great. Even one of the waiters used a napkin to pour water so that he wouldn't spill. Very considerate.",0.9528,0.81,0.157,0.033,0.5549999999999999
2017-08-07,5.0,This spot was absolutly awesome.  The food was impeccable.  I had the Salmon and artichpkes  and my guest had the lamb rack with lamb sausage and coucous. Also the meatball appetizer was off the chain.  Great service and great view.,0.9231,0.745,0.255,0.0,0.8125
2017-06-01,5.0,I was coordinating a work event for a party of 15 guests. Our group made some last minute changes and 676 was able to accommodate with very short notice. Justin (manager) was very helpful and detail oriented. I'm extremely impressed with the response time and menu options this restaurant was able to provide. Highly recommend 676 for a corporate dining experience!,0.9056,0.812,0.188,0.0,0.44333333333333336
2017-03-08,3.0,Came here for Valentines day. My husband RSVP a month in advance. They said you have 48 hours to cancel the reservation​. We talked to them 72 hours and they made it sound like a prefixed menu was an option. The day of we got an email saying we had to order from the prefixed menu and if you cancel  the reservation is $70. This is something we should of been told 72 hours before when we talked to them so we could of canceled our reservation. The prefixed menu was $70 a person.  We were really disappointed. We  did not enjoy  the food on the prefixed menu. I wish they allowed us to order from the regular menu so we could of enjoyed our dinner.,-0.1333,0.861,0.064,0.075,0.48538461538461536
2017-02-26,5.0,Great food and accommodated my Gluten Free request really well. Had a fantastic ribeye burger on a Gluten Free bun. Definitely recommend.,0.9689,0.37,0.63,0.0,0.6583333333333333
2017-02-15,4.0,"I came here for Sunday New Years day brunch and luckily they had tables available. The only thing that's a bummer is that I had requested a window seat when I made a reservation and asked the girl in the morning when they just opened and she kind of gave me the ""It's first come first serve"" answer which isn't quite the case since they clearly allow and take reservations. But aside from that, this restaurant offers a wonderful view. We all got the buffet brunch since that way we could try everything. Kids under two eat for free which was nice to feed by toddlers as they liked the croissants and the omelette station here. They offer tons of cheeses, meats, pastries, bacon, sausage, the works. I especially liked their organic parfait with fruits and granola, I seriously wanted to take some home since it was healthy and delicious.  Only wish is that they added lox to their brunch menu because nothing says more than brunch than bagels and lox. I definitely would come again if I'm in the area and I don't want to splurge on the peninsula brunch, this one is a little more affordable in a very nice environment with a nice staff.",0.9874,0.792,0.183,0.025,0.6835227272727273
2017-01-23,5.0,Great apps and drinks. Huge variety of food and friendly staff. Try the Charcuterie plate!,0.8718,0.548,0.452,0.0,0.7166666666666667
2016-09-08,4.0,"I ate breakfast at the 676 Restaurant during a stay at the Omni and ordered the basil pesto omelette.  Everything was excellent from the staff to the city view to the food.  In true farm-to-table fashion, the omelette was fresh, tasty, enough to satisfy without leaving me feeling too full.  The crispy prosciutto on the side was a nice added touch to add flair to the dish.",0.9221,0.784,0.197,0.019,0.7000000000000001
2016-05-07,4.0,"Menu is very fancy you really don't know what your looking at even though it's in English and the waiters really don't explain all that well . Got the pork chop and it was excellent . Kids got chicken nuggets and Mac and cheese which they liked. Wife got soup and salad which was alright. They need to make menu less fancy and throw a burger on it , it is a bar. Very pricy for what it is.  Breakfast buffet is a nice spread a lot of stuff that tasted very fresh for being on a buffet , will make any omelet you want.",0.9359,0.837,0.163,0.0,0.496969696969697
