date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,"My mouth is watering just writing this. I now live in Seattle, WA and would give anything to have a Lou Malnati's pop up here! I know Chicago is best known for their deep dish, but I'm telling you, the thin crust is where it's at...Both are actually amazing, but the thin has the most perfect consistency and you can control how much you're eating a little easier :) My office still orders this regularly and it never gets old!",0.971,0.774,0.226,0.0,0.5597633136094675
2017-09-03,4.0,I like to get my Chi-Town Deep Fish fix when ever I'm in town. I can only handle 2 slices!! The better of the 3 major Deep dish chains in the Chi.,0.717,0.813,0.187,0.0,0.5599999999999999
2017-09-03,5.0,"Delicious pizza! We ordered ""the Lou"" and were very happy with the flavor, portion sizes and service. Definitely worth it!",0.9166,0.554,0.446,0.0,0.7000000000000001
2017-09-03,1.0,"It was not good! If you want to try Chicago style pizza, go somewhere else or get a personal size and share it with your group of ppl! :) just for the sake of trying it",0.5687,0.766,0.175,0.059,0.6333333333333334
2017-09-02,5.0,"One of my favorite pizza restaurants but the one I go to is located in Oak Park. I have never been to the one on Wells.  My location in Oak Park never disappoints.   I love the ""Lou"" pizza.  Nice clean restaurants with friendly great employees.",0.9579,0.548,0.378,0.073,0.7583333333333334
2017-09-02,4.0,"The pizza was INCREDIBLE!  I liked the efficiency of putting my name on the reservation list and getting a text notification when my table was ready. It was a little confusing to navigate to order a pizza (it was recommended to order while people wait for their table since the pies take about 30 minutes to make) and when I did, the staff were rushed and not really nice.  I got to my table and didn't get great service from my waiter. The whole operation was kind of like a factory line and not a completely welcoming environment. When I was leaving, I asked for directions to Ohio St and the employee said they were from the ""north side"" and don't know this neighborhood quite well...? 4 stars because I loved the food, but the staff experience kept me from giving it the full 5 because restaurants CAN be busy, but customers CAN get good service at the same time.",0.8767,0.843,0.113,0.044,0.5950000000000001
2017-09-02,1.0,"This is CHICAGO NOT DEEP DISH pizza. I would've rather went to UNOs for a deep dish pie. Ask any Chicago native, Giordano's or Pequods are the only places to go. Do not waste your time with this gimmick, Mickey Mouse chain if you're in search of the real deal. Was put on hold 3 times only to reiterate why I was calling only to be met with rude service. They want your credit card in case of reservation no shows? Who do they think they are a 4 star Mechlin restaurant? I think I'd rate Olive Garden over this nonsense. Service was slow, dumb and all of our pizzas came out flat and undercooked. Only thing you'll be walking away with from here is a night on the toilet thanks to the raw sausage and chewy dough. Overall bad pizza, not high thick or cooked even after I sent it back after already waiting 40 minutes. What a shame. You've been warned!",-0.916,0.825,0.053,0.122,0.45341025641025634
2017-09-02,5.0,Outstanding pizza. Different than the other major Chicago pizza chains and that's a good thing. Each major pizza chain in Chicago has a slightly different way of making their pizzas. Lou's is just delicious. Very saucy. And the crust is just amazing.,0.9371,0.714,0.286,0.0,0.625
2017-09-01,4.0,This place was super packed.  It did take a very long time to get our food.  It's understandable with the amount of people they had tonight.  The customer service was amazing if it wasn't for that I would have gotten up. I'm glad we stayed the pizza was amazing!!,0.944,0.74,0.26,0.0,0.7973333333333332
2017-09-01,4.0,"Tried Lou Malnati's and Giordano's deep dish pizzas on my first trip to Chicago. Lou Malnati's was better in my opinion by far. The ""Lou"" with sausage was our favorite.",0.7096,0.826,0.174,0.0,0.6466666666666667
2017-08-31,5.0,"Best Pizza in Chicago. The Sausage Deep dish is truly amazing, the crust is delicious. The service was excellent, attitudes, responsiveness, all 10/10. I couldn't recommend any other pizza place more than this one.  The location is superb, seating perfect, why are you still reading this? Go! And Enjoy!",0.9831,0.549,0.421,0.03,0.6975
