date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,2.0,"I had been here 2x before and I had wonderful experiences. I am not sure if they had switch the chef, but the food no longer wonderful. Almost all the dishes I order no longer ""wow"" me. What happen?",0.3224,0.674,0.166,0.159,0.9722222222222222
2017-09-01,3.0,"On a Friday afternoon service was fantastic. We got seated right away and our server tended to us kindly and appropriately. But the food is not what I remembered it being a few years ago. I got clams and linguine it was basic, flavorless (needed more salt & garlic... maybe the addition of some lemon). The pizza my husband had looked under whelming too if your looking for Italian I'd say you can give this one a pass.",0.7783,0.911,0.089,0.0,0.44508928571428574
2017-08-31,5.0,Really good food especially if you are vegetarian. The service was amazing aswell. One of the best trendy late night food in Chicago. Def recommended!,0.9229,0.613,0.387,0.0,0.7166666666666667
2017-08-31,5.0,"Delicious lunch time deal during the weekday! We got a nice lunch for $25 for 2 people. We started with veal meatballs (nice big portion in the white wine sauce with golden raisins that were very sweet and complimented the dish perfectly) and a 0.5 L bellini (very fresh and refreshing). For the pasta dish, we rooted for the one with lamb (forgot the name) and it was freaking amazing. The portion was huge for the tapas style and very cheesy. Last but not least, we had the dish with bread and an arrangement of seafood (octopus, clams, calamari, fish) and it was so yummy!! I dipped the bread in the soup and it's the italian version of tomato soup mmmmmm  getting hungry as i type this tbh",0.9528,0.831,0.155,0.014,0.6476041666666668
2017-08-30,1.0,"Horrible service,  Food is not good at all.  The food runners literally slam the plates in front of you so rudely.",-0.9122,0.574,0.0,0.426,0.7333333333333334
2017-08-30,4.0,"What a wonderful setting in a beautiful city. Outside of a light rain on our way to the restaurant, the weather was perfect for outdoor seating. The wait would have been pretty extensive had we not decided to sit outside. The service was pretty good and the meal even better. The prices are pretty decent although the portions are small, so it is comparable. This is family style so they bring the food as it is cooked so I got my dish before my husband's dish. He received his pretty soon afterwards so no issue with that.",0.9799,0.717,0.258,0.025,0.6866666666666666
2017-08-30,4.0,"I love this spot!!! I would come here for shared plates. You can eat a dish on your own, but it's so much better when you get a group of 4-6 people and order different pasta, 2 bottles of wine (pretty fairly priced instead of all just $25 and $30 bottles) and having one big, Italian dinner! I especially liked their Margherita pizza. It was so fresh. This place is huge with a nice upstairs. If you can, go during summer for their patio - I always run into people I know here.",0.9764,0.756,0.244,0.0,0.6750000000000002
2017-08-30,2.0,I want to start by saying that the pizza (that finally got to my table after waiting for 45 minutes) was fine. What wasn't fine was the service. I sat by myself outside and was ignored rather serviced. The kitchen apparaently made a mistake on my order and I was not told nor assured that my food would be coming out soon. Note to manager: there's an amazing opportunity to train your wait staff to be attentive and compensate customers who are on the receiving side of a kitchen mishap. All good....training needed!,0.7854,0.814,0.138,0.048,0.6416666666666666
2017-08-28,1.0,"I've never written a bad Yelp review. But my experience at Quartino tonight was so unpleasant, it has unfortunately merited my first one.  I've been to Quartino a number of times. Until today, I would have given it a solid 3.5 stars. Pretty tasty food, good place for a group. I went for dinner with coworkers tonight and we were having a nice enough time - our server was very pleasant, food came out promptly, most of it was good (fettuccine alfredo was weirdly soupy...).  Quartino always has a loud, bustling vibe but as we were nearing the end of our meal, the very large table of young men next to us had gotten so obnoxiously loud it was hard for us to even hear each other. They were drinking so much that we were surprised they hadn't been asked to leave. And keep in mind, this was a Monday night. One guy in my direct line of sight had gotten so drunk he was swaying and actually looked ill. You could tell he was about to throw up...and then he did. AT THE TABLE. It was absolutely disgusting. His friends just screamed and laughed and took videos of it, until finally some of them walked him outside. This was the very end of our meal, and now WE all felt sick just from watching this.  We asked for the manager who came over a few minutes later (meanwhile, the vomit still had not been cleaned up). He apologized and explained that the guy (and presumably others at the table - they were all being very friendly with the staff) is actually an EMPLOYEE!!  How unbelievably inappropriate to allow your employees to be overserved to the point of getting sick (at the table!!), in their place of work, while the restaurant is open and the dining room is packed with customers. Not only did it ruin our meal, it was SO unprofessional and shocking that it has completely turned me off from Quartino.  It used to be a go-to spot for group outings and work dinners. I will absolutely not be going back.",-0.9816,0.768,0.091,0.141,0.5963203463203463
2017-08-26,4.0,This is a consistent place where I have enjoyed many of the classic Italian items on the menu. Great pizza and pasta.  Very nice bar area to enjoy a cocktail. The cheese platter is delicious. Service is prompt. Can be noisy but definitely worth a visit.,0.9293,0.648,0.326,0.026,0.4966666666666667
