date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-17,1.0,"Not the place it used to be .. Calamari average and very small plate for the price . My old favorite, grilled veggie platter, no longer adequate . Consisted of two minuscule pieces of  zucchini, two of eggplant, one red pepper, one yellow pepper , and few tiny pieces of asparagus, all for $ 18 . Ridiculous ..... Not recommended...",0.0516,0.842,0.081,0.078,0.4053333333333334
2017-08-15,1.0,"Witnessed the owner throw a nice family out because their 1 year old was ""making a mess"". I think it was the child's birthday too! Don't have a children's menu if you aren't kid friendly. The owner should be ashamed.",-0.4973,0.784,0.069,0.147,0.46875
2017-08-15,1.0,Overheard a situation at this restaurant tonight where the owner told a family to take their toddler home to eat her spaghetti after the child dropped a few pieces on the floor.  The owner actually had the busboy wrap the spaghetti to go because children keep food on the table at his restaurant.  I was flabbergasted that an owner would treat anyone like that.  I won't be returning since this place isn't as family friendly as I once thought it was.,0.3761,0.902,0.065,0.033,0.2333333333333333
2017-08-11,5.0,This place is AMAZING!! Every dish we had was awesome!! Mario chatted with us as we came in and came to our table twice!! The head chef David came by 3 times too!! The restaurant feels so cozy like your at home.  The service there impeccable!! Karen was so great and explained and/or recommended something to us!! I truly wished I could have tried more food because it was so good!!  If you want am AMAZING meal every time...... Then MARIO's is your place!! Update as of 8/11/17!! Still amazing!! Come and try it!!,0.989,0.693,0.307,0.0,0.7833333333333334
2017-07-14,5.0,"I've passed Mario's many times but never eaten here until this week.  The food was great. Linguine with chopped clams, wine and garlic tasted great, though I prefer whole clams in the shell. My wife's salmon was cooked perfectly. A giant piece of very good tiramisu was tasty conclusion to dinner.  A very neighborhoody, casual place with many Italian standards and choices for everyone.  Mario, the owner was working the crowd in shorts on a hot Chicago night.",0.9799,0.742,0.258,0.0,0.6087878787878787
2017-05-27,5.0,Yes! Yes! Yes! You cannot beat this amazing and authentic Italian! The atmosphere is warm and welcoming. The food is outstanding ! I could go on and on about my love for this place but I will let you experience it for yourself!,0.9321,0.64,0.36,0.0,0.6208333333333333
2017-02-28,5.0,Mario's Food is really incredible! Love the Lasagna and all the appetizers. They also offer Gluten Free options! For example they probably have the Best Gluten Free Pizza in Chicago!,0.9528,0.617,0.383,0.0,0.6799999999999999
2017-01-21,5.0,"I moved to the neighborhood recently and this restaurant is so authentic I love it! I ordered the eggplant parmigiana and caprese salad for carry out. It was all perfect! I also received a ""welcome to the neighborhood"" coupon that I was able to use. Regardless I definitely think the prices are fair. I'm looking forward to ordering from here again!",0.9521,0.742,0.258,0.0,0.690625
2017-01-14,5.0,Goldcoast hidden gem! I feel like grandma is cooking in the back kitchen for you.  Everything taste great and the staff is outstanding and friendly. This is our little go to around the Goldcoast.,0.9336,0.673,0.327,0.0,0.4930555555555555
2017-01-05,1.0,"VERY disappointed - we placed an order for delivery, the total came out to $39 including tax and tip for a mediocre plate of spaghetti and meatballs and pathetic serving of garlic bread. The $9 garlic bread was a 5 tiny pieces of BURNT toast. They must not take pride in their food. In all the value of the order probably cost less than $2 and although it's expected to pay much more when ordering out, it's also expected that you're going to get quality. I will call and ask for a refund",-0.8343,0.857,0.025,0.118,0.6212962962962963
2017-01-03,4.0,"Been a while since I reviewed, but Mario's doesn't disappoint. On our most recent visit I had the veal picatta and my wife had the wheat pasta primavera. We also ordered a bottle of wine from their reasonably priced, decent selection. We've been here a number of times as a couple, and we once brought a group of about 8 here, and the service and food have always been excellent. On our last visit we came on a Thursday night and had a reservation, which was a good thing since they were full when we got there and continued to be busy until we were done. This is not really what I'd call a touristy place, but there is always a good mix of guests and the food is consistently great.",0.9743,0.831,0.169,0.0,0.5069444444444445
2017-01-03,5.0,This restaurant is fantastic and worth the trip!!! We stumbled upon it while staying at the hotel down the road. My boyfriend is from Chicago and we are here often frequenting the more popular restaurants however this was a nice change. The food is amazing!! I am gluten free and this place was the best gluten free Italian meal I have ever had. We will definitely be back when we are in town again.,0.9832,0.675,0.325,0.0,0.5407407407407407
2016-12-23,5.0,Neighborhood gem. One of my parents favorite places. Took the trek just to get my parents a gift card for Christmas. Fresh pastas and amazing pastas. The antipasto salad is on point with great cheese. Had just about everything here and never been disappointed. Usually get a special. The chef always has something g good ready every night.,0.977,0.632,0.368,0.0,0.6468253968253967
2016-12-16,5.0,"An unexpected find in the Gold Coast!  Mario is passionate about food and it shows.  Traditional Italian fare with some surprises like the past jambalaya.  I am amazed and how Mario can provide such delicious food with large portions in a pricey area at such low prices.  Remarkable.   When we lived in the city my husband and I would dine here often, it was our favorite place to have a relaxed meal. My favorites are the meatball salad, sounds weird but it's awesome.  My husband likes the Steak Vesuvio and lamb chops.  You seriously cannot go wrong with any of the pastas, the shrimp scampi is tasty and garlicky but not too heavy.  Small dining room but it really is a charming place.  I wish I could give six stars.",0.9876,0.701,0.266,0.033,0.6734335839598998
2016-12-14,5.0,Ordered delivery from Mario's Table and we had a nice experience. I had heard good things about this restaurant and wanted to try their pizza. One of the main reasons we ordered here was because they also offered a gluten free pizza crust option. We ordered one regular pizza and one gluten free one and they were both excellent! The man we talked to on the phone to place the order was very knowledgeable and polite. Our food arrived exactly on time and the delivery person was also great. We will definitely be stopping in to eat at the restaurant one day. Oh and their caprese salad and bread is yummy!!,0.9787,0.775,0.212,0.013,0.5827505827505828
2016-12-05,5.0,We had a reservation for a table of 8 on Saturday night.  Tho the restaurant was very busy they sat our group right away.  The waitstaff was very attentive on a busy night.  And Mario also stopped by to chat with our table.  Our large group tried almost everything on the specials daily menu.  All of the items were very flavorful and tasty.  Everyone in our group indicated they would return for a meal at Mario's table.  Can't wait!,-0.2942,0.971,0.0,0.029,0.4220408163265305
2016-12-04,4.0,"Mario's table has excellent food.  I ordered the chicken parmesan and my boyfriend got a veggie pasta off the vegetarian menu.  The portions were very large and service is pretty fast.  We went on a Friday night and the place was packed.  Luckily, I had made a reservation.  Be prepared, the place is very cramped and loud.  I literally had to move the table to get in an out of my seat and not knock into the person next to me.  The  squeeze in every last table in this place.  I think I would do take out from here next time.",0.9022,0.88,0.12,0.0,0.5551948051948051
2016-11-23,5.0,"Mario's is a great restaurant in the Gold Coast area. It's pretty small, but it is very warm and inviting. Parking sucks around here, but that's for every place in this area. There is meter parking nearby, but plan on making a few circles before finding a spot. You may even need to park a few blocks over. I'm assuming that the main group of customers here live in the area.  The food is very tasty. Prices are on par with restaurants for this area. Actually, I think for the semi-fancy date night vibe they got going, it's actually priced pretty reasonable. Service is awesome-the waiters are very friendly and are very good at getting what you need. The bartenders rock too-I would highly recommend ordering a drink (or two) while you eat.  I think this is a great spot to take a date or even sit at the bar with some friends. Stop by for some pasta, dessert, and/or drinks and I think you'll like it!",0.988,0.743,0.214,0.044,0.5046296296296295
2016-11-16,5.0,"I've been coming here for seven years now and have always really enjoyed myself. The service is always pretty good and the food is, too. My favorite is the tortellini jambalaya. They give you about ten pounds and I somehow manage to finish it every time because it is seriously addictive. Last week I was walking around LA and trying to figure out how I would get my Mario's fix.  Anyway, give this place a shot as it's really good. It's nothing fancy or over the top, just a solid meal.",0.9459,0.79,0.192,0.017,0.5466666666666666
2016-09-29,5.0,Love this place! Went here with a friend from out of town and were warmly greeted at the bar. Loved the vibe there. The prosciutto pizza was TO DIE FOR. The bartender John(?) (the one with the beard) made one of the best manhattans I've ever had. It was busy but he totally shredded (in a good way) the bar. I will Totally be back!,0.9211,0.722,0.24,0.038,0.49374999999999997
2016-09-26,5.0,"One of my favorite restaurants in Chicago. The grilled calamari, marios salad, Seafood Diavola, Tortellini Jambalaya and tiramisu are AMAZING!",0.8327,0.697,0.303,0.0,0.95
2016-08-04,4.0,The food here is amazing and the wait staff is attentive! Really great restaurant and a fun environment !,0.9198,0.537,0.463,0.0,0.6875
2016-08-02,5.0,"Awesome place. Absolutely great food, good  folks.  You won't go wrong here.  My new favorite secret in the windy city.",0.9532,0.466,0.534,0.0,0.7720779220779221
