date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,4.0,"Skipped the hour-long wait and got a spot at a bar table for brunch! A little disappointed that they put nuts on top of the hotcakes and don't mention that on the menu. I understand you don't want to list all of the ingredients, but you should definitely mention if they are completely covered in nuts. Also, maybe don't look so surprised when I ask for new ones. Otherwise, the food was good.",0.7727,0.751,0.154,0.095,0.5755681818181817
2017-09-03,3.0,"I stopped by for lunch in the middle of the week and they had a line of people already formed outside waiting for them to open. We were able to snag one of the last tables out on their sidewalk. We decided on the queso fundido, grill-roasted elote corn, the feature fish with tomato-morita and watercress and the grill-roasted shrimp tostada. The queso fundido was a decent sized portion and was served with warm tortillas. There were plenty of onions, peppers and chorizo. And make sure to use their salsas! Don't be afraid to ask for extra tortillas when you run out! I wish the serving dish was able to retain it's heat better so the cheese wouldn't harden up so quickly. The elote was okay. The corn was huge and super messy. The topping were good, but the roasted corn was a little over cooked and could have tasted fresher. The rockfish was really good. The meat was moist and tender, the mashed potato with chives and crema was the best I've had, the watercress was refreshing and the sauce was smoky and a bit spicy. The roasted shrimp tostadas were ok. I missed the part where it said the toppings were cold, so that was a bit of a surprise. The flavor was good and it reminded me of ceviche. The salad that came with it was unfortunately over-dressed and pretty spicy.  Overall, lunch was decent. My rockfish dish was exceptional, but everything else was just okay. Luckily, the menu is quite large so there are plenty of other dishes to try. I'd definitely skip the elote next time.",0.9895,0.807,0.163,0.03,0.5525683421516754
2017-09-01,5.0,"Great food, great service. They serve late. The vegetarian options are excellent. Highly recommend the mushroom Quixote. Also, don't skip out of the guacamole.",0.9402,0.576,0.424,0.0,0.728
2017-08-28,5.0,"I've had a drink at the bar here before, but I've never had a full sit-down dinner until now. Whoa, have I been missing out! It was as good as I'd hoped. We were on the way to the theatre, so we were on a tight schedule, and our server was so friendly and accommodating, taking our entire order at once, for example, but still managing to space out our appetizers before our entrees. We had the queso (unbelievably good), the cheese quesadillas, the goat enchiladas, the poblano cream cauliflower, and a pork tamal between us, and everything was so nuanced and delicious, even the small things, like the side of black beans with the enchiladas were spectacular. We also had tasty drinks. I'd go back in a heartbeat.",0.9687,0.826,0.155,0.02,0.49533730158730166
2017-08-26,5.0,Amazing service and delicious food!!! Always a great time!! Bar seating is the most fun!,0.9543,0.379,0.621,0.0,0.67
2017-08-26,5.0,"Love RICK Bayless' food. Every time we have dined here it has been a memorable evening! Food, service and ambiance is excellent. Hard to get a reservation. It worth the patience.",0.8655,0.685,0.277,0.038,0.6483333333333333
2017-08-22,4.0,"Having been to Xoco last time we were in Chicago, this time we opted for Rick Bayless' James Beard awarded restaurant Frontera Grill. As I was in a soup mood, we shared their famous tortilla soup ($9) and the carnes al carbon para tacos ($20). The soup was a dark broth with pasilla, grilled chicken, avocado, artisan Jack cheese, homemade crema, and crispy tortilla strips. It was hearty and delicious - the perfect soup for whether you're cold or just need a warm hug inside. We opted for the skirt steak tacos, but our server made a mistake and brought us portobello mushrooms at first. He was nice enough to comp us for the mushrooms, and we ended up having both the steak and mushroom tacos for the price of one. The steak was marinated with garlic and a variety of spices, while the mushrooms were marinated with garlic, agave nectar, and spices. Both were delicious and packed with flavor. I wasn't even that hungry, but the tacos made me eager for more.  For less than $40, we had a very satisfying meal at Frontera Grill. We would absolutely come back here (or any of Rick Bayless' restaurants to be frank). There are a lot more options on the menu that we haven't tried, and we'll just have to come back to Chicago soon to get our Bayless Mexican fill.",0.9722,0.87,0.117,0.013,0.5908333333333333
2017-08-19,4.0,"5 stars for the food, 2 stars for the service, I'm averaging that out to a generous 4 stars. The food is world-class. You will likely never eat food with that sort of attention to detail anywhere else for what you pay. It's meticulous, incredibly delicious, filling and clean tasting. My biggest issue is the two times we've been we've had underwhelming service. This past time they completely forgot to give me my tortillas for my tacos and completely neglected a large portion of our dessert order until we bothered them about it. We were met with lame, made up excuses like ""the peach empanada takes a bit longer"". Yeah. Okay. Sure. All-in-all you'll (eventually) get great food that you can't get anywhere else.",0.9153,0.762,0.165,0.073,0.6424963924963926
2017-08-16,5.0,"Another awesome trip here. This time we got: - Guacamole - Salsas - Tortilla soup - Tacquitos banadas - Ceviche trio - Fish tacos - Grilled chicken tacos The tacquitos and tortilla soup were incredible (again), as were the ceviches, although I think next time I'd be fine just getting the yellowfin tuna ceviche, which was easily my favorite. The tacos (which you have to compile yourself, as they're build-your-own) were good, but not my favorite. One disappointment was that they didn't have the incredible Mexico City-style quesadillas on the lunch menu -- probably makes this worth a dinner trip just for those.",0.8333,0.806,0.153,0.042,0.6681818181818181
2017-08-16,1.0,The hostess's were extremely professional and personable and they were able to get us a table much sooner than we expected.  The food was incredible.  And overall the staff was beyond exceptional.  What killed the experience and ruined our night was the waiter.  He was inattentive and dismissive.  To the point after ordering appetizers and drinks he never checked in or asked if we wanted to order entrees.  As a result we didn't and were anxious to leave and the only way we got his attention was to motion we wanted the check.  Every other experience at Frontera has been amazing (including going the night before) but unfortunately the experience with the waiter tonight was not.  His attitude ruined the mood of the night and is the reason we will not be going back.,-0.8548,0.881,0.027,0.093,0.5357142857142857
2017-08-16,5.0,I came here specifically for the steak salad. IT WAS AMAZING. I have now had it twice and it only got better the second time. The portion size is huge! I can't stop thinking about it. Thin strips of steak cooked it your liking accompanying crisp lettuce covered in a tangy mustard dressing and cheese with croutons that are so buttery. I would HIGHLY recommend. I wish there was a location closer to my house !,0.9687,0.734,0.266,0.0,0.6383333333333334
2017-08-13,3.0,"Frontera Grill was pretty disappointing, For all the great reviews and the raved about Rick Bayless high-end Mexican restaurant, the food was a little disappointing. The food is ok to great but lacked consistency. The service was mediocre. We arrived an hour early, had a snack next door and arrived on time.  We were seated in a spacious booth seat.  We ordered the ceviche trio ($ 24), carne asada brava ($ 29) and enchiladas de cochinita pibil ($19). The ceviche trio was the best part of the meal. The tropical ceviche was mango tuna with red onions. This was refreshingly sweet and delicious. I also liked the Frontera ceviche with Hawaiian albacore, lime and tomatoes.  The enchiladas were ok. Unfortunately the ""slow-cooked suckling pig cochinita pibil"" was dry and lacked many of the flavors of cochinita pibil such as cinnamon, cumin and orange flavors. It just tasted like a slightly dry roasted pork.  The carne asada brava was flank steak, which was a perfect medium rare with grilled knob onions. The green onion part was wrapped into a knot. The flavors were ok but a little bland. This is something that could be made at home. The best part of this dish was the sweet corn tamales. They tasted of sweet fluffy corn cakes.  Unfortunately, the service was not great. One of servers tossed my plate in front of me like a frisbee instead of handing it to me or placing it down in front of me. Some of the servers were great- explaining a dish while placing it on the table. Our waiter was very nice.  All in all, there are much better Mexican restaurants that you can spend your money on. Brave your own path to better Mexican food.",0.9978,0.726,0.245,0.03,0.592377260981912
2017-08-09,5.0,"Worth the wait. The staff will text you when your table is ready. Best Mexican food in Chicago. Great service. Patio seating.  I had enchiladas. I inhaled them. The others in my party had meat heavy dishes. Delicious. ""The Best"" Margerita really is the best.   I can wait to go back.",0.9813,0.59,0.41,0.0,0.35909090909090907
2017-08-06,5.0,"This was one of the best meals I ate in Chicago. Try a little of everything (aka share plates with your friends). Don't miss out on the tortilla soup because it will blow your mind! Great, friendly staff. Great atmosphere. Great menu.",0.974,0.583,0.417,0.0,0.5916666666666667
2017-08-06,1.0,"Wow, what a disappointment.  I'm a fan of Tortas Fronteras in O'Hare and was excited to try many of the upscale Mexican fusion dishes here.  Food ranged from average to just plain mediocre, but at very high prices. And the service was awful. It was the first time as an adult that I did not leave a tip for poor service (well, actually, I left a penny to send a message).  We had an amazing experience at another upscale Mexican place the night before. This pales in comparison. The chips were too salty and tasted like they came straight from a bag. Salsa and guac portions were stingy. My enchilada was average but it still set me down $19.  My friend ordered what he thought was a vegetable heavy dish only to receive something that was more like a mozzarella stick. He returned it and exchanged it for something else, but the waiter was not apologetic.  He ordered several side dishes instead. One of them was pretty much raw cauliflower in a cream sauce. Are you kidding me? You're charging premium prices for cauliflower and you're not even cooking it?? When we pointed out that the dish was not to our liking, our waiter did not flinch. I told him we'd like to have it deducted from our bill and he didn't even acknowledge my request--that's how I decided he didn't deserve a tip. The guy simply didn't care!  Frontera is such a joke. I honestly should have asked to speak to the manager, but I hope management sees this review and the note I left on the receipt (""mediocre food, LOUSY service, not coming back!"").",0.9543,0.766,0.15,0.084,0.5015639499389499
2017-08-06,5.0,I am a big fan of Rick Bayless. My husband and i decided to stay at chicago for few days and try this place out. The service was great and the food was really authentic mexican place like no other I have been into.   My favorite plate was enchiladas pork pibil and the tacos arabes. We also order tacos al carbon steak with delicious beans and carnitas tortitas. To drink i order Paloma and my husband Michelada even tho they dont have it on the Menu. the server was amazing. He said that he will make it for him.  Love it! If i go back i will order one more time the enchiladas rojass pork pibill!!! Yum,0.9737,0.791,0.192,0.017,0.50625
2017-08-05,5.0,Unbelievable outstanding one of the best restaurants I've ever been to. Although we had to wait it was definitely worth it. It is a must for anybody who is going to Chicago.,0.9274,0.64,0.36,0.0,0.56875
2017-08-04,3.0,"We are in town, and our friends were excited for us to try the place for lunch.  I had no really expectations.  Unfortunately,   this was just really average food.  The ingredients are fresh,  and the tortillas are house made,   but the flavors are just not special.  The guacamole is guacamole-good but average.   The salsas are good but nothing special,  and they serve a VERY small amount of them. The poblanos were non-existent in the mushroom quesadillas, and they could have used some sauce or moisture. The same for my friend's chicken quesadilla. My husband's sliced pork with mole was good and the sauce had a good depth of flavor.  Lunch for 4 with tip topped $200. I expect more flavor for that.",0.8288,0.804,0.127,0.069,0.5525238095238095
2017-08-03,5.0,"Loved our meal here.  They were able to accommodate our two kids no problem, and the kids meal portions are huge. We still talk about how good the ceviche trio was.",0.6369,0.65,0.227,0.123,0.7312500000000001
2017-08-03,4.0,This place is wonderful and the Baja tacos were really good and done properly. I would come back again and other something new to try. This is a really good place to come. Great for lunch. Mexican food done right.,0.9347,0.706,0.294,0.0,0.44152597402597404
2017-08-03,3.0,"Visited Chicago last week and made reservations way ahead of time.  Big fan of Rick Bayless from Top Chef Masters.  great ceviche and sangria.  However, my skirt steak tacos ordered med rare was iced cold.  Sent it back came out warm but well done.  They comped the entree but so disappointed.  I expect that from an inferior chain but not from a Rick Bayless caliber restaurant.  If it wasn't for that I would have given a better rating",0.1313,0.745,0.153,0.102,0.5166666666666667
2017-08-02,2.0,"Man...I so wanted to love the Frontera Grill. Quick trip to Chicago and have always wanted to try here. People line up an hour before it even opens in order to get a table. We stood in line for like 5 minutes and got a time to come back for dinner. I wish that I didn't come back. To be honest, my experience here was below average. The food was...meh. I got the skirt steak tacos. They were undercooked, bland, and just pretty much run of the mill. My dining partner got the fish and she said that it tasted like something from a musty aquarium. Pretty disappointing. In all fairness, the guacamole was really good. All in all just pretty disappointing and average.",0.9677,0.754,0.201,0.046,0.5888888888888889
2017-08-01,5.0,"Best place to eat in Chicago hands down. Whenever we go it's always the ceviche trio, guacamole, and our own entrees to share.",0.7506,0.766,0.234,0.0,0.5296296296296297
2017-07-31,3.0,"Overall:  Pretty underwhelmed by my experience at Frontera.  I've eaten at Red O in Newport Beach a couple of times (Rick Bayless is the culinary director for Red O) - and it has always been a totally memorable / unique experience.  I don't feel that way at all about Frontera, despite its fame & hype. Wait Time:  The best part of our experience here - the opportunity for a (party of 2) to sit at the chef's counter.  At 8:45 PM on a Wednesday evening, the wait time for a table was 2+ hours...but we were able to sit immediately at the counter!  I was starving and grateful for this option.  Plus, it's always fun to be in the thick of a busy kitchen watching chefs at work. Drinks:  I had the Oaxaca Tropical ($13) which was rimmed with an excessive amount of salt to the point that at first, I could only describe my cocktail as ""salty"" - it was overwhelming and totally took over the flavors of the drink.  When my tastebuds did recover, it was a great drink, with lovely presentation.  Later, I had the Moody Tongue (local brewery) sliced nectarine IPA. Food: This is where things really get hazy.  We shared the Chef's Choice guacamole - I pulled up the restaurant menu in the hopes to remember what the ingredients were, but a different guac is listed on the site right now.  It was pretty boring, and tasted like...normal guacamole.  I had expected to be wowed with flavor that could stand up to the ""Chef's Choice"" description, but those flavors fell flat.   As for my entree, I had a grilled shrimp dish - but I can't remember how it was prepared or what the flavors were.  It too was unmemorable and just ""fine"".  Nothing to write home about. Service:  Another highlight!  Our server was totally energetic and enthusiastic, and he was quick.",0.9847,0.845,0.129,0.026,0.523251488095238
2017-07-25,4.0,"I've been to Rick Bayless' two restaurants in LA and really loved both, so when I saw Frontera Grill was near my hotel, I knew we had to go. We came Saturday morning and stood in line before it was open for brunch. Thankfully, even without a reservation we were able to get in and were seated immediately. Since it was a nice day, we opted for an outside table. Service was excellent throughout.  I had the Mexican hot chocolate, which was better than any I'd ever had, and my running partner had a cocktail. He had the chilaquiles and I had the famous tortilla soup and the taquitos banados. Both were excellent choices. I'm so glad I had the opportunity to eat at one of the original restaurants... excellent meal and a wonderful experience.",0.9886,0.759,0.241,0.0,0.7171875
2017-07-22,1.0,The worst Mexican food ever. Tasted like it was commercially prepared and reheated. Tourist trap for sure.,-0.1779,0.478,0.267,0.255,0.4722222222222222
2017-07-22,5.0,"Hello,FOOD SNOB here.  Simply put, Best Mexican food I ever had. Best Ceviche. Great environment. Great service. Great Appetizers too. Again you cant really go wrong when your downtown. Everything good here.",0.9739,0.433,0.496,0.07,0.523015873015873
2017-07-21,1.0,"Yikes. Presentation was way off. I also like spicy food,  but the enchiladas were just spicy without any flavor. The black beans were good but the chicken was rubbery and every other bite had cartilage and bone fragments. The five people I ate with were similarly disappointed. I was really looking forward to a wonderful meal. Now I'm just hoping I don't end up puking the next three days.",0.9216,0.73,0.218,0.052,0.5385416666666667
2017-07-21,1.0,"Would give zero stars if possible. This is one of the worst restaurants I have ever been to. The food was disgusting. Seafood was nasty and fishy taste. Enchiladas looked like someone did  diarrhea on them. Chicken was rubbery and filled with bone and cartilage. All of the food was not hot. Spicy when we were told not spicy. When all six people you are eating with don't like their food, something is not right. Seriously awful. Overpriced. Tourist trap. Go elsewhere.",-0.7508,0.765,0.094,0.14,0.9150793650793653
2017-07-21,5.0,"First let me say, David was our waiter and he was Great (with a capital G).  We had a group of 7 and all of our food was simply delicious - ceviches, enchiladas, tamales, tacos, and dessert.",0.8316,0.799,0.201,0.0,0.6944444444444443
2017-07-20,5.0,Simply is the best Mexican food .And the waiter was absolutely outstanding he recommended margaritas and it was so good. Anybody from Chicago or outside should go there at least once a year.,0.936,0.662,0.338,0.0,0.36887755102040815
2017-07-19,3.0,"Yup this is definitely a Rick Bayless restaurant with the many mezcal options, and smoky/spicy flavor profile within most dishes. Reservations are hard to come by (I think mainly because they save only a limited number of spots for reservations), but if you decide to make one (which I recommend unless you want to wait an hour) be prepared to still wait a few mins for your table, which is what we did. The space actually isn't huge so it was understandable I suppose. The ambience is pretty loud and bustling. I could hear the people next to me but not one more person over (was in a group of 7). The service was good. For drinks I ordered the house margarita which was delicious (albeit kinda small). It packed a punch though and I would get it again. For food I got the cheesy quesadilla/empanadas which was good! (But I mean it's cheese...so of course). And for my entree I ordered the halibut. The dish was cooked perfectly and the portion was generous. I like that corn tortillas are served for the table to share as well. The green rice that came with it was delicious and the green sauce was good, and definitely had a kick to it. The complimentary guacamole w/ chips and salsa was great (prolly my favorite part of the meal honestly). All in all everything was good. But I think for me personally I'm not in love with the smoky spice flavors that Bayless knows and loves. And I'm also not in love with the hype around everything having to do with Rick Bayless and subsequent prices and wait times associated with that. I'm glad I checked it out but onto the next for my future dining out endeavors.",0.9973,0.713,0.247,0.041,0.5813988095238096
2017-07-17,4.0,"I think people let their expectations get the best of them. This was really good mexican food. Simple and well prepared with a few modern twists. You really can't go wrong with anything on the menu. Came for Sunday brunch and had an excellent meal. A bit pricey for the portion sizes. But hey, this is downtown Chicago and a celebrity restaurant. Drinks were perfect and service was friendly. What more can I ask? We had a great meal and left perfectly satisfied.",0.9881,0.648,0.352,0.0,0.5219387755102041
2017-07-13,5.0,"My family is low-key obsessed with Rick Bayless (we didn't have cable so we spent a lot of time watching his cooking shows growing up) so I was excited to get a chance to dine at his restaurant when I was in Chicago for the first time as an adult. The Palomas are worth the money - my favorite Mexican drink any time of day - and the food didn't disappoint. My dad had the pork tacos and I had the fish special. The sauces are flavorful and have a little kick, but not 'burn your mouth' spicy. The atmosphere in the dining room was just what I expected - good music, lots of people having fun, and an excellent, attentive waitstaff. I am looking forward to returning!",0.9679,0.799,0.19,0.01,0.516984126984127
2017-07-12,5.0,"This is absolutely one of the best Mexican restaurant I've been to. The quality of food and flavor is exquisite. Drinks are great, the sangria and the mango paleta: excellent! And don't forget to ask for the queso fundido to start. Out of this world!!!",0.9416,0.734,0.266,0.0,0.6583333333333333
2017-07-09,4.0,"Our waiter quickly came by to give us our menu and a bowl of spiced nuts. Although it looked really spicy, it actually tasted quite mild. To start, we decided to get the guacamole and house-made tortilla chips. The dish came with two types of salsas. I also tried the Frontera hot sauce with the chips. Even though the salsas and the hot sauce looked very intense, they were also very mild. For our mains, I went with the ""tamale of the day"" while my girlfriend went for the chicken enchiladas. Both of the dishes came with different types of mole. The mole on the enchiladas was a bit spicy and the chicken was cooked well. The ""tamale of the day"" was braised goat with mole poblano. The mole was a bit sweeter than the one on the enchiladas. The masa around the goat filling was a bit thick and was very filling. The goat, on the other hand, was very tender and delicious. The dish weirdly came with arugula salad. The dishes offer diners an introduction and a good stepping stone to authentic Mexican cuisine. A very solid spot in the city.",0.8793,0.898,0.079,0.023,0.5752380952380953
