date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-26,5.0,"Easily the best meal, and single greatest dining experience I've ever had. I'd never been to a Michelin star restaurant, and had been looking forward to this visit for a while. The service is absolutely A+. The staff moves in perfect symphony as they bring out each course, and clear the last. They were very informative, explaining each dish in great detail. Their wine list was a bit overwhelming. I know little about wine, and it took a bit to figure out something familiar. I highly suggest doing the wine pairing and leaving it up to them. Bill came out to $650 after tip. Well worth every penny.",0.9756,0.789,0.211,0.0,0.559174603174603
2017-08-16,5.0,Such a great place with amazing food. The service is immaculate! The desert we had had flakes of gold in it and was super tasty! The interior is a bit more on the modern side although the art is really fantastic!,0.9557,0.679,0.321,0.0,0.6452380952380953
2017-07-25,5.0,"***this review is for the dessert tasting menu only*** As I was reading up on articles pon de internet regarding the best desserts in Chicago, I stumbled across a review of Tru's dessert tasting menu. I was mind blown (although I shouldn't have been) that Tru even offered such an experience. Nevertheless I was thankful that I would be able to partake in some aspect of Tru's cuisine without spending over $100.  The dessert tasting included 4 actual courses, with complimentary madeleines and one surprise amuse at the very end of the ""meal."" Totalling just under $55 (including 20% gratuity), this deal is a major steal as far as dining at a restaurant that currently has 2 Michelin stars to its name. When I called to inquire about the reservation for a dessert tasting, I was shocked to find I could partake in the sweets at any time during dinner hours - as opposed to the latest times for dinner that several articles mentioned. Thus, I opted for a 7:30 res. The receptionist gave me the choice of seating in the gallery (lounge area) or the main dining room. If I chose the latter, a jacket was required. Clearly I decided to don my jacket as I never shy away from an excuse to get fancy.  Stepping into Tru was surprisingly thrilling. In fact, other than GT Prime, I can't recall another restaurant in Chicago that literally took my breath away upon first glance. Tru doesn't even feel like a restaurant, rather, a fine, French art museum that serves equally artistic cuisine.  There were sculptures, paintings, and other very abstract and utterly stunning pieces randomly placed throughout the lounge and the dining room. Even the playlist (which I will never stop trying to get my hands on) was stunning. I have never in my life heard sounds like the music played at Tru and I have been on and around stages since the age of 4. A host of servers escorted me to my seat and thus began my ascension into culinary heaven.  I truly loved each and every one of the desserts here: 1) ruby grapefruit + fennel consommé + aged balsamic: tart, bitter, sweet, tangy, spicy all at once. A+mazing. 2) mango + lemongrass + ginger + carolina rice + honey + gold: sweet, creamy, citrus, crunchy. Magnificent.  3) madeleine + orange zest: fresh, warm, fluffy, sweet, zesty. Dangerous.  4) dulche de leche + banana + dark chocolate: chocolatey, bright, dense. Sinful.  5) mignardises: Incredible.  6) chocolate sphere: Holy. Righteous.  After finishing the desserts, I decided I would definitely return again for dinner. If Executive Chef Anthony Martin can blow my mind on desserts alone, I can't imagine the response I would have to his dinner courses.",0.9943,0.794,0.162,0.044,0.5383333333333332
2017-07-11,3.0,"First of all- the service at this place is 5 stars- and it should be- it being a two Michelin star restaurant. The reason I give it 3 stars overall is for the combination of the food and decor/ ambiance of the place- if I'm going to drop over $700 (for two people with the wine pairing) I expect 5 stars across the board (for the service, the food and the ambiance). When you're at a Micheline star restaurant I hope to be on a journey while dining- each course should make you feel a certain way- each dish should open up your palate, the ambiance and decor should make you feel like you're somewhere out of this world~ It may seem like I'm describing a feeling you should have while you're on some kind of ""drug"" but in a way great interesting food should put you on a natural high.  Each dish that came out honestly tasted the same- each protein dish whether it was the scallop, the cod or the chicken all had the same texture and flavor combination. The wine choices that were paired with the dishes didn't do anything to help open up the flavors since the dishes all had the same flavor combination- Favorite- the mussels with green curry, the bread and butter (honestly it's hard to find really really good bread and butter- their butter was extra soft and salty cause of the goat milk) they served the bread during the soup course. I loved the bread so much I asked who baked it- surprise! they don't bake it in house- they get it from somewhere else- that also explains why it was so good-  My all time favorite was one of the last dessert dishes they served - Passion fruit chocolate explosion! It's small but when you pop the chocolate in your mouth the passion fruit juice just explodes in your mouth the and the flavors are amazing! I only wish every dish was this fun  Last but not least- the decor- it's like an 80's hotel lobby and I'm not sure why they have green apples on a shelf and also spot lighted! Are these some special fancy green apples? It's by the hostess stand- I was perplexed when I saw three green apples lined up on a shelf.  Also something that felt awkward was the presentation of the bowl that was filled with shredded white paper where the passion fruit chocolate sat on- I'm a visual person so plating and ambiance is really important to me- not everything has to presented with fireworks but if you're going to go simple then the food better be amazing so I can only focus on the food  So- If you're going to drop over $700 for dinner- I suggest you try Alinea, Orioles, Grace, or El Ideas first- I've been to all of them and you won't regret it!",0.9985,0.779,0.197,0.024,0.5207407407407406
2017-07-02,3.0,"Maybe it was just the prix fixe menu we got during the spring of 2017 or the expectation of a meal worthy of 2 Michelin Stars, having been to a few 2 and 3 Michelin star restaurants in New York and Europe; but the overall food was underwhelming and could use a much more diverse array of flavour profiles Don't get me wrong, the service was amazing, but the food has lots of room for improvement. The website set us up for a disappointment. It showcased plates that were deceptively beautiful and potentially delicious (you eat with your eyes first), but the actual food we received was far from expectation. For those avid Instagram foodies out there, this menu was not gram-worthy haha Came here with my fiance and we shared everything. You'll definitely be full after the full prix fixe menu which costs $158 USD per person - one of the more ""affordable"" tasting menus if you can call it that :) amuse bouche: started with a complimentary biscuit and puffs of some sort. presented nicely on some perforated wood, but flavour wise, it was cold and a little dry. would have been nice to have been warmed through. Not exactly a great start to the meal with flat flavours and odd textures. mache, celery, summer truffle, rhubarb: this was actually really good. It was slightly tangy and the celery flavour cut through without overpowering the rhubarb. we enjoyed the mixture of textures and it set our expectations for the meal high.  complimentary bread & goat milk butter: this was pretty good! a small fresh loaf of in-house made bread was provided alongside a dish of homemade goat's butter. butter was delicious and was very generously provided (for those who like to slather it on) english pea soup, créme fraiche, brioche: a little too salty, but to each their own. nice refreshing pea flavour. Fiance enjoyed the brioche which came topped with a fois gras mousse. It was quite rich but also quite tasty. aromatic mussel velouté, green curry: Nice seafood flavour that is presented well. very reminiscent of the ocean - I enjoyed it, fiance found it too salty  diver scallop, lily bulb, yuzu koshu sauce: good combination, with a nice citrus touch from the yuzu sauce. really enjoyed this. scallop was perfectly cooked. roasted halibut, barigoule sauce, parsley: fish was very well cooked (i.e. not overcooked) with a good sauce to accompany it. enjoyed this dish. veal tournedos:  this dish was OK. it came with a jus that had some tapioca pearls in it, as well accompanied by a root mash of some sort. It really wasn't anything special and really missing a 'zing' factor. Would have subbed this out.. green asparagus + morels in pastry: would say this is where it started to go downhill from a flavour perspective. flavourless and something you would definitely NOT expect to be served at a 2 Michelin Star. No creativity to this dish and horrible flavours. The morels were probably the best part and should have been highlighted better. wheatberry, crisp garlic root, micro scallion: the pictures speaks for itself. it was a bowl of salty mush. would avoid this altogether unless you need an injection of fibre and sodium. ruby grapefruit, fennel consommé, aged balsamic: This was quite good and very refreshing after a pretty salt-heavy meal and rich meal. The acidity was MUCH needed, especially since there was almost zero acidic balance in the previous dishes.  mango + lemongrass + ginger, carolina gold rice, honey: This was actually very good. Really good ginger flavour without being overpowering, and a nice hint of mango and lemongrass. Very light dessert and would definitely recommend. dulce de leche, banana, dark chocolate: This was nice and rich, and was definitely one of the highlights of the meal. Hats off to the pastry chef as the dessert courses were THE highlights of the meal, both taste-wise and visually. Passion Fruit explosion Chocolate: This was THE best part!! There's a few reviews that says how delicious the chocolate at the end, and I couldn't agree more! This comes out on top of a small bowl of dry ice (giving it a smokey effect) with some shredded paper underneath. You are instructed by the server to put it in your mouth in one bite and let it melt. You do this, and you get surprised by a nice burst of fruit juice that is not too sweet and blends perfectly with the thin dark chocolate coating. yum! Petits Fours: This was okay. Something nice to throw in at the end... came with a jelly, which was way too sweet (reminded me of a top chef episode where someone made this and came out way too sweet), as well as a small cake and a dark chocolate filled with liquor. Nothing out of the ordinary, and could have had more of a 'wow' factor to leave you wanting more or wanting to come back. Overall, the dining experience was nice, it's a very intimate atmosphere with great, attentive service. However, half the dishes could have used something to make it pop and to really take the flavour profiles to the next level.",0.9998,0.701,0.26,0.038,0.6034247835497838
2017-07-01,3.0,"The restaurant is over priced. My husband and I went there to celebrate a special occasion. For starters, the crowd was kind of sterile and lacked any diversity. The restaurant was also half empty when we went. We didn't think much of these things however, and looked forward to the meal. We got the tasting menu with all the bells and whistles. The best course was the halibut. Some of the courses were extremely salty (such as the veloute). They were salty to the point that we couldn't taste any other flavor. The portions were also extremely small. For example, when we got the scallop course- it was literally just one scallop. Our total bill came to about $450 (without tip). Bottom line is that the food is not that great and the restaurant is sterile. To be honest the restaurant lacks personality. The positive is that it has great artwork and does truly ""feel"" like a 2 Michelin star restaurant.",0.9383,0.825,0.128,0.047,0.573903318903319
2017-06-22,5.0,"Amazing food tasting experience!! This is a 2 Michelin star restaurant that lives up to its name. The ambiance is elegant and classy. The staff members are spectacular. Watching them serve us during the 3 hour full menu tasting course was like being at symphony, each member worked in harmony to deliver amazing visual and tasting experience. Each course contained flavors and textures that complemented one another. I cannot recommend a favorite dish as they were all amazing. If you decide to come here I recommend the entire tasting menu. It will take about 3 hours but well worth it. At the end of the dinner we got the chance to walk through the kitchen where the magic happens. Overall, a upscale classy French/ American restaurant where your taste buds will achieve nirvana.",0.9632,0.778,0.187,0.034,0.645
2017-06-17,4.0,"Tru was a true experience, pun intended.  My wife and I experienced this Michelin 2 star in our neighborhood on her birthday which fell on a Friday in June. Chronologically, the evening started late at 9 pm (but I suspect that is a great time on Friday given the crowd), and we checked in and were swiftly taken to our seat in the center by the booth. My first reaction was that the large room was spacious, elegant, and minimalistIc which forces attention on the service and display of food.  The day before, the restaurant confirmed details and so our menu was customized with a Happy Birthday message to my wife, which she naturally loved (the details matter and Tru did well on this front). We went with the prix fixe menu and selected each item at the start of our dining experience. The one recommendation I have for the staff is a willingness to describe each item in further detail. After all, as an example, many diners will not understand if the aromatic mussel veloute is heavy on the curry or lightly dusted. Selection drives experience so it's imperative the staff assist diners upfront.  Before the multi course meal, we ordered caviar (they have several selections and this is an add on to the menu) and ended up with the smaller portion (10 oz). The caviar was delicious and appropriately, we were given mother of pearl spoons. Thereafter, as our prix fixe initial courses came in, we enjoyed the series that seemed to build up to the mains, the Hallibut and Veal. We went from the bread selection which was accompanied by a nice cows milk and goats milk butter mix with salt, to the aromatic mussel veloute, a soup, to the Hallibut (nice and flaky), to the veal with a creamed fingerling potato mix (really good), to the wheatberry prepared al dente (nice texture as a result), to the ruby grapefruit sorbet (palette cleanser), to the final desert, the dulce de Leche.  Other attributes to note: nice lighting (not too dark - you can see your food and partner), ideal for 2-4 in my opinion, several staff members usher in each course, and the art work is nice and the seats are velvet. Gentlemen must wear blazers or sport coats.  Overall, the presentation was wonderful, the staff was attentive and respectful, and the ambiance was memorable. I look forward to marking future events at Tru.",0.9933,0.872,0.123,0.005,0.6297924297924297
2017-05-31,2.0,"UPDATE: The manager reached out to me and was very apologetic and sincere. He recapped with me what had happened and apologized saying it was unacceptable and an off night for the restaurant. He remembered who we were as he was there the night we dined in and was clearly was aware of the situation when it happened. He assured me that action had been taken with the staff. He offered for us to come back to Tru complimentary and I'm sure it would be a better experience if we did, but I just did not want to go back to the same spot. He offered vouchers to their sister restaurant Everest instead so I accepted that. It's 1 week later and we received vouchers in equivalence for our meal was at Tru. This service and accountability from the managerial position is SO appreciated! Taking that time to understand went wrong directly with the customer and follow through with a solution is Michelin service!  Such a disappointment from the start. My husband and I were looking forward to the culinary experience Tru promised for our anniversary and it fell short of everything from service to food quality. The ambiance was nothing but plain, our main waiter was extremely slow and serious. We ordered an $80 bottle of wine (which was the best part of the meal) and halfway through dinner a random waiter took my husband's empty wine glass away. We were confused so asked the lady who had been serving us wine if it was already gone and she replied yes. Our table was right next to the wine station and I saw her check the bottles and pulled ours out still half full. She did return to apologize about the mixup, but really?! We had to finish much of our wine with dessert since it was missing for so long! I had the regular menu and my husband did the vegetarian, both lacked any sort of flavor. A few dishes were okay but nothing worth this kind of price. To top things off, they skipped one of my husband's courses and it was very clear they realized because 3 people huddled right near us discussing and staring at us for at least 10 minutes. Once they figured out what they missed, a random waiter came to our table saying we have ""an intermittent course"" and then dessert-their way of covering it up. The only 2 memorable things from this dinner was the wine and the cheese, both things we paid extra for (cheese was $20 for a sample of 3). So very disappointed.",0.9498,0.827,0.106,0.067,0.3918543345543346
2017-02-28,5.0,"Well, it has been precisely two calendar months since we late ate here on New Year's Eve 2016/17 and it has been calling out to Mitchell for another visit.  We'll be enjoying a stellar bottle of 2002 Krug Brut Champagne.  Une ode à la nature, la générosité des fruits; l'histoire charismatique de l'anée 2002.  Can you read French?  That's what it says inside the box the wine came in.  I reckon it says something on the order of ""An ode to nature, the generosity of fruits; a charismatic story of the year 2002.""  To pair with other items on our menu, Mitchell selected a half bottle of 2009 Sassicaia Supertuscan from Bolgheri / Tenuta San Guido.  Now, about the menu, we'll dine on prixe fixe, so here's the complete menu for tonight: PRIX FIXE 158 Chef Anthony Martin -     28 February 2017 red ace beet, granny smith mousse The beet was fabulous, never ceases to amaze us how wonderful the lowly beet can become in the hands of skillful artistry. butternut squash soup, brown butter, truffle cream or aromatic mussel velouté, green curry I had the butternut squash soup, which was, simply, ""to die for.""  Mitchell loved it too, and had at least three spoonfuls of mine, ending with me finding the cubes of squash at the bottom of the bowl and sharing one of those with him, too. Vidalia onion tart, Périgord black winter truffle Memorably delicious, the pastry dough was perfection, the onion was wonderfully savory, and the shingled covering of black truffle gives one a true appreciation for the gifts of the soil. Scottish salmon, fingerling potato, oxalis spiced cervena venison, celery root, baked pear, cocoa jus Perfectly cooked (sous vide?) venison, please see the photo which I hope captured how it was done perfectly nearly to the very outside.  The pear was a great match, as was the celery root which was downright fruity but not sweet. jidori chicken, farro, sunflower sprouts  or wheatberry, wild garlic root, micro scallion I had the wheatberry, which, frankly, was okay, but to me, a bit too chewy, and perhaps a tad too salty for my needs this evening. ruby grapefruit, fennel consommé  young coconut tapioca, passion fruit, yogurt sorbet, marcona almond or alba white truffle, chestnut, acacia honey VOCABULARY TONIGHT: Velouté is one of the ""five mother sauces"" of French cuisine, as defined by Auguste Escoffier.  It is made by combining a light stock with a blond roux. Vidalia onion - a variety of sweet onion named for the city of Vidalia, Georgia.  In the 1970s, they were advertised on southern radio to the tune of ""smoke smoke smoke that cigarette,"" but with a man singing ""eat eat eat Vidalia onions."" The Black Périgord truffle (Tuber melanosporum) is the second-most commercially valuable species, named for the region in France where it grows with oak and hazelnut trees. Black truffles are harvested in late autumn and winter. Oxalis -  leaves of a member of the wood sorrel family Cervena Venison - brand name of deer meat from New Zealand -  cervena.com Jidori chicken refers to a type of mixed-breed domestic free-range chicken known for its robust flavor. Farro is a type of grain with a nutty flavor and ancient roots.  It may be any of three species of triticum, known specifically as spelt, emmer, and einkorn.  Wheat is also in the genus Triticum. Marcona almonds are said to be the ""Queen of Almonds,"" and are imported from Spain. They are shorter, rounder, softer, and sweeter than those of California. Alba white truffle - found mainly in the Langhe and Montferrat areas of the Piedmont region in northern Italy.  Peak period for marketing them is in October and November. -   -   -   -   -   -   -   -   - Tru also has the following caviar offerings at present: Golden Imperial Ossetra Kaluga RUSSIAN ROYAL IMPERIAL OSSETRA RUSSIAN OSSETRA CALIFORNIA WHITE STURGEON Italian Royal Ossetra Keta Salmon Roe Natural Trout Roe Wasabi Tobiko Those Mitchell selected to enjoy are in ALL CAPITAL LETTERS above. wikipedia has a good article on the basics of caviar, including a list of true caviars, most of the above are found in/on it.",0.9935,0.887,0.095,0.017,0.434255198353559
