date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,3.0,"A total hidden place that's located in the basement of an office building. No frills type of place that offers authentic Korean eats! Upon my first visit I was feeling a little bit of a variety so I tried the  kimchi soup, bibimbap, and pho (both the meatball and steak). I definitely would stick to Korean when coming here; although they offer Pho, the flavors didn't seem as authentic as typical Pho places. The pho broth was flavorful but it was the meat that threw me off... Back to the stars here; focus on that spicy, tangy, and full of meat and veggies Kim chi soup! This soup will compete with the top soups of there as it has just the right amount of spice, enough ingredients to make it filling, and perfect on a colder day! Their bibimbap also was a hit as it was  packed with fresh veggies and enough variety to keep even the most pickiest of palettes pleased.  If you're in the loop and craving a quick Korean bite, make sure you swing by here!",0.9621,0.876,0.115,0.009,0.5424414210128495
2017-08-29,4.0,I ordered Pho and Bibimbob. Satisfied. Very good. This place was hard to find though..,0.6801,0.598,0.326,0.076,0.773888888888889
2017-07-17,5.0,This is my favorite Korean restaurant in downtown! The food is very good and stuffs are really nice! Highly recommend  (gomtang) here! For people who don't like to eat artificial food this is the right spot!,0.9081,0.665,0.29,0.045,0.8092857142857143
2017-07-14,5.0,What is it about Korean food that makes it so addicting? Well this place is close to work and satisfies my bibimbop cravings! I keep meaning to try the pho but once I get there I just have to have the bibimbop. Yum!,0.4893,0.901,0.099,0.0,0.0
2017-07-11,5.0,The one of the best pho in Chicago downtown was right there. The taste made me remember my grandma's beloved dinner when I was 7 years old. I satisfied both tastes and price. There is also a option for vegetarians and a bunch of Korean style stews.,0.8834,0.791,0.209,0.0,0.6071428571428571
2017-06-13,4.0,"For being a Korean fast-casual spot in the Loop, this underground place is good enough for me! I had the bibimbap bowl (about $8.95): The portion size was pretty good, it came with all the classic toppings and the taste was pretty authentic. They also serve kimchi (the spicy pickled cabbage side), but that cost is extra (sad face). This place is not found outside on the street. You'll have to enter a building, follow the signs and go downstairs to find this. It shares space with 2 other fast casual spots. There is probably enough seating for maybe 10-20 people, mostly small tables. The food came out pretty quick, so this was perfect for lunch.",0.9688,0.818,0.182,0.0,0.611574074074074
2017-06-10,3.0,"The name is skeptical! Should not order pho here. If your name has pho in it, the pho better be on point. The pho wasn't good, not authentic, and they put too much noodle in the bowl which ruins the broth. Anyway, this restaurant is Korean owned, so you should order the Korean food. My dish that I ordered was the kimchi stew, which was delicious.",-0.0767,0.805,0.089,0.106,0.5357142857142858
2017-06-01,5.0,"The kimchi stew is awesome!! This place is a few blocks from my work, and it is a great spot for a quick, inexpensive, tasty meal. It is a pretty good spot for authentic Korean food downtown!",0.9357,0.621,0.337,0.042,0.6714285714285715
2017-05-08,4.0,"This hidden gem came to me on a hungry lunch day. Downtown can be quite overwhelming with all of the choices you have. Anything you feel like eating seems like it is just around the corner. Which I found to be seriously true. I was this sign affixed on to a building saying ""green apple PHOever"" with an arrow pointing down into the building. This place is located in the downstairs of a random building so you wouldn't be able to see it from street level. If you blink, you might miss it.  I get the special pho, it comes with meatballs and sliced brisket. The only thing I wished was tat it came with more meatballs since mine always comes with just one. The pricing isn't too bad considering that we are downtown. They also serve Korean rice plates such as Bibimbap, bugolgi with rice and veggies. The service is super quick and with all of the accouterments. As you might already know, I enjoy doctoring up my pho and it is conveniently on the table to add to my pho as I please. I like this place and its a great place to go for a quick bite to eat and not too hard on the pockets. Nothing too fancy for lunch, its perfect!",0.9839,0.834,0.152,0.014,0.5996658312447787
2017-05-04,3.0,Enjoyed my meal.  It is kinda of awkward getting to and dining area is dated.  Food was good and service was prompt.,0.7076,0.716,0.234,0.05,0.7666666666666666
2017-04-29,3.0,"I've had the chicken bibimbap and the seafood pho here. Both were okay, but my seafood pho had little actual seafood meat.  My coworkers come here a lot and enjoy the soups, so it's a safe bet for lunch during the winter. The place itself is a bit hidden since it's located in the basement level of some building, but there is ample seating space down there. It's great for those 3+ people lunch groups since the tables can easily be joined together.",0.9626,0.8,0.2,0.0,0.5255555555555556
2017-04-14,5.0,awesome bibimbap! Even more flavor when you pick the spicy chicken on top of it. Their japchai also very satisfying but light and flavorful with veggies and lots of green onions. Their chicken pho with vegetables is the best thing to eat when you're hungry but need energy and a pick me up. My favorite thing about this Korean joint is their service and attitude with which they serve-i feel their warmth and hospitality. I usually cook-but when I don't bring lunch to work-this is always my go to place :),0.9795,0.749,0.251,0.0,0.7041666666666666
2017-04-03,4.0,"Good pho, and great value. Quick and cheap. Lots of noodles and extras and they pack it up nicely to go.",0.9062,0.58,0.42,0.0,0.71
2017-03-16,5.0,"This place was tough to find if you aren't familiar with the city, which was my case. The place is in a food court downstairs from an office building. Has a lot of double tables and is generally clean.  The food is great! But what I love the most is that it was extremely fast! Great place to get a quick lunch, specially on a cold day!",0.9498,0.762,0.217,0.02,0.6121212121212122
2017-03-02,4.0,"New guy at the office in the Windy City. It's cold and rainy outside. Lunch time rolls around. Guy in the cube over from me goes... Dave, you're asian! You must do Pho! Let's do Pho! Being a fat kid in a small asian boy's body, I didn't have to be persuaded.  This is the most random place ever (then again, still new to the Chicago). This eatery is in the basement of an office building. Like, in the basement. ARE YOU SERIOUS? I was extremely skeptical and questioned reviews from my coworkers and my fellow Yelpers. Well, I was was wrong. I was very wrong Yelp and I'm damn glad for it.  The pho was very good. I had some lingering skepticism when I saw there was Korean writing on the menu for the pho, but I guess it's both a pho and Korean food shop. So I ordered the Dac Biet, the you got everything including the tripe that makes a bunch of people all squirmy.  The pho bowl came out very quick and the portion was huge. I'd like to think I have normal sized hands, but the bowl was uuuuuuge.  Now to the point: -Big portion -Good broth -Thin style rice noodles -Ample amount of proteins -big portion of the garnishes, no basil tho :( Pros:  -Close to the office -quick service -Good value  -Pretty solid bowl of pho Cons: -Seating is plentiful, but still gladiator style -No  basil Final thoughts: Will I come back? Yes, absolutely. Is it better than my mom's?Hell no. Will it allow me to regain my asian powers and beat the windy/wet/cold Chicago weather? Oh hell yeah.",0.9476,0.752,0.146,0.102,0.5405083088954057
2017-02-23,5.0,They have moved... the yelp map is accurate.. Enter the building... foodcourte is downstairs.   It as excellent as ever!,0.6114,0.818,0.182,0.0,0.8166666666666667
2017-02-15,5.0,Great Pho!  Fresh and fast.  Have been twice and had the chicken pho both times.  The broth is flavorful and veggies are fresh.  Great for a cold day or really any day.,0.92,0.673,0.327,0.0,0.65625
