date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-31,5.0,"I've eaten here a lot, can't count how many times- im sure i have tried almost everything on the menu. Delicious!! This place in my opinion has the best authentic Italian Sub's in Chicago. Yes there is Bari- which is also my favorite- but Jp's is like going home for lunch- the people that run this place are the best, they make you feel like family. I'm a life long customer!",0.9706,0.717,0.283,0.0,0.5709876543209876
2017-08-25,4.0,"I enjoyed walking in and feeling like I was back to an earlier and simpler time. J.P. Graziano doesn't try to be anything it's not. Good sandwiches, fresh groceries, and staff members that work hard. My only wish is that my sandwich had a little more meat on it. The bread was tasty but outnumbered the meat 2:1.",0.3851,0.808,0.118,0.074,0.537962962962963
2017-07-25,1.0,"Got there 25 minutes before closing. The clerk   said we ran out of bread, no sandwiches.",-0.296,0.872,0.0,0.128,0.0
2017-07-21,4.0,"Walked by many times intrigued and finally stopped for lunch.  So glad I did!  Just had an Italian sandwich, and ready to explore with other sandwiches on next visit.  Just the right amount of meat/cheese ratio to bread and veggies!  Loved it!",0.8648,0.748,0.214,0.038,0.5234126984126983
2017-07-16,5.0,"I've had the sandwiches from Graziano's before and they're great, perfection, actually. The ingredients are all so fresh and high quality. I recently ordered off of the catering menu for a birthday party though, and was super impressed with absolutely everything, from the ease of ordering (with Deanna's help) to pick up, to how literally everyone loved the antipasti tray and sandwich selections!! The sandwiches are cut into a great little size so that people could grab one or two and vegetarians in the group loved the veggie sandwiches and the meat eaters demolished the rest, the Mr G was the biggest hit!! The antipasti tray was overflowing with meats, cheeses and artichoke hearts, olives& roasted eggplant, which were my selections, but I don't think you could possibly go wrong!!! Thx for making my party a success!!!",0.9794,0.738,0.226,0.036,0.604047619047619
2017-07-10,5.0,"Graziano's is a Chicago classic, don't let anyone from NJ tell you otherwise. :) Stopped in for subs over the weekend and they were perfect as always. The Mr. G and prosciutto/fresh mozzarella were both delicious, well stacked on fresh bread. The bread itself is very soft in the middle with a thin crispy outer layer that almost shatters with each bite.  The decor is nice with antique architectural details and cool paintings on the walls. Deli counter is small but they have the goods. A half dozen different imported olives if that's your thing, and a couple of dry cured sausages. Small selection of imported dry goods, and interesting sodas. Service was very conscientious and genuine. The subs came out fast, and we sat out on the patio under the shaded awning to watch the world go by. Good spot for people watching, as there are lots of trendy restaurants nearby. Twice we were asked how the food was, and they basically waited on us which wasn't expected.  Bari's is great too, but if i'm in the west loop/Randolph St. area, I always make a beeline here.",0.9721,0.859,0.134,0.007,0.580763888888889
2017-07-08,5.0,"I just started working in the West Loop and my coworker insisted we grab sandwiches here for lunch yesterday. Oh. My. LAWD. As a native New Yorker, I take Italian delis VERY seriously and this was outstanding. I got the Italian with mild giardiniera and nearly weeped tears of joy at my desk while I ate it. The bread, the meats, the cheeses, the spices, everything was perfect. I will go back and I will run in and scream ""take all my money"" because this is the best italian deli sandwich I've had since I left New York.",0.8853,0.783,0.148,0.069,0.3607683982683983
2017-06-28,5.0,"Delicious. The team there are always nice, and helpful. Whenever I am town, its my go to lunch location. YUM!",0.8622,0.625,0.375,0.0,1.0
2017-06-17,5.0,"Today I was walking by the West Loop looking for a place to have lunch.  I was not craving anything particular and I had no plans to meet anyone. Fortunately, I bumped into this amazing jewel. I have  read about JP Graziano before but I had no idea where it was located so when I saw it, I knew I had to go in.  My experience there was beyond the expected. Not only was I welcomed by Jim, the very own grandson of the founder, but I was also able to appreciate how it is still a family business.  Although yes, the most popular sandwiches are the Italian and the Mr. G, I decided to go with the prosciutto. I do not regret it. The sandwich was huge, delicious, filled with good quality cheese and meat, and, on top of that, CHEAP!! I am definitely a fan and I am looking forward to go back and be pleased by another Graziano great experience.",0.9942,0.684,0.292,0.024,0.6604166666666667
2017-06-10,5.0,Still love love this place.  Went again today. They have remodeled inside. Still looks cute. The staff are amazing.Love the Mr. G especially. Got a few olives on the side--they were fresh and delicious.  Sat outside at one of their outdoor tables. We have gotten their catering platters for social events--everybody loves them. I just pray they own the building. I worry that Randolph Street rents would drive them out. The  street used to be covered in meat markets and wholesalers--it's all becoming trendy restaurants now.  Hang in there Granziano's please@,0.9661,0.75,0.222,0.028,0.638888888888889
