date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-17,2.0,"I ate here a couple of weeks ago as a group of 6 girls for a friend's birthday dinner.   Overall I would not recommend this restaurant as you have SO many choices for authentic Mexican food in Chicago and this was underwhelming on food and service.  First, we were sitting on their covered patio and it was windy and started to rain.  They looked baffled that we asked to put down the plastic rain sheets and then once they finally did they didn't secure them properly so they were banging around in the wind and one almost hit my friend in the head after a strong gust.  Then once the rain and wind stopped they struggled heartily to get them rolled back up.   The food was extremely underwhelming; small portions of the main fish or meat in the dish - mostly just mushy vegetables and cheap rice/beans.  Servers never checked on us; every time we needed something we had to wave/yell to flag them over to our table, and by the way it was a very low key Wednesday when the restaurant was not busy at all.",-0.3824,0.909,0.033,0.058,0.4699415204678362
2017-08-12,1.0,"The food and service are absolutely terrible. If you want good seafood, head to the place across the street. Much better food for the same price!",0.4587,0.671,0.225,0.103,0.55625
2017-07-25,4.0,"My friends treated me to dinner here for my bday and honestly I loved it. I didn't get seafood but I did get the steak fajitas which were packed with flavor and served with rice, beans, veggies, sour cream and guacamole. We sat outside which is always a nice option on a nice day! Service was a little slow but I would definitely return to try more options on the menu!",0.9519,0.763,0.237,0.0,0.5388888888888889
2017-07-24,4.0,"Great authentic Mexican with a specialty in seafood.  I've been here a few times and have had a number of items... steak fajitas, enchiladas, and a couple of the shrimp dishes.  Everything has been great.  Prices are decent and portion size is large so you don't ever leave hungry.  Get a pitcher of margarita vs by the glass.  Good for lunch or dinner.",0.9109,0.796,0.204,0.0,0.5056547619047619
2017-06-28,3.0,"Recommended to me by a rider in my car. Very friendly people. Especially the guy that answered the phone and took my to go order. Very spicy diablo shrimp. It's probably best eaten there. Especially for a first visit so I thought it was good but nothing spectacular. I liked all the accompaniments. Plentiful and not stingy on how many shrimp came in the meal. Could easily share it. Loved the tiny limes with it. They made me smile as I love anything tiny. Lol I'd go again to try as a dine in experience if I'm in the area. And get the carina essada (sp?) as recommended by the staff as well. Seemed like a friendly, laid back atmosphere to hang out.",0.9922,0.663,0.317,0.02,0.5745614035087719
2017-06-24,1.0,Place is trash. Food is trash. Service is trash. Water was trash. Overall NOT GOOD. Do not recommend this place.,0.366,0.758,0.153,0.089,0.30000000000000004
2017-06-18,3.0,"The food was absolutely amazing!  However, the service and the cleanliness is horrendous!!!!  Menus are all disgusting with food all over each page, the silverware is questionable, the granite tables are super grimey!!!  The bathrooms are absolutely horrendous with how disgusting they are.  And on the way to the bathroom, the plating area is a disaster with food spilled all over the floor. Not to mention we had 8 people and they split us across two tables!? The owner (I assume as it's a much older gentleman at the hostess location)  is super lazy and rude, which then rolls downstream to the staff. Very disappointing for the high prices.",-0.9378,0.708,0.089,0.204,0.7930555555555555
2017-06-06,5.0,"Love this local spot. So yummy. The food is seasoned amazingly and the portions are massive. I never expect much from these places when it comes to frozen Margheritas but these got me and my boyfriend feeling good. You literally cannot beat the prices or portions. I will continue to keep El Barco in heavy rotation on my list of go to spots. One minus is the rice and beans...not that you would waste any room on those, I come for the seafood.",0.7047,0.84,0.118,0.041,0.41500000000000004
2017-06-04,1.0,Come to this place from the burbs. Use to love this place. This time around not sure what happened but the service was not so great and the food well horrible.  The waitress did not bring silverware plus my mahi mahi plate and it looked like someone dropped it and put the food back on the plate. I always order that plate because its my favorite. When I asked the waitress about it she said it always looks like this??? Super disappointed,0.7676,0.643,0.209,0.148,0.7069444444444445
2017-06-03,3.0,Shrimp in garlic and cilantro sauce were good - accompanying veggies were not. Service was attentive and friendly and the included gratuity was fair. I would go back.,0.8126,0.732,0.268,0.0,0.58
2017-05-30,3.0,"Really fun place with novelty sized portions! Personally, my favorite dish was the fried whole fish. It was really tasty, and worth the price. We also ordered the seafood platter for 3. The crab leg were over cooked, but I did like the prawns, octopus, and mussels. We had a pretty good time here. Laid back and casual.",0.957,0.713,0.287,0.0,0.4851851851851852
2017-05-21,1.0,"Worst customer service do NOT go here. I've never felt so unwelcome at a restaurant. I'm sure the waitresses are nice but when the owner/ manager is so rude that represents his establishment to me. Whoever was in the front  maybe the manager or owner but all my friend asked him was could we get on the list to sit inside we will be outside but its chilly and would like to get moved in. He was not happy about he request. It got a bit chillier and about 20 minutes passed I walked inside asked and he tells me ""too bad it's your fault because you should of been inside waiting"" He proceeds to rudely tell me ""well then go get them"" (Spanish) with a extremely rude tone. I would of been fine closing my tab to tip the waitress outside but at that point we just paid and left. NEVER returning here again. There are plenty of good restaurant in the area with at least decent service.",-0.945,0.742,0.099,0.159,0.5601307189542484
2017-05-21,5.0,Great seafood! Had the Caldo de pescado and a margarita and it was delicious! Very attentive staff and service! I would recommend this place,0.9037,0.63,0.37,0.0,0.9166666666666666
2017-05-18,2.0,Do not recommend. The food was decent but the service was a incredibly poor.  I ate the carne de asada with butterfield grilled shrimp. The meal was solid - think of your average neighborhood Mexican restaurant. The steak was well seasoned but a little too chewy. Loved the selection of hot sauce they had.  My friends and I suspect that our service was was terrible due to the fact that the server knew she'd be tipped regardless of service quality (we had a large group and gratuity would automatically be included). The server did not refill our water once; completely forgot to bring my buddy's order out; and generally seemed uninterested in doing her job.  I was astonished service could be so bad on a random Wednesday night with the restaurant only half full. I cannot fathom what kind of service is provided on busy nights.  Save your money and go to chipotle.,0.2554,0.766,0.123,0.111,0.5215986394557823
2017-05-14,1.0,"Bad service and the food was awful, there was pieces of hair in the food and besides that the waiters took forever to take our order and then we had to wait 30-45 minutes for our food to come. When we got it there was very little amount of food, and I knew because I come here all the time and order the same things. Just overall a bad experience. *it was also packed so we had to wait for a while just to be seated",-0.875,0.888,0.0,0.112,0.5180555555555555
2017-05-12,4.0,"I'm writing this review as someone who's not a huge fan of seafood, and that's what El Barco is really known for, so take this with a grain of salt. The service was great, they were very attentive. I arrived around 5:15pm because we had a group of 7 wanting to sit at 6pm and they don't take reservations. Turns out getting there that early wasn't necessary (although if we'd planned to eat around 7, getting there 45 mins early would have been a good idea). I got a virgin strawberry margarita and carne asada tacos. The margarita was really good; the tacos had a good portion of steak but they were just ok IMO. There were a ton of hot sauce options on the table but all were very spicy, so I wish there'd been at least one that was mild available.",0.9256,0.865,0.115,0.021,0.575
2017-04-24,3.0,Carne asada is trash! too tough feels like I'm chewing on gum  besides that everything else is pretty delicious,0.8478,0.573,0.37,0.057,0.9444444444444445
2017-04-21,5.0,I love el barco every time I come I have great service. We just finished dinner and our serve Alejandra was amazing she recommended the best menu options and was very attentive. Great atmosphere and the aguachile is phenomenal!,0.9744,0.569,0.431,0.0,0.6857142857142857
2017-04-17,2.0,"Where is the pretty waitress ? Food is getting bad tiny limes  whit no juice, no sharp knife to cut the limes ,mediocre chicken nuggets margaritas are on point just one to get tipsy",-0.7003,0.68,0.078,0.243,0.811111111111111
