date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-01,5.0,"LONG been our favorite local pizza place. Recently, bravely tried delivery. SO HAPPY, multiple times delivered, very prompt, and equally delicious! Love piece! Thank you for being consistently outstanding!",0.9818,0.449,0.551,0.0,0.6174999999999999
2017-08-31,5.0,"Interesting pizza style. Thin crust Belly of the Beast is their March special. Pistachios and arugala is certifiably unusual, but it works. Bartender was knowledgeable about ciders, although they don't offer a wide selection;",0.4019,0.893,0.107,0.0,0.6642857142857144
2017-08-26,4.0,"It's NOT Deep Dish like Lou Malnatis but it is Unique, delicious in it's own right in which this Pizza deserves for the better! The white sauce or ""New Haven"" style is out of this world!. For Native Chicagoan and tourist this is the spot to try to get away from overhyped deep dish pizza Chicago is popular for. I recommend ordering it with Mash potatoes as a topping and the once now closed ""Hot Doug""s brand atomic sausage if you like to try spicy. You can also do classic Anchovies which is a rarity for pizza places that are franchised. I also recommend to try their beer brewery which it is also known for. If you are with a big group the large pizza will be more than enough. If you do carryout I do suggest you make sure your friend's and family will be coming over since this pizza is served best hot and fresh from the oven. I did carry out which is why I say this and which is why I cannot give it a perfect 5 stars because of the quality when NOT eaten right away. It is still great pizza for 4 stars! Also try their Chocolate Pizza as well as the Barbecue Pizza if you are adventurous or a risk taker! I have tried the Chocolate Pizza and was amazed at the dessert pizza. Very tasty!",0.9936,0.774,0.201,0.025,0.5715423465423467
2017-08-21,4.0,"Really good pizza. Not exactly Chicago or NY style, but somewhere in between. It is probably closer to NY. Very good crust and sauce. A little pricey, but worth it if you want good pizza. I don't drink, but for those that do, they have their own brewery. Would definitely go back.",0.9488,0.714,0.286,0.0,0.47875000000000006
2017-08-17,1.0,"Went there on Sunday for a drink.  We sat there for more than 10 minutes at the bar waiting to be served. The bartender helped the people next to us, but completely ignored us, not sure if he was racist (I'm Korean and my husband is Indian) or just an asshole. I finally said, ""Excuse me, can I order a drink,"" he seemed less than thrilled to help and didn't apologize.   Our drinks sat empty for more than 15 minutes before (again), I flagged someone down to help.  I did hear the  bartender (glasses, facial hair), the one who ignored us, tell his co-worker that a customer called him an asshole.  Sounds about right.   It's too bad the service was so poor, the atmosphere is great.",-0.8994,0.696,0.116,0.188,0.46542658730158726
2017-08-16,4.0,"Good pizza and beers. I would definitely recommend eating in here to sample one of their microbrews, and the pizza is better the fresher you can eat it. It's definitely a little pricey, and sometimes I find that larger pizzas can be a little soggy towards the middle depending on the toppings/size, but most of the time it's nice and crisp and not too heavily sauced.",0.8765,0.811,0.189,0.0,0.5015151515151515
2017-08-15,4.0,The ambience and visuals of this place are really nice. The pizzas are HUGE!!! So make sure you bring 39 people with you because you'll need them to help you eat the pizza. Wait!!! Maybe they have smaller pizzas lol. I don't know. But the pizza was really good. I'm a deep dish kind of girl so I was pleasantly surprised that I liked the thin crust pizza they sell. I had the margherita pizza. The tomatoes were so fresh and still had some bite to them even though it had been baked. Too much garlic on the pizza but I just don't really like garlic. But I'll be going back to try other pizzas.,0.9108,0.806,0.169,0.025,0.6071180555555555
2017-08-12,4.0,"This pizzeria cum brewery serves consistently yummy pizza in every style available in their menu, whether it's red, white or new haven style. There is always a line and thus, you wait but when that enormous pan of pie is served in front of you it will erase the wait in your memory. Always worth the queue!",0.5916,0.918,0.082,0.0,0.30064935064935067
2017-08-12,5.0,"I came to Piece on a Friday night with a group of friends on a recommendation. I was not disappointed. Piece offers a casual environment with good beer and huge, delicious pizzas! We got to the brewery/pizzeria around 5:30PM to discover that this place was packed! We had around a 30 minute wait (which I thought was decent considering how many people were here and the size of our party), so we preoccupied ourselves by going to the bar first. I grabbed a golden arm, which I thought was a solid lager. I also tried one of the pale ales (can't remember which one...), and it was solid, surprisingly (I'm not normally a fan of them).  Once we got seated, we had the big task of deciding what to order. Our waitress was friendly and provided options that she said were popular choices to order. We ended up getting 2 large pizzas: one with red sauce, onions, green peppers, chicken, and jalapenos, and the other with white sauce, mashed potatoes, spinach, clams, and broccoli. The white was definitely my favorite, but both were great!  Giant pizzas, delicious flavors, great beer, great ambiance! I'm a fan! Makes me like Wicker Park even more.",0.9916,0.756,0.226,0.018,0.530652841781874
2017-08-11,2.0,"I've been here a couple of times, and the #1 complaint I have is that if you come here at a slow time, they will seat you RIGHT NEXT TO another party. No one wants to sit right next to strangers in a restaurant during a quiet time where everyone can overhear everything being said. This especially applies if the party next to you has kids. I can understand not wanting to have customers spread to every corner of the restaurant, but to make them sit together like a family dinner is ridiculous. Without this issue, I would probably give 4 stars - the pizza is okay and the service is just okay too.",0.6369,0.841,0.102,0.057,0.39267399267399267
2017-08-07,4.0,Great pizza & beer. Love the atrium in the main hall. BEWARE: they don't believe in Ranch dressing. They might have it for the salads but you'll get a nasty look if you ask for it as a side to your pizza.,-0.1901,0.782,0.112,0.106,0.6708333333333334
2017-08-05,4.0,"Service: 4.5 stars Food quality: 4.5 stars Cleanliness: 4 stars Price: 4 stars Ambiance: 3 stars Great pizza with a great selection of toppings. The place is a bit rundown and divey, but let's be honest, we're here for pizza not ambiance.  This spot is cool for watching the game and sharing a pizza.  Portions are generous.  We built our own pizza. We got the red pizza with spinach banana peppers and mushrooms. It hit the spot!",0.968,0.756,0.244,0.0,0.68125
2017-08-05,4.0,"Such a fun place to go on a weekend! The ambiance is very lively and fun but crowded so expect a wait. We got some beers at the bar and hung out while waiting so it went by fast. The pizzas are delicious. I loved the flavors and the unique toppings - my favorite was white sauce with clams, broccoli and potatoes! However, I thought the crust was pretty tough and too chewy for my tastes.  Seeing the giant pizza pans come out is definitely a treat in itself too :)",0.9891,0.655,0.33,0.016,0.6855555555555556
2017-08-04,5.0,"Awesome beer, fresh salad, savory pizza, friendly, personable service, and moderate prices...highly recommend",0.9022,0.427,0.573,0.0,0.675
2017-07-31,5.0,"Great pizza! Hands down one of my favorite places in the city. Chill vibe. They don't serve ranch (weird I know, hang in there though), but the best kept secret in the Windy City is you go next door to Jets Pizza and order a side of ranch and take it into Piece with you.",0.892,0.825,0.175,0.0,0.5769841269841269
2017-07-29,4.0,"Updating my review. My first experience was not what I hoped for, but the owner was super nice and gave me a free pizza to try it again. I ordered pick up this time to avoid the wait for it to be delivered and it was phenomenal! The pizza tasted as good as it smells! Will possibly be dining in sometime soon (:",0.9676,0.666,0.279,0.055,0.7000000000000001
2017-07-24,5.0,"It took me years to get to Piece pizza and I can't believe it took that long! The place is ALWAYS packed and when I went for March Madness, it was crazy! Fortunately, we got a table somehow within 15 mins of arriving and were able to order immediately.  The beer list is crazy - more beers than you can drink (maybe) and the variety is out of this world.  In terms of pizzas - they are huge thin crust ones. We got one with white sauce / mashed potatoes and another with pepperoni and tons of veggies. It was so gooey and hot - so worth it! This place is awesome, I know deep dish is a chicago tradition but Piece is the best!",0.8612,0.856,0.101,0.042,0.6017857142857144
2017-07-24,4.0,"This place was recommended to me by a close friend. I'm use to Italian Fiesta, Fox's, and  Beggars pizza. However this place is a gem stone hidden amongst rival nightlife in a the trendy neighborhood of Wicker Park.  The place is a sports bar so it's loud and dim. There is plenty space and great for large parties. The customer service was cool.  We ordered the red thin crust, sausage, and jalapeno pizza. It was amazing! Seems more like NY style pizza. I will definitely be back.",0.9771,0.732,0.268,0.0,0.5086080586080587
2017-07-19,3.0,I would love to give this place a 5 star based on the pizza alone however labeling themselves as a brewery really let me down. I decided to go with the flight to try a range of beers... when I got my flight of four and tried all four I thought the bartender might have made a mistake. We asked for another sample to compare with the hefe my boyfriend ordered and I honestly felt bad but it turned out their beer just had no taste and we could not tell the difference of 4/5 beers. The beer just doesn't have range!,-0.4482,0.867,0.046,0.086,0.5311111111111111
