date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-30,4.0,Amazing presentation.  Five star treatment from the staff.  Not all the food tasted the best and it certainly isn't about the portions here.  But the environment and experience was incredible.,0.886,0.722,0.278,0.0,0.6678571428571428
2017-08-30,2.0,"I went for diner with my husband two weeks ago to celebrate my birthday , we were looking to dine in Alinea since we moved to Chicago , we both working in the industry we couldn't wait to try one of the best restaurants in Chicago and in the world .   Our reservation was for 8:30pm and when we got there at 8:30pm we were told to have a seat and wait until our table was ready , it may have been 15 min wait, we were so exited .... when we got to the table the tasting menu started right away , we were not doing wine pairing so we ordered a bottle of wine , the wine didn't arrive until we were in the middle of the dinner, we thought they couldn't find it and we were about to cancel it by the time it got to the table , the food was great, a couple of weak dishes but I guess that is very subjective, service was not what you expect for a 3 Michelin star restaurant, we felt rushed , the plates kept being taken very fast when one of us finished not considering that the other person was still eating the same course of the menu, it happened in most of the courses and just like that our experience was over ,  it last 1hr , probably 1hr and 30min considering the waiting time and the time that took us to finish our wine, we were left with almost half bottle of wine because as I said it came in the middle of the dinner , we felt like we were trying to make longer the experience  by ourselves, as I said it was my birthday and wanted it to be special , that's why we chose Alinea for that day, we probably went the wrong day , felt like everybody was in a rush to start closing the restaurant when there was still plenty of people, the service was not engaging, we felt like a number ...,I'm giving 2 starts for the overall experience because food was great but the experience was ruined by the service .",0.967,0.864,0.097,0.039,0.39727380952380953
2017-08-28,3.0,"Guys. This one breaks my heart. I had such high hopes and maybe too high of hopes. Also the price demands that this is life changing. It didn't help that I had just gone to another Chef's Table restaurant, Pujol in Mexico City, and was blown away for a fraction of the price. Everything at Alinea was delicious. BUT it was over hyped in my opinion and overpriced. I think with the TV specials and and the attention on this place, its reputation has just blown up to standards that can't be met. Idk. I have to go meditate on this. Painful to review.",-0.1525,0.871,0.071,0.058,0.696
2017-08-25,1.0,"If you like mediocre food and rude service in a plain gray 60° (meat locker) room for an outrageous price then this is the place for you..... read all the reviews before you book, I didn't and I paid the price.  Rude, rude, rude service and they turn the tables lightning fast, you definitely will leave feeling rushed.  Food is gimmick at best, sea bass was chewy, poor food quality (some of it not even edible). Oh and the dessert.. bubble gum... really!   If this is their interpretation of Avant-garde they missed the mark big time.  Don't waste your money go somewhere else.  Want to read more?..... OK After quickly checking out the reviews and seeing a few pics, this place looks amazing right?.... WRONG.... had high expectation that all dissipated at table..... - Booking: the best marketing scam out there. They limit the tables offered so you feel lucky to get a table then when we got there the room was half empty. - Ambiance: plain, dull gray wall and cold (60 degrees cold) room. Honestly the bathroom was better decorated.  - Staff: rude and they look beaten / disinterested kitchen staff. Not once we were asked if we enjoying our food. The sommelier can't even pour the correct measure, paid $26 for 1.5oz glass of wine. - Food: oooh the food.......you will be greeted by a peace of lettuce wedged on top of a lime (was sitting on the table for god knows how long). And the giant bowl of orange w the dry ice..... Then it seems as they ran out of plates so the waiter present a tasteless micro pancake on a stick...... and so on...then the sea bass (they can't leave good enough alone, no harmony in the combinations) over cooked, chewy and more inedible compensation of ""stuff"" in the bowl.... Oh, oh and the poor attempt from the waiter to cook a potato (that was buried in salt) on our table....come on..... The plates looked good enough for pics for Instagram but lacked harmony between ingredients and cohesion between the dishes.  It's more gamic food and downhill experience from there. I sat there course after course in disbelieve ""is that it"" ""that's the best they can come up with"" ""the chef will redeem himself at the next course""........wrong    - Price: outrageous.....that's why you have to prepay because if they present you with that outrageous bill at the end of that highly disappointing experience you will never pay it.  I guarantee you I wouldn't.  - Management: guilt ridden, very defensive and set in their own ways. Don't bother complaining to Quincy, Nick or even Grant. They have no problem taken you money and never explained the poor food quality or the rude service.... They will blame everyone one else before they look in the mirror.      Finally...if I ever feel the urge to have that experience again I'll go ahead and schedule my colonoscopy as I'm sure Ill get the same level of satisfaction.",-0.8124,0.76,0.114,0.126,0.5492440801457196
2017-08-25,5.0,"I mean...what could this review tell you that countless other reviews, best-of lists, documentaries, books, and three little non-Yelp stars couldn't? Sure, the restaurant has changed in the past couple years, but I don't think I missed out on too much. I placed my reservations in late May of '16 for two for an early June reservation - I got lucky as it had just reopened and I don't think you'll be able to get a table only two and a half weeks out anymore. I went with the Salon with standard pairings. My fiancee and I are not wine connoisseurs, but we weren't about to pass up paired drinks. Service is similar to what I've experienced at other Achatz places.  Yes, this is the finest of fine dining, but our servers were smart enough to realize we were a young couple out for a fun night. They answered all of our questions, made sure we were taken care of, and never once did I feel out of place. I even overheard a server try his best at translating a dish description to guest who only spoke Spanish. It's hard to type out a description of everything we had, especially with it being 11 courses and most of them having wine (or mezcal) with it. There was dehydrated scallops in a corn soup. Smoky chicken thigh dressed as the Mexican flag. A ""yellow"" dish of curry, pork, and yellow chopsticks. And of course, we finished off with the signature helium filled candy balloon. Oh, and rather than their former famous dessert painted on the table, ours was painted on...a painting. Each dish was perfectly balanced, and by that I mean balanced between ""WTF are they serving us"" and ""WTF are these flavors in my mouth"". It's a fun time and a unique experience. Is this deserving of the praise of being not only one of the best countries in the city, but also the world? I mean, it's close, but until my lola (grandma) starts accepting reservations, you'll be ok coming to Alinea.",0.9934,0.798,0.16,0.042,0.5524413388543824
2017-08-21,4.0,"It seems futile or arrogant to review Alinea, but of course we'll attempt it anyway. We had tried for a couple months to get a reservation to the gallery, and when we finally did, we built the rest of our trip to Chicago around it. It's absurd how much money dinner for two costs, but we knew that this was a 'once-in-a-lifetime' experience. We liked that yesterday evening started with a communal table and we were fortunate to be seated near folks who were friendly and easy to converse with. We didn't particularly enjoy any of the crazy starter ""flower"" courses, and even though it was gimmicky, it was still pretty awesome when the flower pots started smoking. The shaker and spear course in the kitchen was one of our favorites; both the drink and the amuse were delicious, and while we thoroughly enjoyed being in the action back there, you could tell some of the BOH folks were less than thrilled about it. The rest of the meal at individual tables had some highs and lows. We didn't like the ""glass"" course, and while the ""fire and ice"" course was entertaining, none of the components tasted like they belonged together. On the other hand, the truffle course was amazing--who knew that a sous vide potato could be so delicious? While it was served colder with way too much of the dairy than we would prefer, we loved it, and we especially loved the truffle toast. Dessert: the candy bar dessert was OK, but the grape balloon was fun and certainly more nostalgic. Playing LCD Soundsystem during the paint performance? A+ We liked our servers for the most part. They were fun and cool. We have two major complaints:  1) For $900, the fact that our only major protein was a tiny ass piece of veal cheek kinda pissed us off. Yes yes, we're paying for Grant et al's ingenuity and vision, but still.  2) Once we were sat back down at the individual tables after the kitchen, everything felt extremely rushed. One course came out right after another, plates were cleared quickly (even after only one of us had finished--that's amateur hour service), and just as we were starting to settle in, it was time for dessert. All told, we're happy we went, and we had a wonderful night, but we still can only give Alinea four stars. Like most things in life, as when we saw Hamilton for almost the same price two nights before, Alinea just wasn't worth the money. We've spent a lot less on fine dining (i.e. Eleven Madison Park, Per Se, Streireck), where we feel that every penny was well-spent. Did we see smoking flower pots there, or chefs smashing frozen white chocolate down on a tray that came from the ceiling? Of course not. There's no denying that this was the most unique dining experience that we've ever had, but a day later, the feeling gnaws at us that on food alone Alinea sacrifices substance for style.",0.9985,0.722,0.214,0.064,0.548855061150143
2017-08-20,1.0,"We were charged about $700 for two people with taxes and 20% service charge. This amount is too little if you are in the 1% and too much if you are in the 99%, aspiring for a taste of the life of 1%.  Upon arrival, we were greeted by the hostess. An usher walked us to our seats. Once seated, a server greeted us and all of the guests with the same script after being seated. He was jaded and his performance was insincere. His role in the ""experience"" is to elegantly inquire if you are high worth guest i.e. if you will shell out $100+/person for a wine tasting.  There was an amuse bouche resting on the table before we were seated. Out of four servers on the floor, none bothered to inform us what it was. When the meal begins at such a high note it has only one place to go from there i.e. downwards. The courses were presented by disinterested kitchen staff, who mumbled while describing the dishes and were offended when asked to repeat. The dishes were not memorable and lacked flavor and seasoning. All of the accolades have numbed the taste buds of the chef and his staff. The dishes are good for Instagram. The meal ended with two desserts both of which were lackluster.    One of the dishes was presented with a bed of salt. None of the staff bothered to clean the salt on the table for the rest of the evening. If the diner has been coerced to pay 20% service charge, then the diner can not ask for his/her money back, if the service isn't good. I would ask Grant to let the diner decide if the service they received was worth 20% tip.  During the two hour experience, the staff sarcastically asked us about our opinions on some of the dishes. Buddy, if you are not excited about your own food, then it makes me look like a fool paying high prices for a meal you don't believe in.  Temper your expectations, since both people and food are gimmicky here.  It's a great marketing tactic to create a sense of scarcity by making the reservation hard to come by. The media/PR has hyped up the place. The chef is focused on expanding his restaurant empire by opening more restaurants in Chicago and other cities rather than offering a good experience to the diners at Alinea. If you decide to dine here, then know that you are not paying for the food, service, or ambiance you are paying for one thing and one thing only i.e. the brand Grant Achatz.",0.9723,0.849,0.101,0.05,0.5624666666666667
2017-08-19,5.0,"Anything I say won't be able to do our experience justice. Everything was flat out amazing, the staff, the food, the experience - I'm still blown away thinking about it. You guys know what Alinea is. It is of course expensive, and we paid an additional price for the wine pairings, but what you get in return is completely worth it. It's not like you're going here every other weekend for a quick bite. As much as all of you enjoyed Hamilton (or insert any other musical you prefer), you didn't go see it again the next weekend. That's kind of what I would compare this to - an amazing theater or vacation experience. I won't be back any time soon, but that's of course just because I can't afford to have my mind blown every weekend. I hope to be back in the near future to celebrate another special occasion.",0.9814,0.806,0.177,0.016,0.39454887218045115
2017-08-16,4.0,"This was truly a dining experience.  The food and wine were great.  Each course was innovative and flavorful.  The service was excellent. The waiters explained each course and the wine pairings were perfect.  The funnest part was dessert.  The only downside to the experience was the price.  Overall, this is a good place for special occasions or entertaining that special client.",0.984,0.583,0.393,0.024,0.7192857142857142
2017-08-15,5.0,"It's intimidating to walk up to the front door of Alinea, knowing you're going to be served some of the best (and most expensive) food of your life, but once I walked inside the experience was amazing. While it definitely is classy and formal inside, it was never too hoity toity and the servers (a whole team of them!) made us feel very comfortable. Every dish was fantastic in terms of inventiveness and presentation. Sure, there were some flavors that I didn't like, but I could at least appreciate the effort that went into each one.   Everything about the experience was above and beyond everything I expected. For me, this is one of those once-in-a-lifetime experiences that is definitely worth it.",0.9904,0.693,0.276,0.031,0.576068376068376
