date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,1.0,"I am probably being generous here. Rude people work at this so called tavern. Not impressed. We couldn't get a seat at the bar so we were told have a seat at tables to the left and we could get drinks at tables there. Well we sat awhile and I thought maybe we had to go to the bar and order so I inquired at the food bar area and the rude lady says to me ""Did you not hear what he told you when you got here?!  Sit over in that area and you will be served there!""  WOW.  So only go here if you are ok with being talked down to and have mediocre drinks and bad service",0.7443,0.809,0.12,0.072,0.6655555555555556
2017-08-30,5.0,"One word---Amazing!!!!    We were walking back from the lakeshore and headed down the steps to Hubbard and looked back and saw the sign to the Billy Goat Tavern.  I had seen the features on it in Chicago tv and of course the SNL skits and had to try it for myself.   The BGT is everything it is supposed to be. When you walk in and head down the stairs, it is like you have time traveled back 40 years.  Its divey (in a good way). There are old pictures and newspaper articles up and the menu is like the one used in an old concession stand.   I ordered a double cheeseburger and chips.  Indeed it is true. No fries, only chips!!!!  My wife got the grilled cheese sandwich. The grill is right behind where you order and the cooks are calling back your order just like Akyroyd/Murray did on SNL.    I would have added bacon if I knew it was an option but I was NOT about to ask!!!! :).  The food came quick and we sat at the bar.  The bun is big and we got to put our own toppings on. This speeds up the process which is a nice touch.  We sat at the bar and ordered a couple of Billy Goat Lagers.   The Lager and the dark are made by Pabst and the Lager was light and very refreshing and only $4 for a glass.   While we sat at the bar, a bachelorette party mixed of old and young came in and ordered 9 Horny Goat drinks and the bartender whipped them up and served them quick.  Overall the experience was top notch in two ways: 1). The history and the legend of the place speaks for itself and it lived up to its reputation.  2). The food was relatively inexpensive, tasty, filling but not uncomfortable, and just what we needed for a midday snack.  We will definitely be back!!!!",0.97,0.916,0.079,0.005,0.43792162698412695
2017-08-27,5.0,"Fun place. Great drinks. Great food. If you're looking for tasty food with no-frills, this is it. If you're looking for something high-end and high-class don't come here.",0.91,0.685,0.315,0.0,0.5666666666666667
2017-08-20,5.0,We happen to come across this super cool place while in Chicago. I went back 3 times! It truly is an experience. I love the atmosphere and Marco is fantastic!! The food is amazing and the drinks are great! But the best part is how welcoming everyone is and they make you feel like a local. I'll definitely visit every time I go to Chicago and HIGHLY recommend you do too!!! Thanks Marco for being so wonderful!,0.9943,0.536,0.464,0.0,0.538974358974359
2017-08-12,3.0,"This place is probably only in business still because of the SNL skit and it's place in Chicago history. The burgers are mediocre at best. The patties are so thin, you definitely need to get the double cheezeboorger. More importantly this place is sketch AF. I was afraid of getting robbed on my way to this place. Once your inside it's not so bad. It looks like a typical dinner on the inside. The food is served FAST. I hadn't even gotten my credit card back before my burger was ready. There's no plates, just a sheet or parchment paper. Don't think I would go back to this place, but a friend was visiting and wanted to check it out. At least it's checked off the list of touristy things to do in Chicago.",0.9283,0.857,0.132,0.012,0.5447916666666667
2017-08-04,5.0,"Fun, hot spot for fast burgers.  Order and grab condiments family style.   Fun atmosphere.  Reasonable prices.",0.765,0.68,0.32,0.0,0.48999999999999994
2017-08-02,5.0,CHEEZBORGER  CHEEZBORGER CHEEZBORGER! Gotta love that this place inspired the SNL skit. It's no doubt a dive but the food was made lightning fast and it was delicious!! I had to add an Old Style Lager a la Frank Gallagher from Shameless. Fed the whole family for $20. That's what I'm talking about. John Belushi would be proud!!,0.8914,0.69,0.217,0.093,0.6333333333333334
2017-08-02,4.0,Burger were pretty darn good for a hole in the wall. My husband and I have been looking forward to checking out this Chicago highlight and it was definitely worth going! We will be back before we leave,0.9041,0.673,0.3,0.027,0.42500000000000004
2017-07-27,3.0,"Not the best burgers (but cheap). Location is sketch (but adds character). Apparently famous because of SNL skit (knew that from Yelp). Friends and I came to watch the Cubs vs Sox game and eat some cheap burgers. To my surprise this place wasn't crowded at all so I guess it's not really a place to watch games? They didn't have very large TV screens but they did have several TVs all around the restaurant. I ordered a polish dog and was surprised it was given on a bun. It left me wanting more so I then ordered a double cheeseburger which I regret not just getting in the first place since that was a decent amount. The patties are thin and the burgers themselves aren't the best but it's quick, easy, and inexpensive. Things to note -Minimum of $5 for card",0.926,0.851,0.124,0.025,0.48558201058201056
2017-07-12,5.0,"What's not to love about this place?  It has it all: seedy location below Michigan Ave, it looks like a dive, staff can be rude, what more do you need?  Billy Goat Tavern has a ton of character, and it's good character.  You may not think it from my opening description, but it really is a great burger joint, especially if you know a bit of the background history.  About 9 or 10 years ago we ate at this location when my son was around 9 years old.  It was his first visit.  We walk down the steps and get in the short line.  A guy taking orders repeats over and over ""Cheeberger, cheeberger, double cheeberger best, you want cheeberger?""  The guy at the grill and the owner are having a bit of an argument in Greek.  My son was getting cracked up and thought it was great, just like SNL.  He was really impressed that the SNL sketch is how Billy Goat really is: ""Cheeberger, cheeberger"", ""No Pepsi - Coke!"", ""Chips no fries!"".  We'll order fries and Pepsi just to hear them say it.  In the SNL sketch the place was called 'Olympia Cafe' so my guess is the owner didn't give SNL permission to use the name.  I wish I would have been there in the 1970s when Belushi and Aykroyd were patrons.  My son loves the triple as do I.  And it's nice to have chips with a burger.  Most every other place has fries so it makes for a nice change of pace.  The buns have a great taste.  Usually it's all about the meat and toppings, but here not only is the burger good but the bun is just as tasty.  I especially like this location being below the street, which keeps it from being overrun by tourists.  I moved away from the Chicago area in 2000 so technically when I eat there now I'm a tourist, but you know what I mean.  Don't come here if you're vegan or you like trendy, overpriced food or modern décor.  If you like crazy stuff on your burgers like avocados, kale, pineapple relish or other stupid toppings then stay far away.  Come here if you want a classic cheeseburger in a place with a lot of character.  Take time to read the walls too.  The curse is, scratch that, - WAS - real!  Go Cubbies!!!",0.9944,0.779,0.164,0.057,0.5607539682539683
