date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-01,1.0,"Went here once with my boyfriend, wanted to try authentic Thai on a Friday night. Food was lackluster, even after an hour wait (we were the only table waiting on food, mind you), we got a papaya salad with no papaya in it! Just a plain salad I could've gotten from a bag at my local grocery store. Next came the curry, I had the Kang Dang and the boyfriend got the Panang. Both with chicken. The curry sauce was quite oily and tasted heavily of salt and msg. In my honest opinion I would not recommend this place. I still have an upset stomach, after an hour since eating. Try somewhere else! Thai food is delicious, just not at this place. Waitress was very nice though!",0.7235,0.863,0.084,0.053,0.6457142857142857
2017-08-22,5.0,"This is my go to Thai place for three years. I eat here two or three times per month. Anthony and team are kind and generous. The portions are epic, the flavor is out of this world, and the spice is available.",0.7717,0.853,0.147,0.0,0.5666666666666668
2017-08-08,2.0,"Whatever their Thai sauce is, it's very sweet. Too sweet actually. Also the noodles were very mushy almost like they had been cooked for a very long time. I would not recommend this place.",0.7874,0.715,0.231,0.054,0.483
2017-07-30,5.0,"i really enjoy this place,we come here often.we used to live close but travels a ways to get here and its always worth.owner is great and always interactive.this is true thai flavored food.the pad noodles are the best.large portions for lunch the next day.you also have the open of on the floor dining.thx we highly recommend this place.",0.9459,0.773,0.227,0.0,0.49142857142857144
2017-07-30,5.0,We came up on this place a few years back. It's a nice quiet place. We never had any problems with the food or service. It's a distance from us but we travel at least 30 minutes to come here. The food is enough for two.,0.3672,0.921,0.079,0.0,0.3888888888888889
2017-07-25,2.0,"I blindly came here out of hunger, convenience, a 4-star Yelp rating, and, again, hunger. I should've taken the time to read all the reviews and look at the menu prices. My biggest mistake was assuming that an order of pad thai would put me in the $8-10 range, instead it was $17.95! A single item order cost me $20 in total. The only justifiable part was that the order was close to 5 lbs, but there are other Thai places that will pack on 3 lbs of noodles for $8. Most importantly the taste wasn't amazing. I grew up eating Thai take-out and in my tastebuds there's a sensation of flavor that hits my palate when I think of pad thai, unfortunately Thai Spicy's pad thai did not meet my expectations. The pad thai wasn't as savory as I personally would've liked it to be, all I could taste were the peanuts. Peanuts in pad thai are only to complement, not overpower the dish. I could hardly taste the savory combination of soy sauce, brown sugar, and fish sauce that I crave for in my pad thai. What was most disappointing was the authenticity of this place. A friend of mine told me that the owner's wife is Thai and cooks the food. For the price and mediocre palate I wouldn't recommend this place.",-0.7364,0.866,0.049,0.085,0.7029761904761904
2017-07-21,5.0,Came here to eat on a whim and was surprised by the quality of the food. Probably one of the best Thai meals I've had in a very long time.,0.7269,0.81,0.19,0.0,0.5733333333333334
2017-07-19,5.0,"While a bit pricier than other RP Thai spots, Thai Spice delivers on delicious curries, kind service, and a delectable range of dishes. Cool vibe, casual, even a bit divey. But it gives some cool options for floor seats at the window. Penang curry was one of the best I had. Tried my partners jungle curry - tofu was perfect though was expecting a tad more heat. Real deal!",0.9766,0.682,0.318,0.0,0.6541666666666666
2017-06-26,4.0,"This is my favorite Thai food in the city! The entree prices seem really high but you get at least 2 meals worth of food from the pad Thai or fried rice. It's also BYOB, which is great because you will be at Thai Spice for quite some time. Food is made from scratch and can easily take 30-45 mins. If you're adventurous, they have an intense 1-10 ""spicy scale"" for dishes. I'd start at 1. In the end it's all worth it because the food comes out hot, fresh and tastes amazing. Thai food in Chicago is pretty poor overall in my opinion, but this place reps the cuisine well. The owner is also SUPER friendly and will talk your ear off if you let him. If you're really craving Thai food, make the trip up to Devon and check out Thai Spice!",0.9919,0.718,0.259,0.023,0.6022222222222221
2017-05-13,5.0,"Best Thai in the city.  We had the 3 star spice, and it was ridiculously hot, so do not try to be macho.  Papaya salad, dumplings, fried rice, pad Thai, panang curry, and pad se ew are all too notch",0.3612,0.82,0.096,0.084,0.5750000000000001
2017-05-03,4.0,"We chose this restaurant based on the Yelp rating. The facilities are dingy and dark. The food however is excellent. I had theussamun Curry, which gladly added a couple of vegetables to upon request. The curry was not too hot. Service is so-so, but again, the food was great. I was a bit taken aback by the prices - noodle dishes and my curry were about $18 each, where I was expecting around $12-$14. A large white rice was $5. However, they brought out troughs of food. Each dish could easily feed two    This is a place to eat, not to dine. We definitely will be back.",0.9464,0.852,0.148,0.0,0.5761904761904761
2017-04-17,5.0,"I have been coming here for 6 years, and this is by far my favorite Thai spot in Chicago. I still remember the first time I met Anthony, the owner. I'm a spicy eater and it took me a while to convince him to let me try Level 5 (out of 10). When I was done making a fool of myself and was burning my tongue off, Anthony made sure I had an unlimited supply of Thai Iced Tea to ease the pain. First of all, let's be very clear. The spice level here is no joke. I am the person who orders ""Very Spicy"" at most thai places. I do not venture above a 4 here. The highest I got to was a 6 - but that was due to a dare and was a meal I did not enjoy at all. The food here is cooked with a level of attention that I have yet to experience anywhere else. Anthony will sometimes bring around a sample of some spices that he has recently acquired, and get your opinion on whether you want it in your food or not. Food takes anywhere between 30 minutes and an hour to prepare, since literally every dish is prepared from scratch (including grinding the spices). Get ready to have some long conversations at this establishment. The taste is incredible, provided that you didn't mess up by ordering a spice level out of your league (you can always ask Anthony for recommended spice). I usually get either the Gaprow Kai (level 3) or the Mussamun Curry (level 2) with chicken. Both of these dishes are the best versions that I've had anywhere. Keep in mind that currys in general tend to be a bit spicier than dry food (such as the Gaprow Kai). I would suggest ordering a Thai Iced Tea to go with your meal - that concoction has the magical property of instantly dousing a mouth-fire.  The prices here are high - between $13-$18 per dish. The good news is that the portions are quite large and I usually have leftovers to take home. The dishes that I get here make excellent second meals once heated up! Overall, the best place to get thai food in the area!",0.9865,0.86,0.115,0.024,0.49809771825396826
2017-04-08,1.0,"This used to be my favorite restaurant. I love their food, but the last time I went, the food tasted weird so I tried sending it back and the owner said no. He said my opinion is wrong and the food is good, and it would cost him money sending it back. I told him I couldn't eat it (something tasted rotten), and he didn't care. He told me to just eat it. Something is seriously wrong with this dude..I've never been to a restaurant that doesn't let you send food back. If you ever come here, just know that what you get is what you're stuck with. I'm for sure never coming back.",-0.8671,0.749,0.088,0.163,0.4962962962962963
2017-03-24,5.0,One of the owners brought our table a heating fan when he saw that we were trying to warm up from the cold Chicago wind. Also: free cookies and complimentary tofu in our Tom Yum soup. What more do you need to know?,0.8555,0.785,0.215,0.0,0.68
