date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-26,1.0,"I went to Home Bistro tonight looking for a good dining experience and was instead met with an incapable server and an egotistical owner. After waiting five minutes to be acknowledged the server came over to the table and said ""are you ready?"" and things went downhill from there. Asa solo diner i was uncertain if i wanted an appetizer salad and entree or just an app and entree. I wanted to be able to gauge how hungry i was before placing the rest of my order. i understood that this could mean a delay in my order and i expressed that understanding. The server refused to take only part of my order and after considering how rude this was i asked for the owner who also refused to meet my needs as the customer. I ended up leaving without eating a thing. It seems to me that if you arent interested in taking care of your customers and you run a restaurant then you are in the wrong business. Its no wonder the place is nearly empty everytime i walk by.",-0.9399,0.83,0.033,0.138,0.6569444444444446
2017-08-20,5.0,"We're foodies and like to try new restaurants.  This is our favorite.  We go there often, especially after we've had a bad meal elsewhere and want to restore our faith in what a great dining experience should be.  The staff is always attentive--but not intrusive.  The dishes are creative, well-presented and delicious.  And if you get a table by the window, the people watching is never dull.",0.9599,0.656,0.301,0.043,0.7964015151515151
2017-08-09,1.0,"They sponsored a five course tasting menu for a special event on Monday 8/7/17, and this was the most disappointed I have been in a restaurant in the past 5 years. Reservations are required for this event, so you would think they could manage the crowd, the food, and the service. I've been to HB before and had mediocre meals, but the BYOB keeps me coming back. This bad experience has ensured I will never return to HB. It seems like when things go bad, they go really bad...and there is no attempt to correct the problem or keep customers happy.   The service was inattentive, cold, and not at all concerned with our experience. We were sitting there for 15 minutes with no attention from our server, so I flagged him down so that we could place our orders. I get that they are busy for a special event, but you would think they could staff it appropriately and plan in advance. The server had minimal communication with the table for the entire night.   The first course was an antipasto with whipped salted cod, olive oil, on a piece of bread. It was basically a salty piece of bruschetta, and the whipped cod is not particularly appetizing. Our server dropped a plate of four pieces at the table, made no mention of what the dish was, and immediately raced off. We had to flag him down, ask for four small plates so that we could share the appetizer. The waiter's response: ""sure, if we have any."" Is it too much to expect a restaurant to have clean dishes to use as sharing plates? We got another copy of the tasting menu because we realized that not every dish would be announced.   Second course was much better. Sausage dish was enjoyed by our friends. I ordered the swordfish crudo, with lemon, pistachio, and Calabrian chili. The flavor profile was nice, and the swordfish was fresh and delicious. This was the bright spot of our night.   Third course was awful. I ordered the tripe alla romana, with pancetta, garlic, san marzano tomatoes, and mint. I had never ordered tripe before, so this was partially my own fault for not asking more questions. Tripe is part of the cow's stomach, so buyer beware. My friend is from London, and told me that tripe is usually served tender and can be quite delicious. However HB's tripe was tough, chewy, and tasted as if it was straight out of a fear factor gross-eating competition. It also smelled like it was cow stomach. Ok, so maybe tripe is not my thing.   I flagged down the waiter, told him that I didn't enjoy the dish and asked if it could be swapped out for another salad instead. His response: ""we're running out of food, so there's nothing we can do."" A restaurant running out of food...hmmm. When you run out of a special dish or two, they get removed from the menu. When you run out of food, you close the doors for the night. Any other restaurant would have offered you something else, taken it off the bill, whatever. Some sort of gesture to show that they care about your dining experience. Instead the waiter immediately cleared the tripe dish away without asking me if I was finished with it. If I'm stuck with paying for the dish, I would have at least let my friend pick at the pancetta bits.   Fourth course was the entrée, and this was mediocre. I ordered the orecchiette with wild board pancetta, rapini, chili flakes, pecorino. This dish had some much potential, but...my portion came out with 12 noodles, three pieces of broccoli rapini, and 6 pieces of pancetta. The flavor was decent; the portion was miniscule. It was so obviously under-portioned on such a large dinner plate! I didn't even bother complaining at this point, because I know I would get some absurd line about how a restaurant with pre-planned reservations was ""running out of food"". Resistance is futile, and I think our waiter may have been the manager also. On the way out we saw someone served a plate with at least double the amount of orecchiette.   For the ending, we were served goats milk cheese with honey and figs. And also some cannoli's. They were decent, but small, and at that point we are just looking to get out of here. I was so hungry that we had to stop for fast food on the way home; this was also a first.   Overall, the five course menu was extremely underwhelming. For $50, your money goes much further at other restaurants. You could tell HB was trying to be fancy with their menu, but a lot of the dishes were bland and boring. Perhaps the exotic ingredients were contributing to the cost, but the flavor did nothing to justify the price. Horrible service destroys the experience, regardless of the food. We will not be going back.",0.9789,0.833,0.098,0.069,0.548686563827409
2017-07-22,1.0,"Zagat writes: ""delicious"" and ""you can't go wrong.""  The person who wrote that didn't order the steak frite.  Just left the place having been served the worst steak I've ever been served. You'd have to like chewing gum to like this piece of garbage.  The potatoes and asparagus were excellent. When i complained to the waiter he said to me and my companion, ""Get out of here!""",0.2942,0.794,0.117,0.089,0.6833333333333332
2017-07-20,5.0,Delicious BYOB in a hidden storefront in Boystown. Home Bistro has a great menu of American food with a modern twist. I would recommend the Wednesday pri-fixed deals as well as making a reservation.  Need to come try for brunch!,0.9134,0.71,0.29,0.0,0.47666666666666657
2017-06-28,1.0,"We were so excited to try a restaurant in Boystown with such high reviews (hard to find GOOD food in Boystown).  We did not have reservations but the hostess said she could seat us, as there were no reservations until 7:30pm (this was at 6:10pm and there were only 3 tables occupied).  Immediately after we were seated, I ran across the street to get wine and asked the others at our table to order appetizers.  I returned to find that they did not place the appetizer order, as they didn't allow them to.  The server said that we had to order everything at one time.. very odd, but okay.  We ordered and food came out fairly promptly.  The meal was solid and we were, overall, happy with our food.  Now comes the issue.. It's now 7:23 and we ask for a dessert menu.  The server says (while still walking) that we could not order dessert because they needed the table at 7:30.  I was sure I didn't hear him correctly, but (as stated) he said this while walking away so I asked him to come back over.  I asked again about dessert and he said we could not have dessert as they needed the table for a 7:30 reservation.  Now, I completely understand honoring reservations. However, we ordered with plenty of time to be served AND there were 3 other open tables at the time!  I asked for the hostess, who told me the same thing and handed me our check.  UNBELIEVABLE!!  No matter what, they were focused on having that particular table open at 7:30.  Now, there were 3 other tables open at the time.  Plus, what are the chances that all 4 reservations will show up at exactly 7:30.  And how many times do you check in at a restaurant for your reservation and they tell you it will be just a few minutes before your table is ready.. it happens all the time!  I just cannot understand why (I don't want to say it was race, but I saw no other people of color in there, unlike our mixed party).  We left, leaving VERY upset.   Naturally, I walked back past this place at 7:40.. 15 minutes after we were kicked out.  Guess what.. still 2 tables open!!  Needless to say, they won't take any more money from me.",0.9193,0.869,0.082,0.05,0.4507807807807809
2017-06-04,5.0,We came here with a big group and had family style dinner.  Wow.  We had the opportunity to try different dishes. Every one of them were  delicious like a fix menu in a really expensive restaurant. plus is BYOB so we were able to bring our favorite wines.  Must visit.,0.9413,0.727,0.273,0.0,0.7178571428571429
2017-05-26,5.0,Wow. This place is amazing. Be prepared to eat a lot but to enjoy everything. Highly recommend!!,0.9303,0.426,0.574,0.0,0.735
2017-05-21,5.0,"My boyfriend and I came here for dinner on a Friday night, we made the reservation that afternoon and they were able to squeeze us in at 6:30. By 7pm, the place was crowded.  We took advantage of the BYOB (with no corking fee!) and our waitress immediately offered to open our bottle, then proceeded to recommend a few dishes on the menu.  The had a ""specials"" menu where we ordered a fried soft shell crab for our appetizer, as well as the homemade pappardelle pasta for my main course (with chicken pesto). My boyfriend ordered the pork cheek of the normal menu and said it was one of the best dishes he'd ever had. All in all, we had a great time at Home Bistro and will definitely be back!",0.9431,0.853,0.131,0.016,0.45583333333333337
2017-05-19,3.0,"Decided to eat here the other night after reading the reviews.  Cute little place where you bring in your own alcohol/beverage to have with your meal, as I assume they don't have a license.  The menu looked promising with the edgy menu.   It was just okay.  It's hard to rate a place when some things are great and others not so my ratings are as follows.    Service - 5 stars Price - 4 Stars Food - 3 Stars.  Some of the more eclectic foods deserve 4 stars, but some of the less complicated choices were just average, especially the pasta and Caesar Salad - they were not good at all! Homemade Fettuccini and pancetta sounded so good, but the pasta was extremely pasty and very very Al dente! Very little flavor even with the pancetta.  How can a chef blow pasta?   Caesar about par to the Olive Garden. Dandelion salad was good.  Flap steak and spaetzle was also good.  With that said 3 stars overall isn't too bad if you are careful about what you order.",-0.4009,0.846,0.075,0.079,0.6245833333333333
