date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,3.0,The food was good but the service was SO slow. Took about 15 minutes to get more chips. There is a somewhat limited menu but I got the fish tacos which were really good. Multiple requests were made for drink refills and other misc. requests and all requests took FOREVER. The server didn't seem too interested in serving our table. Pineapple margarita was delish.,0.2506,0.846,0.085,0.07,0.38973214285714286
2017-09-03,4.0,The pineapple margarita is incredible. Not too sweet. It's perfect. The braised rib taco very good as well.,0.9053,0.533,0.467,0.0,0.8325
2017-08-15,4.0,"I came here for drinks after the Hot Dog Fest with a few friends and we sat out in the nice patio area.  I ordered an Adobo Margarita with a Smokey Floater, which is a side shot of mezcal. After that I had a Pisco Sour. They were both very good and I would definitely get them again if they were a litter cheaper.  Also, I wouldn't want to come if it were very crowded, because the bathroom is a tiny little closet with one stall and one urinal. I felt cramped even when I was the only one in there.  Overall, the patio is nice and the drinks are good, but it is a bit on the pricey side.",0.8117,0.872,0.106,0.022,0.5561538461538462
2017-08-13,5.0,"Enjoyed the Adobo experience. We were treated with friendly and professional staff. We started out with Guacamole and chips. I ordered the Chile Relleno with three cheeses stuffed into a large Ancho pepper. My wife ordered the Pechuga and a friend had the Pork Tacos. The Pechuga was served with chayote, Rajas and a sauce. We finished the dinner with two deserts of Churros with dark chocolate and a caramel sauces and the other one was a Pastel de Tres Leches. Everyone enjoyed everything we ordered.",0.9186,0.854,0.146,0.0,0.45765306122448973
2017-08-06,2.0,"Slow service. Uninspired food. Extra for ice. We used to like Adobo but our visit last night was really disappointing.  We were happy that their famous guacamole is still GREAT.  It fell apart from there.  We went early on Saturday before it got crowded but busy enough that the patio was full.  It took 10 minutes before anyone came to our table to say hello or take a drink order. I ordered tequila on the rocks with lemon and lime wedges.  We of course had the guac.  Drinks came and my tequila was in a mini snifter with a lime.  My companion's margarita was shaken table side and presented in a martini glass.  I asked the waiter to put my drink in a larger glass with ice, lemon and lime and he obliged without a word.  Guacamole and drinks done, we had to find our waiter to place our dinner order, because he had never come back to check on us or to take our order.  I ordered the chicken tacos, no cheese.  My next drink was delivered as ordered.  The chicken tacos came and they were the saddest looking tacos I've ever seen.  3 corn tortillas spread out on the plate, 3 pieces of chicken breast, 3 slices of breaded avocado, and some crispy chipotle, oh and the cheese I asked NOT to be included was melted over the top.  No lettuce, tomato, sauce, nothing.  It was like they were scrimping on extras to save pennies.  The dollop of rice was not even worth a mention.  I scraped off the cheese (not worth hunting down the waiter, who again was nowhere to be found).  Flavor was good, but nothing special.  My theory about scrimping for pennies was confirmed when the bill came.  I was charged $1.50 for the ""rocks"" for my tequila.  Mind you not a sphere of ice, not a large cube--nope.  Just the same small-cube ice used to shake the margaritas.  I don't recall seeing a note on the drink menu about ice costing extra and the waiter never said ice is extra (probably too embarrassed.)  This is not a mixology kind of place and the food is on par with a fast food Mexican take out.  They are confused about who and what they are.",-0.058,0.853,0.068,0.079,0.48880471380471374
2017-07-25,3.0,"The food gets close to 4 stars. Guacamole made at the table was very good. I enjoyed the el pastor tacos - the pineapple was a nice touch. My wife had the adobo chx with vegetables which was also good. The issue was how long it took to get our food. Had to ask a few times, which was an issue since we were dining with 2 kids. The service staff was very attentive but the kitchen was slow. Dropping down to 3 stars.",0.7493,0.897,0.103,0.0,0.5854320987654321
2017-07-23,2.0,"Used to like adobo grill, but I've been twice in the last few months ago and the quality of the food is not what I remember. The chicken was tough both times, and the service took a very long time and drinks and orders were messed up and/or had to be asked for several times. That's not to say the people aren't wonderful- they just seemed overwhelmed.",-0.7781,0.835,0.042,0.123,0.4957142857142857
2017-07-09,5.0,"An unassuming Mexican restaurant with delicious food and drinks!  We happened to go in for brunch one Saturday morning and boy were we surprised. The decor is authentically Mexican and so is the food. My party has the ceviche, tacos - breakfast taco and beef tacos, and for beverages sangria and a fruity cocktail whose name escapes me.  Fast forward to last Friday, we returned for a pre- show dinner and we sampled 3 different dishes high were equally delicious! I tried the Mimosa and can attest to the fact that they make great cocktails here.  My recommendation is try it all as they have a great chef , small portion sizes which I like as I prefer quantity over quality and an amazing bar tender. Service has equally been good on a slower Saturday morning as well as on a busy Friday evening. On both visits, the piece de resistance has been the table side guacamole - you choose your heat and get the most sumptuous guacamole!  A must visit place for a stone craving authentic Mexican food in Chicago",0.986,0.822,0.178,0.0,0.5214035087719299
2017-06-25,5.0,Awesome service! Delicious food! Amazing drinks! Best Mexican restaurant! LOVE! LOVE! LOVE!,0.988,0.136,0.864,0.0,0.6249999999999999
2017-06-25,3.0,Pretty average carne Asada. They try to make everything too complicated but they had great chips and salsa,0.8294,0.674,0.326,0.0,0.7875
