date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-01,4.0,Went here for breakfast while visiting Chicago. The breakfast was really good. The selection is very basic but the food was really good. The prices are very good too. I ordered the 2 egg plate with fruit & whole wheat toast. The fruit came first--which was great! The eggs were cooked exactly how I like them.,0.9677,0.703,0.297,0.0,0.5060714285714286
2017-08-29,5.0,If you need a drink and can only afford one - go to Ceres. This place is lowkey during the day but it's prime time is 5 pm on Friday (Thursday nights can sometimes be a big night as well). Ceres is in The Board of Trade and they make the strongest cocktails ever - don't order a margarita- it will take like a handful of Tequila shots. They literally fill an entire glass with alcohol and then put a splash of the chaser - like you're coke comes on the side or your glass of rum. People start the night here and then go to Reverie or another bar after because it closes early (I believe 8 pm). Warning: don't drink more than two drinks.,0.8047,0.893,0.083,0.025,0.505
2017-08-18,5.0,"The pancakes! U must order the buttermilk pancakes.  We were looking for a breakfast spot to go to before going to the sky deck, and am so glad we saw this place.",0.632,0.875,0.125,0.0,1.0
2017-08-16,4.0,This is a great spot to grab a quick sitdown lunch in the Loop. Love the Triple Decker Club from there. Then after hours if you want to get lit on cheap drinks. This is also the spot! Full cups of Liquor with whatever chaser you want on the side.,0.8805,0.797,0.203,0.0,0.6199999999999999
2017-08-09,4.0,"Stopped on a whim and left thinking I'll be back. The tomato bisque was dreamy, and the tofu Buddha bowl was tasty, fresh, and BIG! I could not eat more than half. Since I'm heading to Union Station to ride the Blue Water, I can't really take the reminder with me, but I would if I could. I thoroughly enjoyed my lunch and my friendly server. I left with a warm, full feeling.",0.9298,0.78,0.201,0.019,0.3012820512820513
2017-07-30,1.0,The place was loud and noisy and reputedly had barf in a bathroom sink at happy hour. The sin however was the waitress who forgot drinks were ordered then after splitting a bill for a person at the table and took literally 45 minutes to do it. If you have  the tall blonde waitress sit in another section. WORST EVER LITERALLY.,-0.7531,0.796,0.055,0.149,0.7
2017-07-23,4.0,"There's a reason why this place is always packed- cheap, strong drinks and an easily accessible location. But the menu, while small, is filled with really good bar food - especially the chicken quesadillas, served with salsa and guac. If you're in the area early the breakfast and lunch menus are strong as well. Be warned if you go after work- they close early.",0.9041,0.774,0.197,0.029,0.6356060606060606
2017-07-15,4.0,One of my newest 'go to' places for a quiet breakfast or lunch....good menu for both.  Definite place for an inexpensive business lunch...quiet enough for a decent conversation.,0.2732,0.923,0.077,0.0,0.5
2017-07-14,4.0,"FUN! My friend invited me to happy hour at this place and all I can say is this place is awesome.  Definitely come here for drinks they make the drinks strong. Its not too expensive like the surrounding restaurants. Its pretty packed on a regular basis. It's a place where professionals come after work and I like the crowd. It's a great place to network, catch up, or hook up and have a good time.  Our waiter was very attentive and kind. I will definitely return and suggest you come by for the happy hour- who knows you may see me there and make sure you catch an uber, lyft, cab, or ride because you will be lit.",0.991,0.666,0.305,0.029,0.7232763532763534
2017-07-13,4.0,"This is probably my MOST favorite spot for happy hour! There is a very heavy pour and in the middle of downtown that is super important. They have egg roll like things that I love but aren't on the menu, the sliders where a big ok, but honestly I love the people at this spot. The service is ok too but it's really the people that go that make it worthwhile!",0.9836,0.635,0.365,0.0,0.5583333333333332
