date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,4.0,"Many local Argentinians have recommended this place to me and said that it is the best in the city. It also just so happened that on the way to Jeni's, our uber driver also recommended it to us. I went in with friends, as a group of four.  We ordered the Medio Pollo al Limon and Lomo Relleno. The amount of food we anticipated was not even close to the amount that we got. We thought what we ordered would be a good amount of the four of us. The amount that we got could feed a small village. The Medio Pollo al Limon could have fed at least me and 2 other girlfriends. The lemon and chicken combination was delicious. It had just the right amount of tangyness that was present but still enjoyable. The Lomo Relleno was a tad overwhelming. The meat was cooked so perfectly. It was tender and flavor was present wherever your teeth sunk in. However, I must say that it was a bit too salty, and the mushrooms that were included in were extremely salty. We only finished half of the Lomo Relleno, and I took about a quarter of it home and ended up splitting it into 4 meals (I could only eat so much of it each meal).  This is definitely somewhere I would refer to as romantic. The lights are extremely dim and for the most part don't light your table. Candles brighten up your table, but can be sensitive for some eyes. At Tango Sur, the amount of food definitely matches up with the price you pay, if not more. Make sure you're super hungry, or that you're coming with a big group!",0.9905,0.843,0.143,0.014,0.5575140809011777
2017-09-01,4.0,"Was recommended here by our Uber driver, who's Argentinian. I came with a group of four, and we ordered the Medio Pollo al Limon and the Lomo Relleno. I'm not sure if it was because we weren't super hungry, or if we had just ate early, but these two plates were MORE than enough for the four of us. First off, the atmosphere in Tango Sur is ideal for dates, as it is very dark and each table has only one light provided by a candle. My friend and I blew out the candles because our eyes were starting to water, but the girls in our party were oddly not affected by it. When the food arrived, we had to use our phone's flashlights because we couldn't see what we we're eating, it just looked like a big steaming pile of darkness LOL.  The Lomo Relleno (42 dollars) is for two people, but it can honestly feed 3-4 people. The meat is very tender and chewy, and has enough juice to make it very flavorful. The only downside is that eating such a big portion as this dish can be tiring, and also gets to become too salty. There are strips of portobello mushroom on top, that make for a good side dish when your mouth is tired from chewing the meat. This dish is HUGE. The four of us only ended up eating half of it, and my girlfriend and I split the rest to take home. I had enough meat for two dinners!! The Medio Pollo al Limon (18 dollars) is also a pretty big dish, and could satisfy two people. I really like lemon/sour food so the chicken was very good. in my opinion. It also came with a side of potatoes that were also tasty and very soft.  For the price you pay, you get a tooooon of food, so be sure to really gauge how hungry you are before you and your friends each order an individual dish. Also, bring some goggles with you if your eyes be sensitive to things such as onions..and candle flames hehe.",0.9929,0.81,0.148,0.042,0.5615242165242165
2017-08-29,5.0,This place was awesome!! Food was delicious! We had two appetizers which included an eggplant and the other was a provolone cheese dish. Both tasted amazing!! The bread was also great and nice and warm. For dinner I had the filet and it was cooked to perfection and the mashed potatoes included a nice flavor to then. Overall my family and I were very happy with this place and hope to return again before going back to NY. Our waiter Alfredo was great and provided suggestions and never made us wait always checking to see if we were okay.,0.9912,0.67,0.33,0.0,0.6826923076923077
2017-08-29,5.0,"I came on a Tuesday night with 2 friends. We had a reservation but it didn't seem necessary to be able to sit inside immediately. Our server was very nice and quick. We brought our own bottles of wine since it's BYOB. We started the meal with corn and ham and cheese empanadas and a provoleta. Both we very good. Only issue was the provoleta didn't come with more bread so we had to flag someone down to get more. We all shared the parrillada para dos which was steak, short ribs, chorizo, sausage, fried sweetbread and blood sausage. I am usually not a fan of blood sausage, but this one was very nice. The steak was great, as was the short ribs. The chorizo was fine. I'm not a fan of sweetbreads because of the chewy texture, but I heard they were good too. It came with salads on the side which were also nice. We all left very full and still had some leftover to take home, so our whole meal probably could have fed 4 adults. Pricing is reasonable for a steak place. Location is good too. It's very dark so it's a good place for a date.",0.9913,0.785,0.193,0.022,0.6131555555555556
2017-08-29,5.0,First time try an argentinian grill and they didnt disappoint us. Service were nice we got EL Filet that very tender and juicy but too bad we were very full so we didnt try the ribeye but will try next time  TIPS : they also do BYOB,-0.4975,0.839,0.069,0.093,0.5025
2017-08-26,1.0,"Terrible service, steaks were not cooked how we ordered them. The restaurant is overhyped, quality of meats is actually very average.",-0.4767,0.866,0.0,0.134,0.76
2017-08-23,4.0,"Seriously great food, HUGE portions, and great service. Love that its BYOB! only downfall is the wait...But that is to be expected when you have great food and great staff!",0.9764,0.47,0.495,0.035,0.7375
2017-08-22,4.0,"Large Portions, good service and it's BYOB. I would much rather skip a fancy steakhouse downtown and dine here instead. I had a great first time experience!",0.807,0.742,0.258,0.0,0.46238095238095245
2017-08-22,5.0,"Omg!! I'd have to say easily one of my top 5 favorite restaurants in the city! The ambiance is dim, lively, and fun- perfect for a romantic date but also w a group of friends (ya, kinda contradicting statement but it works?!) I've ordered pretty much everything on the menu, the red meats are great, but my all time favorite are the sweet breads, all empanadas, and the pechuga de pollo! The portions are huge here and it's BYOB. I feel like for a steak house, it's very reasonable in terms of price, and the food quality is a 5/5. I can't wait to go back!!",0.9901,0.647,0.334,0.02,0.6066666666666666
2017-08-21,5.0,I am from out of town and this place was recommended by a friend who used to live here as his favorite place in town by far. The empanadas are a must. The big filet and churrascuro were phenomenal as well.,0.8442,0.771,0.229,0.0,0.62
2017-08-20,4.0,"Whether it is their amazing steaks, the atmosphere or that you BYOB Tango Sur is popular for a reason. They do not allow call aheads. Someone else mentioned a reservation, though I was not aware they accepted them. So either try a reservation or make sure you have the time to wait (and we wanted two hours on a Saturday night) because it is worth it. The staff is not good at estimating how long the wait will be. I suspect that this is due to diners lingering after the meal after having succeeded in scoring a table. The staff does not rush diners out the door either. There are several bars in the immediate area that are good so as long as you plan ahead and are not immediately hungry. You can also go buy a bottle of wine at their sister restaurant next door.  The patio is pleasant and the interior is dark, lite primarily by candles. It's a romantic and cozy atmosphere, though it can get a bit loud. The service is friendly, though a bit slow (again, make sure you have enough time as to not feel rushed). While Tango is a steak place they do offer other options. One in our group was not a red meat eater and ordered the half chicken. I was impressed how well they did chicken. Perfectly roasted and seasoned. My steak was amazing and cooked exactly to order. It came with mashed potatoes, and this is where I was disappointed. If you are going to do a great steak do not ignore the side. Others ordered sweet potatoes, steak fries and asparagus and all of these sides were very good. So stay away from the mashed and you'll be satisfied.",0.9875,0.791,0.159,0.05,0.5781381381381381
