date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-23,1.0,"Don't ever order take-out from here... Worst experience I've ever had from any restaurant in the city! First off, I never give bad reviews but this one is very warranted.  I'll start off by saying that Coastal came up as the top rated sushi place near the location I was at, so figured it was going to be amazing!  Quite the contrary... it took almost 2-hours for them to deliver my food due to it being ""a super busy night at the restaurant"" (which was on a Tuesday night mind you).  I called the restaurant twice within a 40-minute period after my order was already late -- and both times, the extremely rude hostess said she would call the driver to see where he was at, and said she'd call me back... and I never received one phone call from her or anyone else!  The driver finally showed up at 8:50pm (and I placed my order just after 7:15pm). When it finally arrived, I was shocked to see the tiny-little bag containing my order... It was the smallest amount of food that I've ever seen for a $70+ order, and I even had to make a frozen pizza afterwards for my group because we were still starving.  And overall, the sushi wasn't all that great.   Not sure why there are so many good reviews of this place, but my experience with this restaurant was the absolute worst one I've ever had in my life, no joke!  Grubhub/Eat24 tried making it ""better"" by offering me $2 off on my next order.  This to me is such a joke!  Won't be using them on any future orders for a while either.",-0.2973,0.82,0.094,0.087,0.5631687242798354
2017-08-18,5.0,"Rated as one of the best sushi places in Chicago and I tend to agree. My go-to's are Rollapalooza and Sushi Para since I live in Wrigleyville. I came here on a Tuesday night with my girlfriend so it wasn't that crowded and we didn't have to wait for a table.  The ambience is dark and cozy so it's a solid place for a date. I am not a picky sushi eater so I thought the sushi was very good! We had edamame, sashimi plate, smokin pumpkin roll, rainbow roll, and spicy tuna roll. Yes we were starving! I thought the sashimi was fresh and the rolls were flavorful.  The prices were standard sushi prices for Chicago, which are always a tad expensive. But this isn't McDonalds. Being BYOB with no bottle fee is a plus too. I would definitely recommend Coast Sushi!",0.9505,0.81,0.156,0.034,0.453
2017-08-10,3.0,"If I was writing this place on the sushi alone it would get a five for sure. It may have just been our luck on the night we went to the atmosphere left a lot to be desired. BYOB is usually not an issue unless the table next to you is three women squealing and yelling with laughter. I'm not a stick in the mud, but my husband and I could barely hear each other over their screaming and laughing. They were there when we sat down,  nursing their bottle of wine and we're still sitting there when we left. The food was great,  but about halfway through our meal we definitely picked up the pace just to get out of there so we could enjoy actually having a conversation again. Other patrons seem to notice as well and people were shooting them glances. Wish Coast could've asked them to at least be mindful of other diners.",0.9769,0.797,0.175,0.028,0.3268518518518519
2017-08-05,5.0,Loved the sushi! The waiter was very informative and friendly. Great atmosphere and absolutely love the BYOB option. My friend and I would definitely come back and I look forward to going back next time I'm in that area.,0.9724,0.583,0.417,0.0,0.38333333333333336
2017-07-23,3.0,My go too sushi spot! I live around the corner and it's just so easy when I get sushi craving! The sushi is good most of the time. Three stars because I feel like it's too pricy for the quality.  The staff is pretty good too. Friendly and attentive!,0.9602,0.674,0.326,0.0,0.6791666666666667
2017-07-21,2.0,How does this place have so many and good reviews??!?? Just had some might be the worst sushi ever. The soft shell crab roll barely any crab with super oily taste. The white tuna roll doesn't seem to have fresh fish. The sushi rice tho. By far the worst sushi rice I have ever had. Should have gotten sushi from Whole Foods and spent way less money....,0.3433,0.764,0.133,0.103,0.48333333333333334
2017-07-21,4.0,"I'm basing this review on delivery. I didn't think it was possible to get great sushi delivered as it doesn't seem like a dish that would travel well but I LOVE this place. We've tried most of the rolls and some sashimi and they're solid every time. The delivery is always super fast, this sushi is fresh and always fabulous. We probably order weekly and it never disappoints. Well done Coast!",0.98,0.64,0.318,0.042,0.6351851851851852
2017-07-17,5.0,It is BYOB. Friendly and knowledgeable staff. We go before the rush but well worth the wait if you go during rush hour.,0.6124,0.769,0.231,0.0,0.3
2017-07-16,5.0,Great Sushi. Wish it was in Arizona. I would eat here once a week. Fresh and inventive. The BYOB is a nice feature.,0.8979,0.573,0.427,0.0,0.8125
2017-07-16,5.0,Fish is always fresh and delicious. BYOB is great and no corkage or bottle fee. Most of the servers and staff are friendly and have been there a long time. No call ahead and you must make a reservation if you want to dine on a Friday or Saturday night. Can get a little loud and rowdy. A little pricier than other sushi places in the area but the quality is really worth the price.,0.8121,0.797,0.162,0.041,0.5386363636363636
2017-07-10,3.0,Crunchy salmon roll was very good. All the rolls were good but nothing special. BYOB. Gioza was pretty good. If you use cash it's a discount. Overall would go again!,0.8803,0.601,0.327,0.072,0.591904761904762
2017-06-30,5.0,Consistently fresh delicious sushi. Skip the traditional rolls ( which are good but not stand outs) and Try some of the coast signature rolls like the mango roll or volcano roll. spicy tuna roll is excellent. Restaurant is byob. Service is solid.,0.9343,0.684,0.316,0.0,0.6583333333333333
2017-06-27,4.0,"This is my favorite sushi spot by far. The ambience is cute and intimate. Perfect for date night. Great sushi overall. My favorite is the Dragon Roll. If you're in the Bucktown area, this place is worth checking out.",0.9565,0.638,0.362,0.0,0.7166666666666666
2017-06-27,5.0,"I am so happy with my experience at Coast. This place is BYOB which is cool. The sushi here was outstanding. I usually dip my sushi in spicy mayo and soy sauce and I didn't need anything for my rolls this time! Honestly i don't know what I ate because my friend ordered everything, but hats off to the sushi chef. Awesome vibe, awesome server.",0.9696,0.703,0.297,0.0,0.8107142857142857
