date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,"Good food. The pad Thai is especially good for Chicago Thai food. The ambiance is nice and the service is good. Very reasonably priced as well, with $5 drinks all evening. I'll definitely be going back.",0.9421,0.64,0.36,0.0,0.64
2017-09-02,2.0,"Very poor service, but good food. My husband, our son, and I went there for lunch. The lady who helped us was a little too ""present"". She came twice in 5 minutes to ask if we wanted to order, even if we were clearly still reading the menu. She then brought the appetizers and entrees all at once. While we were eating, she came at least 10 times to ask how we were, and then asked if we wanted to wrap our food while we were still eating. She also included the gratuity in the total, which I didn't appreciate. She didn't give me a copy of the receipt. Super bad service. The food was good though, and arrived quickly. We got thai soup, mongolian beef and basil beef.  Because of the poor service, I would only recommend it as carry out.",0.7526,0.787,0.123,0.089,0.5728205128205128
2017-08-27,4.0,This was a great little random stop and the food was tasty. A nice break from the hustle and bustle of the touristy location. The service was great and the food really isn't a bad cost at all!,0.926,0.647,0.311,0.041,0.6944444444444445
2017-08-19,1.0,"Everything about this place is horrible be it the service or the food or the owner himself. Owner is a cheap a** and a miser. Groupon buyers beware !!!!!!!!! When you go there with a groupon they charge you 18% gratuity automatically on your total food bill to cover the restaurant costs towards the groupon. The reason the owner gave me for this is "" the servers need to cover their parking costs as well as living costs with this gratuity."" It seems like the owner does not pay his server salary. Thats why they resort to such cheap gimmick. So basically your groupon value is nullified because of this. Also they add a seperate gratuity section to your final bill so if you are not aware you pay the tip twice. These guys are shameless and try to demean and insult you when you try to confront them over the 18% groupon gratuity. No where in the groupon it is written that you are required to pay 18% gratuity when you use it. When you try to use the groupon they disrespect and insult the customer as if the customer is begging for food and to dine in this shitty restaurant. Do yourself a favor and do not dine with these cheap minded misers.",-0.9603,0.815,0.058,0.127,0.7000000000000001
2017-08-06,5.0,"Baisi Thai is SUPER underrated. In addition to having a wide variety of Asian cuisines (Thai, Chinese, Japanese), it's situated on the sixth floor of the huge shopping center at 900 N Michigan. The views of the city are pretty righteous (my girlfriend and I could see Lake Michigan and parts of the skyline from our table). We came in with a $25 groupon voucher that only cost us $11. With the voucher, we ended up only having to pay $10 (including a 25% tip) for our meal of crab Rangoon, fried shrimp egg rolls, and a chicken teriyaki bento box (which came with miso soup, seaweed salad, vegetable tempura, and a small assortment of sushi rolls). The food was spectacular and filled us to the brim--we almost didn't finish it all. The bento boxes are excellent if you're looking for something to split between two people, though I would recommend getting an appetizer or two with it. Some reviews indicate poor service, but my experience with the staff was very pleasant. They were friendly and accommodating--multiple people stopped by to fill our waters and check on us. Even without a groupon, this place is still quite the bang for your buck.",0.9355,0.878,0.095,0.027,0.6287037037037037
2017-08-02,3.0,Kinda pricey but good buffet at $12. Difficult to find. Server we had was poor. Rest of staff was fine.,-0.4109,0.551,0.195,0.255,0.675
2017-07-22,5.0,"Came to Chicago for a wknd getaway and came here for dinner with my bf and this place is pretty good. Although they have a huge variety of food including Thai, Chinese, and Japanese, I can say that the Thai food was good. Pad Thai was better than my fav restaurant back home. The salad was very good and they are not cheap with the shrimp. Overall highly recommend to try this place out. The service was wonderful as well. That's an important factor to satisfy my experience.",0.9841,0.685,0.315,0.0,0.5442857142857143
2017-06-30,5.0,Stumbled in here for a drink while shopping and ended up having lunch. Beautiful views of the lake and amazing food. The service was also great. We ended up coming back a few days later because we loved it so much.,0.9493,0.69,0.31,0.0,0.46875
2017-06-21,5.0,This is my favorite Thai restaurant in Chicago. Their green curry chicken is the best that I have ever had!,0.8172,0.694,0.306,0.0,0.6375
2017-05-06,5.0,"Love Basai Thai. Best chicken fried rice in the city. Also, the pad lad Nar is top notch. The staff is the.  Best part. Love them all!",0.9633,0.538,0.462,0.0,0.5416666666666666
2017-04-11,2.0,I would not recommend. The lunch special soup was very thick and starchy and kimchi tasted super sour. If you plan to go here I recommend  to order ala cart and not lunch special.  *******Otherwise the view is what you pay for***,0.6888,0.695,0.19,0.115,0.5054047619047619
2017-04-06,4.0,"Great location on Michigan av overlooks Lake Michigan and oak street beach , we had sushi California rolls, and tom yum soup , and pad Thai stir fry noodle dish , decent food",0.6249,0.876,0.124,0.0,0.7083333333333333
2017-03-05,2.0,"Giving two stars for service we had to have our two year old stand on the chair and shout ""excuse me!"" Just to order and get refills and ofcourse asked for the CHeck twice till we finally got it. Food was ok nothing to come back to.",0.636,0.877,0.123,0.0,0.35
2017-02-19,5.0,"Amazing place! They seated us about 40 minutes before closing and were so patient and nice when we were waiting to order on someone who came 10 minutes later.  We ordered the fried dumplings, orange chicken, broccoli and beef, and pad see ew. The fried dumplings were huge, packed full of a delicious meat. The outside was crispy but a little too thick for my taste. The orange chicken tasted amazing and not at all like knock off orange chicken. It went so well with the rice. The pad see ew tasted like other pad see ews so I couldn't complain there. Same for the broccoli and beef.  The service was great. A gem in a shopping mall that looks like it would have questionable Asian food. All reasonably priced dishes so I'm definitely going to come back for my Asian cravings!",0.9658,0.737,0.184,0.079,0.5670454545454544
2017-02-14,1.0,"If I could give less than one star I would. I could hardly get the food down it was so disgusting. The meat was extremely questionable and very difficult to stomach. The waitress was nice but the food was so terrible, it didn't change my experience much. I wish I'd paid attention to the negative yelp reviews before coming here. Never again...",-0.9084,0.696,0.074,0.23,0.6497222222222223
2017-01-22,1.0,"What was once a nice place to grab a fast lunch on the Avenue. Had gone down hill with bad service, un-attentive wait staff.  I'm sure they will soon close not due to the food but the service.",0.0772,0.851,0.091,0.058,0.6365740740740741
2017-01-02,5.0,"Okay, not super Thai.   No Pad thai.   Disappointing.   But, i went to the lunch buffet twice in three days and was not disappointed.   Good, maybe not great, but still good food.   And it existed.   Meaning, that other places that supposedly have a lunch buffet don't, at least this place does.    And in a beautiful setting.   The Bloomindales building at 900 N Michigan Ave. All in all good lunch buffet at a fairly reasonable price.   $13 + tax and tip.   Not too bad for North Michigan Ave. Still looking for that GREAT thai lunch buffet.",0.9287,0.671,0.216,0.113,0.6398809523809523
2016-11-03,3.0,"It was only during my second visit that I noticed the views from this restaurant. This is like the last restaurant on N Michigan ave (on the west side), before it intersects directly into the lake shore drive. One can get decent views of the lake, the (Drake) hotel across the street and the street below will most likely appear calm on a weekend evening with minimal foot traffic.  The restaurant is on the 6th or 7th floor of the mall building. Even I can't remember it myself.  Service is ok and can definitely get better. I have only tried vegetarian entrees or appetizers. Did not like the veggie fresh spring rolls & tofu was really hard in my cashew entree.  With groupon, they charge $5 gratuity so keep that in mind.  Overall, I would still recommend this place for. Date / group/ family / any kind of get together. Setting is very spacious and neat.",0.9625,0.845,0.145,0.01,0.5402777777777777
2016-09-29,3.0,"My experience at Baisi Thai was ok. The food wasn't amazing, but the view was nice. I do think it would help to tell customers that the restaurant is located inside the shopping mall of 900 N Michigan. Again, food was alright, but I will probably not go again.",0.8524,0.754,0.209,0.037,0.7999999999999999
