date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-29,3.0,"Only come here if you're really craving Peruvian food and don't want to drop too much $$$ at Tanta or drive all the way to Machu Picchu restaurant.  I came here for the weekend buffet and the food was average at best. Their white beans and *some* pieces of tamale were alright, but don't expect great food for a $16 all-you-can-eat buffet.",-0.2605,0.833,0.083,0.084,0.4071428571428571
2017-05-16,1.0,"We were so looking forward to eating at this interesting restaurant.   This place had superior reviews for food, service, and ambience.  Maybe they were having an off night, but the restaurant looked deserted.  The surroundings made me think of a creepy fx episode beginning in a very shabby empty hotel lobby of yesteryear.  The bread and hot-verde spread was unappealing to me.  Our waitress was  not pleasant  and became downright churlish when we asked if we could pay with our credit card separately with our friends.  I ordered the verde tamales.  They were excellent, but were at room temperature.  The chicken soup with fish was so over salted  that it bordered on being inedible.  The main course was chicken with walnut sauce.   The dish was brought on an ice cold plate.  When it returned, I still found it not appealing.  The Peruvian flan did not even hit the mark and was adorned with a mint-sprig that resembled a wild thistle.  If we will return, I would order the extra crispy chicken.  Bon Apatetite!",0.915,0.846,0.112,0.042,0.6781249999999999
2017-04-16,2.0,"My family and I came here for Easter. I don't regularly review restaurants, although I was not fully satisfied with this restaurant. Our server was friendly and energetic but was not the best server. Myself and family members hardy got their drinks refilled, we repeatedly had to ask for more water and drinks. The buffet was sub par, half the food was cold and it was served on plastic plates. I ended up getting full off bread and butter. The staff are very nice and friendly but not fully great on satisfying their guests and the restaurant experience.  None the less, would I come again... No.",0.761,0.726,0.163,0.111,0.565018315018315
2017-03-25,5.0,This is a wonderful restaurant !!! the food is just delicious !!!! the portion is huge and just delicious !! please come and try and you wont regret!!! I will definitely come back very often!!,0.9512,0.548,0.405,0.048,0.6714285714285715
2017-03-10,5.0,"Delicious pisco sours and really great Peruvian food. The house ceviche is awesome. There's a big menu to choose from but so far everything we've tried has been delicious and authentic.  Rio's has been in Bucktown for a really long time. They're a little more old school than all the fancy Damen Ave restaurants but that's what's so great about them. If you haven't given them a shot yet, definitely check them out.",0.9729,0.739,0.261,0.0,0.6499999999999999
2017-02-19,2.0,"Sunday night, totally empty restaurant at 7pm. Waitess / hostess seemed annoyed and checked-out from the start. Basketball game blaring on bar tv over music being played in dining room. We asked waitress to light the candle on our table and refill water and got the eye-roll. She disappeared for long stretches and we waited for check. Did not care at all about tip apparently. Basically, service sucked. Two stars for decent soup and ceviche.",-0.8326,0.823,0.029,0.148,0.5452380952380953
2017-02-14,5.0,Best Peruvian by far ! Steak and lobster tail plus wine selection! Very satisfied. Karen and Dino made us feel right at home,0.835,0.717,0.283,0.0,0.7089285714285714
2017-02-09,4.0,"I've been going to this place for literally over a decade and they have some of the best lomo saltado. Went on Easter once and they had a variety of food options for the buffet which I appreciate since I am allergic to certain things. I also love the decoration and the murals on the wall, creates a nice ambiance. Service can be a little slow sometimes.",0.9423,0.723,0.247,0.03,0.5619047619047619
2017-02-09,5.0,"I give this place a 5 for food , place and very nice , food very presentable, place is clean , ambient is nice to talk and bring family , the Buffet totally recommend it ; they have Ceviche , tamales , rice , potatoes, lomo saltado , yummy Love this place . I like everything from here worth it to come and try something different. they make a drink call ChichaMorada is the best .",0.9796,0.647,0.353,0.0,0.5944444444444443
2016-12-11,5.0,"BEST RESTAURANT IN THE CHICAGO AREA HANDS DOWN!! I'm Peruvian, and I give this place 10/10 for authenticity and flavor. If you want a taste of the culture and food, this is the place you need to go. This restaurant immediately became one of my favorites after I had just one bite, and I've been coming here for years. I've been coming here since the place was in the smaller location across the street. And throughout the years, this place has never disappointed me. This place is great to have parties and get togethers for any occasion. Every time I've come here, the waiting time has been reasonable considering everything is made from hand and scratch, and the food has never failed to put a smile on my face. The service was incredible as always, the waiters came up to the table to ask us how we were about every ten minutes. It was my sisters birthday and they surprised her a leche flan with a candle on the house. The buffet is an an incredible deal, considering how much food you can eat for the very fair price. I've come before the buffet and ordered multiple things off the menu and they give you incredibly generous portion sizes. Every time I've taken the entrée home, it has lasted me one or two other meals. I highly recommend the choros a la chalaca and the anticuchos, the lomo saltado, aji de gallina, and the ceviche is unparalleled. This place is better than the other Peruvian restaurants in the area. Everybody who gives this place less than 4 stars either has terrible taste or doesn't appreciate Peruvian food or culture. Some things may taste ""off"" to some people, but Peruvian food is prepared in a certain way and that's why it doesn't have a conventional taste. Some may argue it is an acquired taste. Don't blame the restaurant because your palette just isn't as sophisticated or developed. And whoever doesn't tip their waiters at least 15% is rude and obnoxious. I went on yelp to check the buffet times and good thing I read that review before eating. I tipped my waiter 30% because that is the very least that the staff deserves. No, this is not a paid review, I'm just very passionate about my culture's food and utterly disappointed to see how many people either did not give this restaurant a fair chance or tip their waiters the legal amount.",0.9713,0.83,0.121,0.049,0.5412607709750566
2016-12-05,1.0,"Right from the start, this was the worst dining experience I have ever had. We went on a Saturday night around 730pm and were greeted by a very friendly young lady who showed us to a nice table right in the front window. There were only a handful of other diners there, which seemed a little odd for a Saturday night, but we stayed. After about five minutes, our server came and greeted us and told us she'd be right back to take our orders. Another five minutes later, she came back and took our wine order, and since the menu states everything is made by hand, we went ahead and ordered an appetizer and our entrees. We chose the Camaron Enrollado en Cangrejo Apanado) as an appetizer and got the Moqueca de Pescado and Brochetas Rio D' Janeiro for our entrees. We were served our wine and left alone for another 10-15 minutes. The server came back and apologized for the delay on the appetizer, saying the kitchen was backed up, even though there were only five tables occupied in the whole restaurant. We said no problem and continued to wait. Another five minutes later, our appetizer came out. The shrimp was cold and the crabmeat tasted off. The quality of this food did not appear or taste like something made by hand at all. It seemed like it was frozen and simply put in the fryer for service. To serve undercooked seafood, whether its fresh or frozen, is grossly irresponsible and could have very dangerous consequences. Another ten to fifteen minutes go by, giving my dining companion and myself some time to figure out what to do about the rest of the meal. We decided that we would talk to our server about the condition of our appetizer and cancel the entree order(s). Before our server made another appearance, a ""runner"" brought out our entrees. Our server followed shortly after, when we inquired about the appetizer's temperature and started to voice our concerns. She wasn't able to fully understand what we were saying, at which point we asked to speak to the manager. A ""man"" came to our table a short while later and proceeded to ask us what was wrong. No ""thank you for coming, is there some issue that I can help you with?"" or greeting or anything. We explained the situation and were met with a horrible attitude and no offer to remedy the situation at all. He said immediately that he would comp the appetizer, but that was it. When we tried to explain that the appetizer experience was so terrible that we didn't want to risk trying the entree, he acted as though we were just trying to pull a fast one on him. As though we have nothing better to do on a Saturday night than sit around in a restaurant for almost :45, only to complain and try to get out of a bill. I was so shocked that he wasn't willing to work with us at all, I decided it was better to pay for our wine and entrees than to stay another minute in that establishment. After we had our ""discussion"" with the ""manager,"" he proceeded to stare us down in an aggressive manner and pace until we paid the bill and left.This must happen there a lot, if the manager's first instinct in greeting a table is to be defensive, combative and rude. He also had the nerve to remind us that he has cooks to pay. Really?! We thought you had a kitchen of unpaid interns back there and we are so stupid we don't realize that you have staff to pay. If your idea of a nice dinner out consists of slow service, questionably safe seafood and terrible customer service, this is your kind of place. I honestly feel bad for the server and hostess that we encountered for having to work for such a terrible for excuse for a manager. You have been warned! The only positive part of the experience was the spicy ""sauce"" they serve with the bread.",-0.9878,0.783,0.088,0.129,0.5368180552391079
2016-11-14,5.0,"The food is absolutely delicious. Friendly staff, clean restaurant. I highly recommend Rio's D'Sudamerica. If you want to know what right looks like head on over to Armitage Ave and stop in and see for yourselves. You will not be disappointed.",0.9443,0.598,0.361,0.041,0.670952380952381
2016-11-10,5.0,"Went on Sunday during brunch, they had an amazing buffet from 1-4pm.  It was not a huge buffet, but there was definitely more than enough to pig out.  All the items were fresh and replenished quickly.  The buffet was about $16, and definitely worth every penny!  Would definitely return, recommend, and go back to try their normal menu!",0.967,0.674,0.305,0.02,0.5050000000000001
2016-09-05,4.0,Food is good. Nice atmosphere. I just had better Peruvian in Chicago.,0.8225,0.482,0.518,0.0,0.7000000000000001
2016-07-24,4.0,"From Sunday buffet: thumbs up for their ceviche, tamales, seco de carne with frejoles. The rest of the buffet was fine except for a couple of items that were not good at all. Their chicha morada drink was disappointing, it tasted like medicine. Overall a good buffet to try considering the price point.",-0.5736,0.789,0.074,0.137,0.4800000000000001
2016-07-13,1.0,"I remember coming here with my family when I was younger and the food being pretty good. Feeling nostalgic, I brought my husband. And what was that for?! EMBARRASSING!!!! First of all, the food has changed. why would you put powdered sugar on a ground beef empanada and then serve it with chimichurri?! And the tamales?! Pffftttt. barely had any meat or anything in them. The worst part?! [yes it gets worse] The owner(I believe) was literally yelling on the phone at the top of his lungs THE ENTIRE TIME. He was cussing someone out, threatening them in English and in Spanish. It got so bad that one of the employees had to raise the music. I understand that shit happens and people suck, but don't ruin people's meals and make them feel uncomfortable...go outside, go in your car. The girl that took our order was awesome and she apologized several times, which I appreciate. If I was the owner, I would've apologized and at least given out a couple of drinks. That's the LEAST you could've done under the circumstances. The best part about everything was the aji sauce. It's spicy and delicious, but definitely not worth the trip! Save yourself the time and try the many delicious Peruvian restaurants in Chicago!",0.9918,0.737,0.208,0.055,0.49895833333333334
2016-06-27,1.0,"FOR THE SAKE OF REAL FUN, TRY THIS. When the check arrives, just tip 10% or less than the suggested amount (15%, 18% or 20%) mentioned under the check (Try it!. Please). We were a group of 4 people who had our meal, tipped slightly less than 15% because the service was lethargically slow. The server lady (dressed in black, slightly old, looked like the one that managed the restaurant) went berserk. She actually came outside the restaurant and asked us to increase the tip. Because she was a lady and we were in a mood of a good time (and didn't want to ruin it) we obliged without making a fuss. But who comes out of the restaurant and asks the customer to modify the tip? I never believed those Quora posts where people mention about servers doing weird things to ask for more tip, but now I do. The food is OK, tamales were good but super pathetic service specially when there were hardly 10 people there for lunch on a Saturday afternoon. Done with Peruvian food and service! BUNCH OF CHEATS!!!",0.894,0.818,0.121,0.062,0.44684873949579834
2016-05-23,1.0,The most terrible Peruvian food I ever tried in my life. Small portions and forgot to put the half of the ingredients in the recipe. Also I requested bread and they did not had bread that day. What kind of restaurant are you? Do not charge $20 a plate that worth only $8.00 in the best case scenario.,0.4033,0.846,0.099,0.055,0.5458333333333333
2016-05-07,3.0,"I have dined here a few times and the food has always been good.  The drinks, however are inconsistent.  The last time I dined here I ordered an el argentino and it was disgusting.  I have never returned a drink in my life, but there was no way I could drink it.  I told the waitress (who made the drink) that I did not think it was mixed properly and I wanted another drink.  She argued with me and told me that it was made properly.  Finally, she said she would talk to the manager.  She returned and said she could give me another drink.  I ordered a manhattan and even though this drink was not mixed well, it was drinkable, so I just kept it. Like I said the food is good, but if you are going to dine here earlier in the evening (7:00), order drinks at your own risk.  They do not have a bartender working at this time and the waitresses make the drinks.",-0.2194,0.874,0.055,0.072,0.496969696969697
2016-04-25,2.0,"I've been going to Rios for the last 3 years and it is the main place I recommend to everyone who asks what's my go-to place. Love he food. I'm always happy to pay regular price but since I came across a Groupon i said ""sure, why not"". Fast forward to my latest dinner, I did my part playing by the rules and made a reservation, reminded them about my Groupon upon arrival, etc. When we were done and are ready to hit the road the waitress brought some boxes. She went into what I can only describe as full panic mode because of the leftovers. You could literally see the fear in this woman's eyes. She made a comment indicating that the owner would reprimand her if he saw anyone with a Groupon taking food home. She even suggested to my other party that she hid the bag with leftovers because the owner was roaming around. WHAT? Sounds like absolute nonsense to me. It's not like it's a buffet or anything similar. We already paid for the fixed amount of food. The Groupon clearly says ""no carryout"" and says nothing about leftovers. I observe and respect whatever policies restaurants make if I'm informed upfront but I hate it when things are made up as they go. All this drama completely ruined the experience for me. I'm really hoping management writes back here clarifying what is going on here.",0.6705,0.771,0.127,0.103,0.5137072649572649
2016-04-05,4.0,"DELICIOUS!  We love coming here. If you like Peruvian food, this is a place for you.  They have all the Peruvian staples on the menu.  The seco and lomo saltado are fantastic. The service is great, and you can always get a table.",0.9644,0.653,0.347,0.0,0.8125
2016-03-31,1.0,"Food was ok, but the service kills everything.. The waitress was rude and we had a big drama about our groupon, the worst experience ever. Just don't waste your money there- go somewhere else.",-0.9153,0.596,0.098,0.306,0.44000000000000006
2016-03-26,1.0,"Food was not great, both entrees oversalted, ceviche was ok, anticuchos ok, but not amazing, terrible service, they wouldnt let us take leftovers with us, because it would make it take-out order and than groupon could not be used for some reason, worst experience ever, dont recommend",-0.8761,0.655,0.107,0.238,0.775
2016-02-28,1.0,"Terrible !! Would not recommend it at all to anyone. The worst service I have ever had. Our waitress was rude and we pretty much had to beg for her to come to our table. The ceviche sauce was good but the actual ceviche was mostly onion not much fish and it cost 16$. When we expressed our concern for the portion size the manager was defensive and said that's how they have been doing it for the last 30years. Then when received our entrees, the portions were better but the taste was not great. I read in one of the previous reviews someone had said that compared to the many great Peruvian restaurants in the city this one just is not worth considering. The only thing I am taking away from my experience as a positive is that now I know to never go back and to let everyone I possibly can not to go there.",-0.6878,0.805,0.081,0.114,0.5289393939393939
