date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-30,5.0,"I'm vegan and pretty much get the same dishes every time. So much so that the waitress who recognizes me says I eat like a Chinese person, which I take as a total compliment! Try the Chinese broccoli in garlic sauce. Ask them to make it spicy if you like a little more heat. Try the fried tofu or string beans as an appetizer. They're both delish! The mixed mushroom and tofu is really yummy, sauce is awesome and the variety of mushrooms will satisfy you when you need a ""meaty"" texture. Service is attentive, the dining room is quite lovely with ancient artwork all around and they have a full bar. I love this place!",0.9852,0.76,0.24,0.0,0.47031249999999997
2017-08-13,5.0,"We have tried no less than 5 restaurants at the ""newer"" Chinatown ""mall"" but were disappointed time after time... from flavorless food to horrible service;  always something but NEVER great dishes. So today we ventured across the street to the original strip and went into 3 places but none seemed to be using a wok. Noodle joints,  bbq 'advertised' joint, and then took the yelp 4 star recommended EMPEROR's CHOICE RESTAURANT for our newest dining experience. Glad we did,  FANTASTIC FRIENDLY SERVICE (we left a BIG tip for that pleasure) plus the BEST food yet in CHINATOWN! We had 2 dishes; Triple delight with broad noodle (N4, DRY CANTONESE CHOW FUN) fresh from the wok was great! Tender beef, perfect shrimp, and large pieces of chicken.  PORK Egg Foo Young equally as good with tender chunks of pork and thickened beef gravy!   The EFY was NOT OILY either.   We WILL be back... no upcharge for crispy noodle, tea, OR rice. You are now our new 'go to' place in CHINATOWN!   ATTENTION TOURISTS & RESIDENTS:  From downtown we always take the water taxi (senior discount daily pass only $6) and the ride home AT DUSK is spectacular! Always enjoying Chicago's skyline day or night!",0.9952,0.705,0.243,0.052,0.5486030944364277
2017-08-12,1.0,"Had dinner here last night. Ordered 2 lobsters at $38.50 each. Mushroom/tofu dish. Sweet & sour chicken. Roasted duck. Yang Chow fried rice. We were served 1 dead lobster mixed with a live one. We told the manager about their trickery and at first, he denied it. In our receipt, we were given a 10% discount.   They should not have served us a dead lobster at all! Don't go to this restaurant, it will be guessing game for your hard-earned money! We did not leave any tip. We paid our bill $140 and left. Very",-0.9008,0.819,0.041,0.14,0.3625
2017-08-11,5.0,"YES best chinese take out in chicago at a fairly reasonable price! I'm so happy I found this place because honestly I was so disappointed with the chinese food in this city!  I always always get the beef and broccoli here- the meat is SO TENDER. I've gotten this dish at other take out places like (cough yu choy and chi cafe) and it was so tough and the sauce was weirdly sour!! definitely definitely get this dish here. the sauce here is so good- probably the best beef and broccoli sauce I've had- not too salty but not too bland, not too thick but not too watery- just REALLY good.  The shrimp ho fun here is my other go to! LOTS of veggies and noodles and shrimp! sometimes I find that restaurants skimp on the shrimp so I have a habit of picking at the veggies and noodles and saving the shrimp- however, the dish from here had SO MANY SHRIMPIES I was so happy and was able to have a shrimp piece for almost every bite of noodle.  The general tso's chicken here is also really really good- nice thick batter coating a juicy chicken piece. DELICIOUS sweet/sour/spicy sauce coating the crunchy batter exterior of the chicken YUM YUM YUM. I would say this place has a better general tso chicken than lao sze chuan (and I think it's also slightly cheaper! win win)  The chicken lo mein was also very good and they are very very generous with the chicken pieces! I almost wanted more veggies in it because there were SO MANY chicken pieces (which i think is always a good thing) and again, the chicken was very tender and not tough (which can be an issue sometimes with this dish)  Overall, very very yummy place. I hope more people discover this place and give them more reviews and business because they deserve it!!!  (also, along with fortune cookies they give you these sweet biscuits- if you've been to ming hin, it's essentially the same biscuits they give out there- which are also a delicious treat to end your meal with!)",0.9985,0.741,0.24,0.019,0.5810493827160492
2017-08-08,5.0,"Although I was born & raised in Chicago, I haven't eaten here in over 20 years, I have too many friends that own restaurants in Chinatown that are my usual stops. A friend mentioned that Emperor's Choice had changed hands & the food was very good, so we dined there tonight. The food was excellent, we only ordered the authentic Chinese dishes & found it to genuine & high quality. The one thing that sets this restaurant  above others in Chinatown, serving similar dishes is; They have clean washrooms. Well worth a visit!",0.9558,0.777,0.206,0.016,0.5442857142857143
2017-08-08,2.0,"I Ordered delivery because it had good reviews, so you can imagine how disappointed I was when I received my food and was inedible. I ordered salt and pepper calamari, crab ragoons, Mongolian beef and Hunan chicken. The calamari had a good flavor but the texture was off for squid. The crab rangoons were delicious (that's why it is 2 stars). The Mongolian beef lacked flavor, it was more flavorless than bad beef and broccoli from a mall. Finally, the human chicken tasted off, it wasn't just lacking flavor, the flavor it did have was just bad. Will never eat here or order from them again.",-0.6588,0.814,0.078,0.108,0.7075757575757576
2017-07-30,5.0,"Amazing food and the food was warm when I got it, their fried rice hit the spot and their curry chicken was to die for",0.2023,0.686,0.186,0.127,0.8166666666666668
2017-07-23,5.0,"The dim sum place we wanted to go to was closed. So, this was actually our second choice. And what a surprise. The pork belly was outstanding, probably one if the best we've had. The staff was very courteous and helpful. A great lunch experience.",0.9685,0.637,0.363,0.0,0.453125
2017-07-22,5.0,Cool on a very hot day. Egg rolls were outstanding.  Kung Po was delicious.  Service was surprisingly great.  No complaints.,0.8316,0.307,0.455,0.237,0.8550000000000001
2017-07-21,4.0,The food here is really good quality for very reasonable price. My favorite are their fried pumpkins. They are to die for!! Soooo delicious! But of course you will not regret ordering any of their delicious noodles or fried rice!  This is one of the best places to eat in Chinatown for sure. I would highly recommend you to stop here.,0.9652,0.606,0.32,0.074,0.7636111111111111
