date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-21,5.0,"We had so much fun at Schwa.  My husband and I went for our birthday dinner and did not leave disappointed.   He has been calling for a while to get a reservation, but don't give up, it's worth it. I personally feel when you get a certain caliber of food, many times the ambience can be stuffy or uptight.  It was refreshing to be able to relax and enjoy without the stuffiness.   The space is small, no frills. Maybe 25 seats. The chefs serve your food (no servers) and keep it lighthearted.  My husband and I were enjoying figuring everything out and appreciated the creativity. I will be dreaming about the one bite truffle ravioli and the crab apple lollipop.  There was really no course that I could have gone without -- all were well done. It is BYOB, so we brought a red, a white, and a large beer (also bring a little something for the kitchen!).  I was pleasantly surprised that they will pair it for you with each dish. I would love to go back again and see what they come up with next.",0.991,0.725,0.233,0.042,0.3940476190476191
2017-08-13,5.0,"Schwa was great.  The 9 courses were full of flavour and beautifully presented - one of the best meals I've had. The chefs/cooks explained each dish to us in detail. When I asked one to repeat one of the ingredients he told me to listen more carefully. He was honestly kind of a dick but was funny at other times - I still can't decide if I liked him or not. Overall, the service was top notch.  My boyfriend and I had a couple of drinks before going (he was also fighting a cold and on Sudafed) so we basically crawled out of there. We brought 3 bottles of wine and Bulleit for the kitchen and were given our bottle of white back. They gave us other booze to try during our meal.  Schwa certainly isn't your typical dining experience but that's what I loved about it. We were the last ones in the restaurant and they were blaring hip hop. Hip hop happens to be our favourite kind of music so it was all good, but I expect that some might be a little put off by it.  I hope to go back, and will show up dead sober next time. I think it would've made the experience even better. Would 100% recommend.",0.9746,0.768,0.171,0.061,0.5031462585034013
2017-08-08,5.0,"This is my most favorite gourmet place ever. My wife loves it for the delicious food and top notch presentation, I love it for the cool music and laid back feel. There are no waiters, the chefs serve the courses themselves. And oh the courses! The quail egg ravioli might be the single most amazing course I've ever had, better than any single item at the French Laundry, Alinea, Tru, etc.  The best part is it's byob, so the tab is extremely modest considering the quality and talents of the chefs in the kitchen. Tip: bring a six pack or other offering for the fellas in the kitchen, it is well received and probably tastes damn good to them after the last guests leave. I've been to many Michelin restaurants and this is the only one I go back to whenever I can. If you have any doubt, google the story of Charlie Trotter bringing the greatest chefs in the world here a few years back!",0.9885,0.736,0.22,0.044,0.47584325396825394
2017-07-29,3.0,I am having a difficult time writing this review because I really wanted to love Schwa as I have waited years to try this place. The decor is minimal but I came for the food. The food was beautiful but the taste.... so so. I personally love salt and even I found the food overly salty. The service was okay.... but not great. We felt like our dining there was somehow a bother to them. It's worth a try but I personally will not be back.,0.9116,0.7,0.205,0.096,0.5136363636363636
2017-07-23,5.0,"Schwa is excellent. The space is concise, and the decor is minimal.  You don't come here for frills - the focus is on food. You will be served by the chefs, who engage in humorous banter that is refreshingly candid and free of pretense.   Bring a few bottles of wine - some red some white.  They pair and pour it for you.  This is an opportunity to pick some wine you know you love, and avoid paying the typical restaurant price.  It is also customary to bring a bottle of soda mething for the kitchen - we brought bourbon. The food is superb.  The truffled egg ravioli was a highlight.  One course had a smokey broth that impressed, leaving me to expect the (WHAT WAS THIS) would be a contrast of flavor. Nope.  Biting into the pasta unveiled more layers of incredible smokey flavor.  The dish was unexpected and wonderful.  You'll have that experience throughout your meal.  You should try it out.  Seriously.",0.9825,0.798,0.18,0.022,0.6703703703703704
2017-06-18,5.0,"Love, love, love!   Not an easy res - but well worth it if you nab one on the few seats each night. If you love innovative, thoughtful, provocative food and ...If you can ignore the death metal and rap music coming from the kitchen (I don't judge your muse), and like minimalist decor, than you may have found one of your new favorites! Schwa is all about the food!  I have been to Schwa 3 times and I continue to talk about an amazing, stand out disk from each experience.  I doubt I will ever forget the white chocolate egg shell that was the vehicle for an amazing dish with tiny eatable flowers.  (As an aside, I can't tell you what I had for breakfast yesterday!)  Every course amazingly well though out with every detail perfected!",0.99,0.621,0.298,0.081,0.5725252525252525
2017-06-06,5.0,Awesome experience! We had so much fun and the food was amazing! The chef was so involved and enthusiastic with the dishes and explanations. Def a  place to check out!,0.9503,0.612,0.388,0.0,0.75
2017-06-01,5.0,"Just awesome. While I'll admit that you're a little thrown off by the appearance when you first walk in, I quickly realized you can't compare Schwa to another other Michelin/dining experience. The creativity was as good as any restaurant I've been to, and every dish was a hit. BYOB is a huge plus as well (I recommend a bottle of wine per person at a minimum). Go here with people you can have fun with, and expect to be drinking with the chefs and/or rest of the restaurant before you leave.",0.9607,0.769,0.219,0.012,0.5510416666666667
2017-04-21,1.0,The presentation is beautiful but that's pretty much the only good thing about this place the food was way too salty and does not live up to other high end restaurants in Chicago. It's BYOB and the staff is really cool but the food was not tasty at all.,0.9324,0.763,0.237,0.0,0.6516666666666668
2017-04-16,4.0,"Schwa is located in Wicker Park and is all about a community of chefs collaborating with one another.  They only offer a 9-course menu that is updated seasonally, and the ingredients that are used range from locally-grown produce to harder-to-procure delicacies. My friend had made dinner reservations, and it was a great setting to play catch-up!  We started off with: Bourbon (considered an olfactory journey); Octopus (with carrots and peas); Parparadelle (flavors of summer); Flavors of Forest (pine, snail, moss, and mushroom); Fish Fry (with walleye, morels, malt vinegar, fava, and blackberry); Oyster (7 up); Foie Gras (with mulled wine, oats, maple, and pickled cranberries); Pheasant (with pechuga, plum, pineapple, and corn); Cheesecake (with humboldt fog, fermented apricot, and nasturtium); Unagi (with watermelon and togarashi); and, Ants on a Log (with peanut butter, celery, raisins, and rum; I especially enjoyed this dessert as it reminded me of my childhood!). I liked the fact that each dish was creative and interesting, and that the lack of description on the menu makes it more of a surprise when you receive your plate.  The restaurant itself is also super laid back, intimate (about 26 seats), and an open space where you can watch the chefs do their magic. Reservations are required and can be difficult to obtain! +seasonal 9-course menus +reservations required +collaboration of chefs",0.9752,0.858,0.121,0.02,0.7166666666666667
