date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-01,4.0,"The best Chinese food in Lakeview! I especially love their smoothies, which are fresh and full of real fruit as well as their orange chicken. The place is tiny, however, so I suggest ordering delivery if you're close by.",0.9244,0.711,0.289,0.0,0.5125000000000001
2017-08-08,5.0,It's my go-to and I'm a chinese food addict. Great lunch specials as well. Never tried vegetarian stuff but heard it's good.,0.7876,0.694,0.306,0.0,0.45
2017-08-06,5.0,"We were cutting it close to catching a show and needed good food and fast. My boyfriend ordered chicken fried rice (a staple) and I got Veggie Singapore Noodles. We shared two eggrolls and a lychee peach smoothie. The chicken fried rice was, in my opinion, up to standard. My boyfriend really loved it. The noodles were very delicate and had a marinated tofu that was very similar to chicken in consistency. For a while I was sure they had accidentally given me chicken until I tried it and realized it was very delicious tofu. We snuck our eggrolls into the show - and that was awesome. The smoothie was amazing, I kind of wish we had each gotten one. We talked about our dinner before and after the show. Thank goodness I grabbed a menu to take home. We we definitely be coming back!!!",0.9862,0.746,0.23,0.024,0.7530994152046784
2017-07-23,5.0,"I never write reviews but this place deserves a review. 5 stars for sure!! Best egg rolls in the city, and I love their general Taos chicken (they let me do sauce on the side so it doesn't get soggy on the delivery). Chicken was cooked perfectly and had a nice crispy outside. Friendly staff that is very accommodating and fast delivery. Everything we've tried here has been amazing! Chicken fried rice, eggs rolls, crab Rangoon, general Taos chicken, Mongolian beef. Have never actually been to the place but get it delivered. #lazy Highly highly recommend!!!!",0.9904,0.708,0.292,0.0,0.6620467836257308
2017-07-20,5.0,Yummy! Absolutely love it here. Very quick and delicious. The general tso's tofu is amazing. You can taste the high quality of the food. I live close so you bet I will be there again very soon!,0.9534,0.656,0.344,0.0,0.6237499999999999
2017-07-19,1.0,"Horrible customer service - entered the place to order food. The lady didn't even turn to look at me to take the order. Once turned I asked to pay with Samsung Pay and she said that her machine doesn't take it. I told her that Samsung Pay works on any machine (even if there is only a card reader) and suggested to try. No need to make my meal if it doesn't work, but she refused and became super rude. This business is stuck in the past - glad that she didn't demand payment in gold coins. Still don't get why she refused to even try considering that I used it in 3 different businesses on Broadway 10min before (which I told her)",-0.564,0.772,0.082,0.146,0.7309523809523809
2017-07-17,5.0,"My go-to take out place. Super fresh ingredients. Honey Lemon chicken, vegetable lo mien and crab ragoons are my some of my favorites!",0.8516,0.683,0.317,0.0,0.7055555555555554
2017-06-18,4.0,"I love this place. I no longer live in the neighborhood but still order delivery, specifically for their Chongqing chicken (chili chicken). It's the best north of Chinatown. This is definitely not a spot to take a first date unless you don't want a second date. Skip the dining room and get take out/delivery. I haven't tried many items on the menu so I can't provide a comprehensive review but what I have had has been excellent Szechuan cuisine.",0.9389,0.737,0.199,0.064,0.5633333333333332
2017-06-14,5.0,"Their sign says ""Home of the smoothie"". Well, I'm happy to report, they did not disappoint in that department. It's a very unassuming looking place, few tables, nothing fancy. I don't know about the food situation here, this review is only about my perfect smoothie. I was in the area, asked Yelp for help, and was happy to learn this place was only 200 feet from where I was parked. It was obviously ment to be. I walked in, the lady behind the counter was nice, and helpful. Believe it or not, but I never had taro flavored  anything before. Boy, have I been missing out! Got my taro smoothie, with tapioca and green jelly (added for $0.45). It was heavenly. The smoothie was honestly the best one I ever had. I'm totally gonna make up excuses to go to this neighborhood all the time to get my smoothie. They also sell 12 different flavors of herbal tea, fruit cups, milk tea, Thai iced tea. Their smoothie list has 24 flavors to chose from. 5 stars for the smoothie, and service. You think I said the word smoothie enough in this review? No? I didn't think so either. Lol.",0.9824,0.807,0.167,0.026,0.6499999999999999
2017-06-08,4.0,Super greasy but reliable Chinese food. The roasted pork lo mein and crab rangoon are my go-tos.,0.3506,0.867,0.133,0.0,0.3333333333333333
