date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-08,5.0,My wife and I have brunch their almost every other week. The food is delicious. We love the complimentary home made jam.,0.8957,0.625,0.375,0.0,0.61875
2017-07-22,4.0,"Very tasty place with many fun offerings. They have a nice selection of juices and smoothies and have awesome coffee. The day we went it was quite busy, so it was a bit difficult to get a coffee refill for some reason. Definitely try the multiple types of pancakes they have because you won't regret it. Very competitively priced for the area.",0.9141,0.749,0.215,0.035,0.51
2017-07-19,4.0,"I really liked it here! First of all, GF options are always a plus. I also loved how fresh and food and juices were! I went twice and had GF French Toast with fruit, Corned Beef Hash, and I was able to get almond milk with my coffee. I also had a Wheat Grass shot which I loved and a Green Machine smoothie to go and they also gave me a complimentary glass of OJ! Everything was delicious. I was there with 4 other people though and we were disappointed that they were unable to split the check for us.  But that wouldn't stop me from going back!",0.9625,0.772,0.201,0.027,0.5202380952380953
2017-07-03,5.0,"The food was terrible... sike naw, this shit was good as hell. Everything was fresh, the jam was great. Everything looked amazing. Some of the best breakfast I've had. 10/10 recommend stopping by if your in Chicago.",0.8537,0.481,0.34,0.179,0.692857142857143
2017-07-03,5.0,Everything we got was delicious. French toast was some of the best I've had. My friend got an amazing omelette and another friend raved over his breakfast tacos.,0.959,0.56,0.44,0.0,0.55
2017-06-29,5.0,"Walked here from our hotel and it was delicious! My skillet was great, the veggies were crisp and the potatoes were full of flavor not salt! My kids had the French toast, the chocolate chip pancakes and the Nutella crepes and each one was tasty and sweet! They loved it! Will definitely come back again!",0.9616,0.729,0.271,0.0,0.5185185185185186
2017-06-27,5.0,"Amazing! I tried a breakfast bowl, it came with sausage,ham,bacon,potatoes,peppers and eggs! Yummy! Good server as well her name was Miranda. She was on top of it! Oh and we got the orange strawberry juice. Very good!",0.9543,0.612,0.388,0.0,0.6950000000000001
2017-06-24,5.0,"I love Meli Cafe. Their ghost pepper items are fantastic. Their juices are fresh as heck and delicious. The restaurant is very clean including the bathrooms. The staff are good about refills and are courteous. The menu has lots to offer and you will find something that will peak your interest. The food is really good and makes this place worth more than two visits. It is located in Greek town and is in walking distance of the blue line as well as UIC. There is street parking but tough to find during busy hours. Early morning on the weekends or weekdays you will find street parking a lot quicker. Overall, great place and I plan on returning soon.",0.9647,0.767,0.207,0.026,0.5290196078431372
2017-06-09,4.0,"Great breakfast spot in Greek town. I was meeting a vegan friend and we picked Meli because it has a vegan menu. Excellent food and great coffee! Great, quick service as well. Can't ask for more in a breakfast spot. I had a veggie omelette with wheat toast and my friend had a tofu scrambler with toast. We both eyed other people's pancakes though--every thing looked great",0.9832,0.643,0.357,0.0,0.5972222222222222
2017-05-30,5.0,"I had a negative delivery experience at their other location, but walked over to this location for brunch yesterday because it was nearby and I wanted to give it another chance. I'm very glad I did! The cafe was quaint, the service was responsive, and the food was delicious. I had the spicy flamenco omelette, and it easily made for two delicious meals. My friend had the smoked salmon omelette and had great things to say about it, as well. Wonderful brunch experience, will definitely be back!",0.9931,0.596,0.384,0.02,0.7064814814814815
2017-05-30,5.0,"Meli is always my go-to brunch spot. I always go here when I have guests from out of town and they have never been disappointed. The service is efficient, and it has to be; the line is always out the door on the weekends. I usually have the Down on the Farm Skillet and love it. Eggs, potatoes, veggies and meat, toast...you can't go wrong.",0.9023,0.827,0.173,0.0,0.5577777777777777
2017-05-16,5.0,The food is exceptional and consistently prepared and locally sourced. Predominantly organic. Fantastic service with servers who all have bright and positively happy dispositions.  The omelette and related breakfast items that are served all day result on a weekend wait that is worth it. Specials are creative and change daily.  They move the tables quickly but you never feel rushed.  Great place with friendly vibe.,0.8594,0.711,0.232,0.057,0.5538461538461538
2017-05-14,1.0,"I placed an online order through the Ritual service and upon going into the restaurant to pick up my food with my 3 month old baby, was asked by the person operating the hostess stand for payment. When I told her that I thought I paid already online, she adamantly told me that was not the case and that I still needed to pay.  Trying to avoid a scene, and assuming because she works for the restaurant, she was correct that I still needed to pay, I gave her my credit card, paid and returned home. When I got home I checked my Ritual account and indeed I had paid through the app. Since it was clear that I had paid twice, I called the restaurant and spoke to the manager. The manager asked me if I told the hostess I had already paid and I said yes. She then asked me, if I already paid, why did I give the hostess my credit card? Blame the customer, really? The manager then told me that there was nothing she could do about the double payment because they ""already closed out the order."" She never once offered a refund from the restaurant, which I am sure could have been done at that point. Shockingly poor customer service.",0.4515,0.879,0.063,0.058,0.3840277777777778
2017-05-07,4.0,"I really enjoyed all of my visits to this location. What stands out, though, is that the staff was very gracious when they hosted our family for my mom's birthday. It is a fairly small space, and we are a rather large group, but they made it work. The bowls are delicious (Mana Mou FTW!), the challah and brioche french toasts are awesome, and the juices and smoothies are grand-tastic! I love that they serve Eggland's Best Organic eggs, also!",0.9847,0.715,0.285,0.0,0.5253968253968253
2017-05-04,5.0,"My fav breakfast spot in Greektown. Super cute inside, the staff is really friendly. My food was delicious.",0.9524,0.432,0.568,0.0,0.7916666666666666
2017-04-28,3.0,"It was ok kind of underwhelming, I remember this place being better they used to bring some complimentary and very tasty honey to the table when it was more authentic greek breakfast spot. Now it is all russian staff blasting Pitbull for your ultimate breakfast experience. Breakfast for two now costs $50 (no alcohol). $19 for salmon benedict. Kind of pricey. Oh and the honey that used to be free? You can pick up a small jar on your way out for a mere $11.",0.8834,0.873,0.127,0.0,0.5392857142857143
2017-04-19,2.0,This was a pretty decent brunch spot.  The wait was about 40 minutes on a Sunday morning which is expected.  Place was a bit cramped and service was slow.  The most important thing -THE FOOD - was below average.  Many better options for brunch close by.  I won't be back.,0.8016,0.837,0.163,0.0,0.5366666666666666
2017-04-04,3.0,"Good spot in Greektown for breakfast and lunch! Not recommended for a business lunch if you dine in; it's a relatively small place, and it can get quite loud and crowded. It's nice for a leisurely breakfast or lunch with friends.  I mostly stick to the lunch menu, and largely for carry our, which has consistently been good! They're fast, everything is always well-packed and hot when I arrive.  Their wraps are HUGE....they use a tortilla the size of a pitcher's mound, but it's a sizable portion for lunch (and then leftovers). I'm a fan of their no name wrap, which is more or less a club sandwich wrap. Ingredients are always fresh, and special requests to the order are never ignored.  Burgers and breakfast don't really hold up well with take out, and some of their hot sandwiches are a little hit or miss even when you dine in.  The avocado caprese wrap is also a favorite!! Another huge portion, and it comes with large slices of avocado, tomato, pesto and fresh mozzarella. It's plentiful, but not overly-filling. Sides-wise: their fries are really tasty! They're handcut, well-cooked and come with a tasty homemade ketchup. The pasta salad is ok. Their salads are also really good! The Meli salad is a simple, but filling salad...ingredients are always fresh. My personal favorite is the beet salad, and I add grilled chicken. It's served over arugula and with goat cheese and sliced beets. They don't skimp on the chicken, either!  All in all, good spot for takeout and a casual lunch.",0.9934,0.789,0.195,0.015,0.5896577380952381
2017-04-02,2.0,We had breakfast here this morning. It had such great reviews but I have to say our experience was a little disappointing. My omelet was very bland and both my kids ordered pancakes with a side of bacon. One plate of bacon had 3 slices and the other plate had about 5 pieces!?!? The pancakes were luke warm and it was obvious they were made earlier and just heated up. Not fresh. How do you screw up pancakes?,0.5444,0.825,0.109,0.066,0.5925
