date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Since we joined East Bank Club a few months ago we dine at Maxwell's 1-2 times a month. We typically come on Monday nights for burger night and the burgers are seriously amazing. They are super thin patties and I've even compared them to Au Cheval's burgers. Our favorite is called ""The Max."" Katie is our favorite server - try to sit in her section if you can!",0.923,0.793,0.185,0.022,0.7166666666666667
2017-05-03,1.0,"Walked by Maxwell's 3x since this review.  Every single time, multiple people in gym clothes eating there.  Not sure what the host had against my fiance and I, but we seem to be the only ones he rejected for ""wearing gym clothes.""",-0.5859,0.868,0.036,0.097,0.5257936507936507
2017-03-18,5.0,"I am a member for a couple years now at East Bank Club and finally tried this place. Tonight...Tuesday was 2 lobster tails for $38....great deal, but what I really loved was the music, the service, the appetizers, the wine flights.",0.7776,0.858,0.142,0.0,0.9
2017-02-23,5.0,"Met a friend here for dinner.  Wonderful atmosphere with live entertainment.  Spacious, well lit, inviting yet cozy.   Both of our prime ribs were outstanding!    The snowball  dessert, to die for. Service was attentive, professional and friendly Very pleased!  Will return soon again!",0.966,0.522,0.414,0.064,0.703125
2016-09-10,4.0,"Was looking for decent price steaks while in Chicago, and happen to fall upon this place (close to the hotel).  This place is a little different in that it's inside a health fitness center.  Ordered the Filet Mignot with crab ($35), which was delicious.  Also had a wine flight, where you only pay around $11-12 for 3 samples of wine.  Made the meal enjoyable.  The ambience was nice and very good service.",0.923,0.794,0.188,0.018,0.6940740740740741
2016-02-17,4.0,"I've been to Maxwells before, but never for brunch.  The times I've visited for dinner (at the bar) were great - service is always great and the food/drinks are high quality and not overly expensive. This time we stopped in for Valentine's Day brunch...and it was delicious!  The quality of the food was excellent and very high end options: lamb, prime rib, omelet bar, etc.   They also had traditional buffet items such as coffee cakes, sausage, bacon, eggs benedict, etc.   Though we visited later during brunch, the food was still being stocked and it was still fresh (I also think it's nice that the staff get to eat after brunch ends!).  Service was good, but we probably should have arrived bit earlier.  Great food, a nice space and friendly service abound at Maxwell's.  Worth a visit for a regular dinner or one of their 'themed' meals (Italian night, etc).",0.9943,0.723,0.264,0.013,0.5859461538461538
2015-07-11,5.0,Absolutely a wonderful restaurant and great value. It is open to the public not just members. Try lobster tail night. Split two tails and the chimchurri steak to make a really awesome surf and turf. One if the best deals in town. Super awesome waitstaff and fabulous live music. Try special occasions and brunch.   This is a place to make a regular part of your week. Nothing else like it in the city.,0.9891,0.621,0.379,0.0,0.6193070818070817
2015-06-16,5.0,"I came here last week. I was starving and meeting my friend at the gym, little did I know that there would be such a high end restaurant inside of East Bank Club. How convenient, I was immediately attended to and asked to sit at the bar. They were busy, so it was nice to be sat right away. Johnny the bartender, was really friendly, and informative. He gave us great reccomendations, and also made some great tasting drinks!!! When it came to what I ordered I started off with their roasted beets beets Beet salad. All I can say is amazing, flavorful and it's nice that they give you red, gold and striped beets. Next I felt like indulging in there margherita pizza. It's not a deep dish which was nice, because I needed something light and not too greasy. Its great that Maxwell's offers a great balance of healthy options and indulgent food items on their menu! The manager Katherine even checked in to see if we were having a great experience. Maxwells over all was fantastic, and I will definitely be coming back again!",0.9943,0.738,0.249,0.013,0.543695238095238
2015-05-17,1.0,"I would give the food 3 stars but the service was so bad I had to give this 1 star. I recently joined the club and have been very excited to try everything it has to offer. Came here for dinner on Friday with my friend that is also a member: Starters- Shrimp cocktail, nothing to write home about. I only got one of the 2 scratch made sauces for some reason and the cocktail sauce was seriously  lacking horseradish  Oysters - ordered by my friend she said they were delicious  Dinner- Crab cake, grilled asparagus, baked potato - bit into a few shells. Had a lot of crab, tender, potato was something you would get at wendy's. Asparagus was nicely grilled Scallops- my friend said they were good she got 4 normal sized and one tiny which was weird. Dessert- Did not have the ability to order due to missing last call for dinner at 9:30 Service- Took our waiter a good 10 minutes to come to the table.  Water glasses sat empty for 10 to 15 minutes until I flagged the busser. Waiter never came to check on us after dropping the food. Icing on the cake- the waiter brings our entrées to the table drops the food and tells us we have 3 minutes until the kitchen  is closed so if we need anything else we need to order it right now. That would have been nice to know from the beginning so I could have looked at the dessert menu prior to 3 minutes before ""last call"". I have never in my life had that happen to me. Why take 8:30 and 9:00 reservations?  As we are eating dinner they are plopping silverware on all the tables around us and cleaning up the Italian buffet. Really a great eating experience with all of that going on around us.  Finally after having last call when we finished dinner we could not get the waiters attention to get the check to leave and get dessert elsewhere.  Needless to say I would have eaten here ocasionally with guests but with the horrible service I will go elsewhere.",0.975,0.827,0.111,0.062,0.5542517006802721
2015-04-10,5.0,"Tonight I had the Italian buffet and I was so impressed. They had a chef that made the pasta fresh to order with a choice of sauce, type of pasta, tons of veggies and meat! I normally will not eat seafood off a buffet, but after watching an employee change out the items every 15 minutes or so, I knew that it was safe and very fresh...I was not disappointed. Overall the service was excellent, the food was amazing...I will be bavk next week!",0.9514,0.809,0.191,0.0,0.4699999999999999
2015-01-03,5.0,"I'm a regular at Maxwell's and have been for years. It's hidden inside the East Bank Club in River North and many don't know that it's open to the public. It's a perfect place for a business lunch during the week and we meet people there often. The food is excellent as is the service. I like that they give you calorie counts on the menu so you can eat healthy if you want. That being seaid, the flatbread served with each meal is to die for. Their dinner menu is equally enticing. I like the weekly specials and head over there frequently to catch live jazz in the bar area as well as their lobster night and Italian night. My overall favorite dish is the whitefish. You can't go wrong and if you haven't tried it, I suggest that you do.",0.9528,0.818,0.156,0.025,0.46179487179487183
2014-08-17,3.0,"Unless you have a friend taking you here or special gift cards, you might want to look elsewhere if you want to spend $30-40 for dinner. Whether you're a member of the East Bank Club or not, it might feel weird to eat a fancy meal in front of a fancy gym.  The complimentary crispy bread to start was oily, flaky, and perhaps the best part of the meal. A $24 flank steak was tough for being cooked to ""medium"" and the potatoes were bland.  The final redeeming quality was a friendly and helpful staff.  Good and helpful staff, serviceable food, great nightly live music, but extraordinary prices (even for the River North area).",0.9387,0.785,0.193,0.022,0.6836996336996337
2014-07-12,5.0,"Love Maxwell's!  Great food (even have a healthier options menu with calorie counts) and wine list.  Seafood is very good!  Portions sizes are very respectable...you do not leave hungry.  Staff and service are nice and well trained.  Classy ambiance and attractive decor. They have live music in the bar area Tues-Fri, that is not too loud or distracting. I love coming here on a date during the week because it is not too crowded, and the seating is intimate and relaxing.",0.982,0.667,0.312,0.022,0.7118181818181818
2014-04-30,2.0,"Based on enthusiastic Yelp reviews and a preponderance of delicious-sounding menu items, I was really looking forward to my lunch here. Boy, was I disappointed. The food was not very good and it was expensive.  I ordered the Brussels sprouts salad and the tuna steak sandwich. My husband got the soup of the day (Manhattan clam chowder) and the seafood tacos.  I would say the salad would be a good choice for anyone who needs to be tricked into eating Brussels sprouts (if you like sprouts, you might feel cheated). The veggies were raw, shaved into a mound of ultra-fine ribbons. I could have been eating any green vegetable, really. The vinaigrette was light, fresh, and citrusy. The salad was just okay. Not something I'd order again, but I'd probably remember it more fondly if the rest of the meal had gotten better.  My tuna steak was unevenly cooked: well done at one end, and rare at the other. It was served on top of a too-sweet Asian slaw (horrible) with a side of standard burger accoutrements: lettuce, tomato, half a pickle, onions. The two sets of sandwich toppings didn't seem to go together at all, and the bun was so soft I ended up eating just the tuna and veggies (not slaw) with a knife and fork.  I guess Manhattan clam chowder is tomato-based? It was pretty ordinary.  The seafood tacos were a massive amount of food (three heaped tacos, mostly fish), but were incredibly bland.  One thing I did enjoy: their dessert menu includes ""full sized"" dessert items ($5-6), and mini desserts ($3). I have always wished that restaurants would offer small desserts for less money. We shared the chocolate mousse cup (chocolate mousse in a little ""cup"" shell of chocolate), and it was delightful.",0.9867,0.849,0.128,0.023,0.518080693815988
2014-04-23,4.0,"Impeccable service!  The food was decent, but nothing amazing.  I had the seared tuna and it was a good cut of fish, a good size, and cooked perfectly, but not so well seasoned.  The drinks were good as well.  Overall, a nice spot to eat after a tough workout.  They also had live jazz there on some nights, and a lobster special.  I might check them out again if I'm in the area.",0.9263,0.583,0.264,0.152,0.6362637362637363
2014-02-02,2.0,"I've only had breakfast here and came in for brunch on a weekend. I had the eggs benedict and the eggs were not runny, so they had that gooey yolk thing happening. Yuck. The coffee was so-so and the breakfast was pretty unremarkable. .",0.4939,0.926,0.074,0.0,1.0
2014-01-25,5.0,"Had dinner here again the other night. This time I tried the braised veal over polenta...fantastic dish.  the veal was very tender and flavorful and the polenta was crisp on the outside and creamy on the inside, just like I like it.  Tried the Lychee Sakitini which is my new favorite cocktail.",0.7906,0.855,0.145,0.0,0.43270202020202025
2014-01-14,4.0,"Went here for dinner unexpectedly, and it ended up being a nice surprise! On a chilly fall/winter evening their Pot Roast with mashed potatoes and mixed veggies (especially the brussel sprouts!) was just P-E-R-F-E-C-T!   I've also been her for their Sunday brunch.  After much consideration, I went with the breakfast buffet which, again, was P-E-R-F-E-C-T!   Service on both occasions was good and I look forward to my next visit!",0.8388,0.874,0.126,0.0,0.6187500000000001
2013-03-27,5.0,"I love Maxwell's! It is such a hidden gem in the city. They have amazing live music almost every night and their food is just fantastic. I will admit I am a member of the EBC so I might be biased, but the placed is packed every night. I just love having it as an option!!! Oh and the food is just fabulous!",0.9617,0.691,0.286,0.024,0.6666666666666666
2013-03-22,2.0,"My roommate and I came here for the all-you-can-eat-brunch on the weekend.  The selection is not wide enough to justify the price of $37, which in Las Vegas you can get like an entire room of food for.  Some highlights are the made-to-order omelet and the chocolate covered strawberries.  But all the pre-made hot food was quite overdone - the salmon was actually tough.  We ate at the bar and the service was fine, the bar tender cleared our plates and gave us OJ, nothing major but perfectly fine.",-0.3076,0.868,0.07,0.062,0.5885416666666667
2013-03-07,5.0,"Dinner: We had the Tuesday Night Lobster Tail's Dinner. We were waited on by German, (pronounced HER MON) the greatest waiter in the Tri State Area. Lobsters were cooked perfectly, Our service was light-hearted and fun. Anyone can go in this restaurant, you do not have to be an EBC member. It is never crowded. Prices are decent, food is great and the drink pours are generous.",0.9643,0.764,0.236,0.0,0.6595238095238096
2012-07-15,4.0,"I'd never think a fitness club could have an outstanding, uncrowded bar and restaurant. But one exists in River North - Maxwell's.  The service was phenomenal and professional in every way. The staff really care about the food and your well-being; you're not going to get a bunch of 20-somethings with attitudes taking your orders and forgetting about you here.  The entrees are not easy on the wallet at all. However, $10 gets you an amazing pizza with fresh ingredients. As in nothing frozen. That alone is worth a trip here.",0.9188,0.786,0.172,0.042,0.5010416666666666
2011-11-14,4.0,"I really liked my time at Maxwell's. My former boss took me there a few nights ago and since I had never been into East Bank I was excited to go. We had a delicious ahi tuna app and a really tasty salad. Now being 25, I was definitely the youngest person there by 20 years but I still had a nice time catching up with a large pour glass of wine ;-)",0.9031,0.801,0.199,0.0,0.6071428571428572
2011-02-13,3.0,This place seriously in need of an update. The food is good and the specials are always great but there is nothing new here and the decor is strictly 80's. If you are looking to chow down and not much else it is ok.,0.714,0.822,0.15,0.028,0.4943001443001443
