date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-27,4.0,A great place to enjoy a really good cup of coffee and pastry or sandwich in a pleasant atmosphere.  Unique ambience with good service for the most part. Try the scones.,0.9516,0.575,0.425,0.0,0.7023809523809524
2017-08-26,4.0,Best ham & cheese croissants! And we tried the bacon cheese scone and it was amazing!!!,0.8798,0.586,0.414,0.0,0.6
2017-08-24,5.0,"I stumbled upon Julius Meinl four years ago, and was so in love that I went out of my way to come back again!  Everything on the menu sounds and looks delicious, and the coffee drinks are works of art.",0.858,0.81,0.19,0.0,0.5333333333333333
2017-08-21,4.0,This is a great coffee shop although isn't once what it was- chicken salad used to be best in Chicago and no very average. Baked egg dishes are still great. Lattes are perfect. Love the charming European atmosphere.,0.9747,0.533,0.428,0.039,0.6286324786324786
2017-08-06,4.0,"It's a bit cutesy, but it avoids being too cloying or twee. My friend and I enjoyed our drinks here - I liked trying something new, the coconut latte. It tasted like a regular coffee drink with a splash of coconut milk. Prices are not as obnoxiously high as they could be at a specialty shop like this. Decor-wise, having small booth sections in the middle of the space (e.g. not just large booths against the wall, as it would usually be done) was pretty cool.  It was a shame that the hand dryer didn't work. Apparently the problem had been going on for about a week, which made me think problems like that should be fixed a wee bit sooner...",0.98,0.646,0.265,0.089,0.4500030738492277
2017-08-05,5.0,"My friends and I visited this place around 8:30 PM, after a movie and just wanting a place to chitchat. I suggested place, having visited this place before, and remembering good coffee. The coffee is still good, and the Mozart torte is still succulent (my friend and I couldn't finish it so her date polished it off). If you want an old world coffee shop, or just good pastries, this would the place to go in Lakeview.",0.936,0.802,0.198,0.0,0.4600000000000001
2017-07-31,2.0,"Very slow service on a quiet Monday morning. My egg brioche sandwich was served cold. Spoke with manager, have been waiting for almost 15 minutes for replacement. Sorry to say, and really hate generalize, but millineal workers in general lack accountability, no sense of urgency and focus. This same situation plays out in the food services area routinely. Sadly....",-0.7092,0.817,0.039,0.145,0.6722916666666667
2017-07-04,5.0,"I love this place!!!! The atmosphere, location, coffee, food- doesn't get better! I love that you get your coffee on a plate with everything you need. Also the biscuit it comes with is so good. Favorite part. I also always get one of their scones or croissants. So many flavored and none of them disappoint. I've also been there for lunch and dinner. Everything has been great and they play nice music. I love getting some work done here or coming with my fiancé for some relaxing brunch.",0.9874,0.655,0.323,0.022,0.6833333333333333
2017-05-28,5.0,"First and most wonderful, there was no wait at 11:00 am Sunday morning! The decor is warm and inviting and the coffee served on a pewter platter is precious. I had backed eggs with salmon and it was wonderful, eggs were cooked perfectly, the salmon salty, and dill cream cheese sauce was light added a little tart tang. The French toast was more like bread pudding and it should not be missed. The service and timing was aces-- we always had warm coffee and our server proactively checked on us throughout our meal.",0.9746,0.723,0.257,0.02,0.6444444444444445
2017-05-18,4.0,"Boujee but cool aesthetic. My iced coffee was pretty good, but expensive. Waitress was nice. My sister said her chai tea was just like fancy milk. Hmm yep that's pretty much all I have to say. Well I guess I could mention that it would be a nice place to study/work on things .",0.9855,0.559,0.441,0.0,0.76875
2017-05-16,5.0,"My husband and I returned to this location 10 days ago and to my delight, they had a sign up stating they now offer gluten free bread. I had the chicken salad sandwich and was not disappointed. Since their location on Lincoln and Montrose closed, it is very nice to have options for my European coffeehouse fix!",0.9207,0.792,0.208,0.0,0.6
2017-05-13,4.0,"Lunch for breakfast.  Waiting to get the car serviced and starving.  Excellent tea. Brewed nice and strong with a lovely cookie on the side.  I had the special vegetarian soup. Pretty much a tomato vegetable number. Very nice and a large serving that I couldn't finish because I got the add on grilled cheese with mornay sauce. Highly recommended, that one",0.9678,0.612,0.35,0.038,0.7223333333333334
2017-05-06,5.0,"Very nice drinks. The atmosphere is wonderful. When my friend and I went during early night, there was some live guitar music that was lovely. Great place just to sit and chill for a while. Also, the water they give you with drinks is strangely very good.",0.9632,0.62,0.344,0.036,0.7257142857142858
2017-04-28,3.0,"Coffee shop vibes with restaurant service and I love that you get a traditonal restaurant style menu with wait staff to take your order. Although, this place is losing its charm... This place has had better service in the past.",0.6705,0.783,0.159,0.058,0.45
2017-04-15,4.0,"I love Julius Meinl, especially their coffee and baked goods (the egg and cheese on Brioche is delicious and so is the apple cinnamon scone!). Their desserts are incredible (love the key lime) and I often pick them up when I having people over for dinner. If I am eating in for breakfast I love the baked eggs, worth the wait! My only complaint is PLEASE FIX THE AIR CONDITIONER! It didn't work well last summer, I went in one day and it felt like 78 degrees in there and yesterday it was incredible warm again, not nice at all to sit and eat a meal (and I feel bad for the staff who looked uncomfortable). I realize it's expensive to replace the AC (and they just closed the Montrose location) but it's seems pretty important to have working AC in a restaurant that serves food and coffee. Other than that I love this location.",0.966,0.791,0.167,0.042,0.6821969696969696
2017-03-18,5.0,"Came here for the first time for a coffee and desert. Very underrated, tasty desert and coffee was good. Nice atmosphere.",0.6908,0.759,0.241,0.0,0.5583333333333333
