date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,I have been coming here since the early 90's and it is exactly the same great food every time !,0.6588,0.795,0.205,0.0,0.35625
2017-08-21,1.0,"The service has never been great but what can you expect at a place like this. Tacos used to be amazing though. I was here a week a go and was extremely disappointed Bad service, horrible and expensive tacos. Will not be going here again.",-0.8483,0.582,0.141,0.277,0.7944444444444444
2017-08-18,1.0,This place is filthy am surprised that the city hasn't shut their doors for violating city codes. The washrooms are disgusting.,-0.7184,0.672,0.071,0.257,0.9666666666666667
2017-08-13,5.0,"I can't speak on their other menu items but their carne asada steak burrito is literally within the top 5 best burritos I've had in my life, if not the best burrito of my life. Granted, I chose the supreme version, which is $12 --super pricey for a burrito, but damn it was good.  Evenings are pretty busy, especially on a Friday night like when I went.",0.9849,0.59,0.37,0.04,0.5601851851851852
2017-08-12,4.0,"The best Taco , Burito & Chachos in town .. Always pack but its worth waiting for good stuffs",0.8316,0.614,0.386,0.0,0.3333333333333333
2017-08-01,4.0,"Just had a relleno taco--heaven. Restaurant is a bit dumpy, but that taco was so delicious! And service was fast and friendly.",0.9072,0.566,0.373,0.062,0.7000000000000001
2017-07-29,3.0,"Came here for tacos on a bit of a whim on a Thursday afternoon, not my favorite place for tacos but not terrible either. Atmosphere- It was pretty dead given it was a Thursday at 4pm but I can imagine the place gets packed at certain times. Service- Very speedy. I only ordered two tacos to stay and they were ready in 2 minutes. Food- I had one chile relleno taco and one carne asada. The carne asada one was decent. The chile relleno one I would not recommend. It tasted like fish and I suspect that it was likely microwaved or had been out for some time. Might be better as a late night spot but there are better tacos out there!",0.9121,0.727,0.178,0.095,0.6952380952380952
2017-07-25,5.0,Best burrito that I've had in Chicago thus far.  Having this blocks away should be illegal...lol,0.4723,0.689,0.207,0.105,0.65
2017-07-24,4.0,Local quick service taco / burrito spot.  My go to is 3 of the steak tacos with cilantro and onion.  Great place to grab a quick bite from on the way home.,0.6249,0.872,0.128,0.0,0.4375
2017-07-24,1.0,Horribly overpriced for Mexican food. A Steak burrito without cheese... is $10...for cheese .60. If you wanna try the salsa negra....50cents otherwise you'll only have green salsa available to you. With all that being said the flavor is mediocre at best nothing fancy at all...$3.00 tacos with cheese..$3.60...ridiculously overpriced...The hype is not real...#notgoodmexican,0.2023,0.868,0.073,0.059,0.5714285714285714
2017-07-22,1.0,"I forgot how much this place sucks when there is no manager on duty, the girls cop an attitude and it takes 20 minutes 2 tostadas",-0.5719,0.824,0.0,0.176,0.25
2017-07-17,3.0,"As they say, they are the best tacos in town, but since they closed the larger store next door, they jacked their prices, started charging for the dark colored salsa, and the counter service is frankly unpleasant. This is my first time around in several years. I won't be coming back.",-0.3716,0.877,0.047,0.076,0.28703703703703703
2017-07-11,2.0,Used to be the best; now it's greasy and kinda sucks.  They microwave which is a turn off as well.,0.624,0.653,0.257,0.09,0.3
2017-07-10,1.0,"Terrible customer service! I went there for my Lunch break. When I get back to work the over priced guacamole was spoiled and completely black and chips were old and hard as a rock. When I call to get a new batch delivered or a refund. I was treated horribly by a girl named Cindy who claim she was the owner and which is why she can get away with treating people like crap. I will never spend another dollar here, or any one of their other locations. The place is filthy and the people that work there need a attitude adjustment.",-0.807,0.867,0.025,0.108,0.5804545454545454
2017-07-08,1.0,its sad to see what happen to this place. i loved going here years ago. it was my favorite restaurant. the tacos and green salsa were the best. when i moves back to wicker park all i can think is eating here. i went 2 days ago and man was i disappointed the prices went up and the food is not what it use to be. wont be coming back here.,0.7096,0.776,0.144,0.08,0.5187499999999999
2017-07-04,4.0,"Great place for late night eats! They accept cash or card now, but be prepared to wait in line to order food. I love their old school Mexican rice as well as their tostadas!",0.9406,0.64,0.36,0.0,0.43000000000000005
2017-07-02,1.0,"Horrible!! Gross and expensive! Never coming back.  The steaks tacos used to cost 1.50 to now a ridiculously high price of 3 dollars plus taxes . They didn't even change the size! They are the same micro tacos and they don't taste as good as they used to, very sad. We were huge fans of this place . The guacamole is gross , the small size is as big as the cups that you can use at Wendy's to get ketchup, that's and insult!! and guac is made with old ingredients and it tastes horrible the chips are very bland and old too. If you raise your prices more than 3% it is obvious you have to improve a lot of your food quality and the place . But In this case you did the opposite, you raised the prices too high, you lowered tremendously the quality of the food and you didn't make any improvements in your restaurant area it remain the same if not even more dirty and old. Finally something else that bothers us a lot is that you are  basically the only restaurant in Chicago that for every purchase for 5 dollars or more by debit or credit card you have to  ask for an ID . you're not selling jewelry, designer clothes or anything close .. not even Michelin star restaurant ask for an ID is a bit annoying.",-0.9698,0.824,0.041,0.135,0.5286206896551724
2017-06-29,1.0,Service has gone down. I would rather take my business elsewhere. Today we were given the wrong order and chips were not fresh. Cashier was really rude and unprofessional.,-0.8983,0.668,0.0,0.332,0.5722222222222222
2017-06-25,3.0,"The steak was AMAZING, BUT they were way too greasy. The grease leaked through the two tortillas and all over the pan and paper. Also, the green salsa was awful. When dining in, there were no chips and salsa given. What kind of Mexican restaurant doesn't do that? Employees also seemed unhappy. No type of customer service.",-0.9258,0.728,0.04,0.232,0.6666666666666666
2017-06-21,2.0,"I really wanted to love La Pasadita. I live down the street and stopped in the for the first time last weekend. I was so disappointed. I'm from the south side and grew up in a largely hispanic neighborhood, so I have a specific love for Mexican food.  I ordered a bowl and a side of tortillas for a total of $11. It should have really been a $5 meal. Just very underwhelming in general.  I will be back because it is in the 'hood and will give the tacos a swing but so far... meh.",0.1657,0.874,0.061,0.065,0.3907329598506069
2017-06-21,1.0,I had a $13 burrito that should have been a $5 burrito. I don't see what all the hype is. It wasn't particularly large or tasty even for a $5 burrito. Staff seemed hip. Felt love me they were trying to ride in the wave of seniority. First Chicago burrito something.,0.6369,0.915,0.085,0.0,0.4539682539682539
2017-06-13,4.0,"Upgrading my review for two reasons: their tacos and their horchata. Their tacos are packed with meat and a very good-sized, great tasting horchata for only $1.50 is hard to beat.  And they now take credit card!",0.7827,0.792,0.174,0.034,0.6479166666666666
