date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-01,5.0,"So full but CAN'T.STOP.EATING!!! I ordered the Rigatoni Porcini which came with a small salad and bread and a 16"" (extra large) pepperoni pizza from Uber Eats. It arrived on time, hot and perfectly cooked.  The Rigatoni Procini was amazing. The sauce is almost like a vodka sauce but not quite. The mushrooms are plentiful, cooked well and so flavorful. I'd definitely recommend this dish. I filled up so much on the rigatoni I barely got to eat any pizza. However, what I did eat was fantastic! The pepperoni was fresh and bursting with flavor and the pizza was super cheesy. Definitely high up on my pizza list. Go here now!!!",0.9926,0.693,0.307,0.0,0.595952380952381
2017-08-28,5.0,This is the perfect little place for anyone who has a huge appetite! The pasta entrees are gigantic (and I am not exaggerating)!!! You will eat half there and take the other half home. They also have friendly customer service which is a plus in my book! Rsvp is highly recommended in the evening because the dining area is very small but cozy. I would definitely go back!,0.8851,0.827,0.173,0.0,0.49257575757575756
2017-08-18,5.0,"Would be six stars if they had knives for all the guests. For some reason, they don't have enough knives. Mind boggling. Food is great and Dee is fantastic but short on knives?",0.5927,0.865,0.135,0.0,0.6124999999999999
2017-08-18,2.0,"Good food but terrible customer service. Benn going/ordering from them for years, about a year ago they tell me that my address is out of their delivery zone and that I would have to pay an extra fee to have it so I did with no problem; another 6 months go by and now no delivery period. When I asked to speak to a supervisor - no one available. VERY WISHY WASHY for a business. Too bad.",-0.9708,0.704,0.023,0.273,0.5111111111111111
2017-07-22,5.0,"As promised, I'm back after getting their stuffed pizza. It. Is. Incredible. You see, the sauce is soooo important when it comes to stuffed pizza in order to balance out the mass amount of cheese. Again, these guys know how to make a pizza. The sauce tastes very fresh with just a hint of natural sweetness. I almost got a pasta marinara flavor from it with the consistently of a smooth pizza sauce. It wasn't overwhelming either. Just enough. As I mentioned in my previous review, they know how to balance the flavors and ingredients. The bottom of the pizza was still firm and crispy, where some other stuffed pizzas get way too soggy. Toward the end of the slice, I was able to pick it up and eat pretty easily. I gave JB's my stamp of approval for best stuffed pizza in Chicago, but this might be neck and neck now. I'll update again once I order their pan pizza. Hang tight.",0.9051,0.894,0.106,0.0,0.5584821428571429
2017-07-12,2.0,Very disappointed with the food we ordered. The chicken parm was extremely chewy. The sauce was good but the chicken ruined the dish. The Fettuccini Alfredo was extremely greasy. Called to get a refund.  They asked us if they could remake it. The replacement looked ok but within 5 minutes it separated and became a grease pile. $50 down the tube. I don't know how they get any good reviews. This experience ruined a planned relaxing night at home. Just bad. :-(,-0.7647,0.684,0.13,0.186,0.7755050505050505
2017-07-05,4.0,"Whilst browsing for a spot to order dinner from, Barbara S. and I happened happened upon this option. So note, this review is for delivery only. Not the best packaging, but it wasn't bad or messy. We ordered three different types of pasta. All were delicious. The lobster ravioli was a fav. I absolutely loved the rigatoni porcini. And, best of all, all the pastas tasted great days later and reheated. You gotta appreciate a pasta dish that holds up for awhile. So all in all, we'll for sure order from here again. And it's now on my list to check out in-person.",0.9927,0.678,0.322,0.0,0.6095959595959596
2017-07-03,4.0,"I had an old Groupon from 6 years ago that I never used because of the hour limitations, when they were in their old spot on Belmont.  We walked from there to the new location, which looks a bit lonely and desolate on the outside in a little strip mall.  The inside is quite small with just a small number of tables, but has a pleasant atmosphere that makes you feel at home.  The staff were fresh and friendly and went out of their way to make sure we were well served.  They clearly do a lot of take out with the number of people coming in and out to pick up and the size of the kitchen for such a tiny storefront.   There wasn't much good air conditioning, the sun was blazing in the window, and the door was open to cool off, I suppose a byproduct of being a big kitchen in a small space, so if you need cool air don't come here on a hot day.  The eggplant was really delicious and the veal was salty and hit the spot.  A great little place that's hidden off the main streets, worth a visit.",0.9899,0.777,0.2,0.023,0.49678932178932184
2017-06-18,4.0,"It was our first night in town (6/6/2017) and it was my daughters 17th birthday. She wanted Italian and found this spot about a 25 minute walk from the hotel. We called ahead and made reservations. It is very small but we were able to get right in. I had a special that evening. Black pasta with salmon/mushrooms and a tomato cream sauce. Mind you, these are huge portions. I ate the whole thing. It was incredible. My daughter had chicken parm and loved it. My wife had the pizza and said it was alright. Very thin crust. Not her favorite. Reasonably priced and we had a 25 minute walk back to the hotel to walk it off. We'll be back.",0.9604,0.857,0.143,0.0,0.5628711484593838
2017-06-17,5.0,"It's embarrassing that it took me so long to go there, my loss.  The food was absolutely delicious served in great portions.  Service was outstanding, ""D"" did an amazing job guiding us through the menu and pacing the food being served. A absolute great place to go for an outstanding Italian meal!",0.9697,0.596,0.336,0.068,0.7166666666666667
