date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Friendly and helpful staff. Ordered A medium thin crust pizza with both veggie and meat toppings and an individual Hawaiian style deep dish. It's a lot of food but love every bite of it, especially with a draft of Guinness beer!",0.8777,0.776,0.224,0.0,0.625
2017-09-02,1.0,"My wife and I ordered a large mushroom and onion thin crust pizza for delivery last night.  We usually order from Malnati's but thought we would try Pizano's for a change. We had ordered from their Glenview store on a regular basis when we lived there and consistently enjoyed it. Unfortunately we did not have the same experience last night. The pizza was very over baked, dry, and extremely greasy all the way through to the bottom of the crust. There did not seem to be any onions and the mushrooms were almost unrecognizable, probably because it was so over cooked. The pizza, which was on the small size for a large, took an hour and 10 minutes to arrive priced at $32.00 and change plus standard $5.00 tip. That was almost $40.00 for a very unsatisfying pie. Any number of frozen supermarket pizzas would have been more satisfying for a fraction of the cost. I don't understand how a restaurant can allow food like that to be served to their customers. It really is disrespectful. Needless to say we won't be ordering from this restaurant again.",0.9159,0.9,0.083,0.016,0.46461996336996336
2017-08-27,5.0,"Great pizza, toasted ravioli (better than STL) casual and old school vibe. Everything was great and we will return .",0.875,0.615,0.385,0.0,0.6133333333333334
2017-08-20,5.0,Great classic Chicago pizza joint. Adorned with autographed hawks and sox wares. Cold beer and good service. The pasta isn't bad either. Will definitely go back.,0.9239,0.594,0.406,0.0,0.5305555555555556
2017-08-18,5.0,"My friend and I have a late arrival to Chicago city at the first time , at the hotel we were looking for food at 12 am was almost giving up . Then Pizza Pizano's was highly recommended by the hotel staffs , so we went. We love the food , service and host there , I also take few photos with my idol's frame . Lovely spot , cozy and warm. Thank you :)",0.9674,0.714,0.286,0.0,0.585925925925926
2017-08-15,3.0,This was my first Chicago Deep Dish. So I'm not sure what to write. The cheese pizza wasn't very tasty but the Special was good. The service was amazing and the venue is really awesome.  I will try another deep dish during our visit and update this after I can compare.,0.9642,0.684,0.291,0.025,0.599294532627866
2017-08-07,2.0,"Atmosphere: Narrow little pizza joint with a decent size bar. Not a lot of natural light. Old school player photos on the walls, some with signatures. The table has a sheet of paper over it.  Service: It was kind of odd, they have big personalities here. It takes 30 min to get a pizza (or more) so be prepared to wait (even for the thin crust). The server spilled quite a bit of beer from my fiances glass onto the floor and table.  Food: Eh. I don't know why Oprah raves about this crust. It takes like every thin crust in Chicago. I think it is pretty weird to have the pepperoni's under the cheese, kind of hard to eat it pulls all the cheese off with it when you take a bite.  Nothing bad, but nothing amazing that I would come back for during our next visit to Chicago.",-0.5664,0.88,0.048,0.072,0.5662499999999999
2017-08-06,4.0,We're visiting Chicago for the first time and wanted to try pizza. We found this place on our way looking for another spot. Paul was our server. There was an issue with our appetizer and he went above and beyond to rectify the issue. It was a pleasure dining here and did i mention the pizza and cookie desert was so yummy.,0.8429,0.878,0.122,0.0,0.21666666666666667
2017-07-25,5.0,"We haven't dined in (it's pretty tiny and VERY old pub - - not quite our style), but their za takeout is second to none. And they now offer gluten free options for deep dish AND thin crust! Are you kidding me?! HEAVEN. But if you are going for the regular za, ENJOY THAT CRUST for all that it's worth. So unique and buttery, i'm actually struggling through this review right now without a slice next to me. Damn it, now i'm hungry. BRB, going to Pizano's. xoxo.",0.9694,0.686,0.249,0.065,0.437331240188383
2017-07-24,4.0,"This was good, we wanted to try a different Chicago pizza place and Pizano's was recommended on the hop on hop off bus tour we took. Apparently Oprah's fave pizza. When we arrived, the menu stated thin crust was her favorite so we ordered one thin crust and one Chicago style for our group. Chicago style was much better in my opinion! Either way, you can't go wrong with pizza when in Chicago!",0.9397,0.799,0.201,0.0,0.70625
