date,star,text,compound,neutral,positive,negative,subjectivity
2017-04-28,5.0,"Went here last night with my mom. We had a fabulous time. Ryan was an excellent teacher and a lot of fun. We made broiled oysters which I didn't think I would like because I like them raw instead but they were delicious. The seafood gumbo with the rice was very good and I can't wait to try to make at home. My favorite was the pecan pie it was sooo delicious. Ryan taught us different skills to have in the kitchen (cutting skills, cleaning and opening oysters, etc.). I definitely recommend this place very intimate and the BYOB is an extra bonus. Definitely worth the money. Also, enough to take home leftovers",0.9915,0.668,0.309,0.023,0.6242628205128204
2017-03-11,5.0,"I seldom give 5 stars... I have high standards and feel there is always room for improvement. However, Cook Au Vin won the fifth star! Cook Au Vin has perfect recipe for teaching how to prepare a meal by experienced chef, meeting new wonderful people, and devouring the meal just prepared. All the while drinking fine wines! The kitchen is perfectly appointed and the dining room is warm and friendly. We truly enjoyed ourselves and highly recommend this experience.",0.9879,0.632,0.368,0.0,0.7031404958677686
2017-02-24,2.0,"It was not as hands on as I expected/hoped for which is why I gave 2 stars. The cooking portion could have been done in 1 hour with proper time management - 4 hours is too long! There was enough room in the kitchen for 12 of us but there was lots of standing around so consider reducing class sizes? This would be perfect for very laid back date, would probably rate this 4-5 stars, but if you are expecting to be cooking the whole time this is not the class for you. Ryan, the instructor, gave good directions but I did not really learn anything, could have just read a recipe (but to be fair I am very comfortable in the kitchen). Some of the things he said was a thin line between funny sarcasm and condescending, take that as you will... You have to somewhat interact with other people so it was a bit awkward in the beginning, but luckily it's BYOB and people are generally friendly. Probably more fun if you booked a private lesson with people you knew. The food we made was great, but not enough for everyone to take leftovers. Received email after class with PDF recipes for all their classes, except the one we actually did (Bavette menu) but to be fair it was the first time it was being offered.",0.9922,0.812,0.172,0.017,0.5446666666666666
2017-02-16,5.0,"This was a fun and memorable experience!  The place is not huge, but it's a cozy kitchen and the food was great.  It's more of a group effort for a family style meal.  Chef Ryan made it a lot of fun. He leads the meal prep, gives you great cooking tips and basically sets up stations with tasks.  You can pitch in and help or kick back and sip on your wine. It's BYOB.  You can bring tupperware to pack leftovers to take home. The only downside is getting reservations for the Bordeaux Menu was difficult.  We had to book 2 months in advance just for a Wednesday night class, not even a weekend class.  You start at 6pm and end at 10pm.  You spend most of the time cooking and it's time and money well spent.",0.9646,0.791,0.161,0.048,0.5884615384615384
2017-02-13,5.0,"Cook Au Vin was the most fun I've had in a while.  Ryan, our cooking INSTRUCTOR, was sarcastic, witty and so fun. He was very informative, and made sure to show us the skills and then let us all practice. We learned knife skills (dicing an onion, mincing garlic, chopping celery), shucking skills (both corn and oysters), and life skills (adding a pound of butter makes everything taste delicious ;).  We participated in the Creole Cooking MENU. We started with Broiled Oysters, which was crazy. I've never eaten an oyster, let alone shucked and prepped it. Some of them had little crabs in it, which was hilarious. As a main we had a seafood gumbo, and the roux alone took almost an entire 3 hours so you know how fantastic that tasted. It was crammed with shrimp, sausage and crab meat. We topped it with a basmati rice and vegetable medley, which made it extra hearty. Last but not least was the pecan pie; heaven on earth, my friends!!  We attended on a night where the CLASS SIZE was 8, but they can get up to 12. Not everyone can try every last skill, but at least you're exposed to everything. Plus, they send the recipes through email, so it's easy to try again at a later date.  Pro Tip #1: BRING WINE. Classes are always more fun with wine involved.  Pro Tip #2: COME HUNGRY. They serve fresh baked bread and multiples cheeses before class even begins, and you will have a VERY hearty portion to try at the end of your four-hour class, too. Pro Tip #3: BRING TUPPERWARE. There are so many leftovers, and the instructor wants you to take it all home. It's a great lunch to make your coworkers jealous the following day. On the night we went, they even sent my friend home with a whole leftover pie crust! Pro Tip #4: CHECK GROUPON for deals. (Honestly though, Cook Au Vin is well worth the splurge even if they don't have something running through Groupon at the time.) You're in for a good time if you sign up for a class with them!",0.992,0.836,0.134,0.03,0.49893790849673214
2017-02-12,1.0,"Sadly, this french cooking class was not a class at all. First of all the cook leading our class, Ryan, was not a chef nor was he trained in french cooking.  By his own admission, his culinary training included working in a kitchen as a child and reading Alton Brown cookbooks.  He held a degree in fine arts and journalism with no culinary training.  This was evident as the class progressed.  He did not have any knowledge of food science and could not answer a culinary related question aside from the menu. There was also very little hands on work by the attendees.  Ryan was not an instructor - he did not teach and allow us to complete the task.  He did most of the cooking himself instructing us to season and stir. He was not enthusiastic or  motivated to teach.  I also found it unprofessional that he was drinking wine and had a shot of whiskey during the class. The menu and cooking techniques led to an inconsistent meal.  The scallops were the highlight of the evening as they were sweet and well prepared.  The beef tenderloin, however, was put into a sous vide and did not have a good texture to it.  The meat ran blood red juices on the plate - very unappetizing.  The lack of steak knives made it difficult to cut.  The potatoes were excellent and the addition of asparagus to the meal helped to give it some color but one bunch of asparagus for 10 people was not enough.  At $240.00 a couple there should have been 3-4 bunches of asparagus to go around. Dessert consisted of pate a choux piped into hearts and filled with pastry creme.  This would have been better made into profiteroles as the choux did not expand enough to hold the pastry creme. The facility was also lacking in ventilation and space.  Each work station did not have it's own stove so we could not actually cook, only chop.  Ryan controlled the actual cooking.  Because there were no draw fans, when he heated the pans and filled the kitchen with smoke he had to open the front door as we were coughing from the fumes. Overall, very disappointing. My husband and I have attended many cooking classes for much less money and they have been in a better prepared kitchen and instructed by a trained chef that has attended and completed culinary school.  My suggestion for Cook au Vin is to hire chefs trained in french cooking to teach your classes or change your website to reflect the actual service being offered.",-0.4947,0.883,0.05,0.067,0.4682051282051282
2017-01-12,2.0,This is a review on their customer service. I emailed about menus prior to booking because I have severe allergies. I was simply told their menus are online. Dissapointing.,-0.3818,0.902,0.0,0.098,0.17857142857142858
2016-12-08,5.0,Tons of fun. Food was delicious. I liked that I didn't have to be super hands on and could hang back and drink. It's a group effort so it's not like home ec where you're cooking your own food. Teacher was great I think it was Ryan.,0.9471,0.647,0.311,0.042,0.6309523809523808
2016-11-16,4.0,Had this catered in for lunch today at my office- the salads were FANTASTIC!  The sandwiches were good but just a bit more bread than meat.  We'll definitely be ordering again tho bc the salads were bomb!,0.5347,0.71,0.194,0.095,0.625
2016-10-12,1.0,"They have an absurd cancellation policy. I scheduled a class for two people over a month in advance and tried to cancel it 5 minutes later. I immediately called and no one answered until the next day, even though I called during business hours. They charged me 55 dollars to cancel.",-0.7184,0.837,0.0,0.163,0.3333333333333333
2016-05-19,5.0,"My mom, sisters and I bought the Gilt coupon for a cooking class and had a blast! We took the Boudreaux class and absolutely loved everything we made. Not only was the food delicious, Chef Vincent taught us a lot and was very enjoyable to work with - he asked questions to make sure we understood what we were doing and explained why we did certain things. After working as a team and being in a more intimate environment for a few hours, our group ended the meal sharing wine and stories like we were old friends. I highly recommend this to anyone who enjoys cooking or would like to learn more about it. We will definitely be coming back!",0.987,0.735,0.265,0.0,0.5700226757369614
2016-04-02,1.0,"We did the southern brunch cooking class with Chef Ryan where he made fried chicken and waffles, grits with andouille sausage, and strawberry cobbler. We felt like the class could've been planned a little better. We cooked the waffles first so when we finally ate them they were soggy. Chef Ryan is really laid-back and relaxed which is great, but we felt like we weren't given much instruction or assistance. We didn't feel like we learned anything new. Frying the chicken took about two hours and almost all of the chicken came out burnt and undercooked.",0.9159,0.857,0.143,0.0,0.5656565656565656
2016-04-01,5.0,"The cooking class was such a blast! We drank, learned about French cooking, made new friends and ate good food. It was one of the best meals I have had in Chicago. It's byob! The ambiance is so cute, it doesn't look like much from outside but when you step in, you really feel like your in back of French restaurant. The class usually holds about 14 people, the experience is very intimate and hands on. Chef Ryan was so fun and very knowledgable! I would recommend it for anyone, even if you know nothing about cooking, the experience is worth the cost! We got great deal on Groupon, hoping they offer more coupons soon. Definitely a must do in Chicago. I will be back for another round, maybe for brunch recommendation from the chef!",0.9863,0.749,0.224,0.027,0.33735930735930736
2016-02-23,5.0,"This was my first cooking class ever, and Chef Maggy was the best! I came here for a private pastry class with the ladies at my company; there were 8 of us. We learned to make macarons and Paris Brest. Prior to coming, I had imagined that we would all get our own stations to cook. Instead, it was like a group activity, which was an awesome experience. There was more than enough ingredients for each of us to have a task, and definitely enough to take home! Chef Maggy was very patient with us. She gave us tips along the way and showed us plenty of techniques for how to make pastries. I'm happy that the chefs here are actually French and have been cooking/baking French food for a long time - it really makes the place authentic. Don't forget to bring your Tupperware and wine! And definitely bring some cash to tip the chef :)",0.9762,0.847,0.153,0.0,0.4810185185185185
