date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,"From the wait staff to the incredible food, my husband and I loved everything about our experience! Everyone was so personable, kind and accommodating. The food was AMAZING as well. And to top it off, we were celebrating a mini baby moon and they surprised us with a delicious dessert! Loved Kinzie Chophouse and will be returning!",0.9835,0.599,0.401,0.0,0.8375
2017-09-02,5.0,The mushroom risotto is to DIE for. Excellent service and delicious food. What a great combo. I definitely recommend this place,0.9015,0.379,0.486,0.135,0.8125
2017-08-26,5.0,"This was our second visit to Kinzie. (April 2017) Our first visit was soooo terrific, we had to go back!  We got lucky and went when they had a James Beard week spring menu For an appetizer we started with the Mushroom and goat cheese tart .. full of delicious flavor perfect size for two. I did the wine pairing menu for $69:  Here's the deets: Artichoke soup - really good but could have a tad more seasoning. Napoleon - Had a ton of flavor but was hard to eat.   Duo of filets -  OMGoodness they were cooked perfectly and & seasoned just right.  Banana creme tart - so good!  Service was terrific and I cannot wait to go back!",0.9757,0.786,0.201,0.012,0.5731792717086834
2017-08-25,5.0,"We had the best service,  friendly and knowledgeable and engaged my son. The food was amazing!",0.9348,0.458,0.542,0.0,0.5666666666666668
2017-08-06,5.0,This place was awesome. I can't wait to go back.  The food was delicious and Michael Donovan seriously provides the best service EVER!,0.9117,0.563,0.384,0.053,0.5933333333333333
2017-08-06,4.0,We were looking for a great steak meal and found it here. Wife loved the filet on her steak salad. My Delmonico was flavorful and the side sauces very good. Potato sides were big and good as well. Staff was friendly and attentive and atmosphere cozy. Not inexpensive- 3 are for $200 but that's not out of character for steak in Chicago.,0.8703,0.808,0.192,0.0,0.6475000000000001
2017-08-02,4.0,We came here to celebrate my friend's birthday. There was 14 of us and we had 3 babies. I was worried at first because this looks like a very nice sit down restaurant and we werent sure if our babies are going to cause chaos for the other customers. They placed us in a room near the back (smart!) and had high chairs and kids menu ready for us (Colleen Morris had it set up for us before arrival and it was great because being a mom and having not to worry about this makes it so much easier!). The service was really good - I'm glad our servers were patient and friendly with us.. I know with a big group and with babies it can be crazy but they handled us like a pro. My son threw his spoon on the floor and  one of the servers showed up behind me and asked if I wanted to have the spoon washed.. love it! Most of the people on the table ordered steak - they all loved it. I had the short rib over rissoto - it was just okay for me which was why I gave it a 4 stars. The kids enjoyed their meals.  They also validate parking from Mart Park across the street $10 for 3 hrs!,0.9891,0.782,0.187,0.03,0.5466236772486772
2017-07-30,2.0,"12oz filet was just ok. Creamed spinach side was not good; it tasted like spinach leaves with sauce poured on top. The four cheese Mac and cheese was ok, tho a bit dry. I expected to be wowed, but was not impressed.",0.1571,0.707,0.185,0.108,0.5857142857142856
2017-07-25,4.0,"Very under-rated steakhouse in the loop. Cozily tucked away near the Brown line, this classy old school joint will not disappoint carnivores searching for delicious meat. I had the filet encrusted with aged gouda. My friend had a Kansas City strip, which he let me try. They were both cooked perfectly. Great wine list. Great whiskey selection.  Tourists and millennials go elsewhere for glitz and glamour. Real Chicagoans choose Kinzie when all they want is a great meal.",0.9869,0.658,0.342,0.0,0.5909090909090909
2017-07-24,5.0,"I can honestly say this was the BEST filet mignon I've ever had. It was cooked exactly how I asked for. It was juicy and oh so flavorful. I paired it with the broccoli fondue which was excellent. My friends both ordered salad and they were massive. Serving sizes are exceptional.  Did I mention that the servers are awesome? Everyone was extremely nice and attentive. Such a relaxing, awesome meal! If you are ever in the in the theatre district while in Chicago, you should do yourself a favor and eat here.",0.9864,0.705,0.295,0.0,0.8045454545454547
