date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-29,1.0,"DO NOT GET WAITED ON BY MARK! He's an awful waiter and has no idea what he's doing.  It's no wonder why the place was empty on a Friday evening.  I wasn't able to talk to a manager (on a Friday night?! Wtf). Mark messed up our bill 3 times, made our table wait for over an hour and a half to bring food for 6 people, another hour to fix our check and the food wasn't even that good.  He charged us for 3 items we didn't order, never came back to check on us and would tell people to 'hold on' and just chat with his buddy up front.  TERRIBLE service and establishment.  It's under new management- go figure.",-0.9533,0.839,0.0,0.161,0.594023569023569
2017-06-09,1.0,Found a hair in my salad.  Very disappointing.   The staff was not really friendly and the chef could not accommodate my order.   I Was excited to find a place close to my apartment that I can walk to.   But this is not a place I would go back to.,-0.6043,0.821,0.049,0.13,0.54
2017-04-19,4.0,"Came here on a whim, not realizing until passing by Jerk that there was a fusion sushi joint right next door. Having heard that it had recently undergone new management I was a little cautious, as it usually always takes a few months for kinks to be worked out, especially if the menu undergoes an overhaul. Arriving during prime lunch hours, i noticed a good occupancy inside the restaurant with 405 other tables full. That didn't stop the service from being otherwise friendly and attentive, and my salmon bowl was out in minutes. It was essentially a pre-made poke bowl with fish, sushi rice, lettuce, tomato, corn, avocado, tobiko, spicy mayo, and sweet soy sauce. The quality was good, the bowl was bright, and there was a decent filling portion for $8 which made it seem like a good value. Admittedly, looking at dinner prices they may be a bit steep for many of the exact same dishes they're offering, but if you come for lunch you'll be rewarded with a fairly large selection of sushi burritos, sushi bowls, and rice bowls for less than $10, a fraction of the dinner price.",0.9365,0.875,0.111,0.014,0.45842352092352096
2017-04-16,5.0,"Wonderful service, great ambiance and excellent food.  The bowls were unique and delicious, and the sushi was very good.  I was a bit concerned by the Yelp reviews, but there was nothing to worry about.  I'd gladly return.",0.9423,0.618,0.382,0.0,0.9328571428571429
2017-04-06,2.0,"The food was ok and there are a fairly large selection of rolls.  They have a pretty good special going on the week as well.  But, and this is the reason for the 2 star review, the place smells of grease something awful.  I had to shower, wash all of my clothes and my coat after getting home.  Unfortunately, I will never be back due to the poorly vented fryer.",0.7717,0.758,0.171,0.071,0.6074999999999999
2017-04-06,1.0,"Was there Sat night back in January. I was going for California roll, but changed my mind and ordered one of Signature Rolls as well as a couple of different Makis. They tasted bad...And ordered Eel which is my favorite, they were ok...I also did not find any genial atmosphere from our server.",0.565,0.833,0.115,0.052,0.5333333333333333
2017-04-03,5.0,"Great food with a cool vibe. Had an awesome server that explained all of our questions. I had the salmon bowl which had excellent flavors and tasted fresh. I'm very picky with salmon and this was spot on! Also shared 2 rolls, dragon and another I don't recall, both were very satisfying. Will definitely be back!",0.977,0.631,0.369,0.0,0.65
2017-03-30,1.0,"The food was terrible! The sushi lacked flavor. The cooked food lacked freshness, and correct texture. The restaurant was clean. That's the only good thing I can say about the place. Oh yeah! The server was polite, unfamiliar with the food, but polite. Don't waste your time going here.",0.7124,0.796,0.166,0.038,0.66
2017-03-20,5.0,"I love this food. I always come back with my wife for the same plate, Sushi. The price point is perfect during lunch hours from Monday-Wednesday. See you tomorrow, Thalia!",0.8478,0.76,0.24,0.0,0.43125
2017-03-06,4.0,Since the new change in the menu and in the culinary staff Thalia has become the great restaurant that it once was. I would highly recommend this place and I hope it stays on it's promising new path!,0.915,0.715,0.285,0.0,0.4498484848484849
2017-02-04,2.0,"Went in on a Friday after work and the place is empty.  Two servers are talking, the male server is loudly lecturing the woman server about why women cheat and how women take advantage of men by always being paid for. Coincidentally I was meeting my BF there to treat him to dinner.  Male server eventually came over and I asked for a drink. It was unsettling how he went from his sexist rant not 20 feet away to giving me a big fake smile and described my habanero cider to me like I had just ordered an expensive wine. Felt really forced and over the top.  Atmosphere is dreary. It's dark inside, there are two silent big screen monitors playing cable shows including commercials, and no music.  BF shows up and remarks on how empty the place is. Despite the awful atmosphere I insist we stay for one or two plates. I really wanted the food to make it worthwhile. It did not. The menu is massive. You have sushi bowls, sushi burritos, thai bowls, maki rolls, noodles salads, ect. If a restaurant claims it can make all of the above then fantastic. If not, maybe less would be more. We ordered the jalapeno poppers for $8 as an appetizer. This was 4 jalapeno halves filled with half cream cheese and half spicy raw fish lightly fried and decorated with sweet sauces. The halves were large and the pepper itself was not spicy, and the spicy fish was lukewarm and underwhelming. No distinct flavor and very meh especially for $2 a piece.  Just want to note one of the specialty rolls comes covered in melted mozzarella which reminded me of the sushi pizza episode of Kitchen Nightmares. What is that even doing here? We decide to try the Sunset which is raw tuna over crab rolls with cucumber, avocado, and sauces. The fish to rice ratio is as others have said not good. There was barely if any cucumber or avocado.The rolls were filled generously with a very sweet crab salad but the rice was SALTY. I mean way too salty. Also the ginger and wasabi were low quality-ginger is white but soaked in sweet preservative and horseradish wasabi was jewel osco quality.  BF stopped halfway and because i'm stubborn I made myself eat the last pieces. Stomach ache ensued and not from overeating. The bill came to $30 before I realized the roll was overcharged a buck. This was fixed promptly and I paid to $29 bill. It was a waste. Butterfly Sushi is phenomenal and right down the street. Always good service, food, and bustling crowd.",-0.8659,0.849,0.065,0.086,0.4484779223044529
2017-02-01,2.0,The ratio of rice to sushi is really poor. I've seen better rolled sushi at the grocery store. Really disappointed. I had to pick rice off the pieces so I could taste something other than rice. I loaded a photo.,-0.5975,0.773,0.068,0.159,0.55625
2017-01-26,4.0,"I came back here to try the new menu and give Thalia another chance.  I'm glad I did.  The sushi is good, with lots of choices among the rolls.  We had the Salmon Obsession roll, which was really delicious. The yellowtail roll was also very good, and the fish in both was very fresh.  The veggie roll wasn't as interesting, but hopefully it will improve as the new management goes on.  I'm really glad to see this neighborhood restaurant making a comeback!",0.9587,0.718,0.247,0.035,0.643909090909091
2017-01-24,5.0,I work nearby and it's a great place to either pick up a quick lunch or enjoy a martini after work with delicious food!,0.906,0.601,0.399,0.0,0.6875
2017-01-18,5.0,I was there for grand opening and got 20% off the whole entire bill! I heard they are doin that for rest of the month. The food was already cheaper than any sushi place in downtown but quality was the best. Im def goin back again,0.8439,0.838,0.162,0.0,0.46499999999999997
2017-01-11,5.0,"Excellent sushi with new and inventive rolls, great service and decor with very reasonable prices.  Great for a group of friends! Excellent sushi!",0.9663,0.465,0.535,0.0,0.8192207792207792
2017-01-08,5.0,"Didn't know what to expect.  Having lived in Chicago and San Diego, I've been to a lot of sushi places.  A lot of Thai places.  Each tried to be different.  Unique.  But only some were good.  Enter Thalia Sushi:  a place that got everything right.  Started the cold winter evening with their miso soup and moved on to indivual sushi and nigiri.  All impeccable.  The menu had familar Thai dishes but the Chef's Specials displayed behind me near the door had some truely adventurous options for lunch and dinner:  the soft shell crab trmpura burito is calling me back for lunch.  After the kitchen closes the bar continues to serve bar food.  All bases covered!  Add to this Ruth's amazing service and Leo's hospitality and you have a great reason to become a regular at this cozy attractive spot on W. Chicago Ave.",0.9684,0.869,0.131,0.0,0.6654492566257272
2017-01-07,5.0,I was surprised about food! It was amazing.. pork katsu is the best ever! I definitely will come again!! I highly recommend this place.,0.9146,0.571,0.429,0.0,0.628
2017-01-03,4.0,"New menu, new restaurant  and I finally decided to give sushi a try. Ate the Salomon Obsession and the California crunch. Definitely will get more next time.",0.0772,0.819,0.096,0.085,0.48484848484848486
2016-12-24,5.0,"Great sushi selections with affordable price, service is top notch and the atmosphere is great for date night, or family dinner! We really enjoyed Thalia under new management!",0.9346,0.629,0.371,0.0,0.630909090909091
