date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,2.0,"Ordered from Eat24 - was told the order would be early but it ended up being later than the original timeframe of 45-60 min. I would have been fine with 60 minutes, so don't promise it will be early if you can't deliver. On top of poor delivery the guacamole ($8) was tiny and partly brown. $12.95 for taco dinner, which came with a sad side of rice and beans. The tacos were good, not great. First and last time I order from here.",-0.8587,0.731,0.091,0.178,0.5142857142857143
2017-09-03,4.0,"We got the paella and the vegetarian tacos. The tacos were good, great ratio of ingredients, but the paella was mind blowing. But the best part of the dinner was the chips! Honestly amazing and authentic chips and salsa. Cannot recommend enough. It's also BYOB, which is fantastic. We went on a Monday at 6 and were the only people there. The waitress only spoke Spanish and was so sweet and didn't mind our broken attempts at español. It's very tucked away, in a strip mall in uptown. You're shocked at how cute it is inside!",0.9911,0.652,0.325,0.023,0.6566666666666667
2017-08-24,1.0,"I have no earthly idea how this place has so many five star reviews. I'm going to indulge in an unnecessarily detailed rant for a minute just to give you a feel for how bad it is.  To begin, the owner looked surprised when I came into the empty restaurant with my date. At peak dinner hours. Clearly people aren't frequenting this restaurant which should have made us think twice about eating there.  Chips and salsa. Should be hard to mess up right? The red sauce was stringy and congealed in strange ways. The green sauce was clearly freezer burnt, giving it an overall tang. The chips tasted very stale yet were somehow really greasy. The rice and beans, staples that even I (an aggressively white person) can make at home were bad. The rice was so dry it looked dusty. The beans tasted like they were left on a stovetop for days and they were scraped onto a paper plate because you were so hungover you'd eat anything if it meant not having to cook something.  My entree was a suizo burrito with chorizo. The sauce it was topped with tasted like chef boyardee pizza sauce. The chorizo inside tasted like the inside of a chef boyardee ravioli. The grease explosion that accompanied my meal covered my whole plate and made me feel sick just looking at it. It tasted like I was eating a giant chef boyardee ravioli which in THEORY sounds quite nice but is actually horrific in practice.  This is a mom and pop operation so I was trying to give it the benefit of the doubt but this is the worst Mexican food and maybe food in general I've ever had. I'm pretty sure the guy I took here will never speak to me again. It was that bad. This restaurant cockblocked me. I immediately regretted spending money here. I straight up paid to not get laid.",-0.9186,0.799,0.085,0.116,0.5216690716690717
2017-07-29,5.0,"Great Service!  Delicious mango, avocado, chicken salad!  The chips and trio of salsa at the beginning is wonderful too!  We will be back for sure!",0.9429,0.584,0.416,0.0,0.7648148148148147
2017-07-14,5.0,This place is a find! It's a cute place in a strip mall that would be easy to overlook but I'm glad we didn't. The food was great and reasonably priced. Seven people ate dinner for under $120 (it's byob too). The best part is how nice the owner is. He brought out tequila shots for the table and free chips and guac for my step dad's birthday. I will definitely go back!,0.9869,0.658,0.342,0.0,0.6981481481481482
2017-07-05,2.0,"Ordered from here last night and while the food tasted good, there was barely enough to put on a plate.  3 very small tilapia tacos with a dollop of rice and a spoonful of beans, 3 very small chicken flautas (no rice & beans) and a tiny container of guacamole for 30.00?  Also, they put the containers in the bag upside down.  So when I opened them up everything was smashed together.  Won't order from here again.  We were still hungry afterward.",0.4404,0.962,0.038,0.0,0.4931944444444445
2017-06-17,5.0,Excellent food and service. We had the steak taco dinner and the steak burrito suizo style dinner. They were both excellent. The sauce and cheese on the burrito made the flavor just perfect. Hugo was a great server and very knowledgeable and friendly. Made a great completion to a great day in the sun. Thanks for the great experience.,0.9881,0.581,0.419,0.0,0.7
2017-05-25,4.0,Cute little Mexican restaurant. Staff is super friendly and don't rush at all. Food was delicious. Guacamole was chunky and fresh. I like a little more heat in mine and found it by adding some salsa. Chips were crisp and fresh. Chicken enchiladas were quite good and the sopes were exceptional. Rice was yummy and beans were a tad too salty.  Music was a bit loud and showcased a variety of Latin flavor. Don't forget to BYOB.,0.9802,0.68,0.32,0.0,0.6288888888888889
2017-04-21,2.0,"I live a couple blocks away and love Mexican food. We got take out from here once and it was okay. I like to give places two tries before I make a statement so we ate at the restaurant another night. Again, okay. Food is bland, edible but not enjoyable. They are trying to put a twist on the food and make it their own, which I respect, but it is just not good. Service was also okay - we were the only customers but still had to ask for water refills. Left knowing we will not go there again since there are plenty of other great places to eat in and around Uptown.",0.8941,0.78,0.158,0.062,0.5438888888888889
2017-04-05,1.0,"HORRIBLE. It took an hour and 25 min to deliver 1 Quesadillas and a burrito and I'm only 2 miles away. The owner has horrible customer service and one cheap attitude. After the long wait, the food was horrible as well. ONE BIG MISTAKE. I will never order from this place again even if it was the only place open.",-0.9226,0.756,0.031,0.213,0.7444444444444445
2017-03-07,5.0,"This place hands down the best Carne Asada, I have had in Chicago. My wife had the shrimp Diablo. We both cleaned our plates. Usually we would have leftovers. But not this time. Let's talk about service. 5 stars again. The owner was so polite and warm and charming. Definitely coming back again.",0.9163,0.785,0.215,0.0,0.41984126984126985
2017-03-02,1.0,"Pros: Guacamole's ok. But why is it in a piece of lettus? It just makes it hard to scoop out! Cons: Everything else. Mini bag of chips that comes with 8 dollar ok quality guac. Al pastor burrito dinner  (for a whopping 13 bucks) was a joke. Quality definitely does not match the price. You get a bland thick mix of chewy meat, beans and cheese in a thick chewy tortilla. Wheres the lettus, sour cream,  tomatoes??? So bland. Better off driving to taco bell... honestly taco bell is better quality.",0.9573,0.771,0.215,0.014,0.5548611111111111
2017-03-02,2.0,"For the purpose of this case, I present that there was a strong course of distaste! The chips and guacamole are great, although the size is petite! Serving a 2lb brown bag of crisps but full of matter at half its total capacity? That is just nonsense. Along with cents that do not compensate for such a burden. The burrito dinner resemblance was not even close to similar as to the one exhibited in your pictures; outrageous!",-0.8565,0.787,0.069,0.144,0.5388888888888889
2017-02-19,5.0,"This place has wonderful hosts, great Mexican food and a lot of gluten-free options.  This is our favorite place in the City - highly recommend the fish tacos!",0.9311,0.613,0.387,0.0,0.658
2017-02-15,5.0,"I work around the corner and stop by this place for lunch very regularly- really friendly folks, delicious food, great service. Favorite Mexican spot in uptown.",0.9276,0.54,0.4,0.059,0.65
2017-02-09,5.0,"Absolutely my favorite spot in Uptown neighborhood! Nice cozy romantic spot, delicious food, great stuff and very friendly owner!  Celebrated my husbands birthday there, took my friends from out of town, recommended it to other people - never disappointed! Even people who are vegetarians absolutely loved this spot!  Plus what can be better BYOB and yummy food?  Also, love patio in the summer time!",0.9933,0.509,0.491,0.0,0.7250000000000001
2017-01-12,1.0,"One of the worst meals I've ever had. Ordered the burrito suizo dinner. Got a burrito with no cheese or sauce on it, and it tasted like pineapple. Disgusting food.",-0.802,0.672,0.067,0.261,1.0
2016-12-15,1.0,"We live less than a mile from this spot and we decided to check it out based on the good reviews.. man were disappointed.. the food took an hour and the portions were small which would be fine if they were warm. Cold..  the taco plate was supposed to come with rice and beans which it did not. When we called about the rice and beans they asked us to check the bag again and after confirming that it wasn't there, we were told that they will deliver it to us.. which they did after 45 minutes..",0.6808,0.934,0.066,0.0,0.5520833333333334
