date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-27,5.0,"My boyfriend and I call this place ""Mr. Flavor"" affectionately. My favorite food joint in Sloop. The jerk chicken is unreal delicious and well balanced. Don't recommend the lemonade (too artificial tasting), but 10 out of 10 would recommend any food they make. It's fun and inventive with a mix of influences from all around the world.",0.7601,0.719,0.19,0.091,0.8583333333333334
2017-08-23,4.0,"I've always wanted to come out here but every time I went out my friends would pull me toward some other spot. Last night I convinced them to finally come here and we had an alright time. The food was good, especially the salmon dinner dish I had. They really Americanize the food though, which contradicts their whole authentic vibe, but all in all it's great.",0.9559,0.714,0.247,0.039,0.5712962962962964
2017-07-31,2.0,"Ok I'll start with the good first :)  Clean restaurant with a trendy layout.  Customer service was great and accommodating.  A variety of different foods that don't really match but are still tasty otherwise The lemonade is delicious tastes like a lemon head :) The cookies are delicious and taste home made  Now the bad, and this pretty much tops it all for me.  The food is VERY Americanized and not authentic AT ALL. Which is very disappointing because if I wanted American food I would go to an American spot. However if I come to an establishment for tika marsala* or jerk chicken I expect to feel like I stepped in the country and grabbed a bite lol. I don't think I'll be back to sum it up eh",0.9825,0.652,0.269,0.079,0.6113043478260869
2017-07-01,4.0,Wow so good! I ordered the lunch size Jerk Chicken with dark meat. It was tender and flavorful. The strawberry cheesecake though wasn't as impressive.,0.491,0.618,0.225,0.158,0.7899999999999999
2017-06-22,5.0,"I love this place, it's been around for a long time but I always get their salmon and chicken salads, jerk chicken. They have pretty reasonable prices and lots of people eat there. It's right down the street from where I live and enjoy their gourmet food!",0.8553,0.728,0.214,0.058,0.6324603174603174
2017-06-07,4.0,"Oh baby. The jerk chicken rice bowl to die for. I wish that bowl never ended, it was that good. So very rich in flavor with just the right amount of spices without it being too hot for your mouth. Need to try more of what these people are cooking, because clearly they got something fierce going on in that kitchen.",0.7328,0.742,0.171,0.087,0.6848639455782314
2017-05-20,5.0,"A short walk from McCormick place and worth it. A lot better than all the places in the convention center. The jerk chicken is my favorite dish, the place is actually two restaurants put together and very affordable. I hope they get more popularity with McCormick Square becoming a tourist destination!",0.9055,0.706,0.253,0.041,0.47000000000000003
2017-04-30,4.0,The salmon salad was well portioned and well seasoned. I loved the blackened flavors.,0.7964,0.552,0.448,0.0,0.525
2017-04-28,2.0,Today I order the quinoa with mixed veggies and black beans platter to go. I was really disappointed with the platter especially the presentation.  I thought I was ordering something similar to stir fry with quinoa as the rice. My quinoa was soaked in a curry sauce. I could not really see the quinoa texture because of the all of the sauce it was swimming in next to the bean juice. Majority of my mixed veggies was cabbage with two pieces of broccoli. The best part of the dish was the black beans. My family and I would usually order the chicken alfredo which is delicious. I would rate the chicken alfredo five stars and the quinoa platter slop only 2 stars. I heard there are many other items you can order from this restaurant that is delicious.,0.8484,0.892,0.083,0.024,0.5578703703703705
2017-04-27,2.0,Based on pics of food here I really thought the food was going to be good and flavorful but i ended up getting bamboozled. The only reason I gave it 2 stars because the food portion was large but the taste and flavor was off to me I ordered the tilapia special and it had no taste even added lemon and hot sauce to try to make it right but it couldn't help but the lemonade was awesome but was disappointed in the food,-0.2351,0.748,0.116,0.136,0.6595238095238095
2017-04-27,4.0,Taste was excellent and portions were generous. Good variations on traditional pasta dishes. Seating is very limited so taking it to go might have been a good option. A little pricey but it's a great weekend meal.,0.9091,0.642,0.322,0.037,0.626530612244898
2017-04-07,5.0,"This restaurant was fantastic.  Absolutely loved the chicken tikka masala.  Husband had the chicken parmesan pasta and said it was the best he had had in a very long time.  My 5 yr old and 2 yr old shared a lunch version of chicken alfredo and my son ate more than I've seen him eat in a long time. (No kids menu though). Portions are huge, couldn't even finish mine.  Got cheesecake and German chocolate cake to go.  Both were good.  Overall I'd return here again any time.",0.9617,0.797,0.203,0.0,0.5446666666666667
