date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-03,5.0,"If only there was a place as classic, good and cheap as Fiore's on every corner of this dang city. The subs are simple, tasty, not too heavy. Tucked inside of the neighborhood in Ukranian Village, the opposite of overwhelming spots deeper in West Town. They have all kinds of handmade stuff in the freezer as well. Come on guys, the ""rude"" service is part of the charm! At least it's quick!",0.8065,0.891,0.109,0.0,0.5294372294372295
2017-07-29,1.0,"Just moved to the area in June and have always wanted to stop in.  Well that was a mistake...Service is absolutely horrible from the manager..  Not sure how they can stay open by  giving the finger to every customer that walks in, since a hidden place like this can only survive on neighborhood people.",0.3197,0.75,0.152,0.098,0.7444444444444445
2017-07-27,5.0,"Love it. Great subs, they're ready for pick up 5 mins after I call in. Much better than vinnie's or bari's IMO. The lady and teen that ring me up are always very nice, she's especially pleasant. I never had the grumpy guy - I guess I've just been lucky.",0.9725,0.621,0.379,0.0,0.6479166666666666
2017-06-27,1.0,"I've resisted ever getting a yelp account because frankly, I think it can be misused. In the case of Fiores this one star is completely deserving.  The owner is the most dry and emotionless person.  He barely looks up from the counter or acknowledges his customers, and when he does it's snappy, and short tempered.  I've had multiple experiences with this guy, but figure maybe he's having a bad day or just doesn't care.  That's cool, I don't expect a song or dance for spending my money, but I also don't like to be made to feel like crap either.  In a day and age with technology and delivery access,  one would think a small deli/grocery business would be eager to provide old school manners to their customers and keep that tradition alive.  *On a positive note, not sure if guy who makes the sandwiches with tattoos still works there, but he was always very kind.*",-0.8503,0.804,0.068,0.128,0.5234006734006734
2017-06-23,1.0,"Stopped in to have one of their delicious Italian subs, purchased it and an ice tea and went out to their patio to enjoy it there. Got up to go and the red metal lawn chair was stuck to my clothing, looked and I had red paint all over my new shorts on also on my shirt. Went in to tell the guy at the cash register what had happened, ............. he didn't seem very concerned that his furniture had ruined my clothing. In fact he didn't even apologize, barely looked at me and kinda said give us a call if it doesn't wash out. Well you tell me, what kind of red spray paint washes off clothing? If the fucking chairs are still wet and tacky why wouldn't you put a sign on them saying so, or even better yet close the patio. They really didn't give a shit, also seems to be how they treat most customers that they don't already know. Just avoid this place and their attitude.",0.7678,0.847,0.087,0.067,0.40340909090909094
2017-06-11,2.0,"Yesterday I just had the worst costumer experience at this place in of the guys was really disrespectful also told me and I quote ""if you don like it get the f***k are here! And go somewhere else."" To which I responded, this is how you treat your costumer also neighbor? ""I don't give a f***k"" he said.",0.1007,0.842,0.091,0.068,0.6
2017-06-07,5.0,Go to spot in UKV for real Italian subs.,0.0,1.0,0.0,0.0,0.0
2017-05-30,5.0,"Great neighborhood corner shop. The sandwiches are great, and everything else is nice to have at arm's length when you're not in the mood to cook after dinner. All is well priced, and they make a classic Italian style sub sandwich that rivals the best.  It's a Chicagoan's dream of mine to live near a classic Italian sub joint and now my dreams have come true, and the reality exceeds expectations.  Cheers to you Fiore's. Keep on doing the good mans work.",0.9831,0.691,0.309,0.0,0.44027777777777777
2017-05-09,5.0,"Great sandwiches and Italian specialties, bargain prices.",0.7096,0.459,0.541,0.0,0.375
2017-04-26,5.0,"Great sandwiches, small selection of groceries, and they do awesome catering platters!",0.8588,0.541,0.459,0.0,0.7166666666666667
2017-03-13,3.0,"I came here and ordered their pepper and egg sandwich. I've definitely had way better from numerous places. What I did like about this place is that they make it fresh. I ordered it with cheese and hot peppers, but couldn't really tasty any cheese. Although they made it fresh, I felt it still lacked flavor and wasn't the tastiest I've tried. I do however like that it's small and in a neighborhood. I'll prob try a sandwich next time.",0.886,0.833,0.167,0.0,0.4388888888888889
2017-01-22,3.0,"Phone call, 3:15: Me: Hi can I place an order for pickup? Fiores: No we close at 3. Me: Oh okay, your website says 4 pm. Fiores: I know that.  (Hangs up.)  Better way to go about that...but the food is damn good.",0.4215,0.735,0.162,0.103,0.5333333333333333
2017-01-08,4.0,"Had an Italian 10"" sub...very happy with the outcome, good meat/cheese and the bread (d'amoto) was good too.   I generally hit Bari as it's been my go to for years/ but Fiore is blocks away from our new home so that's worth a lot of future visits to further explore their other offerings.",0.6876,0.802,0.157,0.041,0.4254545454545455
2016-11-05,5.0,Old school place with great subs and very reasonable prices. Operators are super nice people. Highly recommended,0.9168,0.502,0.498,0.0,0.6561111111111111
2016-10-31,5.0,"Not only a Chicago 5... I give it a New York 5! Something about a real Italian making your Italian food can't be beat. Meatballs were delicious, beef combo was so good...  Best Italian sub I've had in Chicago. Cute, clean place.. excellent service.  Better than Bari in my opinion.",0.9673,0.658,0.342,0.0,0.5462121212121213
2016-08-11,5.0,i do believe best authentic straight from italia mmmmmmmmm food!i lived in the neighborhood for forty five yrs and they are the best! i miss them alot!been all over america driving truck and drove construction 18 wheeler for 18 yrs and i do believe this food that mr mike fiore has is the best!,0.9439,0.727,0.248,0.025,0.41000000000000003
2016-07-14,5.0,A good selection of sandwiches using very fresh ingredients. The Prosciutto with provalone was delicious!  Reasonable prices and the operators were attentive and friendly. The shop is in a small grocery store so it is a little tight. No seating that I saw. I'll be back the next time I am in the neighborhood.,0.8948,0.751,0.216,0.033,0.4941558441558442
2016-07-07,1.0,"I'm very sorry I had to fire my favorite sandwich today . How can you smoke a cigarette, move patio furniture, drink a bottled water and walk in and make a sandwich ? No hand washing ?! No gloves ?! No way ! Very sad because they have a nice menu and good value ! Sorry this is my last trip to Fiore's !!!!!",0.575,0.579,0.192,0.229,0.8095238095238094
2016-06-23,4.0,"While this wasn't the Bari killer I was hoping for, it's a damn fine place to eat a sub sammie. Came by yesterday and did the meatball and the Italian, and split these with my wife.  Fantastic, great prices, clean storefront (even at Bari, I don't love standing inside the place), and a little patio out back that has four small tables so in the summer sun, you can take this puppy out back and make a mercy killing. I need to go back to both Bari and Fontano's to settle this debate once and for all!",0.8679,0.716,0.19,0.094,0.3954545454545455
2016-06-08,4.0,"A nice little Italian delicatessen. Out of the way, Yet great. Especially for their tangy artichoke salad.",0.7918,0.618,0.382,0.0,0.65
2016-06-04,4.0,"Solid neighborhood Italian deli. Came here for the first time to try the Italian sub, the service was very quick and friendly. Sandwiches are priced extremely well. I would definitely recommend to anyone craving a great simple Italian sub sandwich and I will be back again.",0.9434,0.685,0.315,0.0,0.34920634920634924
2016-04-11,5.0,"I can't say anything bad about this place. It's perfect in every way. Friendly owners, great staff and most importantly amazing sandwiches packed with meat. When I'm feeling like cutting meat out of my life for a bit, I go with the fresh mozz basil tomato.  One tip though, if they added burrata to the menu that would be SICK!!! I just love burrata so... DO IT PLEASE!  ;)",0.9843,0.545,0.396,0.059,0.7430735930735931
2016-01-15,5.0,"A true Ukrainian Village classic! The West Loop has J.P. Graziano's. Noble Square has Bari. Little Italy has Fontano's. We have Fiore's. These are the only names you need to know when ordering Italian subs in Chicago. These guys have been around since my dad was a teenager, and once you bite into the sandwich, you can tell why. Delicious fresh bread, crisp vegetables, copious portion of delectable meat and cheese, and a crisp, not overpowering oil/vinegar finish. Friendly service and a cute little grocery, as well. And let's face it, you might as well get a footlong, because it'll only cost you $1.50 more than a sixer. Fiore's for life! Can't wait to stock my fantasy football wrap party next weekend with 3 giant party subs!",0.9832,0.774,0.226,0.0,0.5911764705882353
2016-01-05,5.0,"This is such a great neighborhood staple. Delicious sandwiches, deli meats, cheese, and sides, and even homemade Italian dinners you can take home and heat up. I highly recommend their breakfast sandwiches, great bang for the buck and just what you need on a lazy sunday morning after a late night. NICEST employees, very hard working and remember you even after one visit. GO HERE!",0.9495,0.7,0.245,0.054,0.6493518518518518
2015-12-07,5.0,"Great little Italian deli that's been around quite some time. I haven't been in the area in a long time and stopped in for a homemade meatball sandwich with cheese and house made giardinera. Very satisfying and tasty. The surprise of the visit was their homemade sausage pizza. Usually a thicker focacci style, but this one was thin.",0.5854,0.867,0.108,0.025,0.5357142857142857
2015-11-13,5.0,"It's so nice to find a local Italian deli and grocery store in the neighborhood. They have fantastic sandwiches, great pasta and all sorts of munchies. I love it! Can't wait to try something else.",0.9458,0.655,0.345,0.0,0.5416666666666666
2015-10-21,5.0,"DELICIOUS. Was at a friends place in Ukranian Village & we brought these in for lunch for a group of 10. Every single person was happy with their order. I got the smoked turkey which was fantastic. Note that the large sandwich is LARGE. Some of the other fan favorites were the combo & the meatball sub. This place also delivers, and apparently has amazing breakfast sandwiches- those are next on my list to try!",0.9751,0.724,0.276,0.0,0.5596428571428571
2015-08-11,5.0,"Great little neighborhood deli.  Best pepper and egg in the city, all breakfast sandwiches are great and cheap.  This place is a hidden gem, they have frozen meals you can bring home the lasagna is better than any top Italian restaurant in the city.  My only wish is they were close to my house.",0.9614,0.706,0.294,0.0,0.5333333333333334
2015-07-24,5.0,Amazing sandwich at a great price. Great service. Friendly people. What more can you ask for. Highly recommend to everyone to visit and enjoy a sandwich :),0.9756,0.427,0.573,0.0,0.6799999999999999
