date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-25,1.0,"So sad...I used to frequent this place alot back in the early 90's so I was excited to see it was still around before I went to the concert at Wrigley the other night.  I'm waiting for the menu, telling my kids about the awesome crawfish bisque they have. What is going on with this place. Why not change the name if you don't have seafood? It's basically a bar menu. I ordered crabcakes, which were horrible. My kids had burgers, which they loved, but...they're kids, give 'em a burger, they're happy. The website even shows the old menu. Stay away from this place. I can't even tell you how really bad it was. If you want to be a sports bar with half naked bartenders, go for it...just change the name...",0.8119,0.837,0.111,0.052,0.5352564102564104
2017-08-12,1.0,I don't know what happened to this establishment but someone needs to take charge and save this sinking ship!  Omg!  It was the night of a concert so that said that is the only excuse for what went wrong!  The bartender seemed a bit out of sorts if you will.  For the drinks to the meal everything was wrong!  After waiting 45 minutes for a meeting rare burger it came to us raw seriously it was cold!  Never again,-0.7762,0.802,0.066,0.132,0.7347756410256411
2017-07-18,1.0,"We brought family from out of town here based off us coming here last year for oysters... it's was embarrassing. I won't even bring up specifics on prices... but it was overall embarrassing. Even if it were cheap. The oysters looked like loogies you'd hauk up during a sinus infection. Had to scrape them from the shell to get a half teaspoon size oysters. The ""Schwarber Shrimp"", which we thought would feed a ""Schwarber"" size appetite, were 6 tiny shrimp looking straight from Aldi. No disrespect to Aldi.  There was no Sam Adams, no Swiss Cheese.... we were excited to bring our out of towners here. I can't count the amount of times we apologized.",-0.6542,0.764,0.101,0.135,0.369047619047619
2017-06-09,1.0,"This place used to be the best! Quality seafood in a neighborhood you can't quite escape. Almost overnight, it became a club that wouldn't have the courage to show its face in Virginia Beach. The worst. R.I.P., Raw Bar!",-0.5923,0.714,0.091,0.196,0.5871794871794872
2017-06-03,1.0,"Horrible!  We use to go here for great sea food and an upscale meal.  No more!  The,place Has turned into a dump with uneatable appetizers and bar food.  Forget about it.",-0.6892,0.627,0.103,0.27,0.75
2017-05-07,5.0,Super friendly staff. Right in the heart of all the action. Food was great and really decent prices.,0.9042,0.573,0.427,0.0,0.5365079365079365
2017-04-14,4.0,Excellent choice for a non-bro non - douchey bar in Wrigley. Bartenders have character and so does the bar.,0.5719,0.812,0.188,0.0,1.0
2017-01-06,1.0,"Shady, shady, shady!! I've only been here twice, but my second experience ensured I will never, ever, ever go back. The first experience wasn't memorable. My friend and I had a quick drink while we were waiting for a table at another restaurant in the area. The second experience was the night of the 2016 World Series and the Cubs' amazing victory.  Wrigleyville was obviously insane, but my friends and I wanted to be near the field for this historic event. We arrived early, however, all bars in the area were either already at capacity or had huge lines. Most places were charging a cover, which we expected. Raw Bar didn't have a line and had plenty of space. When I asked the guy at the door if there was a cover, he said, ""not now."" Throughout the series, I'd heard stories about Wrigleyville bars starting to charge cover as the game progressed and even increasing the cover as space became limited. My two girlfriends and I sat at a table and ordered food and beers. An hour after we sat down, my friend's husband came to join us. He was asked for a $50 cover at the door, paid it, and sat down with us. We heard a commotion in the other room and learned that the owner/manager was going around to everyone already in the bar and demanding a $50 cover. People were understandably outraged. At that point in the night, the game had already started and there's no way anyone was getting a spot anywhere else. Our options were basically pay $50 or have no where to watch the game. Which, I'm sure, was their strategy. If they had been upfront about it and asked us all for a cover at the door, it would have been fine. But asking for it after the fact is completely insane and downright unethical. I will never patronize this place again.",-0.8996,0.846,0.059,0.095,0.4953030840127615
2016-11-12,1.0,"Stay away! arrived at this bar to watch cubs game 7 world series. I should have known, every other bar is packed or has a mile long line to enter. upon entry at 4pm bouncer says they are not charging a cover, we go in and start a bar tab. 2 hours later a table becomes available. we go to sit down and we're informed we will be charged for the table. we tell the manager we'll stand, he tells us that regardless sitting or standing we will be charged $100 for cover charge. They were not charging cover when we got in at 4pm but because they started charging cover sometime after that they decided they could just tack on cover charge to everyone who had a bar tab open, pretty easy to do when you ask for a credit card to start the tab. 45 minutes before game time, we paid for our drinks and left. greedy and misleading. all those people are going to be surprised at the end of the night with the added cover charge to their tab. I would definitely not trust this place with seafood...who knows what kind of trashy farm raised quality you're getting here.",0.7838,0.857,0.083,0.06,0.49265873015873024
2016-10-29,1.0,Fuck this place chargin 25 bucks to get in...fire dept comes n shuts it down and you wont refund our money....fuck you raw bar wont ever come here ever again and I won't recommend anyone to come here either.,-0.6818,0.862,0.0,0.138,0.4501424501424502
2016-10-17,1.0,"Service was terrible. Should have known when bartender said she would not give me another drink until I tipped her for the first round. To which I explained to her that I will settle up at the end but she insisted and would not give us a drink. Quite rude. Then my friend was served a shot that made her sick. While she was ill in bathroom for a long time the bartender took her purse from me (was looking after it for her). They then kicked me out for no reason and the bus boy got in my face and was yelling at me telling me to get off his property. The two insisted and told me that ""my friend"" left me long ago and would not return her purse to me. I had to wait outside for my sick friend and she finally came out so I could get her home. The only positive is there was one server who was very understanding and caring. She helped get my friend to me but this place will NEVER be a stop I make after a Cubs game or in my city visits Oh and my friend told me today that the bartender or the bus boy took money (~$80) out of her wristlet purse that they took from me and would not give back. Complete BS and sure hope the owner addresses this. Other reviews I read on here spoke of rude servers as well. This should NOT be the way a bar should be run.",0.9248,0.764,0.137,0.099,0.5431886896172612
2016-10-15,1.0,"I'll start with the good, burger was really good, thick cooked almost perfect. I loved the fries too. Now the bad... the service was absolutely horrible. Our waitress was rude and inattentive.  I asked for ketchup and she brought an empty bottle. After a lengthy wait to get a replacement I had to go the bar and get my own. Also asked for salt and she never did return with it so again went and found my own.  Then it went down from there ending with waiting 20 mins for a check and I'll admit I was a little upset and impatient with her and told her to stay while I got my credit card out and she gave me nothing but attitude.  Bottom line, service sucked but food was good.",0.3708,0.793,0.113,0.094,0.7020370370370371
2016-10-09,1.0,Came here with a buddy and the bartender threw ice at him saying he better buy a shot.,0.4404,0.838,0.162,0.0,0.5
2016-06-23,1.0,"The good part:  friendly service and a seat by the open front against the sidewalk.  The rest ... awful.  The menu on the web site (as of today, 6/23/16) is a complete lie.  The ""kitchen"" (pretty much convinced it was a hotplate, and maybe a microwave) closed at around 8pm.  The menu was pretty much ""things that might remind you of seafood, maybe, that could be prepared with little effort from a bag"".   We avoided the oysters after seeing the (very short) menu, so can't comment there.  We got the ""house-made hoummus"", which wasn't too bad, but was a very small portion, and came with a pita, some carrots, and soggy cucumber slices.  The ""fish tacos"" consisted of a tortilla, a lot of cut-up cabbage, and, I'm not kidding you, a fish stick finger like you'd give your kids.  The king crab leg was a weak portion served on a butter-drenched plate, but edible. This is not the Raw Bar that used to be.",-0.2427,0.832,0.087,0.081,0.5414503205128205
2016-05-19,4.0,"A special treat for my Birthday, not the first time. Great Seafood! I go for the Live Whole Lobster., several seasoning options, I enjoy the spicy Jamaican.  Very reasonable priced for good seafood and atmosphere, in the side dining room. Great spot for a date.",0.9638,0.636,0.364,0.0,0.5184761904761904
2016-05-15,1.0,"At first, I was very happy to dine at The Raw Bar after a Cubs game.   We were seated quickly and the staff was friendly.    We ordered a dozen oysters, a couple of drinks and the oysters were fantastic.   But I wish the rest of my experience was as pleasant as the first fifteen minutes at the Raw Bar.   I ordered ceviche and a crab cake as another couple was seated next to us.   The waitress uneventfully confirmed the order.  The couple seated next to us ordered and received their food and our two items never came.   Since we were only ordering appetizers and our 'neighbor' diners' fish tacos looked good, we ordered one fish and two shrimp tacos as well.   The waitress must have put in the wrong order as we received the wrong combination of tacos.   The manager checked in on us and corrected this.   We then asked the waitress for the check and reminded her that she never brought out our original order.   She blew us off and didn't make any attempt to own up for her error by offering any additional service nor menu items (not to mention comping us for anything on the bill).  Instead, she seemed to try to distract the manager until we were gone.  I was appalled at this service.  When I finally let the manager in on the situation, he offered a couple of shots on the house.  To little, too late.   I will never dine here again.   If you're looking for bad service as opposed to a simple resolution of one error, this is the place to go.",0.5849,0.844,0.084,0.071,0.6452087912087912
2016-05-10,4.0,This place is a real hidden gem.  Try the ostrich... you will lose your mind!,-0.4574,0.813,0.0,0.187,0.5
2016-03-30,3.0,Went here with a friend. Got a Groupon and tried a few things on the menu. Nothing wow'd me. Nothing was significant. It's not terrible either. Staff was very nice though.,0.864,0.693,0.307,0.0,0.795
2016-02-29,4.0,"They are trying hard here. The new decor is a plus, but the service, while friendly, can fall short. On our last visit we waited quite awhile, and then everything -- appetizers and mains -- arrived pretty much at once. Have to say we always enjoy the food, especially the oysters, Jamaican lobster and alligator.",0.9287,0.78,0.201,0.019,0.506986531986532
2016-02-21,5.0,"Went there after reopening.  My friend and I have been going there for years loving their Martini menu.  Their food was ok, nothing great.  Well, were we surprised. New menu and new look.  First the menu.  We had the crab cakes, which were full of lump meat crab, the most delicious brussels sprouts and bacon dish.   I must say that I love lobster bisque, however they have a crawfish bisque that rivaled the  lobster bisque that I had in Boston.  So savory, spicy and buttery, and chocked full of crawfish.  My friend had the butternut squash soup which was heavenly. The decor has been updated with new lighting, seating and very nice bathrooms.  Great place for a date or girls night out. Oh, yeah, the martinis will still knock you on your ass.  That's always a plus.",0.9811,0.721,0.225,0.054,0.6497979797979797
2016-02-17,5.0,"So far I've been here twice since it's opening.  The service was great and so was the food.  I had ostrich for the first time and I have to say it wasn't bad at all!  I also tried my friends chicken and truffle fries, both were very tasty.  The 2nd night I sat at the bar and had some wine while by cousin enjoyed her pomegranate martini...which was DELICIOUS!  Our next visit will be for the oysters and brunch, the brunch menu has some great options that seem to be a must try!",0.9743,0.783,0.217,0.0,0.5863636363636364
