date,star,text,compound,neutral,positive,negative,subjectivity
2016-06-28,2.0,"Great, friendly service. But, its the type of place where the pancake syrup comes in single serving packets, which is fine for some restaurants, but the prices would have to justify that. I wouldn't expect real maple syrup from a Deluxe Breakfast Platter from McD's, for example.  But it's not just about the syrup. Overall, seems overpriced for what you get. Sausage links (breakfast) tasted generic. As did everything else really. Just generic. So prices should've been generic too, but they weren't.  Public restroom for the building was gross, I should add.",-0.0258,0.893,0.064,0.044,0.2639194139194139
2016-06-27,2.0,"Small, quaint diner inside what I'm assuming is a hotel? Yelp kind of steered me in the wrong direction trying to find this place, but I got there just fine. The breakfast food is like any other type of diner food, gets the job done. I'm giving it a 2 stars because of the cost of their dishes. I know it's smack dab in the middle of downtown, but I could have taken the bus a few minutes outside the city and found the same thing for less.",0.7579,0.879,0.098,0.023,0.3416666666666667
2016-06-24,3.0,"Very basic breakfast.  Food quality wasn't bad except for what they call biscuits.  Those biscuits were not biscuits, more like a roll.  Get an omelet or another egg breakfast and you will be fine.  It is kind of hard to find, as there is no sign on the street.  It is located inside an office building.  The service was fine, and no wait for a table.",-0.2429,0.793,0.09,0.117,0.5386904761904762
2016-06-18,2.0,"I wouldn't return. The customer service felt obligatory, and the communication between the waitress and the kitchen staff was totally off. I ordered a breakfast croissant, but what I got was the ""Le Croissant"" which is a different sandwich all together (the latter has Carmelites onion and Gouda, whereas the former has American cheese and bacon). Notwithstanding that I ordered a ""breakfast croissant"" the waitress turned to the cook and said ""she meant to order the breakfast croissant."" Basically, she tried to make it seem as though it was my mistake and not hers. Not ok.  In addition to the sandwich I ordered some hash browns. They were so bland, undercooked and flimsy. I ate a spoonful and was over it.  The customer service and mediocre food mean I won't be returning here.",-0.6632,0.957,0.0,0.043,0.48564814814814816
2016-06-18,2.0,"Very disappointing. I am a breakfast person, so I am picky. This place is just ok, the food is nothing special at all but a least the portions were a good size. I had the veggie omelet and my husband has the corned beef hash & eggs. Both were ok. I would expect more garnishment and pico de gallo or salsa or avocado or something to dress the omelet and make it look better and compliment the flavors. The hash browns were good and corned beef was homemade but really tasted average. My biggest complaint is the service. It took three request to get coffee. We finally got it after our meal was over. Our server had about 25 tables. That is ridiculous - management should have enough people on staff to handle a Saturday morning crowd. I wouldn't go back, in fact, I would go wait for an hour  to get a table at Wild Berry cafe. Yes, Wild Berry is that much better.",0.9616,0.789,0.155,0.056,0.5095488721804512
2016-06-18,4.0,"My wife and I ate breakfast on a Saturday morning at Pittsfield Cafe for our first time. The wait was 15 minutes. She had the ribeye skillet and I had the meat lovers scrambler.  I had coffee and ahe had ice water.  We did not talk much during the meal because we were ravenous.  It was more like sounds of ""mmmmmm"" and  ""so glad I ordered this.""  Our bill total was about $24. We will breakfast here again!",0.8847,0.871,0.129,0.0,0.5566666666666666
2016-06-16,4.0,"Went her for breakfast on our first morning in Chicago and it didn't disappoint. In a cool location, with quick and friendly service, and great food. The steak and egg breakfast was spot on! Was with a friend with a gluten allergy and they had good knowledge of the menu and were able to advise. Would definitely go back.",0.9492,0.704,0.268,0.028,0.4947916666666667
2016-06-11,4.0,"Good place to get a no fufu diner breakfast. In today's dining world of tofu infused with locally grown organic kale, this place was a pleasant diversion.  The meat lovers omelette was very good. French toast with strawberries was tasty.  The Belgian waffle was okay. The Latte was very good. Not badly priced for Chicago.  You need a key for the bathrooms, which are down the stairs and in pretty bad condition.",0.9005,0.662,0.237,0.102,0.6040740740740741
2016-06-11,4.0,"Oh, Pittsfield Cafe, you're a diamond in the rough. A hidden greasy spoon. Pittsfield Cafe is a diner style restaurant tucked away behind the diamond storefronts of Jewelers Row, nestled in the lobby of a mixed office, retail, and apartment building.  If you're looking for a no-frills, good food served quickly spot - this is the place. The menu is expansive but don't expect anything trendy. Bonus: Breakfast is served all day! The coffee isn't great but gets the job done. You can expect the same from the servers; their quick and efficient. The food really is good; my favorites are the West Coast Omelette, the Greek Opa Omelette, and the Full Monty ($8). Prices are fair. Seating at the old school bar inside or outside on the ""patio"" is the best. If you get there after 930 you can expect to wait for a table.",0.9776,0.781,0.192,0.027,0.4810185185185185
2016-06-11,5.0,"This is THE place to grab breakfast in downtown.  Food was incredible, service was great and the architecture of he lobby made it a cool place.  My son and I try different breakfast places when we travel.  This is a favorite.  The Chef Recommends is the best on the menu.  Skip the overpriced brunch spots and dig into this for a real breakfast.",0.9393,0.761,0.239,0.0,0.6428571428571429
2016-06-09,3.0,"Hidden inside a building in downtown Chicago, it was a bit hard to find, but very cute! Eating here makes you feel like you're having a meal in the 1970s. We came here for a late breakfast/lunch. The coffee was decent, and the food was pretty standard diner food, maybe slightly better than your neighborhood diner might be. Service was okay, nothing outstanding. Pretty good place for food if you're craving an American breakfast but nothing too wonderful.",0.4523,0.652,0.184,0.164,0.6154761904761905
2016-06-03,5.0,"This place was great for a quick, no fuss breakfast. We were headed to the Art Institute and just needed some fuel. The service was quick and courteous, and the food (especially the eggs) was perfectly executed. Their Bloody Mary was good too! I would totally come back.",0.8932,0.668,0.247,0.085,0.7
2016-06-03,3.0,This simple cafe offers Vienna all beef hotdogs in the atrium of a venerable old building. It's a nice place to stop for a bite while enjoying the ornate trim of the historic building.,0.6124,0.769,0.17,0.06,0.3595238095238095
