date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,I love this place.  I came yesterday after not having been in a few years.  I used to get sandwiches on croissants all the time but opted for the turkey panini yesterday.  The staff is super nice and accommodating; my friend really wanted Sultan's next door and they still let us sit outside on their patio which I thought was really nice.  I've never had their baked good items but I've always wanted to.  Highly recommended!,0.9807,0.708,0.292,0.0,0.4756666666666667
2017-08-29,5.0,"Warning to diabetics. This place will bring out tears, it almost did me. I like Austrian food so expected to be pleased. I was. You cannot find Austrian food everywhere. I started with the lentil soup. If you have read any of my reviews before you will remember that I am very tough on Chili and Lentil soup. When I say that I would rate the soup only 7.5, you must understand that it is still good soup. The rest of the food bursts the 9.0 on the Johnopolos scale. The dark bread that came with the soup was excellent. I had chicken Schnitzel with roasted parsley potatoes. It lived up to my expectations.  I was heart broken that I had to pass on half of the potatoes. This is where the diabetics need a strong support person. They cruelly make you walk past the famous Austrian pastries on display as you go to your table.My rule as a fat man is that I can only have a pastry that I have never had before. They had 2 so I had to pick one. That is why I sacrificed the potatoes. I have ha Napoleons before, in New Orleans so I passed on those even tho they looked very edible. There was another one that I have NOT had and I will dance with at another date. I chose the Opera Cake. It was a fine choice. I even gave half to another patron, the bigger half because it was so rich and I loved it too much. When you visit , your diet will hate me but your sweet tooth will party like a royal personage. I still regret passing the potatoes but that is not your problem. They even have along public table for singles to share.",0.9607,0.829,0.121,0.05,0.6057239057239058
2017-08-24,4.0,"I live right down the street, but it's taken me a while to come try this place out. I have no idea why! I came here for breakfast, and there were so many options. I ended up choosing the fiesta skillet with multigrain bread. First off, the bread was so good I wanted more! I think they make the bread in house. The skillet itself was good, with lots of flavor, potatoes, and bratwurst. I will say there was A LOT of cheese on it though, but just ended up pushing it to the side.  The place itself is small, with the majority of seating being long tables in the middle of the room, and about 4 tables outside. We didn't have a wait though when we came on a Sunday morning!",0.9377,0.865,0.114,0.021,0.39232804232804236
2017-08-17,1.0,Very bad service horrible waitress. Just left this place ordered food waited 40 min for food to come in waitress forgot to put our order in. Told us food will be out in few min and we waited another 10 min. Finally left without eating at this place. While every other table was served their food. And to top it off cashier was sarcastic. I would not eat here.,-0.8297,0.849,0.024,0.127,0.4552083333333333
2017-08-13,5.0,"I'm a big fan of their breakfast croissant sandwich. It's very large and filling, I always have leftovers for later! Their breads are also delicious and the staff is friendly.",0.8588,0.725,0.275,0.0,0.4314285714285714
2017-08-12,3.0,"Oh man, I really, really wanted to love this place. I came here for breakfast with a friend and was a little early so I looked around and saw all these amazing pastries and cakes and I knew that I would have to take one home after breakfast. However: breakfast happened and I changed my mind. We sat down and waited a good 20 minutes for a server to even acknowledge us. We ordered coffee, the vienna breakfast (2 eggs, ham and swiss cheese) and the fiesta skillet. In my opinion nothing that would require a lot of time or effort. After about 10min we got the bread basket that comes with both orders, and we started eating the bread assuming that the rest would follow shortly after.  30min later we received 1(!) of the two coffees, and we asked 5 times for the other one which we ended up receiving after a full hour of waiting.  The food actually came an hour later, by which we had eaten all the bread and I asked for another slice to have with the ham & cheese. I should have known that I would wait another 30min, so when the bread finally came I gave up.  It was a full 2 hours for the easiest breakfast in the world, and I wish I could have shown my friend a good example of German/ Austrian food, but it was a complete letdown.",0.9363,0.914,0.086,0.0,0.45910493827160487
2017-08-10,5.0,"Might be my favorite new breakfast spot on Clark in Lincoln Park. Stumbled upon this place on Yelp and was at first hesitant to give it a try since the description said ""bakery"" and we weren't exactly in the mood for a sweets breakfast. But boy were we wrong, they have such a great breakfast menu, in addition to the bakery. The prices were super fair and service was very attentive the entire time (we probably got checked in on every 5 minutes, and we were even sitting outside while the inside was packed). The Napoleon [8/10]: Extremely generous slice. The cream is very thick - I couldn't handle more than like 5 bites but it is very good. 2-3 people could easily share this. Breakfast croissant [10/10]: Anytime a sandwich is so overloaded that the plate looks like a platter, the restaurant is doing something right. The croissant by itself is so good too. COMES WITH FREE COFFEE TOO. 3 egg omelette [10/10]: Just a massive omelette, can't believe it's made with only 3 eggs. I elected to get 3 meats - one of the best decisions of my life.",0.9911,0.769,0.214,0.017,0.6693953510257858
2017-07-30,4.0,"Went there on a Sunday morning after a very early flight. The wait was a little long, but it was 10am on a Sunday which is peak Brunch crowds in my opinion. They messed up my order slightly (I asked for fruits with my breakfast and did not get them), but my waiter was apologetic and fixed it up for me. Honestly, this sounds bad, but I'm giving it 4 stars because it was so delicious that it was worth it. And the good prices don't hurt either.",0.9495,0.705,0.222,0.074,0.4923333333333332
2017-07-23,1.0,"Get a clue with service, they brought me a skillet that I didn't even order. The service was so bad it's laughable. Sitting here writing this review still waiting for my bill....10+ minutes.",-0.6159,0.825,0.043,0.132,0.8333333333333333
2017-07-20,2.0,"It is a rare occasion when Yelp reviews steer me wrong, this time was one of them. Face palm. Major face palm. I was suckered into the yummy looking pictures and the marketing for Austrian bakery.  Upon walking in I glanced at the pastry selection. Midiocre. Nothing that Mariano's grocery store doesn't have. Also half of the case was already empty by 11am. However, we decided to stay because our second option was packed and we were starving.  I had the hot chocolate which was sub par and wasn't sweet and didn't have enough whipped cream. We shared an eggs benedict and the hollandaise sauce didn't taste homemade. This whole dish was lacking. Bacon was average. Should have ordered the croissant breakfast sandwich.  With so many more options in the area, Cafe Vienna is at the bottom of the tier on my personal list. Musty and humid, the ceiling fans didn't help in cooling down the restaurant. Defiantly a miss.",-0.8496,0.865,0.034,0.101,0.4903703703703704
