date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-25,4.0,"The food is good and a good portion for the price, however it does no longer come with soup with your order. The restaurant look small inside and only have few table for eat in. I usually just order take out. This restaurant also don't accept credit card just for heads up.",0.0598,0.784,0.101,0.114,0.4916666666666667
2017-06-14,5.0,"This is legit Chinese food. It's cheap and authentic. Tastes great for the most part, and they give you a lot for around 5 bucks a rice box. There's all sorts of other little Chinese specialties that they sell at the counter, like drinks and dessert, in addition to Chinese BBQ. Everything is cheap.",0.765,0.881,0.119,0.0,0.42750000000000005
2017-03-11,4.0,"Good food for the price. You pay $20 and you can feed 4 adults, if you know what to order. Great place for breakfast and lunch.",0.765,0.724,0.23,0.046,0.675
2016-12-29,5.0,"Great value for the price.  Huge selection on menu, make sure you confirm your order.",0.8779,0.498,0.502,0.0,0.8462962962962962
2016-12-25,4.0,"There was actually a good number of people wondering in Chinatown this afternoon.  Parking is usually a hassle.  However, we found a free street spot on Archer near Connie's Pizza.   ""Gourmet Food"" is near the corner of 23rd. St. and Wentworth Ave.  Like many places in Chinatown, holding on some green bucks is going to be useful.  As a matter of fact, GF is cash only, and we only spent $12.45 for us two!   Obviously, a bilingual menu is provided at the register.  I didn't see it when I walked in, so I just ordered whatever I saw on the wall or on the trays near where the boss lady was standing.   This place is truly hole-in-the-wall, very run-down, and quite filthy and perhaps unbearably gross if nothing sanitation wise here was acceptable to your standard.  Hubby and I felt alright and were excited for a little money we spent on our Christmas feast.   GF serves Cantonese home cooking.  We had the following:  - congee with pork ($2): the small size was enough for an individual with a normal appetite.  Chinese-style congee is great for those who are anemic or feeling under the weather.  Both hubby and I liked it.   - congee with pork & preserved vegetables ($2): one of the ladies from the kitchen came out to ask me if it was ok to substitute this for the congee with pork, assuming they only had enough for one (1) small order.  It was also tasty.   - green chive bun ($1.35): the portion was pretty generous for how much it costs.  If you ever want a quick snack on the go, get a couple of them and you would all set.   - shrimp funn roll ($2.50): I saw this was one of the popular dishes.  Well, this is a Cantonese staple and they made it well.  Nevertheless, I wish the shrimps were cleaned a little better; there were a few of them still contained dirt.   - Chinese Long John wrapped with omelet ($2-$3): I wasn't sure about the price, yet it looked delicious on the tray.  In hubby's description, he said he would explain to someone as ""a Chinese-style doughnut wrapped with an omelet, covered with a thin layer of teriyaki sauce.""  He was accurate for the most part.  The ""sauce"" was a bit sweet for me, but hubby would definitely order this again.    All prices listed above were as of 12/25/2016.  The boss lady and other workers there speak Cantonese as their mother tongue, but they all can communicate in Mandarin Chinese with me.  Most patrons there are local residents.  Hence, if you're looking for a non-touristy joint in the area and don't mind the less-desirable ambiance, I will recommend ""Gourmet Food"" for an inexpensive meal.",0.9828,0.875,0.11,0.015,0.4851337448559671
2016-11-24,2.0,"I've eaten here since the early 90's.  It has changed but not much. It's off Wentworth so it doesn't get as much attention as other restaurants.  Hidden gem?  I wouldn't go that far.  You do get decent food for your dollar, that may be the biggest attraction to the place. Hygiene seems to be questionable.  Tables were not wiped off. Food was hot and tasted fresh but you have to think they're doing something right because while we were there, there was a steady stream of business.  It's not what it used to be but I think it's still a decent place to stop at.  I doubt I'd recommend it to others. As big of a hole in the wall places as I am, I'm not sure I can recommend this place in good faith.",0.8935,0.784,0.141,0.076,0.544766865079365
2016-07-08,1.0,STAY AWAY - there are too many great Chinese food in this area to waste your time and money here. The food is mediocre at best. The place looks filthy and the chef doesn't use gloves while he is rubbing his bare hands all over the meat you will put in your mouth. Health inspection should pay this place a visit. The service is rude and anything but fast (this is supposed to be a fast food joint). Do yourself a favor and go next door to Go 4 Food for a $4-$6 Michelin recommended lunch!,0.7959,0.836,0.113,0.051,0.4541666666666666
2016-05-03,3.0,This is a standard place for everyone to get their cheap Chinese food quick and easy  This place has been here forever Great selection of BBQ FOOD ITEMS . Rice boss usually range $5.50-$6.50,0.7906,0.811,0.189,0.0,0.4333333333333333
2016-04-06,5.0,"I was hungry for dinner and traveling on the red line when I thought I'd get something from chinatown. I asked a friend who grew up here and he recommended this place as best bang for my buck. Seeing that it was only a few minutes from the Cermak&Chinatown stop I thought to give it a shot.  I got a large portion of gourmet beef and egg for only $6.10. And it was good. I'd say its like high quality fast food that tastes authentic (not westernized). Ideal poor college student kinda food as it's cheap,  has large portions and is straightforward in its taste.  It's more of a take out / delivery kind of place than a sit down if you are visiting out of town.",0.9136,0.821,0.138,0.041,0.5617239858906526
2016-03-29,5.0,"This is not a sit down place. I REPEAT. This is not a sit down place. If you want a nice atmosphere with beautiful plating and calm surroundings...this is not the 5 star place for you. HOWEVER... If you're on a budget or just want some quick, delicious, and cheap lunch/dinner, Gourmet is the place. Today was my first time buying from Gourmet on my own (when I was young my parents always bought dinner for us from here) and let me tell you, for the price, it's a steal. We got the curry chicken and beef with green peppers and for the amount of food they give you, it's beyond worth it. I'd say for $4.50 I pretty much have two meals right away because there's no way I can finish one to-go container in one sitting. Absolutely amazing decision and I'll post more reviews/tips once I find my perfect dish. But for starters, it's a 5 star place. BEEF AND GREEN PEPPERS WAS A GOOD CHOICE! The curry chicken was so-so.",0.9769,0.796,0.175,0.029,0.6346445824706695
2015-12-29,5.0,I come here for the Soybean Pudding...aka Taho. It's cheap and oh so delish!,0.0,1.0,0.0,0.0,0.7
2015-12-27,1.0,"AVOID if you can, the lady that helped us acted like we owe her a thousand bucks, give us two set of cheap chopsticks when we came in as a group of 4 cuz she thinks the food we ordered wouldn't require chopstick, asked for napkins and she gave us 2 at a time, have to keep asking like 5 times. I mean how much is an extra set of chopsticks going to cost you. I asked her a question and she simply just ignored me. It was a really unpleasant experience overall. Also, the garbage is really close to where we eat, and the guy who were changing garbage bags just did it right at our face. Not to mention the food was below mediocre. We asked for fresh crispy doughs, and the lady told us they aren't making fresh ones anymore, well obviously they are lol for those of you who read Chinese: 油条比之前难吃好多",0.5959,0.856,0.091,0.054,0.4807397959183674
2015-12-09,4.0,"Hidden gem from the main strip of Chinatown-Wentworth Ave, most people who live here go here for their traditional rice boxes. I heard about this place and had to see for myself. They have a vast amount of dishes to choose from, I stuck with what I know and have eaten before. I proceed to the counter and of course, waited for my turn to be served. I ordered a beef and rice with extra gravy, she took my money (avg dish here is $5 - $8) and told me it will take 10 minutes.  If you eat here on premise, you get a cup of hot soup. If you take out, you get nothing but the dish you ordered.  Nothing fancy here, just exactly what you order. Plenty of metered parking in front.",-0.128,0.988,0.0,0.012,0.5616666666666668
2015-10-27,1.0,"My family usually goes here to buy carry - out dinner. But we are going much less now. The food isn't good anymore. The food is gross some of the time. Sometimes, the food from another dish is messed up into the wrong dish.",-0.8752,0.78,0.0,0.22,0.3633333333333334
