date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,"Always a 5 star experience! Our waitress was friendly and super helpful, all of her recommendations were spot on!  I have found a new bourbon  (Basil Haydens) absolutely outstanding.  We had steaks cooked to perfection and sides that we're delicious!  Generally we go here with friends for special occasions or for going away parties as this is a memorable experience that is not easily forgotten!  I hope your experience is as wonderful as ours!",0.9863,0.573,0.381,0.046,0.7400974025974025
2017-08-15,5.0,"I worked at a fine dining steak house in Chicago for years. So anyone in the industry, and pretty much everyone loves a good happy hour! Yesterday Mortons in Gold Coast had their annual $1 filet slider for National Filet Day, yes it exists!  I just wanted to say the sliders and the staff in the bar were AMAZING.  All three of the girls that were working the bar went out of their way to make sure it was a great experience.  If you're in the area, stop by and visit the two Mary's and Jessica!  They have great happy hour specials during the week too they told us about too.  Woohoo!",0.9906,0.684,0.3,0.016,0.7588888888888888
2017-08-02,4.0,"sure it's old school big time. boy do they get the basics right ..not easy to do a great steak every time but they do, I love the char from that roaring gas fed flame. if I say medium it's at a perfect Chicago steak house medium. also ala carte and hey it aint cheap but service is very good and wine was not that bad price wise for reasonable bottles. sides and salad excellent.",0.9885,0.644,0.356,0.0,0.6824716553287983
2017-07-31,5.0,"First time a this location, but honestly its been years since I've eaten at Morton's and they didn't disappoint me. Our waiter Peter was simply amazing and recommend the Cajun Ribeye for my friend who truly enjoyed the flavors. I went for the seafood options with a combination of shrimp, scallops, and a crab cake my potion size was small but food was tasty. Everything was simply delicious and the corn was so sweet and cooked to perfection.",0.9933,0.596,0.404,0.0,0.6976190476190476
2017-04-26,3.0,Food was good but not something I would go crazy over. It was in walking distance to my hotel. My server was nice.,0.3716,0.685,0.204,0.112,0.8333333333333334
2017-04-21,5.0,I don't know why business meeting had to take place after the trade show at a four $$$$ sign restaurant but I'm glad it did. The ambiance and service are as expected.  I order a medium rare filet mignon and could not have been more happier with my choice.  For a party of five with a few appetizers and desert along with a couple bottle of wine came out to $800+ plus not including tips.,0.9272,0.838,0.162,0.0,0.58
2017-03-14,5.0,"I have not been overly impressed with the ""traditional"" steakhouses in Chicago but Morton's knocked it out of the park. The setting is lush and intimate. We were fortunate to have one of those servers who naturally understood how fine dining should be approached. Though I ate here after first moving to the city last summer, I have now had many, many more experiences and feel comfortable in saying it is among the best.",0.9479,0.785,0.194,0.021,0.5178571428571428
2017-02-17,4.0,"Went here for Chicago Restaurant Week and was not disappointed! Food was delicious and even with the restaurant menu we got full side dishes each. It was pretty quiet while we there, but it was a Tuesday night. The bar area seems to get more folks as it looks like they have a pretty good happy hour I'd definitely check out.",0.9788,0.658,0.342,0.0,0.7233333333333333
2017-02-13,5.0,"Morton's ranks as one of my top meals I have ever had.  I had the fillet which was amazing and cooked perfectly.  The potato side was incredible.  The cheesecake was breath taking.  Its kind of pricey, but it's a great special occasion place!!!",0.9475,0.68,0.32,0.0,0.7887755102040817
2017-01-28,5.0,This place was amazing! We went over Chicago restaurant week and had so many courses that were all unbelievable. The creamed corn and potatoes were amazing as well as the desserts and filets! The service was amazing and we enjoyed meeting the manager and all staff.,0.9595,0.676,0.324,0.0,0.8166666666666668
