date,star,text,compound,neutral,positive,negative,subjectivity
2017-06-17,1.0,TERRIBLE CUSTOMER SERVICE. I have NEVER experienced this before. I have been a strict vegetarian for my whole life because of my religion. And there was a piece of steak in my burrito that we stated to be a COMPLETELY VEGETARIAN order. The lady in the front was so rude about a refund. And started yelling at the restaurant to my friend that went to get the refund. Then I went back in to tell her that what she said was wrong. She was going ahead and gossiping to other customers about this IN FRONT OF ME. So I stepped in right away. Absolutely ridiculous. Got my refund and was told never to come back. So don't worry. Will never come back again. First and last time.,-0.8836,0.835,0.044,0.121,0.4650510204081632
2017-06-17,1.0,"The lady at the register was absolutely rude and ridiculous...we had a mix up with our order and she's like ""don't ever come back here""",-0.2006,0.792,0.09,0.118,0.3
2017-06-10,5.0,"Came here two nights in a row. It's nice and low key and perfect for the late night munchies. Would highly recommend! This place has so many options, amazing food!",0.916,0.599,0.348,0.052,0.73
2017-06-04,1.0,"Food is good when you've been out and have nothing to compare it t, I guess.   I've been there many (MANY) times.  This afternoon (3pm) I learned how careless employees can be.  It's a tiny place.  While waiting outside today taking a few orders from my buddies, I was shot with a water-hose across my entire right side.   The only excuse I could undertand was, ""I thought he was waiting for the bus"" - 1) I haven't ridden a bus since elementary school. 2) Do they hose anybody that chooses public transportation? 3) Why?  WHY?  - it's not like I was drunk, dressed inappropriately, etc.  I just wanted to get some wings/tacos to take back to a ""game night"" with buddies.      --- guess what, I ordered $125 from ""Villa Palermo"" down the street and it was DELICIOUS!  ' just sayin.    Jackhammer traffic can find better...just around the corner.",0.784,0.887,0.081,0.032,0.5009038800705468
2017-05-02,4.0,"This is a great little Mexican restaurant on the corner of Clark & Devon. I've been here a couple times and it's always been good and fast (and didn't cause any uncomfortable stomach issues like similar restaurants have, amirite?)! At places like this, I usually order a cheese quesadilla with guacamole (sometimes a side of rice and beans depending on what state I'm in) so there's not much that could go wrong with that plate. While waiting for our meal we were served bland chips with really good spicy salsa. The horchata is also so delicious!",0.9602,0.763,0.208,0.029,0.5871794871794871
2017-01-16,2.0,"Great hours, great customer service, but they now cook the meat until it is completely devoid of moisture. The meat in all their food is so dry and tough that I can't even eat here any more. Sad.",-0.3889,0.736,0.114,0.15,0.6619047619047619
2016-10-19,5.0,Great hospitality and delicious food! What else to ask for? This place is a great breakfast or brunch spot for me! Or essentially anytime I feel like eating Mexican breakfast food!,0.9458,0.621,0.379,0.0,0.5599999999999999
2016-09-02,5.0,"I got a pork taco and a steak taco with onion and cilantro for $5 which is a pretty good deal. And the tacos were delicious. When I sat down to eat, they also brought me free chips and a free cup of soup which is an amazing amount of food for just $5 and some change. I will DEFINITELY be going back.",0.9739,0.675,0.325,0.0,0.654320987654321
2016-05-03,5.0,amazing place. there are some of the best tacos you can get in chicago. the cochinita taco is always good... and the service is just great! I always like this place late at night after I've been out drinking. But I also take friends there for lunch when we wan't something quick but satisfying. I love the fact that when you go there for lunch you get a cup of soup.  very very good service!,0.9786,0.704,0.296,0.0,0.67
2016-04-27,5.0,"Good God, some of these whiny reviews are just awful. It's a simple, no frills place - if you go at a busy time, expect to wait a bit and don't cry about it! I've come here many times and always left very satisfied. It's very affordable, delicious Mexican food. The waitresses are so friendly and love to chat when it's slow. The only downside is if you go late at night, some of the clientele can be a little... interesting.",0.9638,0.661,0.266,0.073,0.5386554621848739
2016-03-25,1.0,As of late February this place has been close for remodeling. It would be nice if they noted that on their site. Today is March 26th and no signage on door giving any date for reopening.,0.4588,0.817,0.129,0.054,0.8
2016-02-09,2.0,"The only good thing about this place was the actual food. Lemme give a break down: Chips and salsa: The chips were SO BLAND. Literally hard and old looking with no flavor or salt. It was served to us in a basket with two napkins laying on top of it and the waitress also brought out the green and red salsas... but in bottles. How on earth are we supposed to dip our chips in bottles? So long story short the chips were gross and the salsa was difficult to eat with them.  The food: I personally got a chorizo taco and 2 corn tortilla steak quesadillas which were absolutely amazing. My friend got 2 steak tacos and said they were very good. The tacos were relatively big and came with many toppings (although we ordered them almost plain). Overall, no real complaints about the food.  The service: So. Horrible.  The waitress was okay most of the time but was very short with us. Towards the end my friend and I were going to pay but I had a question about the check and the waitress just decided it would be easier to have separate checks. The waitress said ""Oh so you're paying credit?"" before leaving the table. We had a bus to catch so we stood up at the counter to pay and when I tried to hand her my card and she said ""oh, we don't take credit, only cash."" Are you kidding me? Why wouldn't she bring that up while she was at the table, she obviously recognized we were paying by card before. I just handed her cash and we walked out.  The physical restaurant: It is tiny and pretty shabby. The menus and just up at the counter and you have to get them yourself. There were probably a total of 4 tables and 4 chairs at a counter, probably all of which could use tightening. Everything seemed kind of dirty and out of date.  Overall, I really wanted to like this place. We put in a lot of effort to get there and were severely disappointed as soon as we walked into the tiny restaurant and were served the bland chips. The service was so horrible that it doesn't matter how good the tacos were, we will absolutely not be returning.",-0.2331,0.784,0.105,0.111,0.5254100529100528
2016-01-24,1.0,"I am getting annoyed at this place.... On a Friday and Saturday nights, this place does well from its bar patrons next door.... Taqueria El Chorrito needs to appreciate the amount of business that we bring in your doors..... That late night server girl can be quite rude and indifferent.  How about a smile and waiting on the tables and bringing some chips out?  Are you going to go bankrupt putting out a small bowl of chips? Seriously!... Maybe we should pass a hat in the bars and take up a collection for you. While the food is very good, your attitude has gone south.  Don't be too surprised when the boys walk over to the new restaurant in the works across the street. Wake up or you'll loose your clientele and business! You're not that special, honey!",-0.8188,0.804,0.07,0.126,0.5118226218226217
2015-12-20,5.0,"Holy MOLE!!! Wow.  Just finished work and lo and behold, Taqueria El Chorrito has come through and made my day/night/morning/whatever this time is!  And boy did I need it. After hearing rave reviews tonight, I finally decided to give this place a whirl.  Why had I not before...  Friendly and fast service, affordable, and unique!  I sampled...am still eating most of, no judgement...the chicken mole quesadilla, a steak super taco, and a lengua burrito.  SO FLAVORFUL!  The lengua is cooked perfectly, totally tender and juicy - fresh vegetables, creamy goodness, and, although I am not a mole expert, a very pleasant peppery (but not overly spicy) quesadilla.  I *was* hoping I'd get some more of the ripe avocado and lettuce that I saw piled on other folks' plates (there was some in my super taco but I think they may have left it out on the burrito though I asked for it?), and the burrito's tortilla, 15 minutes in, is falling apart in quite a melty way...but whatever, it tastes great and I am happy THANK YOU T.E.C whoooo! And nope, not drunk.  =D",0.9847,0.77,0.191,0.039,0.7129166666666666
2015-10-31,3.0,"Didn't care much for the thin charred burrito, but the taste and tenderness of the beef was on point. Was upset that online and here it said they're open late/24 hours on Friday, but when we came back for more at 5a, they were closed. UPDATE TIME PLEASE.",0.5477,0.772,0.136,0.092,0.35833333333333334
2015-10-18,5.0,awesome tacos. the chicharron in green sauce is a little spicy but super flavorful and soft. the cochonta pibil had great taste and nice texture. great local spot.,0.9764,0.494,0.506,0.0,0.5907407407407407
