date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Place is great. Service is good, food and drinks are great. I recommend place. The la casa borracha is cook to perfection.  Meat is tender.",0.9538,0.523,0.477,0.0,0.7000000000000001
2017-08-24,5.0,"Excellent (fresh, well crafted, masterful, delicious, beautiful) food. Excellent service. Sunny patio. Killer spicy pineapple margarita.",0.8934,0.33,0.528,0.142,0.9166666666666666
2017-08-03,5.0,"THIS IS MY HAPPY PLACE! Not only is everything on the menu amazing but we come for the service. I started coming to Las Palmas 4 years ago. i was really excited to bring my boyfriend here a couple years ago since he has great taste and shares the same love and enthusiasm as I do in experiencing different restaurants! HE WAS SOLD! This is now OUR happy place! they have amazing appetizers, steak, seafood, deserts and OF COURSE margaritas! Do yourself a favor and order yourself a straight up passion fruit margarita, you're welcome! We always start with the table side guacamole (spicy) which is so fresh and delicious! My favorite entree is La Casa Baracha (medium rare) so yummy!  Maria, the manager, is so lovely, friendly and accommodating! Tino, is our all time favorite server! We are always so beyond happy with the customer service! It's great for date night, friends night or family night!",0.9988,0.555,0.445,0.0,0.7773809523809525
2017-07-29,4.0,"This place deserves five stars, but I'm giving it four stars because of the 15 min wait we had before someone finally noticed us and came to take our order.. I came here last night for dinner around 9pm and it wasn't too busy. We were greeted kindly and seated right away in the sun room. The decor makes you feel like you're in Mexico or somewhere in South America. It has a very cozy feel to it.  I ordered the Mar Y Tierra which came with a super juicy filet, shrimp, carrots/spinach and mashed squash which was very interesting! To me, it tasted strong on its own, but when you eat it with a bite of the fillet, everything blends so well together. My boyfriend ordered the Asada, i believe that's what it was called. I don't see it on their website.. It was a skirt steak on tomatoes topped with goat cheese and chimichurri. Not a fan of goat cheese, but according to him, it was amazing (: And for dessert we shared Tres Leches, which isnt on their website either. The cake was so spongy and full of flavor. It was topped with fresh strawberries and hibiscus syrup. My mouth waters as I'm typing this. haha  Overall, amazing experiencing and already looking forward to going back! Highly recommend it",0.9967,0.756,0.244,0.0,0.5842989417989419
2017-07-19,4.0,"The prices are reasonable and the food is on point.  I had the Mar y Tierra(Surf & Turf) which consisted of a filet, which I usually don't enjoy because they are usually too lean and not enough flavor.  The filet had just the right amount of marbling to make it very flavorful.  It also had a touch of char but not overcooked.   For the Surf, included pan seared tiger shrimp, which were tender, sweet and flavorful.  My wife had a an appetizer as a meal, the Calabacita which is pumpkin stuffed with shrimp, mushrooms, scallops and spaghetti squash covered in a white wine cream sauce. That was also surprising satisfying.  I believe we visited on a Tuesday evening.  I thought the service could have been better, seeing that restaurant was very slow.  Overall a good experience and I would recommend it.",0.969,0.834,0.153,0.013,0.46112244897959176
2017-07-06,4.0,"MARGARITASSSSSSS, is all i'm going to say first...so delicious! comes in different sizes, definetely get the biggest one they have...and i do have to mention the GUAC too...freshly made by the workers at a guac cart, impressive. the chips that accompany the guac, is also to die for (taste like whole foods tortilla chips :) ). Service was always good the two times I've come. Ample seating in the front, middle (glasses in area), and outdoor patio (so cute at night).  Food wise, it's a little fancy. won't get your simple tacos..they are all in meals and small in portion, the fajitas were disappointing, the amount of beans and rice just didn't cut the price after a sunday funday and i needed some substantial base of food to carry on the night.  So this would be deserving of 5 stars, but the food portion was on the smaller end.",0.8316,0.858,0.113,0.03,0.6723214285714286
2017-05-30,4.0,"I came back here with a few friends and our visit was much better than the last! Great service, but they still tried to clear our plates while we were still eating. Not sure what the rush was, there were plenty of open tables. Regardless, the food and drinks were just as delicious as the last time I came in. Definitely a must try.",0.9674,0.709,0.291,0.0,0.4323232323232322
2017-05-20,3.0,Good tasting food Nice staff  Fresh guac  Good tasting mojito  Strong Margarita  Tab came out to $125 with 3 adults  Overall I would back for intimate ambiance and patio but it will be a while.,0.765,0.738,0.262,0.0,0.5041666666666667
2017-05-10,4.0,"Nice casual place.  One of the best tofu tacos I have ever had, very flavorful",0.8316,0.556,0.444,0.0,0.6166666666666666
2017-05-01,5.0,"I am reposting this Review because i can no longer find it! After dining at Las Palmas on North Ave in Chicago we felt compelled to leave a review.            My wife and I, are always searching for a great place to dine. Although we make it a point to experience somewhere different each time, it's always nice to have a favorite especially when it's local. In all the 15 years living in Chicago we constantly struggled to find the whole package, great food, great service and always a warm welcome. Then there it was, a quaint little restaurant with murals on their outside walls, strutting the Art of local talent located in the heart of the Wicker Park.      What was truly remarkable was the fact that this restaurant has been around for quite some time, and it was located only 4 blocks from our house. Tough to believe that the restaurant that was right under our noses would be the answer to all our aspirations, becoming our favorite place to dine. Our only disappointment was not discovering this restaurant sooner. I can only depict with little certainty that I will be able to give proper merit to this establishment that undeniably deserves.Here, a meek attempt at best to sum up what I experienced and what anyone can expect        To start off the evening, although the restaurant was busy as we entered, a most gracious host with a charismatic smile cordially greeted us, wasting no time leading us to a quaint little table to sit. The hostess made friendly gestures at my three year old as she welcomed us, getting the evening off to a good start. Shortly there-after the owner of what seemed to be a family owned business, personally took time out of his busy agenda to greet us, offering us an array of tropical drinks to get us started, one of which was the special of the house called ""The Coconut Mojito"", which was nothing short of delicious!         Having tried many Mexican restaurants, we thought we had an idea of what to expect since none of them manufactured their own original or unique tastes. Boy were we in for a ride.       Well as you can probably predict, we didn't have to wait long after our drinks were served, to promptly place our order. Unaware of what we were about to feast upon, we picked out 2 starters.The Empanada, (cornmeal turnovers stuffed with fresh shrimp and crab with an accompaniment of a variety of cheeses gently placed on a plate with a tangy sauce) and Costillas (oven roasted pork ribs served in a tamarindo salsa garnished with mango),  the most memorable thought as the meat fell right off the bone.         It was now time to pick a main, which in my opinion only spiked my curiosity of what to expect. Since we were still raving about the starters, l expected nothing less than truly superb going forward. As we waited my wife ordered some guacamole of which I was never a fan, but when my wife asked me to taste it, my thoughts were non-hesitant since everything so far was fantastic.  I am now a big fan.         Now, for the entrées. My wife ordered Mar Y Tierra (a 4 oz fillet mignon tender as butter, grilled to perfection served with pan-seared shrimp, alongside was sweet potatoes and sautéed baby spinach).  I ordered La Casa Borracha -(a pineapple and tequila soaked skirt steak on a stack of rum-cured plantains),  a taste like nothing to be found anywhere in the City, which was  consistent to the appetizers. In my wife's own words ""FABULOUS"" Every dish was prepared and served to perfection.My kudos to the Chef!        The whole meal was incomparably delicious, and impeccably timed, while the service was equally amazing, completely professional, and yet warmly welcoming. Can't say we didn't expect that, since great food usually goes hand in hand with great service. The waitress Jenna was splendid and delightful. Just when we thought we couldn't eat anymore, it was still hard to resist as we were presented with a fascinating selection of desserts. We were advised to try a salted caramel ice-cream with whipped sour cream on top some very fruity crumbled pistachios with a salted caramel taco shell. DELICIOUS and exquisitely unique to say the least!!!  Keep in mind we are tough critics being from the Capital of Great food,New York.    More importantly, given the quality of food and service at Las Palmas, the whole dinner was at the very least modestly priced.  Las Palmas now holds our favorite spot for great food with the ambiance it bestows, engenders a warm and inviting atmosphere sought after by so many looking for a pleasant dining experience when out with the family or on a romantic date. The most significant part of a great dining experience you may expect at Las Palmas is every bit from soup to nuts and from entry to exit. They hold the secret to what every restaurant strives for "" True achievement in every aspect of the industry""   Summation: The food & service varied from great to exceptional. This food was in all our Opinions immensely  flavorful & brilliantly creative! M. Denigris",0.9995,0.766,0.2,0.034,0.6341393621668853
