date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Favorite place to have a meal/drink in Streeterville. Been here many, many times and both food and service have always been excellent.",0.7717,0.739,0.261,0.0,0.75
2017-09-02,4.0,"I went here quite a bit when I lived in Streeterville a few years ago. I think sometimes D4 gets the spill-over from people not being willing to wait at Yolk, but honestly I think I like D4 better. They have good crispy breakfast potatoes and you don't have to wait forever for an overpriced omelet like Yolk (see my review for there). Plus it's Irish and everyone loves the Irish. Lots of drink options, chill atmosphere, and nice outdoor seating.",0.9817,0.713,0.287,0.0,0.48125
2017-08-13,1.0,Rude woman next to us berated my friend about his posture at the table. Instead of handling the situation properly the manager kissed her ass. The food was overpriced and horrible. Will gladly never eat at this dump again,-0.7003,0.602,0.154,0.244,0.54
2017-08-12,2.0,"Would not recommend. It took about an hour to get one round of drinks for 3 of us; and it was not very busy. The bar atmosphere and music was chill, but sadly service was subpar. :(",-0.8444,0.784,0.0,0.216,0.6576923076923077
2017-08-06,3.0,"I was expecting them to have big, crispy fries, but instead the fries came out like McDonalds Fries. I guess don't order the fries....the drinks and food are good though. People are nice. If you order a burger, you better believe you're going to get a burger. If you order chicken fingers, you're going to get super crispy, bad for you buttery fingers with interesting sauces(I actually threw it up after, from the weird combinations). I still liked the chicken fingers. I'll try the pot pie next with a salad as the side. If I suggest something I'd say get Parmesan chips with a good dip.",0.9783,0.699,0.247,0.054,0.6023809523809524
2017-08-05,5.0,"Great service, waiter was polite, kept drinks full, had great input on the menu. Lamb chops were perfect, cooked to order.",0.9169,0.602,0.398,0.0,0.7625
2017-08-05,4.0,Just came for drinks and real Irish charm in an upscale setting.  Nice outdoors seating too.,0.6705,0.718,0.282,0.0,0.5
2017-07-22,5.0,Everything about this place is amazing. Bar staff is great and the food is phenomenal.  Taco Tuesday is a must!!!,0.8682,0.66,0.34,0.0,0.7166666666666667
2017-07-21,5.0,I love D4 and feel totally comfortable going alone ... this was my second visit .. and I sat at the bar . Wait staff is friendly .. lots of neighborhood regulars and a few tourists . Great location and wonderful Atmosphere,0.9554,0.596,0.361,0.043,0.5357142857142857
2017-07-20,5.0,"This restaurant was excellent. We arrived in Chicago later in the afternoon on Wednesday. Our waiter was Jimmy and he took care of us as soon as we receive it which was immediately. I ordered the chicken pot pie, and my family had the fish tacos, but the letter, and the lobster macaroni and cheese. Every dish was delicious and flavorful. There were many beers on tap including several local Chicago breeze. The Chicago blonde it was tasty. Great atmosphere and five. Filled with locals as well as Tourists.",0.9493,0.832,0.168,0.0,0.51
2017-07-17,5.0,"Stumbled on this place this past Sunday.  There was a long line at a breakfast place next door and saw a brunch flag on front of this restaurant.  Holy cow was the food good.  Our party had french toast (yum), pancakes and omelettes.  Everything was flavorful and yummy.  Outdoor patio was a delight.  Skip the long line next door and try this place!",0.9215,0.807,0.193,0.0,0.22708333333333336
2017-07-13,1.0,Tried to go here for happy hour tonight with a few friends. One of my best friends is not from the United States and therefore carries a British drivers license instead. She's 23 years old and D4 refused to serve her alcohol. The manager explicitly stated that he would not accept any non American form of identification . Needless to say we cancelled our order and left. This is pure discrimination and is ridiculous. I was a fan of D4 prior to this but will never go back.,0.5562,0.795,0.117,0.088,0.3416666666666666
2017-07-08,5.0,great food and service. drinks were great and the brunch food was awesome and big portions. the beer battered chicken fingers are our favorite,0.946,0.567,0.433,0.0,0.7583333333333333
2017-06-25,5.0,Love this place. 3rd time here. The look/vibe and food. (I've only had breakfast tho so my ranking is only a.m.),0.6369,0.826,0.174,0.0,0.65
2017-06-24,1.0,"Friendly service but I asked for my steak medium, it came out well; I sent it back and they brought the same steak back with a phone light saying that if I look at it in the light I could see that it was medium. Never again.",0.3919,0.916,0.084,0.0,0.33749999999999997
2017-06-24,1.0,"I never have written a Yelp review but my whole table just walked out after the waiter just told me she wouldn't serve me out of our whole table. She clearly was discriminating, none of us had a drink before we walked in. I called the manager who was this yuppy guy with a beard, and he said he has to stand behind his inexperienced waitress. Sorry you lost our business and a got a bad review. None of us will ever come back, & clearly you weren't busy on a Saturday night to be closing down sections before midnight. ‍",-0.2617,0.841,0.069,0.089,0.4656565656565656
2017-06-24,4.0,"This is my favorite pub in Chicago -- grilled cauliflower, reasonable salads, and sweet potato fries.  I wish they were more transparent with ingredient lists--they sneak a lot of sugar into dishes that could do without it.  And bring back the khale slaw offered with specials.  This is great and should be a menu item.",0.9423,0.747,0.253,0.0,0.5833333333333334
2017-06-24,3.0,Food: The food and drinks are above average.  The grain salad is especially good. Rating: Four stars Service:  The service is average.  The bar area has better service than the inner seating area. Rating: Three stars Atmosphere: The bar area is near windows and it is lively.  The inner seating area has long padded bench seats that have cushions that move every time someone sits down or stands up. Rating: Two stars Location: The location is close to hotels and is a good option. Rating: Four stars,0.9039,0.871,0.129,0.0,0.4101851851851852
2017-06-22,4.0,"Went here with some girlfriends for a morning brunch. Ended up getting the bloody mary after a wild night, and wasn't really impressed. Wish I didn't pay the money for it... but anyways... the food was delicious. I definitely recommend the burger! The bartenders were super nice and super cute as well! :) I'll probably return, but would just leave out the bloody mary!",0.9864,0.475,0.411,0.113,0.8212121212121212
2017-06-19,4.0,"The food was outstanding. I had the chicken pot pie and the thing was loaded with chicken and just the right amount of vegetables, the English peas in it were deliciously sweet. My wife had the pulled pork and burger sliders, she loved them.  We also had the short rib nachos as an appetizer and they were wow, good! They could be a meal by themselves, succulent sweet meat and veggies that just rocked!   The only issue we had was the table was tiny and cramped. The water served wasn't cold either, but it is a must stop place for the food and beer selection, if you are a drinker. Our server was Estelle and she was the best. Very attentive to our needs and we had no issues with being taken care of.",0.9603,0.791,0.172,0.037,0.6944196428571429
