date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-17,5.0,"I love coming here. Open air seating. Covered as well. Food is always good, music on, faces California so good people watching. Beer, coffee, wine, good hours. It's a good meetup spot. I just discovered they have a stage?! And bands?! How did I miss that? Right next to blue line & Milwaukee bus so easy public transportation.",0.9689,0.644,0.333,0.023,0.4577922077922078
2017-07-17,4.0,"Came here on my last trip to Chicago.  We came for lunch first and were really happy with the beer selection.  I had the chopped salad, which was great.  My husband had the falafel wrap and he loved it.  Our waitress was really sweet. We came back later at night and sat at the bar.  A rep from Dogfish was giving our samples.  We had a friendly chat with him and watched the TVs and listened to a band.  I don't know the name, but they were doing covers of '90s songs.  They did a fun version of ""Ice Ice, Baby.""  We really enjoyed them. As with our waitress earlier, the bartenders were great.  Obviously, it was busy so they couldn't stop to talk, but they were attentive and had great attitudes. This place is worth a visit for lunch or late night, and probably any other time.",0.99,0.767,0.233,0.0,0.4887499999999999
2017-06-18,5.0,Had some chicken wings with couple of beers.  Nice place to enjoy the weekend. Service was excellent! The DJ played ghetto music a bit too much. Other than that I give it 5,0.908,0.677,0.323,0.0,0.765
2017-06-12,4.0,First time here. I'm glad my group of friends stopped. It was a Cool bar to check out. Music on Friday's. Awesome patio. Drinks are reasonably priced. Service was great. The mango mojitos were great!,0.9642,0.541,0.421,0.038,0.7261904761904763
2017-06-12,5.0,"Loved this place. Was invited to come here by a friend who's a bartender here.  Lovely atmosphere, friendly staff and great food and drinks. Everything you could ask for from a neighborhood bar. They also karaoke and trivia here. Say hi to Mark.",0.9595,0.658,0.342,0.0,0.7
2017-06-03,5.0,"I've been a few times and enjoy it every time. Great ambiance, great bar food (burgers are great) and good drinks. I've had great service every time I've been. Solid, reliable bar if you're looking for drinks and satisfying bar food.",0.9719,0.589,0.411,0.0,0.5888888888888889
2017-05-24,5.0,"First time and definitely will be back because of Stephanie, the bartender. Super friendly and gave me tips on area since I recently moved from out of state. Stephanie, should train others because she is who you want to be selling your business.                                                         Stephanie told me about music, specials, food and was fun and professional. Her manager, Mark also told me about her excellence and he seemed genuinely happy. He also reminded me of live music and thanked me for coming in. Stephanie and Mark had a great rapport and you can tell the owners made wise decisions in hiring them. Food was good but I will return solely on Stephanie's service.",0.9524,0.809,0.191,0.0,0.48461538461538467
2017-05-20,4.0,"This is a nice atmosphere. Self sit. Coffee is good and strong, steak and eggs is very well deserved. Potatoes was hard but was fixed and the Manger took off half  from the bill for the mistake. Waitress was great but gruff. I went my father and his lady friend. He had chicken and waffle, sausage had no taste. She had chilaquiles with chozio, potatoes and fruit. They mistaken to ask her how she like her eggs and her potatoes were hard as said before was fixed. Also had a mimosa first one was great second one took longer. In total 68.11",0.9485,0.691,0.213,0.096,0.5211111111111111
2017-05-16,5.0,"This is my favorite neighborhood spot for dinner. My wife and I come here almost weekly because the food is fantastic! I am a vegetarian and the spicy black bean burger with the mango ginger chutney is perfection. Always request the sweet potato fries; they are soo good! Like most Chicago bars, the beer list is extensive as well. The service has always been friendly and the atmosphere is casual. Great place to have a few beers and grab a bite to eat.",0.9826,0.69,0.31,0.0,0.603030303030303
2017-05-13,5.0,"Kiersten at Logan Bar and Grill needs a raise, a Medal of Honor, and better shifts. She was a wonderful waitress. She treated us with respect and kindness. Which you don't get a lot of when you have a 6 month old baby and a 5 year old eating out. Thank you. I mean that. I will come back for sure.",0.9712,0.644,0.356,0.0,0.4966269841269841
