date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Simply put, Turquoise bakes the best bread in Chicago. Possibly in the Midwest. Maybe in the U.S. No exaggeration, it's that good.  Everything here is delectable. I love Turquoise for dinner, but the brunch is the most exquisite and underrated brunch in the city!",0.807,0.768,0.2,0.032,0.6224489795918368
2017-08-31,5.0,"Best Turkish and Mediterranean food in chicago land. Geat ambiance, delicious food. Love the bread",0.9201,0.498,0.502,0.0,0.6333333333333333
2017-08-20,3.0,"Excellent food, excellent appetizers with fresh home made bread they bring to you once seated, and excellent ambience. However I have to give them 3 stars due to the fact they have very unfriendly waitresses and waiters!!! Very non-personable I don't think they even crake a smile. If you hate your job, find a new one!!! 3 stars for excellent food, if you had more of in upbeat team you would have received an additional 2.  Recommendations:  Chicken kabob  Sea food salad  Fried calamari (out of this world)  Lentil soup  Lahmuchun (large thin bread with meat and vegetables)  And last but not least mixed grill plate (very shareable)",0.8281,0.838,0.124,0.038,0.5618307131465027
2017-08-12,4.0,"The free starter appetizer they provide is delicious. Avocado, red onions, cilantro, with guacamole wrapped in lettuce.  I had the lamb rack which was ok. It took awhile for us to get our food and it wasn't super busy, but we were compensated with a delicious desert treat!",0.9173,0.701,0.263,0.036,0.6095238095238094
2017-08-10,5.0,"The best customer service! The servers are very considerate and polite. The food is amazing. Definitely a good place to go if you'd like to explore Middle Eastern/Turkish food. Also, the restaurant is very clean! Reasonable prices for amazing food. Perfect place for a family dinner or a friend-get-together.",0.984,0.549,0.451,0.0,0.6122222222222223
2017-07-31,5.0,"I've been wanting to try this spot for years and finally did - why not sooner?!  We stopped in for lunch on a gorgeous day, so we were able to eat outside. They were very nice and accommodating with seating as we kept rearranging. They start you off with a dip/spread and bread. I think the dip has carrots in it. Not sure what else but it was delicious! Had I not been there with others I might have licked the plate clean and asked for more! The bread was insane!!! So yummy!!  I think they make their own and it is well worth a slice (or 10). I had the lamb wrap sandwich. It was delicious and flavorful and lasted approximately 5 minutes as I scarfed it down ASAP. The yogurt (?) sauce was wonderful with it - I should have asked for more.  Inside is also cute but their patio is lovely. Definitely worth a visit. Staff couldn't have been nicer and while it took a little while to get food, it was obviously made to order and fresh and really well seasoned.  Bathrooms were clean. Pricing was excellent! Perfect spot!! I can't believe I had never stopped in before!",0.9968,0.667,0.305,0.027,0.6661706349206348
2017-07-17,5.0,"This was my first experience with Turkish cuisine and most definitely won't be my last! I went here last night for dinner with a friend and have not one complaint from start to finish. Upon entering, the restaurant was about 3/4 full on a Sunday night around 8pm. We were immediately greeted and seated. Our waiter made excellent suggestions and was very patient with me making my selections as I had never had Turkish cuisine before! He was honest in steering me from making decisions he didn't think I would personally desire and pointed me in the right direction with our entrees. We tried the Mujver as an appetizer, he initially recommended the calamari which I would've loved to try but the person I was with does not like it, so we skipped that. The Mujver was delicious, but I'd probably try a different appetizer if I were to return. For entrees, we went with the Adana Kebap and the Colorado Braised Lamb Shank which were ABSOLUTELY delicious. Our service was impeccable, and we were even treated to a flan dessert. I would love to return here!",0.9825,0.816,0.171,0.013,0.5279100529100529
2017-07-08,1.0,Stopped by here for and sat outside thinking it was going to be a nice afternoon to grab lunch. There were maybe a total of 5 people dining here. We sat there for at least 15 minutes without anyone acknowledging us. And the hostess and waitress were not even busy. Needless to say we left. I would never come here again,0.2263,0.921,0.047,0.032,0.5
2017-06-21,4.0,Love this place.  One of our regular spots when we can't figure out what we want.  Food and drink are always good.  Place gets busy so make sure you make a reservation.  Only once did we get slow service and the server was very apologetic.  Must try in Roscoe Village!,0.8826,0.8,0.2,0.0,0.5207264957264958
2017-06-01,4.0,Great place!! I have been twice and both times enjoyed the cuisine. Friendly staff. Prices are a bit higher but quality is high. Recommend for anyone looking for a casual neighborhood meal with great cuisine!!!,0.9588,0.577,0.423,0.0,0.6580952380952382
2017-05-15,5.0,"Love this restaurant! Plus, it's halal! Great upscale halal cuisine is hard to find. I love the adana kabob, osso bucco, and risotto. You can't go wrong with anything you order here! They're so accommodating with food restrictions and are happy to make substitutions.",0.9649,0.638,0.338,0.024,0.7319444444444444
2017-05-14,4.0,The food is superb. Inside is a little cramped but worth it to enjoy these unique and delicious dishes. It's kind of pricy but in my opinion worth it for things you can't eat just anywhere. I'll be back!,0.9442,0.672,0.328,0.0,0.5666666666666667
2017-05-05,4.0,"Turquoise has become our go to dinner place for work events. The things that bring us back there every time is their delicious food, decent seating space for a group of 20 to 25 people and friendly service.  Last night it was group of 22 who dined there. They've a nice seating space in the basement where we were all seated around the table. Easy to talk and communicate , you can see everyone and is just a very warm environment. Business casual might be the right word.  There bread is the best thing about this place , made on site , warm , crispy and compliments every single thing on the appetiser menu. Stand outs the humus , eggplant and the yogurt salad.  For the entrees we did the kabob platter and the grilled stuff is as good as you can get else where. Lamb was perfectly done - right amount of juice and crisp.  The dessert plate had a Verviers of baklawa , Turkish Pastry and ice cream with some fruits.  Overall a lovely experience with some seriously delicious food. Parking is available on the street and in summers they've outdoor seating. Check it out soon :)",0.9909,0.793,0.199,0.008,0.5938961038961039
