date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Wonderful authentic Puerto Rican food!! My wife is Puerto Rican and she gives it the seal of approval! The food is excellent, plentiful, priced right, and the service is friendly and attentive. You just feel good being here! A steady stream of customers will tell you this is worth the trip out here! Definitely wort finding!",0.9697,0.682,0.318,0.0,0.6385714285714286
2017-08-27,5.0,authentic grandmas kitchen type of food. where do i start ? the ingredients were fresh. the arroz con gandules was delicious. the jarbrito was tasty and the garlic sauce made the sandwich even better. the serving sizes were plenty i had a doggy bag for later. prices are reasonable for what you are getting. the place could use a makeover but that has nothing to do with how well the food taste and the good service this business provides. staff was warm and inviting very friendly. i loved the soup as appetizer.,0.9804,0.732,0.268,0.0,0.6
2017-08-16,5.0,"This place is outstanding, great service great food.  And there not lying when they advertise best jibarito, they really do have the best Jibarito!!! Place is nice and very clean I recommend it to anyone in the area.",0.987,0.46,0.54,0.0,0.635625
2017-08-13,5.0,Sandwiches are delicious. Introduced it to friends and they all love this place. Easy parking is a plus. Definitely will come back often!,0.9508,0.502,0.498,0.0,0.5866666666666667
2017-08-09,5.0,"Love this place. Authentic Puerto Rican food. The jibaritos, empanadas , arroz , and flan de queso are delicious!  friendly environment and staff. I will be back",0.908,0.648,0.352,0.0,0.5700000000000001
2017-08-06,1.0,Called to make sure they were open and they said they would be open until 8. Arrived at 7:40 to get takeout and they were closed. Go to La Bruquena or Jibarito Stop instead - they know how to tell time and the food is just as good.,0.4588,0.856,0.101,0.043,0.5177777777777778
2017-08-04,5.0,"Great place! Stumbled upon via yelpers. I was greeted right away with one foot in the door. Friday night 8pm no problem getting a seat but soon after it was jammed packed.  Our waitress was amazing she was very very hospitable.  We tried alcapurria(great), rellene de paps(good), pastel(great), jibarrito(lechon) w/everything (garlic always comes on the side(big plus) (AMAZING JIBARRITO) and bistec encebollado(AMAZING). Arroz con gandules tasted great not dry and not too moist.  White rice and beans also very accommodating.  The waitress checked on us periodically. It is a small restaurant so not much room and they can be alerted asap.  I will definitely be a returning customer.",0.9541,0.812,0.159,0.029,0.5250549450549451
2017-07-27,5.0,BEST PUERTO RICAN FOOD HANDS DOWN!!! Everything on the menu is delicious especially the deserts. Great place to enjoy a meal and be treated like family.,0.9665,0.505,0.495,0.0,0.6398148148148148
2017-07-23,1.0,"Whenever a business advertises their hours but proceeds to close its doors 30 minutes early, well it's just frustrating.  When their excuse is they ran out of food and shut down their kitchen, then that's seriously bad business and warrants a bad review.  Business is business, especially when you as a Puerto Rican customer visits a city for the first time and makes it a point to visit and support a Puerto Rican restaurant! Don't say 8:30pm if you mean 8pm, please! You guys ruined my night.",-0.9106,0.701,0.103,0.196,0.5436728395061728
2017-07-22,5.0,the jibaritos here are DELICIOUS. and the empanadas are served hot and crispy. definitely coming back for more,0.7983,0.692,0.308,0.0,0.5700000000000001
2017-07-07,5.0,"This was my first Puerto Rican food experience, and it was delicious! I ordered the steak jibarito with PR rice, which was HUGE and amazing. Not to mention my meal came with soup and bread- you don't see that at many places nowadays. Waitress was friendly and the owner even came by our table twice to ask how everything was and if we needed anything. Great service and food at this cute, small family owned business!",0.9716,0.759,0.241,0.0,0.6981481481481482
2017-07-02,5.0,"Delicious Puerto Rican food at a good cost. Sit down meals come with their house soup which is really good. Alcapurrias have a crunchy outward shell and are rectangular shaped (at first I thought they brought us a strange looking pastel by accident). Nevertheless, the alcapurrias tasted pretty good.  The arroz con gandules here are AMAZING! I love the arroz con gandules that I make and these put me to shame. Mofongo has a soft doughy texture and tastes great with the garlic sauce.  Next time we come I will be sure to try their flan.",0.9801,0.682,0.275,0.043,0.5757936507936509
2017-07-02,5.0,This is my first time and I would come back again. The food is very good. And the service was great.  The my water glass never got empty that's how good the service was.,0.9017,0.706,0.294,0.0,0.4938888888888889
2017-06-17,5.0,"I come ALL THE WAY FROM INDIANAPOLIS for this amazing food! Patty is was a pleasure meeting you and I plan on stopping by next time Im in town. Seriously best PR food, just like how Abuela used to make it!",0.9347,0.63,0.305,0.065,0.39999999999999997
2017-06-17,5.0,One place that remind you back home in Puerto Rico very good food good service food with great flavors had the pastels with white rice and beans Amarillos they also sell Mofongo.,0.8882,0.734,0.266,0.0,0.42600000000000005
2017-06-17,5.0,My family go to spot for my Puertican Rican fix. The owner is super sweet and always welcomes us and remembers our faces. The food is always served hot and is delicious!,0.9273,0.673,0.327,0.0,0.7916666666666667
2017-06-08,5.0,"I absolutely love this place! My friend has his mom cook authentic Puerto Rican food all the time, and he said it's as close to his mom's cooking as he gets. The place is surprisingly spacious and you get seated right away. The staff is absolutely amazing! The owner is so kind and everyone who works there is extremely attentive and helpful. I couldn't choose a dish so the waiter helped me out, and was super nice and familial about it.  On to the food, the soup was great and you get bread to start off your meal. The steak jibarrito I got was huge and a total highlight for me though! There was so much steak inside the plantains and the plantain was thick as well. It came with rice which I couldn't even finish because the sandwich was so filling. The best part was their garlic sauce though. So good. We even asked for some to go. The prices are super reasonable. Definitely coming back here.",0.9949,0.729,0.271,0.0,0.624702380952381
2017-05-30,5.0,"As soon as my Family and I walked in to this place we felt as we were visiting family. They greeted us and explained the menu. We started off with appetizers. I had Papa Rellena (Loaded Potato) and Alcapurria (I don't know the english name for this). Greats stuff ! The food was awesome.  I ordered white rice with tender beef and beans. It tasted the way it was described. My wife had Lecho Asao' (Roasted Pork) with Arroz con Gandules (Peas and Rice) and she was loving it. My kids had the grilled chicken breast with Rice and Beans which also came about with Salad of lettuce, Tomato and Avocado. This place has a homey feeling to it. I felt as if they had invited us over to their home for dinner. This is Authentic Puerto Rican food. Patty was very hospitable. It was our first time in Chicago and she informed us of upcoming events and so forth. I Loved the food as it was very tasteful and good portion. Loved the way we were treated and the price was affordable. Patty was very loving and I didn't get the name of the waitress, but she was very sweet too !  This was one of the Highlights of my first time to Chicago. If I ever go back to Chicago, this is a place where I'll be eating again !",0.9629,0.902,0.098,0.0,0.5601041666666666
2017-05-28,5.0,Came here on Sunday afternoon looking for some authentic PR food. Did not disappoint!!  Food was amazing and authentic. Service was also amazing. The servers were very nice and attentive.  Had to take some food back to Ohio!,0.9304,0.711,0.289,0.0,0.7428571428571429
2017-05-27,5.0,The food was awesome!!! I felt like i was back home in Miami.   The music the food the atmosphere was worth the hour drive.,0.8547,0.67,0.33,0.0,0.3666666666666667
2017-05-26,5.0,"The chicken jibarito with PR rice was great. Cozy, affordable, good quality Puerto Rican food.",0.7906,0.65,0.35,0.0,0.7625000000000001
2017-05-17,5.0,Amazing food ! The serves are great and very friendly . Their bistec is amazing ! And the garlic sauce can't get any better,0.9368,0.468,0.462,0.07,0.74
2017-05-13,5.0,"New go to place for Puerto Rican comfort food. I had the Carne Guisado and my bf had the Bistec Encebellado with a side of their garlic sauce (mojo sauce) .... both were yummy and flavorful. I also had something I used to have as a kid in a Chinese restaurant... pina colada .... mmmmm... Service was good, especially the greeter/waiter who brought over the drinks and food . The lady who took our order was decent.  Environment was homey and inviting. We went there around 12 something in the afternoon and was plenty of parking in front. Only got a little packed after we ordered our food. Also, we were served with a complimentary and yummy /flavorful soup along with some bread & butter... that made me happy . We would definitely come back!",0.9722,0.828,0.172,0.0,0.5655647382920109
2017-04-25,5.0,"We catered our son's 3rd birthday party with food from here this past weekend, and it was amazing! We ordered the Puerto Rican rice (but had it made vegetarian because we don't eat pork), chicken empanadas, chicken quarters, and Maduros. It was affordable and delicious! Our friends and family were super impressed with the food and everyone wanted to know where it was from. We live nearby so we will definitely be going back. The owner Patty was also wonderful to work with and she even helped my husband load the food trays into the car when he picked them up. We definitely recommend this place for catering parties as well as dining in. Thanks again, Patty!",0.9906,0.717,0.283,0.0,0.6011904761904762
2017-04-21,5.0,"I came here with a friend because he's been meaning to try it out for some time now and it was literally the highlight of my day. As soon as I walked in, I already knew that my stomach was going to be happy. We were greeted and sat as soon as we walked in. The atmosphere of the restaurant felt so comfortable - like home. Our waitress (assuming she was the owner) was attentive and took care of us as if we were family.  After we ordered, we were brought out soup. The soup was really tasty. We ordered the Canoa as an appetizer, which is a sweet plantain with ground beef. The plantains were the perfect amount of sweetness for me and it was an amazing way to start off our dining experience. For our meal, we ordered the steak jibarrito and the steak cubano. The steak cubano was decent, but the steak jibarrito was AMAZING. I loved the crunchiness of the plantain and the flavors of the steak combined was just wonderful. The sandwiches came with a side of Puerto Rican rice - also amazing.  My overall experience here was great. I loved the family feel of the restaurant, it made me feel really warm and happy. The food was just the cherry on the top. Everything was amazing and I cannot wait to go back soon! I loved it!",0.9976,0.72,0.28,0.0,0.7174603174603176
2017-04-19,5.0,"Finally had the chance to try the place that supposedly serves ""the best jibarritos in town."" My overall experience was no less than perfect.  Their hours stated they opened at noon so I arrived a quarter after noon. As soon as I walked in I knew I was in for some good food. It was a gloomy Wednesday afternoon and the restaurant was almost full house. We were greeted and seated immediately by an energetic waiter who I assume was the owner of the restaurant.  The food - Delicious. I started off with an order of their Canoa which is sweet plantain filled with beef, great starter. My main order consisted of a steak jibarrito and steak cubano. The jibarrito was definitely the highlight of the meal. Plantain was crispy and steak was full of flavor. The cubano on the other hand was just meh, nothing spectacular. All orders come with puerto rican rice and soup.  The price - Very affordable and big portions. An order of appetizer ranges from $3-$6 and entrees range from $8-$12.  The service - Great service, our server was always attentive and checked up on us just enough. She was also very friendly and seemed to know everyone in the restaurant.  Decor & ambiance - Plenty of seating, pictures and decorations everywhere for visual appeal. The atmosphere was very family like, our waiter seemed to know everyone and lots of regulars were dining in the restaurant.  Overall - Great establishment, great service, delicious food. I will be back again very soon.",0.9951,0.774,0.208,0.018,0.525
2017-04-14,5.0,"While visiting Chicago with the family, my son who studies in Boston said he had puertorican food antojo... this was highly recommended and we were more than pleased! We were treated nice since we got there and started being served a basket of bread and a little cup of chicken soup, delicious.. My son had the pork chops with rice and beans, my husband the pollochon special, my daughter mofongo with fried pork and I had bistec encebollado with rice and beans, ALL were delicious! And to finish our meal we had a flan to die for!!! Highly recommended any time you have puertorrican food antojo in Chicago.",0.9158,0.818,0.149,0.033,0.7601428571428571
2017-04-11,5.0,"The food was delicious and affordable, my order came out relatively quickly, and the staff was really pleasant.  You can't ask for too much more.   I ordered a chicken empanada, a steak empanada, and a steak jibarito with Puerto Rican rice: that was my lunch and dinner and I spent under $20.  I enjoyed both empanadas, with maybe a slight preference for the chicken.  I went with the server's suggestion of the steak jibarito, and she did not steer me wrong.  I ended up eating the jibarito about 4 hours later and loved it.  I think Papa Cache's still has my favorite jibarito, but the overall experience is better here.  Go!!!",0.9408,0.84,0.16,0.0,0.6022222222222223
2017-04-08,5.0,This restaurant has the best Puerto Rican food in Chicagoland!!! The staff is very attentive. You will feel like you are part of the family here. I love the plantains and empanadas. I brought a little bit of everything to the office and my co -workers loved it all !! I had no leftovers to take home. I would recommend this spot to anyone it's one of Chicagos gems.,0.9536,0.737,0.235,0.028,0.64
2017-03-20,5.0,"One of my favorite Puerto Rican food restaurants. Their menu is very simple, but everything on there taste amazing. It's a small place that had a home feel.  The staff are friendly and great.  It's also byob if that's your thing.",0.9593,0.671,0.329,0.0,0.669047619047619
2017-03-20,5.0,"The owner Patty waited on us and treated us like we were friends. Explained some menu options to us. We had  Plantains with the special garlic sauce on the side and it was delicious. Our meals were very good too. Amazing fast service, loved every second. I'll be coming back for sure",0.9763,0.633,0.367,0.0,0.6155908289241623
2017-03-13,3.0,"I only been here a few times, maybe about 4 times and each time I get presented with something new that they are out of. The first time there, they were out of Flan and I still came back because of the food. I have to admit the food is good and the portions are generous, but  all that comes at the risk of being told that they are out of something. This was the case this past weekend when I went with my family and a close friend of ours.  It was his first time experiencing Puerrto Rican food outside of our home and I was embarrassed when we asked for a pork chop dinner and we were told that they were out of pork chops. We settled for something else on the menu since we had our daughter with us and she was hungry. As dinner went on, I would admit that the food was good, but wouldn't you believe it, we asked about dessert and they were all out. It was only 8 PM. How do you run out at 8 PM on a Saturday? Makes no sense to be honest. We finished up and took off to Margie's Candies.  Cocina Boricua is a nice place, but only good when you show up early enough to get what's on the menu. Anything after 8 PM is a crap shoot and you better off asking before your seated as to what they do or do not have left on the menu for the night.",0.9477,0.827,0.117,0.056,0.5160606060606062
2017-03-12,5.0,"Delicious food... definitely recommend it it's authentic PR food, the vegetarian Jibarito was to die for!  The ambiance is pretty chill too :D",0.9104,0.455,0.44,0.104,0.85
2017-03-12,4.0,"Came here around 8pm on a Saturday. I'm Asian but used to date a Puerto Rican with a family back in Puerto Rico that always made us  bomb.com  food. I've never ever seen such an authentic puertorican menu in Chicago, let alone taste such goodness.. oh my yummmmmm. SO GOOD.  Amazing service, loved every second. Just four stars cause they didn't have pasteles, or any of the three desserts left :(  I'll be coming back for those 1000%",0.9446,0.738,0.195,0.067,0.42083333333333334
2017-03-02,5.0,"If you want to be taken care of like you're one of the family, this is the place. Multiple employees were constantly filling waters and checking to make sure that our delicious and totally authentic Puerto Rican food was satisfactory.  ...And it was- beef and chicken empanadas were melty and savory on the inside with a crispy outer shell. Then we got slow roasted pork with rice, both tasted familiar and yet very new. Chips were above average and the guacamole was too. Salsa was hot, just the way it should be. Great food, better service, authentic recipes and ambiance. Will recommend and will return.",0.9719,0.792,0.208,0.0,0.5842087542087543
2017-02-24,5.0,"I've only had the pork jibarito, but it is more than enough of a reason to return. That garlic oil sauce is so good too.",0.7279,0.818,0.182,0.0,0.65
2017-02-22,4.0,Not only is the food good but they literally make you feel right at home. Love this place!,0.8419,0.666,0.334,0.0,0.6839285714285714
2017-02-20,4.0,Went to this restaurant for a bite with buddies.  The food was amazing and the atmosphere was fun.  The service was also amazing!,0.9041,0.629,0.371,0.0,0.6666666666666666
2017-02-09,5.0,Puerto Rican visiting From Miami found the Resturant to be excellent. Had mofongo carne frita and arroz con gandules. Very good and presea as well... Recommend !!!,0.8825,0.7,0.3,0.0,0.8900000000000001
2017-02-08,5.0,"I can't say enough good things about this place. I've been here on several occasions and can always count on great service and even better food. I have had the chicken jibarito which is actually more like two small jibaritos (great for splitting or taking leftovers), the pasteles which are perfectly salted (this is rare), the relleno the papa and the vegetarian jibarito. I recommend them all and am sure that everything on the menu is delicious. Each entree comes with soup and bread with butter which is a HUGE plus and the service is prompt and attentive. There's also a really great familial atmosphere that isn't present in a lot of restaurants. Definitely recommend.",0.9854,0.723,0.259,0.018,0.6549382716049383
2017-01-31,5.0,"I'm not normally a fan of pork but their pork is awesome here. Just had the mofongo (fried, mashed plantains) with pork and rice. Very good!!! Hope they add a few other options with mofongo as well.",0.9598,0.61,0.36,0.03,0.5810000000000001
2017-01-30,5.0,"The lechon pork with some garlic sauce is all you need in this world. Atmosphere was cozy and authentic, and the service was 10/10. Any appetizer you order will set the tone, and they give you complimentary soup. It's the perfect ethnic restaurant that exemplifies what Puerto Rican cuisine is all about. Eat here now, thank me later.",0.8442,0.858,0.142,0.0,0.6
2017-01-22,5.0,"Ohhhh....highly recommended ! Food, service, atmosphere and music ! Everything was delicious. If you are looking for some good Puerto Rican/latin American food +BYOB - you found it, try it !",0.851,0.721,0.279,0.0,0.5333333333333333
2016-12-31,5.0,"The experience was phenomenal and the service was great! Thanks patty!  We will be back again...if you like banana chips (plantain chips) and want to experience a sandwich with plantain chips as the ""bread"" aka jibarito then this is the place for you!",0.8928,0.765,0.235,0.0,0.3625
2016-12-17,5.0,So good! Plus the service was great! The white rice was great as well as the arroz con gandules. The portions are a good size. We've tried several different Puerto Rican restaurants in Chicago and were always disappointed but this by far is the best in the Chicago area.,0.9346,0.68,0.286,0.034,0.535
2016-11-10,5.0,"Holy crap! When I say this place is amazing I really mean it .. I eat a ally of Puerto Rican food living in the Humboldt park area, but man this place was delicious..it beats most places I go to ....I don't know why I haven't come here before !",0.2924,0.896,0.065,0.039,0.721875
2016-11-08,1.0,"Restaurant closes at 9.  Tried to walk in at 8:30 and place a take out order; door was locked and waitstaff would not answer the door.  Called at 8:35 and no one would answer the phone.   Please have the courtesy to tell potential customers ""Sorry,... we are closing soon"" or they may not ever come back.",0.3818,0.881,0.081,0.037,0.6666666666666666
2016-10-24,5.0,This is one of my family's great spot to come and eat not to tell you we live on the Southside near Midway airport .This is a ride but well worth it this is a nice cozy place the waitresses treat you like family  which we love.,0.9746,0.614,0.386,0.0,0.5857142857142856
2016-10-18,5.0,"Good food, family friendly, cozy, no frills environment. free Byob is a plus. Steak Jibaritos were pretty good. The steak and onions were awesome....the hubby ate in silence so he must have liked it...he vocalized his approval later. The garlic sauce is potent... it may linger in your breathe to the next day. There are some menu items that didn't have translations or descriptions or pictures so we had to ask what some of those were.",0.9595,0.74,0.236,0.024,0.5549999999999999
2016-09-17,5.0,"When I knew I was coming to Chicago I knew I had to look for Puerto Rican food (since apparently in the Bay Area, where I'm from, doesn't have any). Found this place on Yelp and based on the reviews, I chose this spot, which we hit up today. This place does not disappoint!! Everyone was so welcoming and genuine; the food was on another level! For my first time having PR food, I was so sad that I haven't had the pleasure of eating it before. All in all, eat here. Amazing food and outstanding customer service.",0.8265,0.797,0.138,0.066,0.6597222222222222
2016-09-16,5.0,"Great family run spot with excellent jibaritos at a great value. The garlic sauce that comes with is something else. The whole staff really made me feel welcomed, which was so nice visiting a new city. Would come again!",0.9666,0.601,0.399,0.0,0.6506493506493506
2016-09-15,5.0,"Friendly staff, great food, good prices, AND island music. Will be coming back very soon! It's also byob. Woooo.",0.8883,0.604,0.396,0.0,0.43
2016-09-01,5.0,"The food is fantastic! I have gone here at least 7 times recently and they have the best jibarito since the first one was invented. The tostones and garlic oil are like grabbing clouds from the sky and eating them, simply bliss",0.9359,0.716,0.284,0.0,0.42341269841269846
2016-08-28,5.0,"Came here with the boyfriend and two friends who had a budget of $35 for their meal. Happy to report not only did we come well under budget but full and happy!! I had the pork mofongo with Puerto Rican rice (yellow rice with veggies). The pork was tender and lightly fried and came with a buttery garlic sauce. The mofongo tasted as good as any in Puerto Rico. The bf had a chicken jibarito (which is a sandwich made from plantain) with a side of rice and a beef empanada. Our friends had half a jibarito and the chuletas. The jibaritos came with a fantastic garlic sauce that set off the already fantasy flavors. Our food came quickly and our waitress was sweet, she even helped give us tips during our Heads Up game! They're BYOB so we made ourselves some rum and cokes to go along with our delicious meal. And for $55 for our group of 4, this family owned spot is the place to be!",0.9883,0.816,0.184,0.0,0.6726190476190477
2016-08-05,5.0,Oh man was I happy to find a piece of my land here in Chicago. I'm new in town and was missing the food and camaraderie of Puerto Ricans. Food was so good that I'm thinking of going back when the rest of the family comes. I tried the carne guisada with arroz con gandules and it was good. A bit spicy but soooo good!!! Not many people can cook that meat to a point of melting in your mouth. Big portion as well.,0.934,0.808,0.174,0.018,0.43383838383838386
2016-07-29,5.0,Amazing friendly service (no really! The NICEST server) a group of seven of us were seated quickly and given a full run down of the menu and suggestions. Every single thing we ordered were amazing and the portions plentiful. We already can't really to get back there and try everything. Run! Don't walk! This place is a gem!!,0.953,0.759,0.241,0.0,0.4253174603174603
2016-07-20,5.0,Had the carne guisada with yellow rice and soup and wow! The carne guisada was tender and flavorful and soup also great. Also got the alcapurrias very highly recommended.,0.8901,0.711,0.289,0.0,0.613
2016-07-09,5.0,"Amazing food,  great service and very generous portions.  The guacamole is the best I've had in the Midwest and the jibaritos are phenomenal",0.9493,0.548,0.452,0.0,0.55
2016-07-09,5.0,"My first experience trying Puerto Rican food & I was blown away!  Super delicious, coming back Here 100%",0.8356,0.64,0.36,0.0,0.5
2016-07-07,4.0,Great puerto rican food. Great mofongo! The owner is very friendly - she was awesome.,0.9523,0.383,0.617,0.0,0.7875
