date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-26,5.0,"Before I start my review let me  state that I am not Persian and had never had Persian food (although plenty of Middle Eastern/Turkish/eta), so my review might be slightly biased.  We came here with a Groupon since my family was in town and I always wanted to try it. It's such a small cute place. The host/hostess are absolutely adorable and they treated my whole family with great respect. Our serves was absolutely delightful.  As for the food, the appetizer was soooo good. The lentil soup and salad were okay..nothing to brag about. The lamb shack and lamb rack were absolutely great. My foreign ass mother who loves complaining about everything only had good things to say about her lamb dish (that's when you know it's a good restaurant). My brother's hispanic girlfriend who is not too familiar with middle eastern food loved her chicken dish (not sure what it was). My little brother who is so picky its annoying -loved his beef kabob. Overall I would totally recommend.",0.9899,0.717,0.233,0.05,0.5992222222222222
2017-08-26,4.0,"I've been here a few times and it's always a lovely experience. I'm not sure what their specials actually are but, what drew me in on my first visit was the 3 course dinner for $14.95. I make sure to ask for this special whenever I come for dinner and they always accommodate. I've liked everything I've had here. The hummus and pita is delicious, so is the simple salad they serve. I usually get some kind of chicken dish--I've had both the chicken with the walnut pomegranate sauce (that's definitely my fav!) but the saffron is always good.  I love that they end the meal with a ""palate cleanser"" of ice cream with honey and cinnamon. And they always give you a rose. It's the little touches here that remind me why I keep coming back. Pro tip: the restaurant is byob!",0.9738,0.766,0.181,0.053,0.5994841269841269
2017-08-16,5.0,"I ended up coming here with a Groupon. It was such a great deal! Came here on a hot summer night, and we sat outside... Great service & we had a bottle of wine with our meal. They have a good selection of wine with great staff. We were also able to meet the owner who was such a nice guy! We ended up staying a little bit past close speaking with him and had a fantastic night that ended with a rose! Thanks again",0.9785,0.725,0.275,0.0,0.6116666666666666
2017-08-15,1.0,"Visiting from Kansas City, I thought I had found an authentic gem in the heart of Lincoln Park. Had I known how horrible the experience was going to be, I would not have wasted my time or money.  I have NEVER, EVER had such HORRIBLE SERVICE in all of my dining experiences! We had a Groupon that I set on the table upon us being seated. The sever noticed it as she was pouring our waters with no greeting or introduction. Several minutes pass, I'm guessing it was the owner, comes to our table to inform us that with the voucher you can only order meals up to $18 and there would be an upcharge for pricier choices. Understandable, I'm good with that. Moving on, I order our wine. I ask for Tom Gore Cabernet Sauvignon. He informs me the wine that comes with the voucher is only Beringer. I purchased the voucher for $49, it stated on  groupon.com  that the voucher was valued at $89 for a 4 course meal for 2 including wine. On the menu, a 4 course meal for 2 is offered at $79, which includes a bottle of wine up to $36 menu price-so I'm naturally thinking the voucher would cover that as it stated it was an $89 value. Tom Gore Cab was $36. But instead, we got a $24 bottle of Beringer. How does that add up to an $89 value? Disappointed in the false advertisement through Groupon. But to top it off, we had NO SERVICE. Our water glasses sat empty for nearly 25 minutes. The server completely neglected us. When our entrees arrived, I immediately asked for boxes, sealed our bottle, tipped like 5% (which I don't feel like the service rendered even that), and left a note on their paper table cloth and before leaving. The food was good, but the treatment from the owner and the lack of attentive service were extremely disappointing to say the least. It was horrible, honestly. If the owner does not want to treat groupon holders as paying customers, he should stop offering the vouchers through the website. Terrible experience!!!",-0.965,0.836,0.059,0.105,0.6208333333333333
2017-08-03,2.0,"I was really excited for this.  I had picked a restaurant for lunch but ended up feeling ill so I didn't get to try it so by dinner time I was STARVING and this place sounded so good. The place is cute and a little romantic First glance at the menu i was like ooooooh this place is a bit pricey.  But with so many good reviews we went with it. We ordered the hummus as an appetizer.  There was a lot of hummus and not many thing to dip IN the hummus.  Instead of bringing us more pita, the rest of hummus went to waste. I ordered the Saffron Vegetables, it came with the Cove Salad, which was nothing special.  mainly lettuce, with a pretty good dressing.  The actual meal was pretty small for the $18 price tag.  There was about 3/4 cup veggies, 1/4 c rice and another 1/4 c of rice/lentil mix.  The food tasted ok - sort of bland, but not good enough to make up for the small portion and high price tag. Unfortunately i would skip this place and look for something else.",0.9738,0.693,0.204,0.103,0.583131868131868
2017-07-26,5.0,Forget the flash. Excellent food. Owner is on hand and in the kitchen. Highly recommended.,0.796,0.502,0.411,0.087,0.77
2017-07-01,5.0,"Came here with the old gal... didn't know what to expect but I wasn't pleasantly surprised!! The food was great, you should go! Go now!",0.5405,0.634,0.206,0.161,0.6166666666666667
2017-06-29,2.0,Food was ok but service was bad.  They  brought out the wrong item to me and then tried to lie to me telling me it was what I ordered.  I had to let him know that I'm from Iran and know what the food I ordered should look like.  Then when they said they would get the right item I said beef and I overheard them saying to being one with lamb in it.  I'll pass on this sort of service.  There are much tastier options in the city for Persian food for far less.,-0.7227,0.862,0.049,0.089,0.5527210884353742
2017-06-24,2.0,Service was not good. We got forgotten about and had to ask the bus boy for assistance. The staff knew nothing about Persian food or the food on the menu. Way over priced. Servers should know about thr food on the menu.,-0.5116,0.903,0.0,0.097,0.6000000000000001
2017-06-09,5.0,I live a block away and just tried Pars Cove- I'm surprised I haven't eaten here before! The food was delicious (I tried the eggplant kashk and chicken kabob w/lentil soup). The service was so great and our waiter was very conscientious that I left a much larger tip than I normally would. The interior is great too!,0.941,0.706,0.25,0.044,0.6299999999999999
