date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-27,2.0,Less then mediocre for the price.  This place used to be much better alas this is my last visit.  I ordered a pound of shrimp and not only was it expensive it seemed to have a lot of breading and they charged me extra for more cocktail sauce.  I went to Lawrence Fisheries recently got a pound of shrimp was much better tasting and extra sauce was not extra charge I mean the price was over 20 for both places but i was satisfied at Lawrence Fisheries,0.6858,0.877,0.089,0.034,0.5047222222222222
2017-07-26,3.0,"I grew up eating this place and it's always hit the spot. It's your old  school fish joint and I remember it being so reasonably priced ! I I step into the place today, and they want 17.99 for one pound of fried shrimp. IT WAS NEVER THAT HIGH!! For a pound of friends shrimp and a pound of fish chips my total was 33 dollars. It's good.. but not 33 dollars good.",-0.4186,0.898,0.058,0.044,0.5483333333333333
2017-07-20,3.0,"The Fish Keg has a creamy coleslaw and macaroni salad that I straight up crave! That being said,  I came in last week for some of both as well as the clam strips and cajun catfish nuggets. The catfish is FABULOUS, nice thick pieces with the perfect amount of breading. The food is a little greasy, but not soggy at all, but I believe that's how good fried seafood is supposed to be.  If I based this review only on the customer service, then they would get 1 star. The last 2 times I've come in the guy behind the counter makes it seem as if you've ruined his day by walking in. No greeting, no smile, no goodbye, nothing. Luckily this was a grab & go experience, and the delicious food made up for the poor customer service.",0.5276,0.713,0.16,0.127,0.6227777777777777
2017-07-04,3.0,"Decent fried food. It's a walk-up (my favorite kind of fried fish stand). Very oily and flavor is decent. The fried scallops are good.  However, Hagen's Fish Market and Calumet Fishery are far better. Hagen's has somehow figured out how to make fried fish that is not oily/greasy. Calumet is oily but just tastes so much fresher and better than Fish Keg does.",0.8294,0.856,0.144,0.0,0.6333333333333333
2017-05-27,2.0,"Great varity of fish, a bit pricy but the quality is top. Been going here for many many years. I noticed recently the shrimp were not so great, small and tasting of preservatives. Disapponting, last few times ordered. Not ordering Shrimp there now. The fish is great though still. I have noticed a few other issues as of late. I really love the fries but the portion for a small fry is rather chincy to say the least.   Also my Fish orderes have been seemingly very light. So the last few times I have been weighing when I get home. It's as  I feared as great as the  place used to be it's started a downward sprial, when start chincing on weight of fish and protion size of something as cheap and money making as french fries you know its going to be over. Both recent fish orders  were well under weight in the bag even!   The 1/2 pd I ordered tonight  was 7 oz. in the bag thats an oz and 1/2 light on 1/2 pd thats 2 or 3 pc of fish!  The full pound I got last month was 14.2 oz in the bag not too happy with.  I still love the food but this is not the way to keep my business. Orderes should be over an oz or two not under. The Shrimp should be  of a higher quality they taste low quality and no matter how much you over bread it you can't hide that.  Going back for a pricy meal to get comfortably full is now more of risk, if I'm spending a 20 OR MORE IT HAD BETTER BE GOOD!  Looking for new fish place :( it used to be 5 star all day.",-0.4355,0.768,0.117,0.115,0.45742424242424234
2017-05-12,4.0,So many wonderful choices I ended up getting the Canadian perch and a half of fried chicken yummy,0.8115,0.655,0.345,0.0,0.6541666666666667
2017-04-22,5.0,This place is great. From the time you walk in and are greeted by the courteous staff until you leave the whole experience is great. Huge variety of fish. I always order cajun catfish. The cajun catfish  is out of this world. Always  perfectly  cooked. The breading is real deal. The cajun seasoning  is perfect. Today i also ordered the walleye (so good). Also got potato salad and that was also great. All in all this is the best fish place I've been to in a really long time. If you want good fried fish this is the place.,0.9883,0.691,0.299,0.01,0.6730769230769229
2017-03-23,1.0,"I know this place is a hole in the wall and I didn't have much expectations, yet I've heard multiple times from friends it's good. It was terrible. I ordered calamari and clam strips. On the way home the car smelled like fried dough, enough to open the windows.  Once I got home and ate it, all it tasted like was dirty oil. They need to change their fryers more often so it doesn't take terrible.",0.2263,0.761,0.131,0.108,0.5666666666666667
2016-12-30,1.0,My mother and I have been going to the fish keg since I was a child and it was always very good. We loved it. We recently went and there has been a huge change. The service was very poor. The counter person made us feel like we we're bothering her when we gave our order. The shrimp we're smaller that they were before and the amount of breading was just unreal. Also another big difference we noticed was the greese was old and gave the food a very bad taste. I definitely feel like that was 80.00 I could have spent on some good food. Please fish keg we love you please get back to the old you.,0.9573,0.715,0.214,0.071,0.47844444444444434
2016-12-14,5.0,The best fish shack on the Northside! It's Door County with a Chicago twist.   Get a pound of shrimp & a half of scallops & be happy. If you bring a friend who is on a tight budget get them the chicken & frys.,0.908,0.743,0.257,0.0,0.5404761904761906
