date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,This was an extremely delicious breakfast joint. Our server Yukari was very gracious and courteous. Would highly recommend Yolk.,0.9354,0.513,0.487,0.0,0.71
2017-09-01,4.0,Cheap food. BYOB. Extremely fast seating. Accommodates big groups. Splitting payments is never an issue. Great location to access other parts of the city...If all this doesn't set the scene for a good brunch...I dont what does.,-0.1012,0.846,0.072,0.082,0.5208333333333334
2017-08-28,5.0,"Excellent service!! The food was awesome. I had been in Chicago for 2 days and friends, locals and tourist kept recommending this place . We decided to check it out and it was awesome well worst it. Thank you",0.944,0.544,0.379,0.077,1.0
2017-08-27,1.0,"Menu has gone through a major down grade! Very limited selection, not appealing.  Looks like a cost cutting move vs, their past. Must better placing in River North",-0.2948,0.71,0.094,0.197,0.4463718820861678
2017-08-26,4.0,"Great place to grab a hearty breakfast at a reasonable price. I got the combo. Two eggs, 2 sausages,2 slices of bacon and 2 pancakes. I was concerned that I would be late for a spa appointment. However my food was prepared quickly. My waitress was attentive even though she was also serving a large table of  CPD officers.",0.7184,0.889,0.111,0.0,0.6297619047619047
2017-08-21,5.0,"Clean and bright, attentive, speedy and friendly service. Food was delicious - we split the cinnamon roll French toast and a California omelet. Plenty of food and a bottomless cup of coffee.  For some reason though, we never got spoons.",0.91,0.725,0.275,0.0,0.65
2017-08-20,5.0,"We came here for brunch and we were not disappointed. After reading through reviews, we knew we had to come here. There wasn't any wait when we got there which was a plus but it was a busy restaurant. We got the corned beef hash with perfectly poached eggs on top. We couldn't decide on pancakes vs French toast so decided on both! The red velvet French toast was amazing with swirls of cream cheese! We also had the nutty money cakes which is a must for any peanut butter lovers! We will definitely be back for more.",0.9776,0.788,0.212,0.0,0.39499999999999996
2017-08-15,5.0,I loved being able to add our names to the waitlist while we were on the way. Once we got there we o key had to wait a few minutes before we were seated. The food was excellent! We had the cinnamon bun for our appetizer- the frosting was so yummy. The bacon waffles were delicious! I enjoyed the salty sweet combo. My boyfriend had the BLTMA sandwhich- the avocado really goes well on the BLT! Server was attentive and friendly. We will definitely be returning on our next trip :),0.9874,0.693,0.307,0.0,0.6410714285714286
2017-08-12,5.0,Awesome food! Not overly expensive. Good service. Can't go wrong.  We came by at 2pm for a late breakfast. Great place for brunch.,0.9318,0.563,0.437,0.0,0.7583333333333333
2017-08-07,5.0,"This is a really awesome place for brunch! You can reserve your spot online, too!  The waiting staff were super friendly and the inside of the restaurant was decorated really cool.  It took me a long time to figure out what I wanted but I ended up getting the protein and eggs combo (bacon, eggs, hashbrowns) and I subbed my side for the cinnamon roll French toast.  This place let's you sub any pancake or French toast for a certain upcharge.  The bacon, eggs and hashbrowns were pretty routine but the cinnamon roll French toast was sooooo good. It tasted just like a cinnamon roll and came with icing on top. No butter or syrup needed!",0.9651,0.78,0.198,0.022,0.49067460317460315
2017-08-02,4.0,"I would say -  nice breakfast place,  nothing super outstanding but the food was good and the service was great. I was only disappointed by their crapy coffee. Yuck! Also, I asked for a bit non dairy milk and the soy milk they had was definitely old, but I asked for a new cup and the next one was better, but still bad coffee can't be fixed by anything.  I would come back because of the service and food but would definitely get coffee elsewhere.",0.89,0.652,0.22,0.127,0.5441919191919192
2017-08-02,5.0,First time at Yolk and loved it. Everyone was friendly and attentive.  Had the most delicious Croque Madame made with Challah French toast. You have to try the strawberry orange juice! Very yummy. Got the seasoned potatoes that were so good alone that I felt a little guilty for putting ketchup on them.,0.9436,0.651,0.278,0.071,0.5569444444444445
2017-07-31,5.0,5. Stars. *****.  Things I love about Yolk: - Seating is awesome and I can have a conversation without someone sitting on top of me - Service is outstanding  - Menu is like.... huge - I've never had a bad meal - Coffee is good and constantly refilled  - Prices are fine and not outrageous I've been here twice when visiting chi down and I'd come back here again for sure. Must-try.,0.9793,0.644,0.356,0.0,0.6271367521367522
2017-07-28,3.0,"The high rating is a mystery to me: food is Ok. Potatoes too salty. Caprese Benny is good but nothing remarkable. Eggs were poached soft but that is expected. My English muffin was slightly burned (black) around the edges. I don't understand why the dish received rave review. Service is good initially but slowed down after food arrived. Restaurant was at most 30 percent full 9am - 9:30 am Friday. Food was served within about 15 minutes. Coffee was very hot. However, it taste a bit too acidic. Only creamers were provided for coffee.  The dining room design is a simple and bright. My table was wobbly making it hard to cut the English muffin without spilling the coffee. Not sure if I would return.",0.7239,0.832,0.106,0.061,0.4883293650793651
2017-07-26,1.0,"Doing our normal Sunday brunch thing, we walked in around 11am and gave the hostess our name and phone number. Her response was it will be 15 min and feel free to wait outside... 30 min went by and we went in to check if our table was ready. We could tell Alendra (sp?) was agitated with us asked, only to find out she never put our phone number in. So we waited outside for 30 min (as she said) for a text, yet that never came. We then went in and got terrible attitude from this Alendra gal ALTHOUGH SHE NEVER TOOK OUR PHONE NUMBER.  This is a spot we USED to go to on a regular basis. Too many options in Chicago to have to deal with this type of service. #newhostessneeded",0.3254,0.882,0.074,0.043,0.514102564102564
2017-07-25,5.0,"Yummy! This place was so busy Sunday morning for brunch. Generally a good sign for a good place to be. They are excellent at keeping things moving and we only waited about 15min for our table. Their food selection is excellent, I literally wanted to try everything on the menu, but I can't eat that much so I settled for the south beach, half a pineapple with house made yogurt, pineapple, granola, nuts, and strawberries. Just what I needed after a weekend of not so healthy eating! Everything was fresh and wonderful, our server did an excellent job, even though he was clearly slammed, and the food did not disappoint. I'm not usually one for trying interstate chain restaurants when I'm in a new city, but I would definitely go here again.",0.9792,0.726,0.229,0.045,0.5909090909090909
2017-07-23,5.0,"We just left Yolk in River North.  The food was amazing, the service was even better.  Greg, our server, was the best!! He was just very nice and personable, and I really appreciated that.  And my mug was always full of coffee",0.9594,0.665,0.335,0.0,0.47857142857142865
2017-07-22,5.0,Must try!!!!We had the California Omelette and Red velvet french toast. They both were really delicious and our server Madison was incredibly awesome. Five star and highly recommended !,0.9126,0.682,0.318,0.0,0.508
2017-07-09,4.0,"I love the Iron Man omelette and the multi-grain pancakes (make sure you ask for them well-done).   Only downsides: noisy, the wait for a table.  Super cute (and attentive) servers!! Ask for Brooke.",0.9229,0.624,0.335,0.041,0.8425925925925926
2017-07-08,2.0,"I used to frequent this place a lot, until they changed the menu and got rid of my favorite Sweet Orange Bread french toast.  Now, IF I come, I never find anything as good as the orange french toast, so I rarely come anymore.  Bring back the orange french toast!!!!",0.877,0.807,0.193,0.0,0.38333333333333336
2017-07-02,4.0,"Excellent location, great family ambience, food was delicious , menu had lots of choices to pick from, but the only issue was a bit pricey especially the drinks coffee and (orange juice 10oz for $3.50 that's a bit much).  But overall world recommend.",0.8591,0.774,0.226,0.0,0.7071428571428572
2017-06-21,4.0,"THE  YOLK'S  ON  YOU !! Seriously, this chain of quirky restaurants are fun and unusual. It's clean, professionally managed, with good quality food.  The menu has quite a few different options. Challah bread is even available. Yum. This time I didn't order my traditional smoked salmon omelette, it is immense. A bacon waffle was perfect and served with flair and perfection. I am pretty sure that whatever I order will be perfect. Count on it. Maybe next time I will get the homemade corn beef hash. MMMMMMM. Chicago, next year I will be back And back at Yolk's!!! L O O K   F O R  A L L  T H E I R  L O C A T I O N S",0.9775,0.743,0.242,0.015,0.5502777777777779
2017-06-17,5.0,My friends and I did the BYOB for brunch this weekend for brunch. The staff is extremely friendly and has great recommendations for dishes. I ordered the caprese eggs Benedict with avocado and a side salad. The eggs were poached perfectly! I will be back here.,0.945,0.714,0.286,0.0,0.5625
2017-06-13,4.0,I'm a huge fan of Yolk! I've been here a couple times because it's super convenient to get to. Very close walk to the trains as well. I came here with my boyfriend for a boozy brunch. I'm from New York where there's a boozy brunch literally everywhere you turn. In Chicago it's a little difficult to find a good one. Yolk doesn't have a corkage fee so we ordered a glass of orange juice and brought our own champagne. I kind of wish there was a Yolk in New York. I ordered their omelettes and trust me they're huuuuge. I usually don't eat a lot for breakfast but my boyfriend who eats a huge breakfast was very full from it. The omelettes also came with some fruit and pancakes. A lot of stuff. I also ordered their French toast which were delicious. Not both in the same day that would be crazy. The people who work there are always nice. I love having breakfast or brunch here. They close at 3 which is kind of sad because I love breakfast food all the time. Can't wait to come back here :),0.9851,0.75,0.205,0.045,0.6569065656565657
2017-06-06,4.0,"High quality, standard breakfast fare. One of my go-to's when I'm in the city.",0.0,1.0,0.0,0.0,0.26999999999999996
2017-05-31,4.0,"Overall a great place that has never disappointed. First off, the only reason they earned a 4 instead of 5 is due to the large inaccuracy in estimated wait time (estimate was 45 minutes and we didn't get in until 1.5 hrs) Otherwise, the food was great and the service was average due to the busy Sunday! To be expected. I would highly recommended this place as my wife and I frequently take getAway trips tot he north area and get our breakfasts here.",0.9207,0.849,0.151,0.0,0.47870748299319726
