date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-30,2.0,This will do the job if you're stumbling in drunk from the bars and you're taste buds aren't at peak performance. I ordered delivery and the turkey sausage had the texture of rubber. Turkey burger was only saved by the Sriracha mayo I had at home.,0.1027,0.89,0.059,0.051,1.0
2017-08-27,5.0,"Fast service, amazing food, large portions, reasonably priced. The tables turned over quickly, so although they were busy, we were sat quickly.  My wife had stuffed French toast with marmalade and I had the egg quesadilla with Pico de gallo and hash browns.  The has browns had the perfect amount of spice.",0.8176,0.867,0.133,0.0,0.5365079365079365
2017-08-13,5.0,"This is my favorite place to grab a cup of coffee, eat some breakfast, and read. I love the family atmosphere and they have a huuuge menu!",0.8172,0.746,0.254,0.0,0.8
2017-08-10,3.0,"I've always walked by this diner, and made a million mental notes to come here for breakfast.  There are always lines out the door, and the restaurant is filled on a given weekend morning.  I finally made it after living in Lakeview for 6 years, and it was just ok.  I wasn't amazed or wowed.  It was just the typical diner food.   I had one of their skillets, the Mexican Jolt.  It sounded delicious with having ground beef, jalepeno, cheese on a bed of hash browns but it was just a normal skillet.  It was also a little dry for my preference.  The skillet itself felt like it was missing something. The diner is cute, and it has a nostalgic feel.  The staff is super nice although the one rule on the weekend was a little annoying.  The weekend rule: your entire party needs to be there to get seated and there's really no good waiting area.  I'll give this place another try, and get some of the other Yelpers favorites to see if it was just a off item on the menu.",0.9676,0.778,0.158,0.064,0.6283333333333333
2017-08-03,4.0,"When we walked in we were greeted right away by Gus, the owner. Once we sat down he told us the story of his diner, which was originally opened by this parents over 50 years ago.  I ordered the avocado and cheddar burger with fries, and a chocolate milkshake. Everything was good, I ordered my burger medium but it could have been more medium.  The one thing negative I would say is that around 9:30 they said they were closed and that if you hadn't gotten food yet you weren't going to get it. And at 9:45 they said it was time to pay because everyone wanted to go home. They technically close at 10pm and while I understand wanting to go home after a long week, it isn't hospitable to customers to kick them out. So I didn't love that interaction, but I will be back to try breakfast soon...and get another milkshake.",-0.8784,0.903,0.022,0.074,0.3886002886002886
2017-07-21,5.0,"I am a native Chicagoan, returned after decades. This is what I remember corner restaurants run by Greeks should be like. The food is great. The prices fair. The menu is big and full of traditional American standards like meatloaf. I had the Mad Texan Egg Skillet. I wish that I could give you a taste. Their chili is a little sweet to me but I am extremely fussy on chili. The people are friendly and treat you like family. I always pay in $2 bills and some businesses frown on this but they just treated it like the currency it is. There is a problem with the location. Ladies, don't let your significant others eat here alone. I am 69 and not in the market but even I noticed. The street was full of attractive females. It looked like they set up for movie or TV scenes. I don't know but it was so. The area around was under road construction but I walk around anyway for exercise. It is full of neat restaurants like a Turkish, a Cuban and one called The Red Pig. There is even a used book store.Space cadets, I will be reporting from that area again. Stella' s draws me like iron filings to a magnet.",0.9845,0.757,0.192,0.051,0.6046875
2017-07-19,5.0,Love this place!  everything you could want in a diner.  the milkshakes are soo good.  I also love the chicken fingers and the egg hudson,0.9168,0.596,0.404,0.0,0.6875
2017-07-13,4.0,"A very quaint diner! Their menu offerings are excellent, with a large selection of all day breakfast items. Their monster mozzarella is my favorite- nothing beats a gooey chunk of cheese! I do wish they had better steak options to accompany their breakfast choices. Maybe it's just my opinion, but a diner should have a classic steak and eggs option. Food was excellent and the wait staff were all checking in on me throughout my experience. I will definitely be back!",0.9487,0.794,0.206,0.0,0.549404761904762
2017-07-06,3.0,"This is a typical diner, nothing more and nothing less. Bright colors on the wall, glass dessert case up front, and plastic booths that make your legs stick in the hot summer months.  The food was decent. I split a BLT with a friend and enjoyed it despite two things: it took over 25 minutes to receive the single sandwich, and it was smothered in mayo despite ordering it without. The breakfast at other tables looked delicious, but it's hard to mess up some eggs and toast. Side note: There is a wall menu of lots of milkshake flavors that I'd like to come back and try.  The staff was friendly with the exception of the rude (owner?) woman in charge of the front desk where you pay on your way out. I definitely got the vibe that if you're a regular then you'll be treated like royalty while the rest of us are a mere annoyance.",0.7583,0.783,0.122,0.095,0.4759004884004884
2017-07-05,3.0,"Don't believe the hype. I've been here multiple times and the food is always subpar. The experience is nice, as it has a very retro/old school diner aesthetic, but the food is flavorless. I mean you have to drown this stuff in syrup, salt & pepper, and hot sauce to get any inkling of flavor out of these dishes! I wanted to like this place so badly as it's right by my apartment and the aesthetic ticks all the boxes for an american diner, but the food is just not worth the money. It's a little bit pricey too. Food: 2.5 - no flavor, poor value Service: 4 - usually pretty good but sometime its awful decor: 5 - lovely aesthetic Go to Nookie's instead. They do this magical thing where they add flavor to the food. Overall it's about a 3 star experience for me dawg.",-0.4901,0.73,0.128,0.141,0.5577008928571429
2017-07-03,4.0,"I ate here about 6 years ago (when I lived nearby)... and have been meaning to come back since I loved the pesto pasta dish I had.  But for some reason I only ever passed by very late at night after they had closed.  Today, however, I was in the area to see a flick at Landmark Cinema and made a point to accomplish my goal before the 7-year itch set in. The handsome, lanky, long-haired waiter was delightful... as was the gorgeous gal who whipped-up my cherry malted (and cleared my used dishes).  I was craving a bacon cheeseburger (with a fried egg on it) and it certainly hit the spot. All-in-all, it was a nearly perfect visit and I do hope to return again someday.",0.9738,0.802,0.198,0.0,0.7151428571428571
2017-06-26,3.0,"We stopped in to split a strawberry milkshake and it was very tasty, the decor was nice, and our server was attentive and polite.  The shake was thick, creamy, and blended well and we were given two straws and two strawberries.  There were no actual strawberries in the shake, so we were a little disappointed in the strawberry flavoring, but overall we had a nice time.",0.3604,0.788,0.102,0.11,0.5583333333333333
2017-06-20,5.0,"Okay, I just want to BLAB Stella's Love everywhere but, that's not helpful, so: this place is my second home. Coming from a small town originally, I am someone that values a small business feel/approach which if the comfyness you get here.   And if you don't get the same servers/bus boys, they know the ones you know.  I love diner food in general but you may think me biased but, let me suggest (as I always appreciate in reviews) the pesto turkey sandwich, that's my go-to (they grilled the sliced turkey, on grill, YUM).  My previous go-to: the muenster broccoli omelette, get it, so much cheese... Also delish: greek salad, they don't describe it which is annoying, because ti's YUM, but they are all greek and 'how DARE you not know!?"" ask, it's YUM. I also like the egg salad on croissant, also the reuben... Oh my, the CHICKEN NOODLE SOUP... I beg for friends to pick up when I'm under the weather...  oh oh, I'm not a sweet tooth! but they have MAD desserts and malts and ice cream, so come get those too.... Gus.  He'll harass you. Maria. She be lovely.  I love these people.  But I don't JUST love to eat here to see them.  But, please, GO TO STELLA'S. Meow  I'm a dog walker.  girlmeetsdog.com",0.9769,0.736,0.178,0.086,0.4845833333333333
2017-06-07,5.0,The owner is probably the nicest person I have met in a long time. The food was amazing. This place is probably our new go to restaurant whenever we are in the city. Highly recommended.,0.8439,0.767,0.233,0.0,0.5736363636363636
2017-06-06,5.0,"Good quality diner food. Hefty portions. They're not going to blow you away with flavors, but they're going to deliver on what they promise in the menu.",0.5994,0.836,0.164,0.0,0.6000000000000001
2017-05-31,5.0,"First time here yesterday! The food and staff were f*cking awesome. It's a pretty chill spot for a diner and BYOB, too. The owner is a cool, easy going dude and his daughter, one of the waitresses, was fast, hilarious and made really good suggestions from the menu. They make their own ranch and it makes Hidden Valley ranch look like a total jackass. They also make this garlic sauce which is the owner's recipe - it's godly. When you're there, you almost forget that you're in the yuppy, hyped Lakeview neighborhood and more so like you're in your hometown Greek diner. Grab some beer, drag your friends from Netflixing on their mom's couch, and head here for a night of living in the moment.",0.966,0.764,0.191,0.045,0.6380555555555554
2017-05-28,5.0,French toast so good the scamper eggs perfect and my eggs Benedict with the hash bowls very good. I like my hash brown crunchy so it's was very yummy,0.9562,0.566,0.434,0.0,0.536
2017-05-22,5.0,Ordered carry-out online. Order was ready when promised and food was hot. Generous portions and everything tasted great! Will definitely be back!,0.9401,0.52,0.48,0.0,0.525
2017-05-13,5.0,"Great local diner.  Breakfast has a nice ""home cooked"" feel to it.  Shakes are da bomb.",0.5719,0.543,0.312,0.145,0.5833333333333334
2017-05-05,5.0,"This is definitely my new favorite breakfast spot near work. I got my food to go and only waited about 10 minutes. I ordered the special with eggs, bacon and pancakes and everything was so good! The pancakes were large and very fluffy and the eggs were perfect! Coffee was excellent too! Can't wait to eat here again!",0.967,0.707,0.293,0.0,0.6974545454545454
2017-05-04,5.0,"Yum! Well priced, great service, and delicious! We are from Texas and they had an awesome Texas dish and made an egg white omelette without complaint. Yum yum yum.",0.9475,0.593,0.407,0.0,0.5900000000000001
