date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,"Pretty legit deep dish pizza.  They do have slices of deep dish you can buy.  We wanted our own toppings though.  We got pepperoni, bacon, and jalapenos.  The jalapenos were fresh and spicy.   The pizza was fantastic.  The cheese was so good.  We're definitely coming back here.",0.9414,0.727,0.273,0.0,0.588888888888889
2017-08-31,5.0,"Great pizza, daily specials & nice service as well. Some of my favorites are the stuffed pizza slice with mushrooms & spinach. My Hubby & I also love their food specials such as the ravioli meal, meat or cheese. A salad, soup & french bread comes with this meal. Love the meatball sandwich as well. We are going to eat here for years & anytime we are in the area we stop by. We used to live closer but are not that far away. I do love the sauce on the pizza & the ravioli. At some places the sauce is kind of boring. Their sauce has a fresh tomato taste to it. Thanks for doing a good job to everyone at The Art Of Pizza.",0.9753,0.739,0.225,0.036,0.5833333333333334
2017-08-18,1.0,"Ordered a pizza from here for the first time & the person that delivered the pizza was rude & disrespectful. Called them & informed the manager of what happened & their response was ""it's not our driver"" at the end of the day whoever it is they're delivering your pizza with your name on the box.  Manager didn't even apologize & deflected the blame!",-0.7174,0.887,0.0,0.113,0.4666666666666667
2017-08-18,5.0,Where else can you get deep dish by the slice at 11pm? They have a large variety of slices available and I've yet to try them all! Definitely my favorite pizza spot in Lakeview. The crust is top-notch!,0.7418,0.848,0.152,0.0,0.6457142857142857
2017-08-17,5.0,"Hands down the best, most perfect food in all of Chicago. The slightly creamy cheese, rich sauce, and dense bread makes for a divine pie. It is well worth the wait every time. Stuffed Pizza at The Art of Pizza is better than any other food anywhere.",0.9684,0.639,0.361,0.0,0.442283950617284
2017-08-11,5.0,"When I come back to Chicago, this is where I go for my pizza fix.  Stop by, pick up a few slices and enjoy. Stuffed Special is my fave.",0.765,0.667,0.267,0.067,0.2928571428571428
2017-07-29,4.0,Their thin crust pizza is really good. Their deep dish is good as well but I prefer thin crust. The french fries are wack tho so I had to take off 1 star.,0.578,0.825,0.175,0.0,0.55
2017-07-22,5.0,"Best deep dish in chicago. Good price, by the slice. Also great thin crust. The fact that this place is 4 stars proves the fact that ratings websites don't do justice to the quality of food because this is top of the line traditional deep dish.",0.8813,0.717,0.233,0.05,0.5055555555555556
2017-07-18,3.0,Through our exploring of Chicago we came across this place. And based on the reviews we had to try it. Its deff not downtown or near the attractions. When ubering it might be much from downtown with traffic. Food: We got the spinach which was good 7/10. And the sausage and pepperoni which was also good 7/10. The crust was nice and crunchy. Unfortunately the night before we'd had Lou malnattis so this one fell short for my taste.  Service: Place wasnt full so we got a table and our food very fast. They wete very polite and recommended they're favorites. Overall I would recommend but if back in town i am not sure i would go out of my way to get it.,0.6945,0.867,0.101,0.032,0.5091452991452992
2017-07-11,5.0,"The stuffed crust deep dish pizza here is truly to die for. We ordered slices of the ""special"", which had green peppers and sausage, and I also tried the green pepper, onion, and mushroom. The toppings were good but the real stars of the show were the sauce and the crust. The sauce was a bit spicy, not too sweet, and a great complement to the (delicious) cheese. The crust was simply amazing: buttery and flaky and full of flavor. The slices were huge, and although I was quite hungry I only managed a piece and a half. Prices are very reasonable, around 4$ per slice (and honestly, 1-2 slices are definitely enough for a meal). I will absolutely be coming back. This place far outstrips Lou Malnoti's or other competitors.",0.9665,0.785,0.175,0.039,0.6115759637188208
2017-07-03,5.0,Finally found a place that gives me just a slice of deep dish that is affordable and good.,0.4404,0.838,0.162,0.0,0.6666666666666666
2017-07-03,4.0,"Really good pizza, that should pretty much sum it up. I met up with my acting buddy Ed for lunch and conversation at The Art of Pizza, and it was one of the best dining choices I made last week. Deep dish sausage pizza was my pick for the day and it didn't disappoint. It's good pizza, plain and simple. Now my friend Ed said I should checkout the various Daily Specials (for lunch or dinner) that The Art of Pizza offered, and they all seemed very interesting. I'm gonna need to come back and try the Chicken Parmigiana with Spaghetti on a Wednesday, or the Cheese Tortellini on a Saturday. If you're wandering around Ashland (between Belmont & Diversey ) drop in and grab a slice. They do thin crust & deep dish, too.",0.9645,0.829,0.156,0.015,0.4253501400560225
2017-06-21,5.0,Best pizza in Lakeview hands down and probably all of Chicago!!,0.6988,0.676,0.324,0.0,0.29444444444444445
2017-06-17,5.0,"Review #1000 is a 5 star rating! The service folks were very nice and helpful with menu suggestions. They brought waters and food right to your table. I ordered spinach, mushroom, and onion deep dish and it was very tasty. It was tastier than Lou's deep dish. I liked the variety in topping options. Pricing is very reasonable.",0.85,0.846,0.154,0.0,0.6022448979591836
2017-06-08,5.0,My favorite deep dish of all time. Gotta try it. Should be ranked within the top 5 of Chicago. Best place about this place is possibly that they have deep dish slices available as counter service. They also have a large selection of other entrees and appetizers. Very Chicagoan. Been coming here for over 15 years. Will always return.,0.8402,0.857,0.143,0.0,0.5103571428571427
2017-06-06,5.0,"TAOP is the place to go for deep dish! Piping hot pizza by the slice, no wait. As a meat lover my personal favorite is ""Art's Meaty Delight"", packed with sausage, beef and bacon. Also, if you like BBQ, you HAVE to get the ribs. Delicious and huge portions - I can barely finish the full rack of ribs, steak fries and salad.",0.9245,0.752,0.217,0.031,0.6375
2017-06-04,5.0,"Thin crust or deep dish, this is some of the best pizza in all of Chicago, if not the best. I've only ever had delivery from these guys, and their delivery staff is consistently excellent, consistently getting you your pizza not long after you place your order, and they're super friendly to boot. The quality of the pizza is, and this cannot be understated, top notch. This is in the conversation for both best deep dish and best thin crust because of the sauce. The crust on the thin crust as well is perfect -- hefty enough to hold up against the toppings, not too doughy. My personal go-to is the Art's Meaty Delight, which has five different kinds of meat on it. Fat kid's delight. If you're visiting Chicago, this is the place to order from.",0.9916,0.745,0.246,0.009,0.5633333333333334
2017-06-02,5.0,One of the best pizza joints in the city.  The secret (don't tell too many people!) is their Sunday spaghetti and meatballs special!  Best value in the city.,0.9335,0.63,0.37,0.0,0.4742857142857142
2017-05-29,5.0,"Lived right by here for 4 years and would frequent. Review is of pizza 4 years ago, the fact that they have these many amazing reviews till this days says enough. Go try it for yourself. Great flavors",0.836,0.811,0.189,0.0,0.580952380952381
2017-05-25,3.0,First visit. High expectations based on all the reviews. Disappointing. Average thin crust. I'm a big sauce fan. TAP is very light on tomato sauce. Heavy cheese. D'Agostino's by far the best when it comes to thin crust.,0.5106,0.778,0.149,0.073,0.5893939393939394
2017-05-24,5.0,This is not only great pizza but the whole menu is amazing. I work close by and don't like spending a lot of money so the fact i can get a meal for two pretty much on their daily specials always keeps me coming back. Keep up the good work and great food!!!! Love your girls from Lincoln Dental Care,0.9605,0.586,0.301,0.113,0.5636363636363636
2017-05-19,5.0,"THANK YOU ART OF PIZZA. Before you, I had lost my faith in the holy mecca that is deep dish pizza. Every single place had been a disappointment and the deep dish I imagined in my mind was nowhere to be found. But good fortune favors the persistent - I stumbled upon you (ie: bookmarked you on Yelp). First, I love that you can buy deep dish by the slice. For $4, you have the option of going with just 1 other person and not have to argue over which toppings you want (you can even bring that vegetarian friend!). The options are pretty solid: meat lovers, sausage, pepperoni, cheese, mushroom + sausage, mushroom + veggies. The slices are kept warm so no wait required, unlike when you order it by the pie and have to wait 40 minutes for it to cook. Second, the pizza is actually really good. The cross section shows a beautiful layer of ingredients in their perfect proportions. I got pepperoni and meat lover's. I preferred the pepperoni because I realized that the bacon + sausage in meat lover's was just too heavy for me to enjoy in deep dish. The tomato sauce on top was just amazeballs. Towards the end of the 2 slices, despite my overwhelming fullness, I found myself still scraping up the leftover sauce on the plate with each and every bite. I liked the crust here much better than other deep dish joints as well. It's not too thick that it's overpowering the main attractions, while at the same not too thin that the sauce and cheese on top can't hold together.  Seriously - my only complaint (surprise surprise) is that the slices could be served a tad bit hotter. I get that they want to keep it warm so that it's ready to eat ASAP, but by the time I finish my 2 slices, the cheese was starting to get cold and that's no bueno.  I really appreciate what they've done here. Differentiating themselves from the typical Chicago deep dish joint through its fast food vibe, they're really catering to a loyal and local crowd. As long as they keep up the quality ingredients, respectable ratio of crust to sauce/topping, and no-nonsense approach, I will be back!",0.9865,0.824,0.148,0.029,0.4747720364741641
2017-05-13,5.0,"Best deep dish,  Italian beefs,  service,  fast carry out! Also,  pizza by the slice!",0.6988,0.731,0.269,0.0,0.32499999999999996
2017-05-12,3.0,I have not tried other pizza places in Chicago so I have no comparison. We enjoyed the pizza by the slice. The service was fast even though they seem to run a bustling take out business.  No complaints. Pizza was delicious and decent place to sit and eat. Would recommend if you are in the area.,0.4804,0.736,0.149,0.116,0.6683333333333332
2017-04-30,4.0,I love the food here good variety and prices are great.  Never had a bad experience here but wish they would add melted cheese to their menu. Would make it perfect,0.9253,0.562,0.383,0.055,0.7233333333333334
2017-04-29,2.0,"We tried both thin crust and deep dish, and neither compared to our go-to options, Coalfire and Lou Malnati's, respectively.",0.34,0.888,0.112,0.0,0.45
2017-04-26,4.0,"Deep dish pizza by the slice!! Yes that's right - no more waiting an hour for a table and then an additional 45 minutes for your pizza to come to you. My boyfriend and I went here and got 2 slices of the Art's Meaty Delight deep dish ($3.95 each) and a piece of french bread ($1.75). Since it was a Tuesday, their special was a meatball sub for only $3.99!! I was so excited because I love a good meatball sub. I asked the cashier what I should get, a meatball sub or a slice of deep dish. He replied in his naturally monotone voice ""well, we're known for our pizza so..."" haha I love it. So honest. All in all, the pizza wasn't piping hot - or even hot. It was just warm.. I would have loved to take it home and pop that sucker in my toaster oven (that I just bought from FB marketplace for only $10! I'm sorry, I'm so excited, what a steal that was) to make it more hot and have a crispier crust. For only $3.95, the quality of meat and sauce was definitely there though. Only complaint was that it wasn't hot but just barely warm. The garlic bread consisted of butter and garlic powder. Not too much of a fan since I prefer real garlic but the boyfriend had no complaints. Would definitely come back here for a slice to-go! So inexpensive!",0.9634,0.798,0.145,0.056,0.603061224489796
2017-04-19,3.0,"Stopped after word from family members in the area that this is ""the best deep dish in Chicago"". Ordered a 12"" Art's Special. We were hopeful that after an extra 20 minutes of waiting, the pizza would be worth it. It wasn't. Lacking flavor and short on toppings we were disappointed. In the end regretting not stopping at the Lou's on Lincoln we passed on the way. Don't come expecting anything more than just another Chicago deep dish.",0.7044,0.765,0.15,0.085,0.38015873015873014
2017-04-04,5.0,"I used to work in the area and that's how I found out about this place... fast forward 5 years later and I still stop by whenever I'm in the area. Hands down the best stuff pizza in Chicago, better than giordanos.",0.7096,0.79,0.16,0.05,0.3377777777777778
