date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,4.0,"We waited about 20-30 minutes to get in on a Saturday night around 10 PM. It's a very low key place, not too loud which is nice. My sister and I sat at the bar and received excellent service and recommendations from the bar tender. The music they played was decent, mostly Pink Floyd covers. If you are looking for a place to grab a boujee cocktail and don't want to scream talk to the person next to you, this place is a good idea.",0.8871,0.803,0.157,0.04,0.6396296296296298
2017-08-26,5.0,"Overview: The Violet Hour is now on my shortlist of best cocktail lounges in the US It's hidden so I suggest looking at photos of the entrance before leaving Also, read the house rules before going as well  HH: Monday - Thursday 6-8p I wish the LA cocktail scene would step up their game and learned a thing or two from The Violent Hour because I feel it's one of the best places in The Windy City. When I visit, I stay at The Robey which is within walking distance - bonus! Cocktails = 5 Atmosphere = 5 Service = 5 Plus, it's across the street from Big Star for late night tacos.",0.92,0.817,0.149,0.034,0.4333333333333333
2017-08-19,5.0,"Romantic place! Love coming here. The atmosphere is nice and laid back, not distracting. The wait depends on how many in your party but if it's two you get in pretty fast! All the drinks were good and the bartender was attentive.",0.9467,0.656,0.344,0.0,0.6333333333333334
2017-08-18,5.0,"This place definitely exceeded my expectations. The drinks and the service was amazing and I absolutely LOVE  the decor and atmosphere, me and my date tried the empanadas and the spinach dip. The empanadas were good spinach would've been better warm. But overall loved this place cant wait to go back.",0.973,0.648,0.352,0.0,0.5
2017-08-18,5.0,"I REALLY liked this place. It was not at all what I expected on the inside. It had this (work with me here) FIFTY SHADES vibe kinda. I don't know why I feel that way, but I do, so deal.  The drinks were delicious. I did order one that was supposed to be in the Manhattan family (will update review when I remember the name), but I didn't like it, not unlike Manhattans. Those are usually pretty decent. I then went on to order an Old Fashioned (or two), and it was delicious! I'll be back here for a good drink soon.  My favorite part of the night was, well, my friend, of course - she's awesome! - but the bartender, too, was kinda remarkable. Kind. Fast. Mysterious. Talented. Sense of humor.  Check this place out! It's especially fun going with someone who hasn't gone before. I love hearing everyone's reactions to the place and its drinks/staff.  Pricey. Don't go out if you can't afford to take a cab. Good, stiff, pricey drinks. Drive safe, everyone!",0.9964,0.661,0.306,0.033,0.6865079365079365
2017-08-14,2.0,"I cannot mention enough how rude, disrespectful, & entitled the doorman was! He yelled at us like we are a bunch of high school kids on detention. We are grown, professional adults celebrating a close friend's birthday. They left half our group waiting outside for an hour and naturally, as they finally came in, they said hi to us esp the CELEBRANT and immediately, was warded off and the doorman talked over us to not speak between tables. The drinks were extensive and i'm sure were great had we been able to enjoy it. As for the place, i believe they were going for a speakeasy vibe and I truly get that, but had it not been for the rude doorman, our group also would have appreciated it more.",0.8356,0.808,0.136,0.056,0.4502287581699346
2017-08-13,5.0,Great atmosphere. Bartender was awesome and made amazing whiskey sours upon request. Ask for Abraham and he will take care of you. Favorite bar in chicago so far.,0.9595,0.558,0.442,0.0,0.93
2017-08-13,4.0,Speakeasy bar awesome for pre-dinner or post-dinner drinks. Cozy rooms divided by velvet curtains. Of course there is a line especially for groups bigger than 4 people. Great lounge-y vibe for catching up or just chilling with your gang after a long day's toil.,0.8442,0.803,0.173,0.023,0.7750000000000001
2017-08-11,5.0,Barlenders and waiters were super friendly and the drinks were superb and even aromatic,0.9042,0.495,0.505,0.0,0.7222222222222222
2017-08-08,4.0,"This bar has great tasting cocktails and an overall chill atmosphere granted I did come on a Tuesday. Only downside is it might take awhile to get in... you have to wait behind closed curtains but other than that, this speak easy is pretty hip and would recommend checking it out if you are in the area!",0.9354,0.74,0.238,0.023,0.5947916666666667
2017-08-07,3.0,"Great cocktails and atmosphere. Trendy speakeasy in a cool neighborhood with a semi-hidden entrance. One star off for service. It was kind of a hassle getting in (had to wait behind curtains for the host to approve seating--very hipster), and we had to wave over our waitress any time we wanted drinks.  If you can get over the hoity-toity hipster vibe, and you are looking for delicious cocktails, then def give this placed a try.",0.8779,0.871,0.129,0.0,0.8166666666666665
2017-07-31,4.0,"We went on a Friday night, and had to wait about 20 minutes to get in. It was busy inside,so it was understandable (not like other places that make you wait, and you enter the place and it's empty).  The inside is very nice, subdued and dark. Seats are very comfortable and service was great for the most part.  My only complaint would be to turn the music down a little bit as it's a place to have drinks and conversation, and if there's no dancing, why is the music so loud? Will definitely come back!",0.9208,0.804,0.155,0.041,0.5409259259259258
2017-07-31,5.0,"My favorite cocktail bar. I love pretty much all of their drinks. I usually just stick to the old fashioned and my fiancée gets the Romeo and Juliet. All of their drinks are excellent and there's something very classy and intricate about them. The ambience and atmosphere are great as well. They can accommodate large groups but everyone has to be present. They have lines starting out the door so I would avoid rush hour (weekends, dinner time, etc). I usually go on weekdays before 6 pm. For parking, find street parking in the neighborhoods. There are plenty.  Totally worth the drive into the city!",0.9108,0.797,0.175,0.028,0.49132653061224485
2017-07-30,2.0,"Definitely not worth the wait, pretty much everyone behind us in line got in before us since we had 6 people. When we got inside, our table was for 4 people with two spots open on the end.  Not sure why all the 4-5 people groups behind us passed us.  The wait was over an hour. When you get inside, it is just a normal, quiet lounge, nothing special. Drinks were pretty good, but definitely not worth waiting any more than 5 min to get in.",0.8041,0.801,0.145,0.054,0.5602607709750567
2017-07-28,5.0,"Highly  recommend this place interesting,  unique,  pricy but worth  to experience.  Perfect place for couples, dates etc...",0.8792,0.538,0.462,0.0,0.628
2017-07-27,4.0,"Violet hour, so sly that you might have past it by. That totally should be their motto! I am so clever! I love the je ne sais quoi look of Violet Hour. They aren't trying to hard to be hidden but just enough to have piqued my interest. Wicker park is filled wit a variety of bars but this one really takes the cake for me. As you enter, please make sure you are dressed properly. You dont have to go there ultra fancy but dont go there decked out in sports gear and a baseball cap, just dont. As you walk in to this dimly lit place, they have set the ambiance for a perfect date night or just a casual cocktail with friends. They serve light bites that look delicious and serve very high end craft cocktails. They are very comfy highend high backed chairs, you almost feel like you are in a meeting for world domination. These craft drinks are very carefully thought out and crafted. Perfect for pre and post dinner drinks. I wouldn't say that this is a place for to get scummy with your college buds but I would say that this is a business crowd and very chill. I like how the layout is open but yet still intimate and personal. I really enjoy the chill atmosphere rather than music blaring in your ears whilst trying to have a conversation, nothing gets lost in translation here.  Cocktails are $10+ but worth every penny. Street parking plentiful.",0.995,0.787,0.208,0.005,0.58540329218107
2017-07-26,1.0,"Rude rude rude!!! The door man at the ""secret door"" to the manager that was just obnoxious! We waited in line outside for nothing! This place is a joke!",-0.8994,0.599,0.057,0.343,0.51
2017-07-26,1.0,"Cocky doorman, he made it clear he worked the door for the last 10 years -- hopefully they have him a watch overrated - never again!   Warning: do not go here for anything special like a first date, celebration, etc - total disappointment",0.7922,0.645,0.258,0.097,0.48639455782312924
2017-07-24,5.0,"Violet Hour never disappoints. If you are into speciality cocktails and a sexy ambiance this is the place for you. This is definitely a place you want to bring a date to. I've been here on a date and recently I went with some girlfriends. Its a nice place to actually sit and have a conversation while enjoying the great music they have in the background. They have small plates of food to enjoy with the cocktails, but don't come here for dinner, definitely come here for the cocktails. If you've never been, I suggest going on their website to browse the cocktail menu so you can have an idea. There's definitely a sexy vibe here with low lighting and great music in the background. A must go if you're in Chicago.",0.9803,0.754,0.228,0.018,0.5884615384615385
2017-07-23,5.0,"My favorite bar in Chicago! Great cocktails, the Juliet and Romeo and is my favorite one. The atmosphere is very interesting and unique, almost reminds me of Alice in Wonderland",0.9244,0.66,0.34,0.0,0.8800000000000001
2017-07-19,5.0,"Went on a slow Monday-night and was able to get right in. The atmosphere is luxurious and warm-- the entire bar is bathed in candlelight. If you go to bars for the vibe, you can't miss this one. Wouldn't recommend for groups larger than 4 and definitely don't go if you just want a cheaper  gin-tonic, vodka-soda, jack-coke. There is a limited selection of food. Got two rounds of drinks off the menu (all $13/per) and they were incredible. Balanced, simple, with hand-carved ice cubes for big rock drinks and fresh mint sprigs. Service was amazing. Multiple servers checking on tables, discreetly refilling water bottles. I'm just a sucker for it all. Will definitely be back.",0.7035,0.825,0.115,0.06,0.4678571428571428
2017-07-17,5.0,"My favorite place for drinks and appetizers! Great staff, fabulous ambiance, and great music!",0.9449,0.397,0.603,0.0,0.875
2017-07-15,1.0,"Careful, my friend got his iPhone stolen when the waitress was taking the glasses of the table, and the staff was really rude when we asked for help",0.0018,0.622,0.203,0.176,0.8
2017-07-15,4.0,"Some good mixology going on behind the bar here.  Get the one with the mezcal! ;) Both of the drinks I ordered had really nice presentation, I wish I had taken pictures of the big dramatic lemon twists!   Their drink menu was creative and had a lot of unique and innovative drinks.  I wanted to try them all! Nothing major that I didn't like about this place however, I did feel like the ""speak easy"" concept wasn't executed as well as it is at places like PDT and Back Room are in NYC, I wonder if they could build out a basement or back door here to add some intrigue? It would be nice to see more local liquors on the menu too and helpful to list out a mini-glossary on the back of the menu or something of all the different ingredients so you could avoid having to ask your server or bartender about the details of what's in the drinks and what their flavor profile is when they are busy.   The Malin + Goetz hand soaps in the bathroom were a nice touch too if you care about stuff like that. The music was a little boring but not bad. Overall, I would go back and like to try something from their food menu because it looked tasty.  Good place to catch up with a friend.",0.9711,0.792,0.151,0.056,0.5576923076923077
2017-07-13,4.0,"This place was pretty cool! My friend and I came here because Big Star's wait was long (as usual). We only had to wait in line for 10 minutes before we were seated inside. The atmosphere of this place alone gives it 3 stars. The speakeasy feel with the high back chairs and dark lighting makes this place more intimate than a typical bar. The drink I had, though really good, was unmemorable. It was cool to check out there! Don't go with a big group of people!",0.9196,0.819,0.16,0.021,0.48599999999999993
2017-07-13,5.0,"Worth the wait. If you can put aside your idea of what a bar/service experience should be, go here. Open your mind, follow a few simple rules, and let the violet hour be your mistress for the time being. Order some absinthe. Sink into the seat. Be tempted.",0.2263,0.959,0.041,0.0,0.2642857142857143
2017-07-12,5.0,"I love going to the violet hour. Exellent drinks, great atmosphere and very comfortable chairs. I can not wait to go back.",0.9168,0.588,0.412,0.0,0.5875
