date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-01,5.0,"The seafood here is, simply put, world class. We had the oysters, grilled calamri, and crab fingers for apps, and the fresh golden king crab as entree. Everything was wonderful.",0.7184,0.824,0.176,0.0,0.5892857142857143
2017-08-30,5.0,"I have been to Chicago 3 times now & every single time I make it a point to stop in here. This place is great! Drinks are on point & sushi is so fresh & delicious. This is an old school restaurant with friendly wait staff, decked out in uniforms, & traditional menu items. In my opinion it is an awesome idea to have added the sushi menu. They are a seafood restaurant, so have the fresh ingredients anyway, mixing traditional with trendy is sure to please any patron.",0.9752,0.714,0.264,0.022,0.6627645502645504
2017-08-30,5.0,The lobster and fillet is more than amazing. Very good place for a decent dinner.,0.8059,0.623,0.377,0.0,0.7116666666666667
2017-08-20,4.0,"Shaw's is a great seafood spot - the vibe is classic and fun, with a steakhouse ambiance. The front is more laid back with a bar and casual dining, and the formal dining room is large and situated right behind the bar. In simple terms, it's an upscale yet lively restaurant in which an order of oysters, crab, and lobster cannot be wrong. We went with our good friends at their behest and ordered appetizers - oysters Rockefeller and Maryland style crab cakes. Both were great choices and just right as to not spoil an appetite. I ordered the King Crab which is their specialty, and split it because I wasn't too hungry. The butter was delicious with the crab and easy to carve out from the shell. Additionally we all shared 2 sides, the creamed spinach and potatoes au gratin (both were highly recommended). Finally, we all decided to share the key lime pie which my wife stated was the best she has ever had.  Overall, a great weekend option and a fun spot to spend a dinner with friends, especially when craving seafood.",0.994,0.751,0.249,0.0,0.5765523809523809
2017-08-19,4.0,"It was my daughter's birthday.   Shaw's wasn't our first choice.  She wanted to celebrate it at a buffet.   Yelp took us to a place on the Lakeshore, on the south side of Chicago.  I called, no one answered.  We drove there, and no one helped us.  So we drove back to the hotel where the concierge suggested that we go to Shaw's Crab House.  Reservations were made.  A short taxi ride got us there quickly.   There are two sides of this restaurant.  The more classy side with more formal dining, and the oyster bar side, which was more casual.  Our reservations were for the ""classy"" side.  But, when we got there, we decided that Oyster Bar was the side we needed to be on.  The menu on either side were about the same, both food and pricewise.  The food was good.  Their calamari was cooked and seasoned perfectly.  The clam chowder was flavorful and full of clams.  The lounge combination, though pricey had garlic shrimp, sea scallops and crab cakes.  Delicious!  The Lake Superior Whitefish was also pricey, but, good.   Service was good.  They took care of us and made sure our cups were always filled.  The table was cleared when we finished eating.  We weren't stuffed silly like when we normally eat at a buffet.  But, we had a good experience here.",0.9815,0.824,0.148,0.029,0.618287037037037
2017-08-13,5.0,Delicious!! Came for the oyster happy hour and ordered a dozen (half east and half west coat). $18/dozen. Presentation was great. My boyfriend and I also ordered the Oyster Rockefeller. They were baked to perfection with spinach and cheese.  It's like the 1950s -- a real blast from the past. Music is upbeat and poppy! Classic bar stools and wooden furnishings make this a fun date option.,0.9734,0.717,0.283,0.0,0.39999999999999997
2017-08-11,2.0,"Lobster Tacos flavorless. Oyster Rockefeller lots of sauteed spinach but nothing to settle the oyster (a filling maybe) to prevent it from melding into a mushy mess. Mixed Green salad had a flavorless balsamic dressing. Caeser salad was forgettable.  By now wifey & I who are celebrating anniversary in Chicago are REALLY unimpressed as we await our entrees, &....more flavorless seafood platter with scallops shrimp & crab cake with too much filling (spared from the Oyster Rockefeller. My sauteed soft shell crab was another mashed up mess of bland flavors.  Overall we were disappointed... especially considering what the meal cost. One last thing, our server Christopher was not good. he only checked in us  Once we had eaten most of our food. I didn't want to leave a tip but I did because I didnt want to stiff the bread boy, the water boy, and the man that actually brought us our food. The ""server"" only took our order. The rest of the staff was attentive. Makes me wonder how wonderful these same dishes would be from our favorite Cleveland restaurant.  Overall Unimpressed, Overpriced & Where was the Old Bay or any other seafood seasoning !!!   Edited...Server redeemed himself by bringing free chocolate cake in honor of our anniversary, & it tasted...Fine but not enough to make up for the other 3 courses or make me give it 3 Stars",0.9124,0.799,0.122,0.08,0.47500000000000003
2017-08-11,2.0,"The food and beverages were okay, but our server wasn't very pleasant.  She did a good job of coming around to ask if we wanted anything, but each time she came around she was meaner and sassier.  i was actually happy to leave to here after happy hour at the Oyster bar rather than sticking around for dinner even though we all enjoyed our snacks.",0.9491,0.691,0.245,0.064,0.7999999999999999
2017-08-10,5.0,Absolutely fabulous great atmosphere the service excellent and food was delicious as we were expecting based on reviews I can agree this place is above 5,0.9582,0.514,0.486,0.0,0.77
2017-08-08,3.0,I give Shaws three stars. The place reminds me of a glorified old old red lobster. The server was not very attentive it all the busser did most of all the work and he took care of us and checked in on us seven times over the waiter. However the food was pretty good. Thank you to the busser for good service! No need to return again in the future.,0.9441,0.749,0.224,0.027,0.43525641025641026
2017-08-06,4.0,They really know seafood. The soup is out of this world. Everything was fresh the staff was very professional and accommodating. Their scallops were done to perfection. The gumbo and lobster bisque were a 10. We were ready to go back the next day. The building was clean and felt upscale.,0.8807,0.804,0.196,0.0,0.29000000000000004
