date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-27,1.0,"So this is how I started my day at Angelina's . We got there early for our brunch reservation so we sat at the bar. We ordered Bloody Mary's which were good then the bartender spilled a drink that he was mixing on me( said nothing and I had to ask for napkins) then 5 minutes later he spilled again enough to soak my pants and I was told "" oh that happens a lot"" .After complaining that's twice u spilled a fucking drink on me nothing. No comp of a drink or nothing off our bill .  HORRIBLE PLACE!!!!",-0.744,0.848,0.049,0.103,0.5857142857142856
2017-08-26,5.0,"Update from earlier review.  We returned due to a Groupon offer and I have to say it was so much better than our first experience.  Service and food were fantastic.  Unfortunately there was a table of 10 middle-aged persons who were obviously never taught any manners on how to dine in public.   However our server was great and profusely apologized even though it was not any fault of the server or restaurant.  Glad we gave them another try, we will be back!",0.9462,0.773,0.201,0.026,0.5386363636363636
2017-08-24,5.0,"My go to place whenever I feel like Italian and am too lazy to cook. It has good ambience and the staff usually help you out if you ask them what to order. I am a very picky eater, but each if their suggestions were helpful. They also suggest which wine to have with your order.",0.7579,0.814,0.157,0.03,0.43
2017-08-24,4.0,Saturday brunch was nice. Unlimited mimosas and a great food. The menu wasn't to big so I wasn't overwhelmed choosing.  We all go something different and it was great. Sitting outside is nice in the summer but the tables need to be updated. We arrived at 11 when they opened so there was no wait.  Our server was great and check on us every time for refills on drinks!,0.8868,0.757,0.187,0.056,0.625
2017-08-18,3.0,"Good food, would be better if they brought the noise level down to a digestible level.   In the evening, the music is just loud enough to make it necessary for diners to shout over each other and the din becomes annoying.  And forget a nice Sunday brunch - unlimited alcohol and very loud music makes this a crowded, noisy drunken gala.",0.5106,0.774,0.131,0.096,0.696388888888889
2017-08-12,5.0,We stopped here after the Halsted Market Days based on the reviews.  The high ratings are definitely warranted!  The service was amazing and the food was incredible!  I'd come here again!  I highly recommend the rigatoni bolognese and the lasagna!  Both are delicious!,0.9226,0.697,0.267,0.036,0.73
2017-08-12,3.0,"It has good options of dishes in the menu and the food is delicious. I ordered the wild mushrooms fettuccine and It didn't have much flavor. However, the calamari that I ordered as well was very yummy! I strongly recommend it. The service is fantastic! The reason I'm giving 3 stars is because the dining room was completely filled with smoke which came from the kitchen. So that, my eyes and my throat were itching.",0.9723,0.723,0.277,0.0,0.6291666666666668
2017-08-11,4.0,"Solid joint for weekend brunch. With the normal entree of ~$13 and an entree plus bottomless mimosas for just $23, it's only an extra $10 for bottomless mimosas. Good deal indeed. Too bad I don't like bottomless mimosas. I split a cesar salad ($8) and a pasta dish ($13)with my friend. The cesar salad was basic and wasn't worth the price IMO. The pasta was actually good and hearty. I liked it. Then again, this is an Italian place, anything less than good and hearty would have been a major fail. Service was extremely attentive when it came to refilling the mimosas. But when it came to actually having water and utensils, that was a fail.",0.2556,0.762,0.127,0.111,0.4478070175438596
2017-08-03,5.0,"I visited this hidden gem while in the city for an overnight stay.  My wife ordered pasta with red sauce and the test began.    Result of the test.... PASSED WITH FLYING COLORS.    My wife couldn't stop gushing over the fantastic taste.   We will definitely make the long ride into the city again to visit again.  The only thing I found awkward was the restaurant layout, but please don't let that deter you!",0.6412,0.88,0.102,0.018,0.5904761904761904
2017-07-20,5.0,"First time in Chicago and first time at Angelina's.  Great atmosphere, friendly staff and amazing food!  Had outside seating as well which would have been just as enjoyable.  I had the Wild Mushroom Fettuccine.  Amazing!  The only thing I would recommend is a little more salt.  Prices were higher than what we normally pay but well worth every dollar.  Will definitely return the next time we are in Chicago.",0.9554,0.697,0.288,0.015,0.5009803921568627
