date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-18,2.0,"This might be the worst service I have ever had. We waited over an hour for our meals, and our waitor never checked on us. We sent an appetizer back to the kitchen due to how terrible it was, and still got charged for it. Two of our main courses were fine, but the other was clearly waiting on the heat lamp for over half an hour. The seafood was lukewarm, burned, and over seasoned. Overall, definitely not worth the price.",0.3614,0.816,0.095,0.089,0.3736111111111111
2017-08-15,3.0,"Easily the nicest patio in Chicago. You really feel like you're in someone's garden instead of at the corner of Halsted and Milwaukee. Food is whatever. It is relatively expensive and every meal I've had here has been hit and miss. When I've been to PS for private dining events, the misses have always outnumbered the hits by a wide margin.",0.7076,0.822,0.125,0.052,0.5016666666666667
2017-08-11,4.0,"Phenomenal food. I got the black pasta with seafood and really enjoyed it.  That being said, it felt a bit heavy on squid tentacles over the other types of sea food.  Would definitely come back.",0.7425,0.831,0.169,0.0,0.42976190476190473
2017-08-09,5.0,"I thought that I had definitely had rated Piccolo but guess this is my first review. After dining 3-4 times on Piccolo's ever popular outdoor patio, I am obviously a fan! Located at the intersection of Grand/Halsted/Milwaukee Piccolo pops out on the corner of this intersection and welcomes you into its Italian eatery. There is always a wait for the outdoor patio in the summertime because well it is a getaway within the city! Walking into Piccolo you would never expect such a city getaway, but you feel like you are traveling through Tuscany surrounded by trees and the city's  blue sky. It is truly a joy and even if you are not a big fan of Italian food, I recommend waiting 20-30 minutes and enjoying drinks or appetizers on this patio. Even though you are sitting very close to the other diners, it is an experience seeing how busy the restaurant is and the flow of dishes and drinks that they so easily deliver. Now let's get to the important part of this review the food and service. I mentioned the service in my previous paragraph, it is impeccable! The Italian Eats, well starting with the bread basket are all very good! I've enjoyed the salads, the Frito Misto (grilled seafood topped with arugula) and even Pizza for appetizers. A lot of people start with the Pizza for an appetizer because it is light and gets the meal started perfectly. I have enjoyed all the pasta dishes too: black ink spaghetti, Papardelle Boar ragú and last night I ordered the orchietti. The only thing I questioned from my pasta last night is that it was served with a white wine sauce. I asked for their Marinara which was provided instantly, however, it was more of a Vodka sauce.. the Halibut last night was definitely a great dish too.  See you next summer, Piccolo!",0.9976,0.777,0.218,0.005,0.42823809523809514
2017-08-06,3.0,"My husband and I went here for our anniversary dinner. The patio seating is AMAZING! One of the best outdoor seating options out there! Of course, we got seated at probably the worst table outside, but I don't hold that against them...someone's gotta get the crappy table, right?  I wish the food was just as good as the ambience. But unfortunately that was not my experience. You can tell everything is thoughtfully made and made with care, but I just didn't think the flavors came through at all. I wasn't a big fan of the calamari starter, although perhaps I'm the odd one out because it looked like every table was ordering them. I had one of the pasta dishes (I added shrimp to it as well). The pasta sauce was just ok. But I loved the different textures and thought the shrimp were well cooked. My husband had the short rib with polenta. I tried the polenta and just didn't like it at all. He liked the short rib (I can't comment because I'm vegetarian). We ended our meal with ricotta cheesecake which was good. They had a really large wine selection, so if that's your thing, you might like the place! I had a nice time with my husband, but I don't think we would come back. I wasn't impressed by the food. It's a shame because the outdoor seating is so amazing!",0.9905,0.702,0.215,0.083,0.5665584415584416
2017-08-04,4.0,"Returned for a boozy birthday party for 12 friends 530 during the week in Summer rather than 8pm Saturday in winter.  Sat outside--lovely service and excellent food--it started to sprinkle and the moved us inside for entrees.  Beautifully done--this is a good place if you are there when they are not jammed.  Small,expensive,well done portions encourage multiple courses.  Focaccia was best I have had--better than Italy. Nice",0.9786,0.68,0.32,0.0,0.6428571428571429
2017-08-03,5.0,"My girlfriend and I went here for Valentines day and it was an amazing experience. All of the dishes were extremely fresh, full of flavor and the portions were generous. She had the pasta and I had the quail, both were traditional and worth the trip.  The ambience was classy, and very romantic. You are almost teleported to a small village in Italy when entering the restaurant. Piccolo Sogno should be on the top of your date night list, perfect for any occasion that may strike you. The prices were fair, you definitely get what you pay for, it was a great romantic dinner. I was very happy with everything. They even offer valet parking on their small lot, just remember to bring cash as they don't take credit cards.",0.9872,0.712,0.255,0.033,0.6437500000000002
2017-07-30,1.0,"The patio and the dining area are a beautiful atmosphere. A 5 star deal. But the food is the downfall for me. I went here three times. Always trying something else so it is not a one time mistake. Not going to write about all three times. It would take too much space and time.  Check the menue before you go. Nothing here is nowhere near traditional. Pasta and some red sauce. You will not find it here. Not regular marinara or meat sauce any way. As far as I am concerned they are trying to be way too creative. It is also pricey for the portions. Had the oricchette pasta special. Was supposed to be and sold as garlic, oil, sausage and a touch of crushed pepper. It was water, oil, and not a hint of garlic or pepper. The sausage was crumbles white pork fat. I mean it was white fat. I tried it. Did not eat a thing. The person I was with hated the dried out fish with no taste also. The other persons pizza was just all right. I went to eat at a better Italian spot down the street later after work because I was starving. And I was there at lunch time. It took an hour and 45 minutes to get in and out and I had to to beg for my bill to get out of there. Who has a two hour lunch guys? The service is slow as a snail. The place was only 25% occupied at the time. it was not busy..It is not just me. I went with other people every time. No one is going back. Sorrry....",0.0608,0.897,0.052,0.051,0.422418192918193
2017-07-22,4.0,"I give the staff and patio a definite 5 but the food only a 4. While it was really good, nothing really stuck out to me.  We had two appetizers, a grilled seafood plate and panzenella.  The quality of the seafood was possibly the best but I thought the flavor was a little bit lacking while the panzenella was really interesting but not that great.  We had to different pasta dishes that were great but didn't stand out from other Italian restaurants I have been to.  I would definitely go back again but I'm not sure its better than other options.",0.8009,0.695,0.183,0.122,0.5199346405228757
2017-07-22,4.0,4.5 stars if I could give it. Very good Italian food. I like their olive oil. Breadsticks were lacing. The risotto I tried was very good and I liked their veal pasta. Would come back again. The smell of chocolate is sometimes good and sometimes sickening.,0.8944,0.66,0.278,0.062,0.5657142857142857
2017-07-18,2.0,"This has been one of my favorite restaurants for years but after two bad experiences in a row, i am done. Took a group of 8 somewhat recently during winter and we were rushed and half of us had  average to bad food. Wrote it off as one bad night. Went again last night and had the same waiter as our prior experience and he was even more of a jerk this time.  We ordered three appetizers, two of which were hot and three salads. They brought out the salads and at the same time dumped the appetizers on our table. When I mentioned it, he could have taken the salads back, brought plates for the appetizers. Instead, he just looked at me and walked away. So we ate our salads, had cold appetizers on plates that had salad dressing on them and no offer to refill bread. Our dinners were no better. The gnocchi was hard and dried out and the seafood pasta was inedible. Decided to go elsewhere for dessert, despite that beautiful garden.",-0.9816,0.805,0.03,0.166,0.48026315789473684
2017-07-13,4.0,Great restaurant. Good food and they have a outside garden seating that is very cute in the summer. I've dined here several times and it's been very consistent time and time again. I'm a sucker for the caprese salad and the salmon for main course paired with a nice glass of white crisp wine.,0.8655,0.736,0.21,0.054,0.47954545454545466
2017-07-13,5.0,"Piccolo Sogno is an absolute gem.  Dining outside on a beautiful Chicago evening makes one feel they are at the absolute best restaurant in Chicago.  From appetizers to dessert the kitchen absolutely shines.  You must come to this restaurant hungry and then share multiple appetizers, pastas and entrees.  Most importantly enjoy the evening with a great wine.",0.966,0.705,0.295,0.0,0.58
2017-07-10,5.0,"What an amazing experience! The food, service, wine, and atmosphere were terrific. The host granted our request to move from our reserved dining room table to a table in their outdoor seating area. It was a beautiful night, and the feel was straight out of an Italian piazza. Our server, Alberto, was a delight. As our dining partner said, ""as soon as he batted his eyelashes at us describing the evening specials I was in love!"" He helped us with the menu and had excellent recommendations for delicious and affordable wines. For starters we had the antipasti for the table, and an order of the Fiori Di Zucca - 3 squash blossoms delicately fried and stuffed with a puree of fontina, tomato, and olive oil. Alberto said, ""I'll bring you four instead of three so you can all have one."" The antipasti was good, but not particularly interesting, but the squash blossoms were superb. For Primi my wife and I split the Stracci Di Farro - pasta triangles with muschroom, asparagus and black truffles, and our dining partners had a appetizer-sized order of Ravioli. Both were tasty and cooked to perfection. For Secondi we had the special Barzini (Mediterranean Sea Bass) which was marvelous, and our dining partners had Rosticianna (braised Short Rib). Spectacular evening!!",0.9882,0.81,0.176,0.014,0.7002645502645504
2017-07-09,5.0,"Not sure why the rating isn't a 5.... I'm serious. It's a bit pricey, but you don't go to picollo without a special occasion. Picollo do segno is honestly the best Italian restaurant in Chicago. I had the spaghetti de popo. It was flavorful, the popo was perfectly cooked and the sauce was amazing. The staff is friendly and attentive. I never had my wine glass empty for more then a minute.  There desserts are okay. Nothing extraordinary. I would mainly go for a main dish.  All in all would definetly go again (and have many times)",0.9801,0.691,0.264,0.045,0.6055088702147526
2017-07-08,3.0,"Truthfully, a little disappointed. Outdoor patio was nice, but is very crowded. Food tastes above average, but definitely not spectacular. Titles of dishes as well as description of ingredients sound great, but truthfully, don't really pan out.",0.9562,0.575,0.387,0.038,0.53
