date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-28,4.0,Good food. I LOVE that it's a BYOB. Saves me allot of $. The platters serve enough for 10 EASILY but states 6. Wish the decor was better,0.9244,0.594,0.406,0.0,0.6066666666666667
2017-08-21,5.0,Best seadfood I've ever had I'm a repeat LOYAL customer and they never disappoint. I always get the lagostinos but the ceviche is always fresh and delicious BYOB,0.928,0.589,0.411,0.0,0.6583333333333333
2017-08-09,3.0,"The place is not bad, received great service from the moment I walked in. Food isn't anything great much better than the place across the street. For Seafood I still prefer la costa.",-0.2115,0.686,0.146,0.167,0.6666666666666666
2017-07-26,3.0,"This place is alright, I came here with high exceptions and maybe that's why I was disappointed. TIP: DO NOT order the fried fish or shrimp (I ordered that and it was burnt and flavorless)",-0.2732,0.859,0.055,0.086,0.645
2017-07-23,4.0,"OMG! My excursion for great food continues. This place goes to the top of my list! We ordered the Algerias special and it was enormous! It came out with four different kind of sea food all marinated and cooked in the same sauce/spice.  My favorites were the prawns and lobster. Although crab legs are usually my go to, it wasn't very fresh. The price of the dish changes depending on the market value. I think I paid about $90 for the dish in the picture. Next time I'll stick with a full order of the prawns. FYI, the salsa is very, very habanero spicy although it does not look like it. Bon appetite!  Definitely a hidden Jem!",0.9424,0.809,0.157,0.033,0.5015201465201465
2017-07-23,5.0,"Great value, fantastic flavor, and authentic cuisine. Not the most presentable interior, but excellent at what they do best - cooking up great seafood platters!",0.976,0.435,0.565,0.0,0.7071428571428572
2017-07-22,5.0,Service was prompt. Nice free appetizer for everyone (tostada with some kind of ceviche). Had the shrimp empanadas and langostinos (half order) for two people and that was a good amount. Really tasty and not too expensive. About $40 total with tip.,0.8402,0.809,0.191,0.0,0.6395833333333334
2017-07-16,5.0,I loved this place. The ceviche was excellent and the good is so good. Our server was the best she was so kind. We are from Texas and when we visited Chicago we decided to try it,0.9718,0.577,0.423,0.0,0.7000000000000001
2017-07-14,5.0,"Roll up your sleeves and prepare yourselves (mainly your stomach space) to feast like you've never before at Alegrias Seafood! You won't be coming here for ambiance or service, but you will come here and be coming back for the unique Nyarit-style (spicy!!) seafood. Like other reviews detail, it's a cramped, simple joint that serves big, bold flavors. I recommend not getting distracted by the appetizers and just focus on the massive platters.  As to not be repetitive, here's some brief highs and lows of the food:  HIGHS: -complimentary ceviche tostada -habanero sauce (not the one in the bottle, but the homemade one)  -Horchata (perfect beverage to cool you down) -platters (crab legs, Charola Mixta) come in ginormous portions and punchy flavors LOWS: -shrimp cocktail was watery and flavorless -fish ceviche (still delicious, but the same mixture that's on the complimentary tostada) All in all, I've been consistently blown away by this place. Note that service can be slow, but it's worth bearing through for the truly distinctive flavors at Alegrias Seafood.",0.9868,0.778,0.195,0.027,0.46146825396825397
2017-07-06,3.0,The food was definitely great but the waiter was not. He got very busy and we need to wait a long time for him to check out. We thought it's fine until he said he could not pack the food for us and we can pack the food by ourselves because he had other tables to serve. Excuse me? All diners around us got their food packed by their servers. Please be consistent and treat every customer fairly!,0.916,0.827,0.173,0.0,0.45187499999999997
2017-07-01,5.0,Best place by far for seafood! I took my mother here for Mother's Day and we are from the islands. The way they made their seafood was spectacular! The service is great too! Highly recommended and will def be back.,0.9056,0.762,0.238,0.0,0.5816666666666667
2017-06-24,4.0,"Normally I would give this place 5 stars because the food is delicious, this rating has nothing to do with the food but more with the service. I went there yesterday with my wife and my 2yo daughter and the waitress was clueless and unattempted. She took our order and when the food arrived she forgot my daughters plate. 10 minutes later I had to ask another Waiter about her order and he brought it out.  Our waitress didn't check on us during the whole meal and when my wife flagged her to order more crawfish packed them and assume we wanted them to go...... I understand mistakes happen but she was unapologetic and ruined our experience. We will be back as we normally get good service.",-0.6652,0.874,0.046,0.08,0.47777777777777775
2017-06-12,5.0,"THE SALSA IS SO SPICY. On my first visit I made the mistake of taking a huge mouthful and almost had to leave because I couldn't breathe. You've been warned. Anything served in the Nyarit sauce is amazing. I brought tequila once and asked for margaritas and they said they didn't have the mix, so it's not a given just because it's on the menu. I think they gave me Squirt to mix for drinks which was OK.",0.6805,0.819,0.125,0.056,0.6583333333333333
2017-06-05,5.0,"I have been coming to this spot when it was El Veneno and the new owners, Alegrias, have done their best to maintain the Nayarit flavor. The menu offers such a vast selection and my favorite has to be the king crab legs Nayarit style and the fried red snapper with Nayarit sauce on the side. My mom raves over the 7 seas soup and the Nayarit prawns...im a fan of it all! Yes it's cramped, you do have to wait, but there is a method to the madness. Don't come here for the fried, White rice or the tortillas.  Focus on the fresh seafood and the fact that it's BYOB. You get to eat like a king or queen without worrying about the liquor tab. So be patient, bring your booze and enjoy the delicious food. I LOVE ALEGRIAS!",0.9832,0.765,0.211,0.024,0.4878787878787878
2017-06-05,5.0,"Delicious seafood!  Some items are spicier than I prefer, but you can also order items medium spicy.  We had dinner there recently and everyone loved the food. It's not cheap, but it's fresh and delicious seafood so well worth the price.",0.9714,0.609,0.391,0.0,0.6214285714285713
2017-05-23,3.0,"Everything as far as the food was delicious except the bread, it was raw dough and super soggy. The service was just horrible. I asked for a fresh bread cooked well and they brought me two raw and soggy ones same as the original. The waiter gave me an attitude like something was wrong with me. Both waiters were not friendly at all and didn't check on us at all after the food was brought. Again food was good for the most part. If you don't mind bad service by all means eat well!",0.9289,0.701,0.218,0.081,0.6522435897435896
