date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,"Best authentic Neapolitan pizza in Chicago, no question. Great spot for large groups, out-of-town family and friends, or just my husband and myself. Never disappoints. Wish there were more stars on your scale and days in the week to enjoy this spot.",0.926,0.613,0.303,0.084,0.5380952380952381
2017-09-01,4.0,"I ordered the calzone ripieno as the main entree. It was pretty good but there was no tomato sauce. That was in a separate order specialty which I thought was ridiculous. They should indicate in the menu that there was no tomato sauce in the calzone. All the calzones I ordered from other restaurants such as Papa Ray's and Sabarro usually had tomato sauce in their calzone. Later I had the pistachio gelato which was also good. There's no wi-fi service for customers in the restaurant. Our server, George, was nice and attentive to our needs.",-0.0129,0.781,0.109,0.11,0.5962121212121212
2017-09-01,5.0,Very good pizza! Loved the prosciutto white pizza and the sausage red pizza! Also the house red was yum,0.8377,0.682,0.318,0.0,0.316
2017-09-01,5.0,"The king of thin crust pizza in Chicago, bar none!  Soft, soggy, crispy, crunchy, the guy is like Jiro of Chicago pizza.  I've had them all but none quite good as Spacca!  They are all good but simple Margarita is my favorite!",-0.4578,0.738,0.112,0.15,0.6261904761904763
2017-08-26,4.0,"great pizza, but very overpriced wine list without moderately priced options.",0.3716,0.797,0.203,0.0,0.5833333333333334
2017-08-23,5.0,"As good as everyone says, period. On a summer Tuesday evening at 8PM, there was a 15 or so minute wait to sit inside (probably more like 40 for outside).  The pizzas were coming out super slow (40 minutes) and so the waiter recommended we order some appetizers- the salad (with tuna and onions) was fantastic, and the potato and buffalo mozzarella balls were heavenly. As for the pizzas, they are decadent, lovely, more tasty than imaginable.",0.9721,0.747,0.253,0.0,0.5458333333333334
2017-08-22,3.0,They don't take orders over the phone. Said we could come in and order at the restaurant and the pizza would be ready in 15-20 minutes. We ordered 3 pizzas at 7:30pm and waited for 50 minutes. Had they set a proper expectation on time there wouldn't be a problem. Unfortunately they said 15-20 minutes and that just flat out wasn't the case. Edit: just got home; the pizzas were great.,0.8718,0.855,0.145,0.0,0.495
2017-08-22,5.0,I have been here a couple of times now it is anything but disappointing.  After having pizza in Italy this is a fantastic find!,0.2244,0.667,0.182,0.151,0.8
2017-08-20,5.0,"One of the best pizzas in my life. Burrata is top. They have real coffee, delicious desserts (Panna Cotta or tiramisu). I come here at least once a month or even more.  And best waiter works at Spacca Napoli (unfortunately, forgot his name, tall red haired guy with beard) - I always feel like he is the part of our company.",0.9468,0.76,0.24,0.0,0.47777777777777775
2017-08-20,5.0,"Best pizza I've ever had. PERIOD. We were in town visiting friends and my husband was hankering for a good slice but we aren't fans of deep dish. They knew just the place!  Wood fired, fluffy crust on our Margherita pizza was just perfect. Loved the sauce and the the cheese, absolutely delightful. You slice your own pizza right at the table which was a nice touch. And when you leave, free cannoli!  We also ordered the Buratta, which we'd never had before, one of the most delicious apps I've had in a while. Overall this place was just fantastic!",0.9905,0.638,0.316,0.047,0.6823809523809524
