date,star,text,compound,neutral,positive,negative,subjectivity
2017-06-10,3.0,It is a fries and burger spot but they sell great tacos. The red sauce is amaze balls. Think there prices are a bit high but I will return for tacos!,0.9134,0.709,0.291,0.0,0.43
2017-06-08,1.0,"The two ladies that work there were extremely nice, but the food wasn't good. The fries were way too salty and had what looked like Cajun seasoning on them, the hotdog bun was harder than a rock and the cheeseburger was so greasy it's soaked straight through the bun. I don't think the prices were all that cheap and I certainly did not get my money's worth.",0.8397,0.782,0.176,0.042,0.4816326530612245
2017-04-17,5.0,"This place is dangerously close to my office, so I'm in here more than I would like to admit. Their food does the job every time, even though most of it is bought from a wholesaler. Also, having happy, friendly employees really changes the atmosphere.  Pro Tip: call in your order if you're eating in so that you're not waiting around watching tacky tv shows longer than you have to while your food is getting made.",0.8158,0.827,0.137,0.036,0.6
2016-05-10,2.0,"This is ""the place to be"" for drunk college kids after a night out. Despite its popularity, I do not think the food is very good. It's mediocre at best.",0.8439,0.651,0.284,0.065,0.77
2016-04-18,3.0,This fast food restaurant is good if you like getting Philly stake sandwiches hot dogs or hamburgers .they have American and some Mexican food that you can choose from.there open until 2:30 and 3:30 am just about every day when I go there it always has people in it college people seem to like it a lot.they also  deliver.so  if you Hungary and want something fast to eat go there.there be happy help you.,0.9274,0.809,0.191,0.0,0.51875
2016-04-10,4.0,"So far so good! In love with their french fries. Im going to ignore the fact that the guy handed me my chicken sandwich, and fries wearing no gloves, and hope that when he made my food he was wearing gloves. After ordering, and then reading the reviews i almost left, due to reading quite a few bad ones, but i will be more at ease once i start eating. Did i mention that the fries are good! :)  This peaceful place is located behind Starbucks; right down the street from Loyola University on W. Devon. Im sure this place makes a killing off of us college students, that do not cook on a regular. Oh, and did i mention that the fries are good!",0.9761,0.693,0.228,0.079,0.5253727266885162
2016-03-08,1.0,Will not be going back after I saw cockroaches climbing on the drink machine. The staff didn't seem phased so it most likely is a common event.,0.0,1.0,0.0,0.0,0.5
2016-01-29,5.0,"I come here every time I get wasted at Loyola and I dream about their fries when I'm not in Chi-town. The first gyro I ever tried and the best yet! It's cheap, centrally located, and tastes amazing",0.7959,0.69,0.237,0.074,0.4138888888888889
2016-01-10,1.0,I would give them more stars cause the tacos are awesome and think they are made with homemade tortillas. But OMG it smells soooo disgusting in there we will never eat there again. So sad. Literally smells like death in there. Took food home.,-0.624,0.687,0.119,0.193,0.875
2015-08-28,5.0,I have been going to this place from the first day I moved in. There food is perfectly priced and quality has always been above average. There chicken quesadillas are my personal favorite. I would say there is no place better after 1am in the area. The service is always friendly and quick I have never been disappointed.,0.9281,0.727,0.24,0.033,0.5757575757575757
2015-06-19,5.0,Chicken strips may be dipped in holy water because those things bring me back from the dead on the third day of the weekend. God bless.,-0.1027,0.714,0.152,0.134,0.3375
2015-04-21,5.0,"I love this place, they give the customer large portions at an unbelievable cost. It may not be the healthiest choice, but if it's game day this is the place to get your grub from!! #gyrocheesefries",0.555,0.878,0.122,0.0,0.6071428571428571
