date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-04,1.0,When ordering a Chicago deep dish with sausage and jalapeño you'd think that you have your two main ingredients in every bite. Not the case here. I found four maybe five pieces of sausage and maybe 6 jalapeños. When your used to the whole pie having a layer of sausage........Very disappointed. Not worth the money. Scratch this place off your list worlds.,-0.296,0.918,0.031,0.051,0.39666666666666667
2017-09-03,1.0,"We decided to try this restaurant as it was in our hotel we were staying at. We wanted to sit outside so there was a 30 min wait which we understood. When we were finally seated, the table was so wobbly, we had to hold onto our drinks as to not spill. We waited another 10 min for water. We ordered our dinner of pizza and linguine with an appetizer of bruschetta. Waited another 30 min for app. The pizza was then brought out for my husband but not my entree. He of course started to eat as we didn't want it to get cold. 1/2 way thru our waitress as ""how everything was?"" I said just waiting for my food and she assured me it would be right out. Another 10 minutes we ask again( this time my husband was almost finished with his dinner) our waitress then asked "" remind me again of what you ordered"" Finally was brought out 5 minutes later. Total time spent for dinner was close to 2 1/2 hrs. Food was good but service was a HOT MESS! Will NEVER go again! First rule of restaurant serving..... never serve any food unless all is done and served!!",0.5552,0.933,0.04,0.027,0.5328373015873015
2017-09-03,2.0,So-so food. We had okay service but at least three tables left while we were there because they hadn't gotten their food despite being there for over an hour. Seemed as if the staff was unorganized.,0.1154,0.96,0.04,0.0,0.3
2017-09-03,1.0,Terrible restaurant.  Servers are a disaster.  People leaving because they cannot get served.,-0.802,0.581,0.0,0.419,1.0
2017-08-30,3.0,"Food: 4/5 The chicken milanese panini was the size of my face.  The chicken was crispy but the breading looked too brown as if they used dirty oil to cook it in.  They placed the sandwich on the salad so some leaves were wilted.  I recommend separating the two.  I was too hangry and my phone died so I couldn't take a picture.   Service/Wait: 2/5 I ordered via MealPal.  I came early 8 mins early and still had to wait an additional 10 min past my pickup time.  I have been to more than a dozen places and none of them had me wait.  One of the servers did apologize for the delay. P.S. Today, I think their AC was broken.  It was hotter inside the restaurant than outside.",-0.9186,0.845,0.036,0.119,0.5
2017-08-17,5.0,Ordered the deep dish pizza for the first time :) size small for 2 persons was more than enough. We decided to do 2 different halv which worked perfectly. Staff very friendly and place super cozy :),0.9558,0.63,0.37,0.0,0.65
2017-08-16,5.0,"Great food,great service!!!1st time patron..I started w calamari,had a ceaser salad & a small pizza that was phenomenal!!!!!  My server Kenny  was amazing!! very very nice guy!! Got a chance to speak to the GM Frank that just happen to swing by my table & check on me to see if ""everything was tasting fine??""  Told him everything was fantastic & that I will defenetly be back!! Thumbs up this place is the real deal!!!! 5stars in my book!!!!",0.9607,0.782,0.218,0.0,0.5833333333333334
2017-08-08,4.0,"Stopped in for takeout as this restaurant is located next door to our Londonhouse Hotel. I was pleasantly surprised to see that this is an off-shoot of Bacinos (the great deep dish pizza restaurant).  We ordered their Spinach Supreme deep dish and it was very good. Not as good as Giordanos, but very good. They have one star employee...the girl with the shockingly red hair. She gave me a wonderful welcome and smile when I walked in. She took my order and seemed to do the majority of the hosting, serving, bussing etc. while I was there. She couldn't have been more pleasant and efficient. A delight!  I would steal her away if I had an available job for her.  The buzz-cut guy taking inventory at the wine cooler...not so much. He cursed-out a foreign couple that happened to be standing in the entranceway while they perused the menu. Glad I didn't have to deal with him!",0.9913,0.701,0.257,0.042,0.544537037037037
2017-08-08,2.0,"Was highly recommended by locals, the food was okay, the service was very slow as far as servers on a Sunday. I asked for a Deep Dish and confirmed that it was a deep dish what I ordered and got a thin crust. Came to Chicago for the famous deep dish pies. Took the pizza they brought which it does take 40 minutes to get, no discount given a lot of apologizes. The Calamari was good missing some European flair to, but it was cooked right. The pasta that was ordered came out after the pizza 10 minutes later we thought they forgot about it but since waiting staff was scarce coming to check on you was hard to ask about it. I watched 2 couples come in and have to wave down the waiting staff to get a menu. My second beer was the incorrect one I ordered, there is a difference between a IPA and Belgium White in color and taste :-(",-0.3299,0.907,0.042,0.051,0.4813134920634921
2017-08-05,5.0,"Cute little restaurant that has some very tasty food but even better service. Francisco, the manager went above and beyond to make sure our first time there was memorable. Also, the owner, bartender and even one of the cooks stopped by our table on the patio and checked in on us! We felt at home and will definitely be back. Great view and reasonable prices!!!",0.9573,0.733,0.238,0.029,0.5429292929292928
2017-08-05,4.0,"Very good deep dish pizza, comparable to Giordano's, especially if you want delivery.",0.5799,0.698,0.302,0.0,0.7266666666666667
