date,star,text,compound,neutral,positive,negative,subjectivity
2017-05-29,5.0,"This is usually the first place we visit when we get to Chicago (and we often go several times since we don't have one at home). It's by far our favorite sandwich shop! The bread, as well as the other ingredients, is always super fresh, and the selection of sandwiches is perfect. And there's literally one on just about every corner, so it's easy to grab a great sammy whenever you want. We've been hoping to get Potbelly's in Atlanta for years! For now, we'll just have to keep making it our first stop whenever we visit the Windy City.",0.9743,0.753,0.228,0.019,0.5868055555555555
2017-05-22,5.0,The wreck is pretty much the only sandwich I get here and the only reason is because there's no reason to try anything else lol. Seriously add some giardinera to This sandwich and your mouth will thank you !!!,0.5538,0.664,0.195,0.141,0.7611111111111112
2017-04-26,4.0,"Even though I frequent this mall I'd never been to this Potbelly location. Usually when I go to Potbelly I make a beeline for the sandwiches (Italian and Wreck sammies for life!). Last weekend, since I was in an intensive training and facing a time crunch, I opted for a strawberry smoothie. The smoothie was made to order lickety split and very refreshing. While still a fan of my beloved sandwiches, this experience has prompted me to branch out and try some of Potbelly's other offerings, including salads, more of the smoothies and, yes, even breakfast items.",0.69,0.88,0.09,0.03,0.43645833333333334
2017-04-24,1.0,"I actually already contacted the Potbelly corporate offices about this I was so blown away by the awfulness of the sandwiches I just got from this Potbelly location. This afternoon, my boyfriend and I visited this Potbelly location for the first time and everything was fine until we began eating our sandwiches. I got a Turkey, he got a Big Italian with avocado on white with Provolone cheese, which he specifically asked for.   When I first bit into my sandwich I noticed a very very odd flavor from my sandwich, and after a couple of other bites, I realized it was from the pickles. The DID NOT taste like normal Potbelly pickles and almost tasted like they were soapy or they had gone bad. I had to take them off the sandwich in order to even continue eating the sandwich (which is really sad because they are my favorite part of the sandwich typically).   The sandwich was just so poorly made overall, there was literally no turkey or mustard on 1 side, just bread, onions, and lettuce. The other half of the sandwich was PACKED with turkey and was dripping mustard. It was just disappointing to have the sandwich be so inconsistent.  Unfortunately, my boyfriend's sandwich also was very poorly made. The avocado he received was practically rotten and should definitely not have been served to a customer. Secondly, the person making the sandwich put provolone cheese on one-half of the sandwich and SWISS cheese on the other half, without telling him or asking him if that was okay. Which was really unfortunate since he really does not swiss cheese and did not even order it. I really just couldn't believe the person making the sandwich thought that a customer wouldn't even notice that!",-0.9067,0.87,0.048,0.082,0.4148888888888888
2017-03-29,5.0,"WHY do snooty people (see Cathie M below) get the best of everything? ;-)  Alfresco dining without the Chicago dust.  VENUE is clean and organized.  Speedy and Attentive STAFF even though it's quiet and chill.  Now that I am officially jealous of snooty people, I aspire to be ONE.  Can a broke ass Actor be snooty?  Lol  Maybe it's time to fish for a Sugar Daddy in this affordable quality sandwiches.",0.4137,0.734,0.15,0.116,0.6555555555555556
2017-03-22,2.0,"I love Potbelly's but this is probably the rudest staff I've experienced. The first couple of times I thought: Eh, maybe they're just having a bad day. But this is too consistent for excuses. I work in the neighborhood too, so I get that customers in this area can be shitty. But come on guys.",-0.93,0.73,0.041,0.229,0.55
2017-03-18,1.0,If I could give zero stars I would. Staff is rude and does not know how to properly make a sandwich. Extremely inconsistent.,-0.4588,0.864,0.0,0.136,0.5666666666666667
2017-02-06,4.0,I had the grilled chicken and cheddar cheese and the sandwich was excellent. What impressed me the most was how clean this Potbelly is. To many times I've gone to other Potbelly's and the tables are dirty with old wrappers and crumbs.,0.7823,0.745,0.197,0.058,0.6694444444444445
2017-01-29,5.0,"Ordered a basic turkey sandwich no cheese. They lady in front said it was hers put everything on it. Discovered it wasn't hers. I hate to wait maybe 1 minute! The manager? lady waiting on me apologized and gave me a free cookie for having to wait. It was nothing, it was the customers fault in front of me. The staff is so friendly and food fresh!! Great location.",0.9441,0.696,0.244,0.06,0.5958333333333333
2016-12-23,1.0,Typical Potbelly atmosphere but a little less clean. Typical sandwich and moderately friendly employees. Never been to a store before that could only offer you one size of sandwich because they ran out of bread and then proceeded to charge us for the larger sandwiches. Nothing like paying $7 a piece for a mediocre sandwich for a 5 year old and then eating it on a sticky table. We won't be returning.,0.8818,0.858,0.142,0.0,0.5466666666666666
2016-12-03,3.0,"Moody folks, like they didn't know they worked in a high end mall with snooty people.  And yes, the fellow patrons were totally annoying!",-0.1494,0.634,0.173,0.193,0.72
2016-08-24,5.0,"Great service ,really clean place . I come here regularly . Friendly environment , not to much of a wait .",0.8832,0.538,0.462,0.0,0.5375000000000001
2016-07-11,1.0,"Where to start. The order taker yelling into my face at the gust behind me to get their order? The staff training or staffing in general - either a long line waiting to get your sandwich made while 2 cashiers stand there or sandwiches being made so fast that the 1 cashier cant keep up. They just can't seem to get it right... Be careful what toppings you get. If it comes out of a squeeze bottle you'll either get your sandwich soaked in it or none at all. Again, no happy medium. Sorry Potbelly, but this place gets an F.",0.2263,0.935,0.037,0.028,0.7169642857142857
2016-06-30,1.0,"This is the third time I go to this Potbelly at 6:30 pm and it is closed. Today I told them this establishment closes at 7 and they answered ""no, we leave at 7 so we stop serving before that"". In that case then have your hours be from 10-6:30. Simply annoying and disappointing.",-0.8214,0.828,0.0,0.172,0.425
2016-04-15,1.0,I love potbellys but damn the people working at this one are all ignorant and brain damaged literally a bunch of invalids working here. They never get the order right and have no idea what customer service means and probably have no clue how to spell it. Honestly the only requirement to work here must be to have a pulse because every single one is more stupid than the next. Come on potbellys help a girl out and hire people with at least a drop of common sense and courtesy. Thanks,-0.7261,0.646,0.151,0.204,0.5318181818181819
2016-03-15,3.0,"We stopped in after visiting the art institute. This location is right across the street and we were all hangry. I ordered an Uptown Salad and it was delicious.. so fresh and refreshing ;) The had a sandwiches, soups, wraps and flat breads.",0.4572,0.848,0.109,0.042,0.6934523809523809
2016-01-15,3.0,"Typical Potbelly.  20-minute wait for a toasted sub with a skimpy amount of fixings.  Their idea of extra tomatoes is to throw on an extra slice.  Actually, it was only a 15-minute wait.  Next time, I'll use their app to preorder.",0.0,1.0,0.0,0.0,0.3
2015-09-29,3.0,This potbelly is a great location in the 900 shops. Tons of seating available . Quick service. I ordered something different which was the chicken salad sandwich I've had way better it was just very bland. Ill just stick with my usual from now on. I also ordered the pineapple coconut smoothie which was nothing like its advertised :( Tasted like  plain vanilla ice cream gross...,-0.2956,0.765,0.096,0.139,0.6089285714285714
2015-03-27,3.0,This is a great place for your usual sandwich and soup.  Their chicken tortilla soup is great paired with the macaroni salad. And don't forget a chocolate malt or dream bar!,0.9034,0.673,0.327,0.0,0.675
2014-12-04,5.0,I come here for my lunch breaks.. Service and food is always consistent! They get me in & out just in time to clock back in! I will always keep coming back!,0.0,1.0,0.0,0.0,0.08333333333333333
