date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-01,1.0,Worst service ever. Seriously. It took at least 45 minutes before our waitress actually came to take our order--we had to ask the bus boy for food/drink. Would not recommend this place.,-0.7851,0.786,0.0,0.214,0.5416666666666666
2017-06-14,5.0,"Ordered a carry out for lunch. The best $10 spent that day! Had a combo meal, and everything was so delicious: miso soup, and mini egg rolls, cucumber salad, and pad thai with chicken. So, so good! Highly recomend!",0.9423,0.71,0.29,0.0,0.5816666666666667
2017-05-02,2.0,I don't know why I keep coming back to this place. They never seem happy to have customers and they Nickel and dime you for everything. Hey have absolutely no customer service skills at all. And the sushi isn't all that great!,-0.8433,0.803,0.0,0.197,0.6625
2017-04-03,2.0,"Waited almost an entire hour for our delivery. No apology other than a quick ""sorry to keep you waiting"". Food was good but I won't be ordering from here again. How can they take so long for a Monday night delivery?",0.0772,0.854,0.077,0.069,0.5833333333333334
2017-04-01,5.0,Best sushi I've ever had  Me and my husband love eating sushi  And we could find any other place could compare with this one it's the best,0.9274,0.656,0.344,0.0,0.39375
2017-03-28,3.0,"Good sushi, awful service... Just downgraded my stars from 4 to 3. Service is just awful.  Nice thick pieces of sushi, fresh fish, good stuff. But, terrible service.",0.2023,0.5,0.272,0.227,0.7718750000000001
2017-03-25,4.0,"Great little Japanese place!  I ordered the seafood udon noodle soup, shrimp tempura appetizer, and the Jai Yen Maki. (Yes, I eat a lot.) The seafood udon noodles were pretty decent for $10. You get shrimp, mussels, baby scallops, crab sticks, and squid rings. The udon noodles were obviously packaged, but decent nevertheless. The shrimp tempura appetizer was fried very well. It comes with 2 shrimps, broccoli and sweet potato. A very generous portion for $6 in my opinion.  The Jai Yen Maki was also delicious and the presentation was very nice.  Service was slightly slow but nothing too bad. Everyone working there was very nice and ambiance was good. Overall a decent Japanese place with seafood as fresh as it can be in the Midwest.",0.9917,0.728,0.272,0.0,0.5583333333333333
2017-03-08,4.0,Ordered takeout from here. Crab rangoon and dynamite sushi roll. Both were very good and it was freshly prepared.,0.6997,0.702,0.298,0.0,0.6400000000000001
2017-02-05,4.0,Ordered pickup on a Sunday night from Jai-Yen. It was ready in 16 minutes; service was very fast. Loved the Drunken Noodles with tofu. Sooo yum! Nice kick from the jalapeños. Crab Rangoon was also delish. Pad Thai with tofu was fine as well. iRecommend!,0.918,0.736,0.264,0.0,0.716
2017-01-19,3.0,"Jai-Yen on Broadway can be hit or miss.I've never dined in before, but have ordered pick-up here so many times because I live down the street from here and they're inexpensive because of the deals they have. Their rolls are OK, but I should mention I'm very picky with makimono and I'm not a fan in general. I usually order sashimi, and their Salmon don comes with a good amount. However, some days their slices aren't very fresh, other days, we get fat slabs of fresh well cut salmon. The one time we got tuna sashimi, it was old, flimsy, and even the color of our fish was faded. Their miso is nothing special. Their Udon tastes very bouillon-y (MSG, MSG, MSG) I've tried their rice entrees and they're sub-par, usually lacking in flavor or just bad flavors in general. One time a friend ordered the Hawaiian fried rice dish and didn't finish most of it. We threw it back in our Wok, refried it with our own spices and added some ingredients to make it taste better. I recommend my friends here if they're feeling for sushi but don't want to spend too much.",0.8779,0.785,0.126,0.089,0.43872655122655124
