date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,"Loved this place, people and food, ordered their santa fe special, which can be made vegan as well, i ordered by replacing eggs with tofu, loved the hash browns which came with it, also they serve you complimentry 2 pieces of cake which was delicious",0.946,0.7,0.3,0.0,0.7928571428571429
2017-08-29,4.0,"CASH ONLY. Wish I didn't find out just as I was about to pay.  Regardless, good food. I got the country Benedict and my friend got a Denver omelet. They also give you complimentary cake to start! The country Benedict was amazing. The gravy wasn't too salty (which is often the case), and the biscuit was a great texture. Recommended, but bring cash. Also, get the hash browns (:  Oh btw, they ask you to wait by the bar area which is packed with games to make the time go by a bit faster. So pack up your brunch crew, play some candy land and eat good food.",0.9645,0.781,0.209,0.01,0.725
2017-08-27,5.0,"I live in the neighborhood, and Tweet is a must when friends come in from out of town (especially if they have children). Came in Saturday morning and within minutes Tweet whisked away the stroller, had us seated, brought bananas and a sippy cup of water to the table with a coloring page and a basket of age-appropriate toys for my niece. We were so impressed by their kid-friendly vibe! Not to mention they happily accommodate dietary restrictions and have an extensive gluten free menu. Only downside of Tweet is that it's cash only!",0.927,0.835,0.145,0.02,0.8291666666666667
2017-08-27,5.0,"Everything at tweet is done to perfection. Healthy portions, fast service, and unbelievably fresh! I haven't had a bad meal here yet!",0.9086,0.563,0.437,0.0,0.5666666666666667
2017-08-26,5.0,"I love this place. The food and service are always top-notch, the staff are always polite and professional, and they have an extensive gluten free menu.  If you're looking for a brunch place with a great cocktail and breakfast selection, professional and organized service, and indoor and patio seating, this is it. You always get their free signature chocolate chip bread pudding cake (I don't know the real name, but that's what I call it) that also has a gluten free option.  It's delicious!  I've tried the gluten free waffles, pancakes, benedicts, lox plates, and corned beef hash. All are exceptional. The hash browns are just the way I like them-crispy but not dry with a buttery flavor. Also, I've worked in numerous restaurants and can tell this place is well-managed. I'm lucky this place is in my neighborhood. Just a heads up-it's cash only, but if you didn't bring any, there are 2 ATMs. Go check this place out. It's within walking distance from the lake, there's street parking, and it's a local landmark in itself, as the home of Big Chicks.",0.985,0.836,0.164,0.0,0.6008771929824561
2017-08-22,5.0,"Came here over the weekend for the first time and it did not disappoint!  The portions are huge, food is fresh & tasty and the staff is super friendly.  Just make sure you have cash as it's cash only!",0.9417,0.655,0.345,0.0,0.6841269841269841
2017-08-22,4.0,"I really like Tweet. They have delicious food & bottomless coffee, what's not to love.  They are very generous with their sides. Most breakfast items come with 2 sides. Fresh fruit & potatoes are always a good choice.  I love the California Eggs Benedict ( parched eggs on English muffin with avocado & tomato with creamy delicious hollandaise sauce.",0.9052,0.626,0.276,0.098,0.53
2017-08-20,5.0,"This is one of my favorite stops when I visit Chicago. Their food is always phenomenal, they have a great menu to choose from--I came here yesterday with one friend who is gluten free (they even had a gluten free starter pastry for her!), one friend who's dairy free, my carnivore of a husband, and myself (I'm vegan), and we could all very easily find delicious things to eat! The service is wonderful, the drinks are great, and the environment is beautiful. I will always come back!",0.9918,0.609,0.377,0.014,0.7833333333333332
2017-08-20,5.0,Love love love this place!!!! Been here for brunch and I can't say one bad thing about it other than if you go for brunch on the weekend it is sure to be busy so you may have a small wait. The staff is super great and always keeps your drink glass filled. They give you the most tasty little cake treat for free to start off your brunch and their brunch cocktails are great. Loved my Denver omelette that I got and of course their eggs benny is amazing and something I could eat everyday.,0.9929,0.643,0.357,0.0,0.6442901234567902
2017-08-19,5.0,Nice location with inviting atmosphere. Street and patio seating available. Good brunch selection with full gluten free menus. Healthy portions well prepared including good variety of fresh fruit and greens. Highly recommended.,0.9694,0.465,0.535,0.0,0.6099999999999999
2017-08-14,5.0,"I love Tweet! Not only is the food always tasty, reasonable, and generously portioned, the funky vibe is just so comfortable and interesting. On top of that, the staff is so professional and customer-oriented. I couldn't finish the corned beef hash -- maybe that's because they give you fruit salad,a beautiful green salad big enough to be a meal, and toast with it)) And the drinks, including the lavender lemonade I order in the summer (seasonal, I think?) are double the size; they are served two-fisted -- in a tumbler and a carafe! I get to take one home! How they do this I don't know, but it keeps me coming back! So I asked to have half my meal boxed up, expecting to find the corned beef hash when I got home. But, wow, two boxes -- one with the salad. So, three meals from Tweet! So, I say go for the brunch and stay to take home dinner!",0.9526,0.872,0.12,0.007,0.47777777777777775
2017-08-14,5.0,"In my opinion this is as good as it gets! Excellent gluten free menu for breakfast, including cocktails. Sunday's in Chicago serve alcohol after 10 a.m., so we didn't imbibe. Service was consistent, friendly, and knowledgable of their menu. Food was excellent in taste and presentation! I had the Santa Fe with a side of avocado and chorizo, hash browns with my eggs poached. They nailed it on all dishes. My partner had the GF pumpkin pancakes - delicious! Another had the Hollywood plate - a healthy spread of vegetables and protein. The photography and art donned on the walls were great conversation starters, incredible and diverse work. Small outdoor street side dining and three rooms to fill for indoor dining. Two bathrooms with a good chance of waiting to use.",0.9862,0.777,0.223,0.0,0.6916666666666668
2017-08-11,5.0,"This was hands-down one of the best service experiences of my life. When we got to our table, they had a basket of toys and two bowls of fruit ready for the 4-year-olds in our party and pastry for the adults. The server was well-spoken and knowledgeable and did that thing that great servers do where she checked on us constantly, but almost never interrupted us to make her presence known. The food was above average for breakfast fare, but not mind blowing. It doesn't really matter. I'm not in Chicago very often, but I'd go back in a heartbeat for the overall quality that Tweet delivered.",0.8035,0.891,0.096,0.013,0.28833333333333333
2017-08-07,4.0,"Perfect food, perfect location and perfect coffee. Went here on July 4th and still got seated without getting a reservation. They served complimentary coffee cakes (not sure if it was only a holiday thing) I ordered the poached eggs on English muffin with crab cakes and hollandaise sauce. Who would think that sea food would go so well with breakfast eggs! I would've given five stars if we had been made aware that it was cash-only and there were no clear signs. I would definitely again to try their other interesting items on the menu.",0.9795,0.71,0.27,0.02,0.6164351851851851
2017-08-05,5.0,This is a great brunch place.  They suprise all their guests with a opening pastry - very unexpected! I had grilled pork chops and it was cooked perfectly.  Toast was great. In terms of vibe - was a very unique decor - with cool old photos lining the walls and grungy props placed all around. They accept only cash so you will have to have cash on hand or use one of their ATM machines.,0.9674,0.749,0.251,0.0,0.7937500000000001
2017-08-03,5.0,"I love this place! Great food and ambiance. Decent service. Lots of seating, but still tough to get a seat.",0.5707,0.676,0.245,0.079,0.7125
2017-07-30,5.0,"Had a really good brunch here! We went around 1 on a Sunday and got a table right away! They started us off with complementary coffee cake and fruit, they even had gluten free coffee cake. Both the gluten free pancakes with chocolate chips and the gluten free eggs benedict with bacon were amazing. And we finished with the Chi Town Mule and a champagne cocktail. Everything, including service, was really good. My only note would be that they should redecorate/scrub everything down... but the place has a sense of nostalgia, ya know?",0.9048,0.84,0.16,0.0,0.7027336860670195
2017-07-30,2.0,"It's okay.  Their hostessing group is rude, and their food isn't that flavorful.  They close in the early in the afternoon, and so it's tough to catch them for brunch after 2pm.",-0.4364,0.813,0.053,0.134,0.5583333333333333
2017-07-30,5.0,This brunch is one of the best in the city. They have a killer Bloody Mary (cucumber or black pepper vodka) and a delicious crab cake Benedict. It is hard to find a bad item on the menu. Even the burger is delicious! This is a bit of an eclectic place for out of towners. The bar you wait in is a lesbian bar at night and there is a lot of interesting art on the wall which just adds to the charm and artistry of this place. You will for sure wait about an hour or so to sit down but the wait is worth it. They have all kinds of board games while you wait. There is an indoor and outdoor area which is nice although outdoor area is pretty small. The fruit cups that everyone gets are delicious with high quality fruit. They also bring a little cake kind of like a coffee cake to the table as well for everyone. Each time it is a little different and they are all amazing! Highly recommended for brunch in the Argyle red line area.,0.9871,0.761,0.201,0.039,0.6304106280193236
2017-07-26,5.0,Update:  decides to try Tweet again since it is so close to me and this time came with my 16 month old son and his grandma. The hostess was extremely nice and kind (not like the last time I came). And this place is SUPER kid friendly. They have fruit waiting at the table for the kid plus little pastry treats. They have a basket of toys for kids to play with as well. The food was great and service was awesome.,0.9831,0.704,0.296,0.0,0.6203703703703705
2017-07-26,5.0,"Fresh fresh fruit served at seating along with spice cake, YUM! Coffee was amazing and so were the chilaquiles. A gem of a place with the most amazing food and service. Tons of vegetarian and vegan options.",0.9098,0.713,0.287,0.0,0.6599999999999999
2017-07-26,4.0,"Yum.  Fun little restaurant with great staff and great food, big portions.  Cash only.  We'll be back",0.8995,0.561,0.439,0.0,0.4714285714285715
2017-07-26,3.0,"A good family friendly restaurant. It can be pretty busy on a weekend though, so I recommend going early.  The food was decent and appropriate, but nothing blew me away. I would definately go again as it was a good atmosphere with friendly staff; however, if I have the opportunity to check other places out I would probably do that first.  This place is really lively and can be busy. If your children are not a fan of that it might be best to go during the week when it is less busy.",0.9813,0.697,0.281,0.023,0.4463541666666666
2017-07-22,5.0,"Tweet is one of my favorite brunch place in the neighborhood. Very friendly staff, generous portion, fresh food, at very reasonable price.",0.9073,0.593,0.407,0.0,0.7324999999999999
2017-07-22,4.0,A friend and I grabbed brunch here a few weeks ago. She had the eggs benedict and I had the country benedict (eggs benedict with biscuits and sausage gravy). Both were really good and the free coffee cake was awesome!,0.9335,0.694,0.306,0.0,0.625
